* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2022 12:19:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ DQ6S L
* Measurement: KZ DQ6S L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.741	16.9140
20.299999	107.735	16.2582
20.600000	107.728	15.6158
20.900000	107.721	14.9861
21.200001	107.714	14.3681
21.400000	107.710	13.9625
21.799999	107.701	13.1663
22.000000	107.697	12.7756
22.400000	107.687	12.0091
22.700001	107.679	11.4465
23.000000	107.671	10.8938
23.299999	107.662	10.3501
23.600000	107.652	9.8147
24.000000	107.638	9.1135
24.299999	107.626	8.5975
24.700001	107.608	7.9233
25.000000	107.594	7.4285
25.400000	107.575	6.7832
25.799999	107.556	6.1528
26.200001	107.537	5.5349
26.500000	107.522	5.0786
26.900000	107.502	4.4796
27.200001	107.486	4.0376
27.600000	107.465	3.4591
28.000000	107.443	2.8935
28.500000	107.416	2.2043
29.000000	107.387	1.5328
29.500000	107.359	0.8767
30.000000	107.331	0.2349
30.400000	107.309	-0.2682
30.700001	107.292	-0.6395
31.100000	107.270	-1.1270
31.500000	107.247	-1.6064
32.000000	107.219	-2.1962
32.500000	107.191	-2.7766
33.000000	107.162	-3.3489
33.500000	107.132	-3.9130
34.000000	107.101	-4.4679
34.500000	107.070	-5.0118
35.000000	107.038	-5.5432
35.500000	107.005	-6.0620
36.000000	106.972	-6.5688
36.500000	106.939	-7.0646
37.000000	106.905	-7.5496
37.500000	106.871	-8.0237
38.200001	106.823	-8.6693
38.700001	106.788	-9.1176
39.500000	106.733	-9.8138
40.000000	106.698	-10.2366
40.599998	106.656	-10.7326
41.200001	106.614	-11.2173
41.799999	106.571	-11.6918
42.500000	106.521	-12.2325
43.099998	106.477	-12.6848
43.700001	106.433	-13.1265
44.400002	106.380	-13.6277
45.000000	106.336	-14.0459
45.500000	106.299	-14.3873
46.200001	106.248	-14.8566
46.799999	106.204	-15.2510
47.500000	106.153	-15.7004
48.200001	106.102	-16.1370
48.700001	106.066	-16.4403
49.400002	106.015	-16.8533
50.000000	105.971	-17.1972
50.799999	105.911	-17.6387
51.500000	105.859	-18.0051
52.200001	105.809	-18.3591
53.000000	105.752	-18.7628
53.799999	105.695	-19.1569
54.500000	105.645	-19.4745
55.200001	105.600	-19.7714
56.000000	105.556	-20.1171
57.000000	105.503	-20.5861
58.000000	105.448	-21.0732
59.000000	105.388	-21.5519
60.000000	105.325	-22.0206
60.799999	105.270	-22.3864
61.500000	105.219	-22.6931
62.200001	105.166	-22.9844
63.000000	105.104	-23.2990
64.000000	105.028	-23.6700
65.000000	104.956	-24.0261
66.000000	104.885	-24.3743
67.000000	104.815	-24.7085
68.000000	104.744	-25.0115
69.000000	104.672	-25.2704
70.000000	104.601	-25.4749
71.000000	104.536	-25.6348
72.000000	104.479	-25.8106
73.000000	104.426	-26.0535
74.000000	104.368	-26.3495
75.000000	104.305	-26.6569
76.199997	104.228	-27.0031
77.500000	104.150	-27.3510
78.800003	104.079	-27.6911
80.000000	104.016	-28.0062
81.199997	103.953	-28.3249
82.500000	103.882	-28.6805
83.800003	103.805	-29.0452
85.000000	103.729	-29.3683
86.199997	103.649	-29.6597
87.500000	103.562	-29.9359
88.500000	103.496	-30.1201
90.000000	103.401	-30.3598
91.199997	103.329	-30.5398
92.500000	103.251	-30.7318
93.800003	103.174	-30.9167
95.000000	103.103	-31.0807
96.199997	103.034	-31.2390
97.500000	102.959	-31.4003
98.800003	102.884	-31.5455
100.000000	102.816	-31.6631
101.500000	102.731	-31.7899
103.000000	102.648	-31.9019
104.400002	102.575	-32.0028
106.000000	102.496	-32.1273
107.500000	102.424	-32.2520
109.000000	102.352	-32.3684
110.599998	102.275	-32.4903
112.000000	102.208	-32.6337
113.800003	102.110	-32.8809
115.000000	102.034	-33.0294
117.199997	101.886	-33.1472
118.000000	101.834	-33.1475
120.599998	101.681	-33.0968
122.000000	101.607	-33.0856
124.099998	101.509	-33.1122
125.000000	101.471	-33.1196
126.500000	101.415	-33.1012
128.000000	101.367	-33.0477
131.500000	101.254	-32.9393
132.000000	101.235	-32.9371
134.000000	101.152	-32.9486
136.000000	101.062	-32.9314
138.000000	100.972	-32.8429
140.000000	100.884	-32.7429
143.000000	100.748	-32.7626
145.000000	100.658	-32.8693
147.500000	100.554	-32.9402
150.000000	100.461	-32.8668
152.500000	100.372	-32.7134
155.000000	100.288	-32.5485
157.500000	100.210	-32.3975
160.000000	100.133	-32.2537
162.500000	100.053	-32.1377
165.000000	99.969	-32.0546
167.500000	99.882	-31.9685
170.000000	99.792	-31.8490
172.500000	99.703	-31.7017
175.000000	99.619	-31.5465
177.500000	99.542	-31.3902
180.000000	99.467	-31.2348
182.500000	99.393	-31.0876
185.000000	99.321	-30.9512
187.500000	99.249	-30.8191
190.000000	99.178	-30.6847
192.500000	99.107	-30.5446
195.000000	99.038	-30.3939
197.500000	98.970	-30.2253
200.000000	98.905	-30.0339
203.000000	98.831	-29.7836
206.000000	98.762	-29.5419
209.000000	98.694	-29.3304
212.000000	98.622	-29.1385
214.000000	98.571	-29.0062
218.000000	98.467	-28.6896
220.000000	98.416	-28.5038
224.000000	98.323	-28.1184
227.000000	98.259	-27.8447
230.000000	98.196	-27.5868
233.000000	98.135	-27.3372
236.000000	98.073	-27.0939
240.000000	97.992	-26.7805
243.000000	97.929	-26.5475
247.000000	97.844	-26.2161
250.000000	97.779	-25.9341
254.000000	97.699	-25.5054
258.000000	97.631	-25.0594
262.000000	97.572	-24.6661
265.000000	97.529	-24.4083
269.000000	97.466	-24.0695
272.000000	97.419	-23.7958
276.000000	97.358	-23.4017
280.000000	97.304	-22.9897
285.000000	97.249	-22.4883
290.000000	97.204	-22.0693
295.000000	97.153	-21.7450
300.000000	97.090	-21.4266
304.000000	97.036	-21.1380
307.000000	96.995	-20.9059
311.000000	96.942	-20.5897
315.000000	96.889	-20.2722
320.000000	96.821	-19.8579
325.000000	96.756	-19.4072
330.000000	96.696	-18.9362
335.000000	96.642	-18.4723
340.000000	96.590	-18.0294
345.000000	96.538	-17.5999
350.000000	96.485	-17.1681
355.000000	96.433	-16.7283
360.000000	96.382	-16.2841
365.000000	96.333	-15.8386
370.000000	96.286	-15.3922
375.000000	96.241	-14.9442
382.000000	96.180	-14.3151
387.000000	96.140	-13.8658
395.000000	96.078	-13.1472
400.000000	96.042	-12.6996
406.000000	96.001	-12.1714
412.000000	95.961	-11.6556
418.000000	95.920	-11.1354
425.000000	95.875	-10.4982
431.000000	95.842	-9.9340
437.000000	95.815	-9.3799
444.000000	95.791	-8.7639
450.000000	95.775	-8.2768
455.000000	95.763	-7.9157
462.000000	95.738	-7.4650
468.000000	95.708	-7.0762
475.000000	95.669	-6.5795
482.000000	95.632	-6.0560
487.000000	95.606	-5.6802
494.000000	95.568	-5.1365
500.000000	95.538	-4.6411
508.000000	95.505	-3.9708
515.000000	95.480	-3.4055
522.000000	95.454	-2.8508
530.000000	95.424	-2.2002
538.000000	95.398	-1.5305
545.000000	95.379	-0.9447
552.000000	95.363	-0.3630
560.000000	95.349	0.2875
570.000000	95.332	1.0717
580.000000	95.314	1.8513
590.000000	95.296	2.6437
600.000000	95.281	3.4580
608.000000	95.273	4.1129
615.000000	95.268	4.6786
622.000000	95.262	5.2482
630.000000	95.257	5.9240
640.000000	95.258	6.7986
650.000000	95.269	7.6765
660.000000	95.292	8.5292
670.000000	95.324	9.2988
680.000000	95.352	9.9819
690.000000	95.371	10.6385
700.000000	95.386	11.3142
710.000000	95.401	12.0179
720.000000	95.419	12.7286
730.000000	95.439	13.4347
740.000000	95.461	14.1384
750.000000	95.484	14.8423
762.000000	95.514	15.6870
775.000000	95.550	16.5967
788.000000	95.588	17.4968
800.000000	95.623	18.3354
812.000000	95.663	19.1963
825.000000	95.713	20.1373
838.000000	95.771	21.0773
850.000000	95.834	21.9502
862.000000	95.910	22.7697
875.000000	95.993	23.5236
885.000000	96.046	24.0505
900.000000	96.111	24.9130
912.000000	96.169	25.7189
925.000000	96.253	26.6323
938.000000	96.356	27.4824
950.000000	96.460	28.1712
962.000000	96.564	28.7818
975.000000	96.676	29.3875
