* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2022 12:26:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ DQ6S R
* Measurement: KZ DQ6S R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.019	21.6578
20.299999	107.017	20.9620
20.600000	107.015	20.2820
20.900000	107.013	19.6169
21.200001	107.011	18.9655
21.400000	107.010	18.5381
21.799999	107.007	17.6992
22.000000	107.005	17.2870
22.400000	107.002	16.4769
22.700001	106.999	15.8813
23.000000	106.994	15.2958
23.299999	106.989	14.7197
23.600000	106.983	14.1533
24.000000	106.973	13.4134
24.299999	106.964	12.8702
24.700001	106.951	12.1621
25.000000	106.941	11.6427
25.400000	106.926	10.9651
25.799999	106.911	10.3023
26.200001	106.896	9.6530
26.500000	106.884	9.1744
26.900000	106.867	8.5477
27.200001	106.854	8.0865
27.600000	106.836	7.4836
28.000000	106.818	6.8940
28.500000	106.794	6.1748
29.000000	106.770	5.4735
29.500000	106.746	4.7886
30.000000	106.722	4.1187
30.400000	106.702	3.5927
30.700001	106.688	3.2037
31.100000	106.668	2.6924
31.500000	106.648	2.1893
32.000000	106.623	1.5718
32.500000	106.598	0.9664
33.000000	106.572	0.3718
33.500000	106.545	-0.2126
34.000000	106.518	-0.7868
34.500000	106.490	-1.3498
35.000000	106.461	-1.9005
35.500000	106.431	-2.4387
36.000000	106.401	-2.9641
36.500000	106.370	-3.4773
37.000000	106.339	-3.9785
37.500000	106.307	-4.4676
38.200001	106.262	-5.1315
38.700001	106.230	-5.5914
39.500000	106.178	-6.3067
40.000000	106.146	-6.7437
40.599998	106.108	-7.2588
41.200001	106.069	-7.7631
41.799999	106.030	-8.2568
42.500000	105.984	-8.8210
43.099998	105.944	-9.2941
43.700001	105.903	-9.7549
