* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 3, 2023 1:23:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ DQS R
* Measurement: KZ DQS R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.799	12.5110
20.299999	110.801	11.7811
20.600000	110.802	11.0635
20.900000	110.802	10.3583
21.200001	110.800	9.6661
21.400000	110.798	9.2125
21.799999	110.793	8.3243
22.000000	110.790	7.8892
22.400000	110.783	7.0349
22.700001	110.776	6.4059
23.000000	110.769	5.7858
23.299999	110.761	5.1753
23.600000	110.752	4.5760
24.000000	110.738	3.7966
24.299999	110.727	3.2264
24.700001	110.713	2.4814
25.000000	110.702	1.9301
25.400000	110.687	1.2012
25.799999	110.669	0.4813
26.200001	110.650	-0.2217
26.500000	110.634	-0.7334
26.900000	110.613	-1.3941
27.200001	110.598	-1.8777
27.600000	110.579	-2.5156
28.000000	110.560	-3.1534
28.500000	110.533	-3.9473
29.000000	110.502	-4.7152
29.500000	110.469	-5.4413
30.000000	110.438	-6.1367
30.400000	110.415	-6.6893
30.700001	110.398	-7.1069
31.100000	110.372	-7.6623
31.500000	110.344	-8.2015
32.000000	110.307	-8.8345
32.500000	110.275	-9.4332
33.000000	110.249	-10.0449
33.500000	110.223	-10.7048
34.000000	110.188	-11.3948
34.500000	110.143	-12.0526
35.000000	110.092	-12.6319
35.500000	110.046	-13.1420
36.000000	110.008	-13.6358
36.500000	109.975	-14.1561
37.000000	109.940	-14.7017
37.500000	109.899	-15.2405
38.200001	109.839	-15.9408
38.700001	109.798	-16.4126
39.500000	109.736	-17.1688
40.000000	109.695	-17.6441
40.599998	109.644	-18.2012
41.200001	109.592	-18.7366
41.799999	109.540	-19.2552
42.500000	109.479	-19.8430
43.099998	109.426	-20.3286
43.700001	109.373	-20.7981
44.400002	109.312	-21.3314
45.000000	109.260	-21.7767
45.500000	109.215	-22.1359
46.200001	109.153	-22.6188
46.799999	109.102	-23.0201
47.500000	109.042	-23.4840
48.200001	108.982	-23.9454
48.700001	108.938	-24.2710
49.400002	108.876	-24.7163
50.000000	108.822	-25.0841
50.799999	108.750	-25.5482
51.500000	108.689	-25.9285
52.200001	108.630	-26.2924
53.000000	108.567	-26.7039
53.799999	108.506	-27.1234
54.500000	108.452	-27.4980
55.200001	108.396	-27.8732
56.000000	108.329	-28.2919
57.000000	108.244	-28.7924
58.000000	108.157	-29.2744
59.000000	108.069	-29.7402
60.000000	107.979	-30.1720
60.799999	107.908	-30.4843
61.500000	107.848	-30.7400
62.200001	107.790	-30.9885
