* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2022 8:50:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ EDA Balanced L
* Measurement: EDA Balanced L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.773	23.3484
20.299999	102.773	22.6902
20.600000	102.767	22.0463
20.900000	102.759	21.4164
21.200001	102.749	20.8003
21.400000	102.744	20.3968
21.799999	102.736	19.6064
22.000000	102.735	19.2191
22.400000	102.734	18.4597
22.700001	102.734	17.9028
23.000000	102.736	17.3564
23.299999	102.737	16.8208
23.600000	102.738	16.2961
24.000000	102.739	15.6143
24.299999	102.738	15.1165
24.700001	102.734	14.4701
25.000000	102.728	13.9968
25.400000	102.719	13.3790
25.799999	102.709	12.7734
26.200001	102.698	12.1790
26.500000	102.689	11.7408
26.900000	102.674	11.1681
27.200001	102.661	10.7481
27.600000	102.642	10.2015
28.000000	102.622	9.6692
28.500000	102.600	9.0187
29.000000	102.582	8.3770
29.500000	102.565	7.7393
30.000000	102.547	7.1083
30.400000	102.532	6.6138
30.700001	102.522	6.2520
31.100000	102.508	5.7835
31.500000	102.494	5.3301
32.000000	102.475	4.7791
32.500000	102.454	4.2364
33.000000	102.433	3.6965
33.500000	102.412	3.1604
34.000000	102.391	2.6332
34.500000	102.371	2.1193
35.000000	102.353	1.6189
35.500000	102.336	1.1296
36.000000	102.321	0.6494
36.500000	102.307	0.1785
37.000000	102.291	-0.2817
37.500000	102.270	-0.7311
38.200001	102.233	-1.3453
38.700001	102.201	-1.7762
39.500000	102.143	-2.4540
40.000000	102.108	-2.8688
40.599998	102.070	-3.3553
41.200001	102.035	-3.8279
41.799999	102.004	-4.2867
42.500000	101.971	-4.8074
43.099998	101.945	-5.2427
