* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2022 8:02:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ EDA Bass L
* Measurement: KZ EDA Bass L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.275	30.5258
20.299999	106.286	29.8316
20.600000	106.294	29.1494
20.900000	106.299	28.4748
21.200001	106.303	27.8057
21.400000	106.306	27.3628
21.799999	106.315	26.4871
22.000000	106.320	26.0559
22.400000	106.332	25.2107
22.700001	106.342	24.5933
23.000000	106.352	23.9902
23.299999	106.363	23.4005
23.600000	106.373	22.8223
24.000000	106.386	22.0670
24.299999	106.395	21.5109
24.700001	106.403	20.7834
25.000000	106.405	20.2490
25.400000	106.406	19.5526
25.799999	106.405	18.8754
26.200001	106.404	18.2158
26.500000	106.403	17.7312
26.900000	106.399	17.0963
27.200001	106.394	16.6274
27.600000	106.386	16.0116
28.000000	106.376	15.4064
28.500000	106.365	14.6652
29.000000	106.357	13.9399
29.500000	106.349	13.2290
30.000000	106.341	12.5321
30.400000	106.335	11.9854
30.700001	106.330	11.5820
31.100000	106.325	11.0535
31.500000	106.320	10.5348
32.000000	106.311	9.8983
32.500000	106.298	9.2729
33.000000	106.284	8.6577
33.500000	106.271	8.0524
34.000000	106.259	7.4574
34.500000	106.248	6.8731
35.000000	106.238	6.3003
35.500000	106.229	5.7400
36.000000	106.222	5.1930
36.500000	106.215	4.6592
37.000000	106.207	4.1379
37.500000	106.195	3.6283
38.200001	106.168	2.9319
38.700001	106.143	2.4451
39.500000	106.097	1.6816
40.000000	106.069	1.2141
40.599998	106.038	0.6646
41.200001	106.012	0.1284
41.799999	105.988	-0.3957
42.500000	105.964	-0.9948
43.099998	105.945	-1.4974
43.700001	105.927	-1.9886
44.400002	105.903	-2.5463
45.000000	105.880	-3.0131
45.500000	105.859	-3.3950
46.200001	105.829	-3.9186
46.799999	105.801	-4.3572
47.500000	105.765	-4.8579
48.200001	105.725	-5.3481
48.700001	105.695	-5.6921
49.400002	105.652	-6.1663
50.000000	105.618	-6.5667
50.799999	105.580	-7.0901
51.500000	105.550	-7.5353
52.200001	105.521	-7.9659
53.000000	105.486	-8.4392
53.799999	105.450	-8.8940
54.500000	105.420	-9.2799
55.200001	105.393	-9.6578
56.000000	105.363	-10.0845
57.000000	105.325	-10.6232
58.000000	105.284	-11.1813
59.000000	105.236	-11.7471
60.000000	105.186	-12.2998
60.799999	105.145	-12.7272
61.500000	105.108	-13.0887
62.200001	105.071	-13.4368
63.000000	105.030	-13.8153
64.000000	104.976	-14.2527
65.000000	104.918	-14.6348
66.000000	104.864	-14.9768
67.000000	104.817	-15.3571
68.000000	104.767	-15.8105
69.000000	104.707	-16.2708
70.000000	104.641	-16.6826
71.000000	104.578	-17.0470
72.000000	104.522	-17.3709
73.000000	104.476	-17.6541
74.000000	104.442	-17.9146
75.000000	104.416	-18.1749
76.199997	104.384	-18.4983
77.500000	104.346	-18.8771
78.800003	104.303	-19.2981
80.000000	104.259	-19.7274
81.199997	104.212	-20.1942
82.500000	104.157	-20.7290
83.800003	104.096	-21.2677
85.000000	104.032	-21.7256
86.199997	103.964	-22.1163
87.500000	103.888	-22.4811
88.500000	103.830	-22.7404
90.000000	103.741	-23.1049
91.199997	103.674	-23.3756
92.500000	103.606	-23.6557
93.800003	103.544	-23.9249
95.000000	103.489	-24.1631
96.199997	103.435	-24.3947
97.500000	103.374	-24.6420
98.800003	103.311	-24.8856
100.000000	103.252	-25.1049
101.500000	103.182	-25.3672
103.000000	103.120	-25.6083
104.400002	103.066	-25.8149
106.000000	103.003	-26.0499
107.500000	102.937	-26.2939
109.000000	102.866	-26.5649
110.599998	102.788	-26.8691
112.000000	102.721	-27.1306
113.800003	102.626	-27.4287
115.000000	102.551	-27.5863
117.199997	102.386	-27.7537
118.000000	102.323	-27.7712
120.599998	102.172	-27.8088
122.000000	102.133	-27.9503
124.099998	102.094	-28.2646
125.000000	102.074	-28.3768
126.500000	102.033	-28.5028
128.000000	101.978	-28.5757
131.500000	101.819	-28.7590
132.000000	101.797	-28.7976
134.000000	101.720	-28.9744
136.000000	101.654	-29.1478
138.000000	101.587	-29.2770
140.000000	101.513	-29.3638
143.000000	101.392	-29.4601
145.000000	101.314	-29.5385
147.500000	101.223	-29.6724
150.000000	101.132	-29.7998
152.500000	101.039	-29.8383
155.000000	100.950	-29.7518
157.500000	100.875	-29.6160
160.000000	100.816	-29.5235
162.500000	100.763	-29.5149
165.000000	100.701	-29.5822
167.500000	100.618	-29.6793
170.000000	100.513	-29.7507
172.500000	100.395	-29.7755
175.000000	100.277	-29.7698
177.500000	100.171	-29.7479
180.000000	100.085	-29.7129
182.500000	100.020	-29.6793
185.000000	99.969	-29.6656
187.500000	99.923	-29.6780
190.000000	99.876	-29.7216
192.500000	99.826	-29.7986
195.000000	99.771	-29.8831
197.500000	99.709	-29.9095
200.000000	99.639	-29.8353
203.000000	99.550	-29.6673
206.000000	99.463	-29.5152
209.000000	99.377	-29.4115
212.000000	99.287	-29.3220
214.000000	99.224	-29.2546
218.000000	99.102	-29.0920
220.000000	99.044	-28.9969
224.000000	98.938	-28.7899
227.000000	98.867	-28.6383
230.000000	98.799	-28.4951
233.000000	98.732	-28.3545
236.000000	98.664	-28.2145
240.000000	98.571	-28.0330
243.000000	98.499	-27.8970
247.000000	98.399	-27.6925
250.000000	98.324	-27.5025
254.000000	98.231	-27.1910
258.000000	98.150	-26.8550
262.000000	98.078	-26.5663
265.000000	98.022	-26.3857
269.000000	97.942	-26.1469
272.000000	97.880	-25.9430
276.000000	97.799	-25.6344
280.000000	97.726	-25.3041
