* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2022 8:04:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ EDA Bass R
* Measurement: KZ EDA Bass R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.536	28.7896
20.299999	106.541	28.1487
20.600000	106.544	27.5424
20.900000	106.549	26.9557
21.200001	106.559	26.3647
21.400000	106.569	25.9554
21.799999	106.591	25.0917
22.000000	106.602	24.6395
22.400000	106.617	23.7162
22.700001	106.622	23.0371
23.000000	106.621	22.3959
23.299999	106.619	21.8024
23.600000	106.617	21.2530
24.000000	106.619	20.5703
24.299999	106.623	20.0750
24.700001	106.630	19.4143
25.000000	106.634	18.9107
25.400000	106.638	18.2271
25.799999	106.637	17.5358
26.200001	106.634	16.8469
26.500000	106.628	16.3391
26.900000	106.615	15.6832
27.200001	106.602	15.2133
27.600000	106.582	14.6201
28.000000	106.563	14.0628
28.500000	106.546	13.4000
29.000000	106.538	12.7449
29.500000	106.535	12.0692
30.000000	106.531	11.3624
30.400000	106.524	10.7871
30.700001	106.516	10.3632
31.100000	106.503	9.8270
31.500000	106.489	9.3342
32.000000	106.472	8.7689
32.500000	106.460	8.2203
33.000000	106.451	7.6476
33.500000	106.443	7.0459
34.000000	106.431	6.4408
34.500000	106.417	5.8608
35.000000	106.403	5.3148
35.500000	106.393	4.7964
36.000000	106.387	4.2977
36.500000	106.383	3.8152
37.000000	106.380	3.3440
37.500000	106.375	2.8742
38.200001	106.360	2.1958
38.700001	106.342	1.6888
39.500000	106.298	0.8566
40.000000	106.264	0.3422
40.599998	106.221	-0.2509
41.200001	106.176	-0.7963
41.799999	106.132	-1.2710
42.500000	106.091	-1.7380
43.099998	106.073	-2.1227
43.700001	106.064	-2.5625
44.400002	106.051	-3.1583
45.000000	106.029	-3.6865
45.500000	106.007	-4.1034
46.200001	105.975	-4.6477
46.799999	105.948	-5.0964
47.500000	105.914	-5.6084
48.200001	105.877	-6.1024
48.700001	105.849	-6.4456
49.400002	105.810	-6.9192
50.000000	105.778	-7.3202
50.799999	105.741	-7.8399
51.500000	105.711	-8.2742
52.200001	105.680	-8.6906
53.000000	105.640	-9.1424
53.799999	105.596	-9.5548
54.500000	105.561	-9.8857
55.200001	105.530	-10.2135
56.000000	105.494	-10.6005
57.000000	105.445	-11.0723
58.000000	105.396	-11.5349
59.000000	105.349	-12.0440
60.000000	105.298	-12.5770
60.799999	105.256	-12.9943
61.500000	105.221	-13.3528
62.200001	105.188	-13.7028
63.000000	105.152	-14.0867
64.000000	105.108	-14.5330
65.000000	105.063	-14.9111
66.000000	105.031	-15.2437
67.000000	105.014	-15.6583
68.000000	104.993	-16.1989
69.000000	104.959	-16.7794
70.000000	104.913	-17.3484
71.000000	104.852	-17.8517
72.000000	104.786	-18.2057
73.000000	104.733	-18.4272
74.000000	104.697	-18.6180
75.000000	104.666	-18.8405
76.199997	104.619	-19.1450
77.500000	104.559	-19.5034
78.800003	104.495	-19.9060
80.000000	104.438	-20.3270
81.199997	104.381	-20.7838
82.500000	104.321	-21.2785
83.800003	104.260	-21.7362
85.000000	104.204	-22.1155
86.199997	104.144	-22.4548
87.500000	104.073	-22.7871
88.500000	104.015	-23.0179
90.000000	103.930	-23.3350
91.199997	103.867	-23.5867
92.500000	103.803	-23.8611
93.800003	103.743	-24.1382
95.000000	103.690	-24.4030
96.199997	103.636	-24.6722
97.500000	103.572	-24.9563
98.800003	103.503	-25.2252
100.000000	103.437	-25.4612
101.500000	103.358	-25.7437
103.000000	103.284	-26.0148
104.400002	103.223	-26.2579
106.000000	103.159	-26.5196
107.500000	103.102	-26.7524
109.000000	103.043	-26.9813
110.599998	102.973	-27.2286
112.000000	102.905	-27.4551
113.800003	102.809	-27.7780
115.000000	102.743	-28.0182
117.199997	102.621	-28.4706
118.000000	102.577	-28.6133
120.599998	102.441	-28.8493
122.000000	102.379	-28.8439
124.099998	102.299	-28.8340
125.000000	102.264	-28.8533
126.500000	102.204	-28.9131
128.000000	102.145	-28.9980
131.500000	102.009	-29.2397
132.000000	101.990	-29.2720
134.000000	101.914	-29.3837
136.000000	101.839	-29.4641
138.000000	101.764	-29.5208
140.000000	101.689	-29.5851
143.000000	101.573	-29.7377
145.000000	101.491	-29.8740
147.500000	101.386	-30.0878
150.000000	101.277	-30.2980
152.500000	101.176	-30.4037
155.000000	101.094	-30.3824
157.500000	101.025	-30.3170
160.000000	100.958	-30.2781
162.500000	100.886	-30.2833
165.000000	100.804	-30.3179
167.500000	100.706	-30.3536
170.000000	100.587	-30.3580
172.500000	100.458	-30.3190
175.000000	100.330	-30.2526
177.500000	100.214	-30.1820
180.000000	100.117	-30.1188
182.500000	100.043	-30.0627
185.000000	99.989	-30.0116
187.500000	99.942	-29.9632
190.000000	99.894	-29.9122
192.500000	99.839	-29.8522
195.000000	99.777	-29.7772
197.500000	99.706	-29.6823
200.000000	99.628	-29.5538
203.000000	99.535	-29.3341
206.000000	99.448	-29.0651
209.000000	99.365	-28.8112
212.000000	99.279	-28.5913
214.000000	99.221	-28.4453
218.000000	99.115	-28.1061
220.000000	99.070	-27.9141
224.000000	98.997	-27.5454
227.000000	98.954	-27.3265
230.000000	98.914	-27.1729
233.000000	98.873	-27.0778
236.000000	98.827	-27.0233
240.000000	98.757	-26.9822
243.000000	98.696	-26.9490
247.000000	98.605	-26.8571
250.000000	98.534	-26.7283
254.000000	98.443	-26.4738
258.000000	98.363	-26.1813
262.000000	98.290	-25.9335
265.000000	98.234	-25.7803
269.000000	98.153	-25.5671
272.000000	98.091	-25.3745
276.000000	98.010	-25.0767
280.000000	97.934	-24.7574
285.000000	97.852	-24.3757
290.000000	97.782	-24.0815
295.000000	97.710	-23.8763
300.000000	97.629	-23.6578
304.000000	97.564	-23.4330
307.000000	97.516	-23.2420
311.000000	97.452	-22.9770
315.000000	97.385	-22.7117
320.000000	97.297	-22.3672
325.000000	97.213	-21.9877
330.000000	97.135	-21.5826
335.000000	97.061	-21.1747
340.000000	96.989	-20.7780
345.000000	96.918	-20.3882
350.000000	96.851	-19.9915
355.000000	96.788	-19.5844
360.000000	96.726	-19.1720
365.000000	96.662	-18.7571
370.000000	96.596	-18.3389
375.000000	96.532	-17.9163
382.000000	96.450	-17.3193
387.000000	96.396	-16.8900
395.000000	96.312	-16.1969
400.000000	96.261	-15.7599
406.000000	96.200	-15.2384
412.000000	96.139	-14.7240
418.000000	96.078	-14.2028
425.000000	96.011	-13.5631
431.000000	95.962	-12.9938
437.000000	95.920	-12.4301
444.000000	95.875	-11.7986
450.000000	95.841	-11.2963
455.000000	95.814	-10.9209
462.000000	95.771	-10.4469
