* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2022 8:16:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ EDA HiRes L
* Measurement: KZ EDA HiRes L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.179	28.8816
20.299999	103.189	28.1650
20.600000	103.191	27.4586
20.900000	103.187	26.7709
21.200001	103.181	26.1118
21.400000	103.177	25.6912
21.799999	103.174	24.8898
22.000000	103.175	24.5039
22.400000	103.185	23.7451
22.700001	103.195	23.1749
23.000000	103.206	22.5975
23.299999	103.215	22.0178
23.600000	103.221	21.4446
24.000000	103.225	20.7076
24.299999	103.224	20.1847
24.700001	103.221	19.5281
25.000000	103.219	19.0582
25.400000	103.216	18.4458
25.799999	103.215	17.8334
26.200001	103.214	17.2148
26.500000	103.211	16.7495
26.900000	103.204	16.1342
27.200001	103.196	15.6807
27.600000	103.182	15.0898
28.000000	103.166	14.5150
28.500000	103.147	13.8188
29.000000	103.130	13.1479
29.500000	103.115	12.5001
30.000000	103.101	11.8674
30.400000	103.091	11.3685
30.700001	103.084	10.9998
31.100000	103.074	10.5199
31.500000	103.065	10.0567
32.000000	103.053	9.4958
32.500000	103.040	8.9355
33.000000	103.028	8.3586
33.500000	103.014	7.7697
34.000000	102.998	7.1899
34.500000	102.982	6.6326
35.000000	102.967	6.0907
35.500000	102.955	5.5521
36.000000	102.941	5.0210
36.500000	102.925	4.5166
37.000000	102.906	4.0522
37.500000	102.886	3.6187
38.200001	102.851	3.0279
38.700001	102.818	2.6155
39.500000	102.759	2.0206
40.000000	102.728	1.6913
40.599998	102.703	1.2951
41.200001	102.687	0.8531
41.799999	102.669	0.3744
42.500000	102.645	-0.1709
43.099998	102.626	-0.6010
43.700001	102.610	-1.0209
44.400002	102.591	-1.5330
45.000000	102.568	-1.9852
45.500000	102.544	-2.3502
46.200001	102.508	-2.8251
46.799999	102.477	-3.2089
47.500000	102.442	-3.6619
48.200001	102.404	-4.1398
48.700001	102.373	-4.4926
49.400002	102.326	-4.9810
50.000000	102.288	-5.3727
50.799999	102.247	-5.8474
51.500000	102.223	-6.2470
52.200001	102.203	-6.6616
53.000000	102.175	-7.1425
53.799999	102.141	-7.5876
54.500000	102.109	-7.9291
55.200001	102.079	-8.2313
56.000000	102.047	-8.5486
57.000000	102.005	-8.9388
58.000000	101.958	-9.3507
59.000000	101.906	-9.7990
60.000000	101.850	-10.2561
60.799999	101.805	-10.6076
61.500000	101.768	-10.9114
62.200001	101.734	-11.2130
63.000000	101.696	-11.5410
64.000000	101.649	-11.9145
65.000000	101.600	-12.2383
66.000000	101.551	-12.5046
67.000000	101.512	-12.7705
68.000000	101.484	-13.1367
69.000000	101.449	-13.6718
70.000000	101.384	-14.2679
71.000000	101.297	-14.6820
72.000000	101.228	-14.8835
73.000000	101.189	-15.0414
74.000000	101.166	-15.2241
75.000000	101.145	-15.4012
76.199997	101.118	-15.6100
77.500000	101.079	-15.8777
78.800003	101.026	-16.1787
80.000000	100.973	-16.4886
81.199997	100.918	-16.8552
82.500000	100.856	-17.2844
83.800003	100.796	-17.7108
85.000000	100.740	-18.1023
86.199997	100.680	-18.4758
87.500000	100.608	-18.8202
88.500000	100.550	-19.0347
90.000000	100.465	-19.3075
91.199997	100.399	-19.4955
92.500000	100.330	-19.6610
93.800003	100.267	-19.8036
95.000000	100.214	-19.9466
96.199997	100.162	-20.1093
97.500000	100.102	-20.2891
98.800003	100.040	-20.4521
100.000000	99.982	-20.5852
101.500000	99.912	-20.7344
103.000000	99.847	-20.8706
104.400002	99.789	-20.9976
106.000000	99.723	-21.1512
107.500000	99.659	-21.2999
109.000000	99.594	-21.4567
110.599998	99.524	-21.6448
112.000000	99.459	-21.8252
113.800003	99.372	-22.0599
115.000000	99.310	-22.2056
117.199997	99.194	-22.4122
118.000000	99.151	-22.4578
120.599998	99.026	-22.4506
122.000000	98.973	-22.3687
124.099998	98.908	-22.2511
125.000000	98.880	-22.2183
126.500000	98.831	-22.1859
128.000000	98.775	-22.1732
131.500000	98.631	-22.1588
132.000000	98.610	-22.1498
134.000000	98.533	-22.0659
136.000000	98.460	-21.8816
138.000000	98.394	-21.6392
140.000000	98.336	-21.4379
143.000000	98.262	-21.2540
145.000000	98.220	-21.1949
147.500000	98.162	-21.1687
150.000000	98.099	-21.1543
152.500000	98.048	-21.1281
155.000000	98.011	-21.0888
157.500000	97.968	-21.0226
160.000000	97.917	-20.9354
162.500000	97.870	-20.9169
165.000000	97.821	-20.9805
167.500000	97.753	-21.0533
170.000000	97.660	-21.0789
172.500000	97.552	-21.0482
175.000000	97.443	-20.9791
177.500000	97.344	-20.8938
180.000000	97.262	-20.8049
182.500000	97.199	-20.7075
185.000000	97.153	-20.5944
187.500000	97.114	-20.4810
190.000000	97.079	-20.3999
192.500000	97.043	-20.3480
195.000000	97.003	-20.2816
197.500000	96.959	-20.1757
200.000000	96.912	-20.0418
203.000000	96.859	-19.8723
206.000000	96.803	-19.6840
209.000000	96.736	-19.4654
212.000000	96.662	-19.2567
214.000000	96.611	-19.1272
218.000000	96.514	-18.8420
220.000000	96.469	-18.6791
224.000000	96.390	-18.3546
227.000000	96.340	-18.1351
230.000000	96.294	-17.9263
233.000000	96.248	-17.7166
236.000000	96.200	-17.5065
240.000000	96.133	-17.2365
243.000000	96.080	-17.0403
247.000000	96.006	-16.7652
250.000000	95.952	-16.5283
254.000000	95.887	-16.1583
258.000000	95.835	-15.7659
262.000000	95.788	-15.4244
265.000000	95.751	-15.2057
269.000000	95.695	-14.9170
272.000000	95.651	-14.6779
276.000000	95.595	-14.3262
280.000000	95.546	-13.9531
285.000000	95.499	-13.4965
290.000000	95.464	-13.1218
295.000000	95.424	-12.8430
300.000000	95.372	-12.5688
304.000000	95.329	-12.3129
307.000000	95.298	-12.1041
311.000000	95.256	-11.8173
315.000000	95.212	-11.5269
320.000000	95.153	-11.1425
325.000000	95.098	-10.7168
330.000000	95.050	-10.2681
335.000000	95.005	-9.8292
340.000000	94.963	-9.4181
345.000000	94.920	-9.0270
350.000000	94.881	-8.6358
355.000000	94.845	-8.2362
360.000000	94.809	-7.8303
365.000000	94.771	-7.4193
370.000000	94.731	-7.0024
375.000000	94.693	-6.5801
382.000000	94.646	-5.9860
387.000000	94.615	-5.5633
395.000000	94.570	-4.8903
400.000000	94.543	-4.4723
406.000000	94.510	-3.9796
412.000000	94.477	-3.4985
418.000000	94.443	-3.0128
425.000000	94.408	-2.4155
431.000000	94.385	-1.8845
437.000000	94.368	-1.3615
444.000000	94.352	-0.7792
450.000000	94.342	-0.3199
455.000000	94.335	0.0187
462.000000	94.317	0.4406
468.000000	94.295	0.8071
475.000000	94.266	1.2798
482.000000	94.239	1.7804
487.000000	94.219	2.1405
494.000000	94.189	2.6636
500.000000	94.165	3.1428
508.000000	94.140	3.7930
515.000000	94.123	4.3414
522.000000	94.104	4.8801
530.000000	94.080	5.5136
538.000000	94.061	6.1671
545.000000	94.048	6.7390
552.000000	94.038	7.3072
560.000000	94.029	7.9437
570.000000	94.020	8.7131
580.000000	94.008	9.4802
590.000000	93.992	10.2633
600.000000	93.978	11.0725
608.000000	93.974	11.7264
615.000000	93.973	12.2926
622.000000	93.971	12.8636
630.000000	93.970	13.5422
640.000000	93.973	14.4229
650.000000	93.986	15.3101
660.000000	94.012	16.1760
670.000000	94.048	16.9622
680.000000	94.083	17.6649
690.000000	94.107	18.3442
700.000000	94.124	19.0471
710.000000	94.141	19.7825
720.000000	94.163	20.5304
730.000000	94.187	21.2796
740.000000	94.213	22.0334
750.000000	94.241	22.7947
762.000000	94.276	23.7180
775.000000	94.320	24.7249
788.000000	94.372	25.7318
800.000000	94.427	26.6714
812.000000	94.492	27.6174
825.000000	94.577	28.5879
838.000000	94.667	29.4437
850.000000	94.742	30.1652
862.000000	94.809	30.8855
875.000000	94.880	31.6974
885.000000	94.939	32.3373
900.000000	95.037	33.2792
912.000000	95.121	34.0035
925.000000	95.218	34.7478
938.000000	95.318	35.4271
950.000000	95.409	35.9847
962.000000	95.493	36.4934
975.000000	95.573	37.0400
988.000000	95.645	37.6460
1000.000000	95.711	38.2976
1015.000000	95.809	39.2268
1030.000000	95.936	40.1782
1044.000000	96.078	40.9625
1060.000000	96.251	41.6604
1075.000000	96.407	42.1637
1090.000000	96.558	42.5907
1106.000000	96.714	42.9963
1120.000000	96.848	43.3206
1138.000000	97.013	43.7114
1150.000000	97.118	43.9625
1172.000000	97.307	44.4160
1180.000000	97.377	44.5803
1206.000000	97.618	45.0458
1220.000000	97.751	45.1999
1241.000000	97.939	45.3197
1250.000000	98.014	45.3535
1265.000000	98.130	45.4086
