* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2022 11:33:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ EDS L
* Measurement: KZ EDS L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.7	24.2941
20.299999	105.7	23.6180
20.600000	105.7	22.9548
20.900000	105.7	22.3055
21.200001	105.7	21.6712
21.400000	105.7	21.2563
21.799999	105.7	20.4446
22.000000	105.7	20.0467
22.400000	105.7	19.2648
22.700001	105.7	18.6896
23.000000	105.7	18.1237
23.299999	105.7	17.5680
23.600000	105.7	17.0228
24.000000	105.7	16.3129
24.299999	105.7	15.7926
24.700001	105.7	15.1140
25.000000	105.7	14.6151
25.400000	105.7	13.9619
25.799999	105.7	13.3214
26.200001	105.7	12.6923
26.500000	105.7	12.2269
26.900000	105.7	11.6136
27.200001	105.7	11.1588
27.600000	105.7	10.5601
28.000000	105.7	9.9733
28.500000	105.6	9.2626
29.000000	105.6	8.5796
29.500000	105.6	7.9190
30.000000	105.6	7.2701
30.400000	105.6	6.7548
30.700001	105.6	6.3702
31.100000	105.6	5.8621
31.500000	105.6	5.3612
32.000000	105.5	4.7463
32.500000	105.5	4.1420
33.000000	105.5	3.5467
33.500000	105.5	2.9617
34.000000	105.5	2.3900
34.500000	105.5	1.8333
35.000000	105.4	1.2906
35.500000	105.4	0.7614
36.000000	105.4	0.2467
36.500000	105.4	-0.2522
37.000000	105.4	-0.7378
37.500000	105.3	-1.2155
38.200001	105.3	-1.8766
38.700001	105.3	-2.3417
39.500000	105.2	-3.0669
40.000000	105.2	-3.5111
40.599998	105.2	-4.0396
41.200001	105.2	-4.5602
41.799999	105.1	-5.0650
42.500000	105.1	-5.6295
43.099998	105.1	-6.0960
43.700001	105.0	-6.5496
44.400002	105.0	-7.0645
45.000000	105.0	-7.4980
45.500000	104.9	-7.8583
46.200001	104.9	-8.3648
46.799999	104.9	-8.8019
47.500000	104.8	-9.3138
48.200001	104.8	-9.8241
48.700001	104.8	-10.1843
49.400002	104.7	-10.6797
50.000000	104.7	-11.0933
50.799999	104.7	-11.6208
51.500000	104.6	-12.0556
52.200001	104.6	-12.4687
53.000000	104.5	-12.9181
53.799999	104.5	-13.3429
54.500000	104.5	-13.7014
55.200001	104.4	-14.0601
56.000000	104.4	-14.4769
57.000000	104.3	-15.0089
58.000000	104.3	-15.5563
59.000000	104.2	-16.0998
60.000000	104.2	-16.6138
60.799999	104.1	-17.0149
61.500000	104.1	-17.3673
62.200001	104.0	-17.7156
63.000000	104.0	-18.0948
64.000000	103.9	-18.5275
65.000000	103.9	-18.9095
66.000000	103.8	-19.2352
67.000000	103.7	-19.5033
68.000000	103.7	-19.7437
69.000000	103.6	-20.0108
70.000000	103.6	-20.3405
71.000000	103.5	-20.7221
72.000000	103.5	-21.1267
73.000000	103.5	-21.5409
74.000000	103.4	-21.9517
75.000000	103.3	-22.3434
76.199997	103.3	-22.7754
77.500000	103.2	-23.1770
78.800003	103.1	-23.4858
80.000000	103.0	-23.6884
81.199997	103.0	-23.8479
82.500000	102.9	-24.0590
83.800003	102.9	-24.4000
85.000000	102.9	-24.8279
86.199997	102.8	-25.3035
87.500000	102.8	-25.8140
88.500000	102.7	-26.1869
90.000000	102.6	-26.7026
91.199997	102.6	-27.0750
92.500000	102.5	-27.4396
93.800003	102.4	-27.7750
95.000000	102.4	-28.0674
96.199997	102.3	-28.3423
97.500000	102.2	-28.6089
98.800003	102.2	-28.8329
100.000000	102.1	-29.0066
101.500000	102.0	-29.1971
103.000000	101.9	-29.3777
104.400002	101.9	-29.5543
106.000000	101.8	-29.8036
107.500000	101.7	-30.0939
109.000000	101.7	-30.4145
110.599998	101.6	-30.7565
112.000000	101.5	-31.0357
113.800003	101.4	-31.3760
115.000000	101.4	-31.5974
117.199997	101.3	-31.9572
118.000000	101.2	-32.0649
120.599998	101.1	-32.2903
122.000000	101.1	-32.3115
124.099998	100.9	-32.3113
125.000000	100.9	-32.3190
126.500000	100.8	-32.3433
128.000000	100.7	-32.3839
131.500000	100.5	-32.4380
132.000000	100.4	-32.4239
134.000000	100.3	-32.2834
136.000000	100.2	-32.0416
138.000000	100.2	-31.8448
140.000000	100.2	-31.8227
143.000000	100.2	-32.1201
145.000000	100.1	-32.4484
147.500000	100.0	-32.8323
150.000000	99.9	-33.0695
152.500000	99.8	-33.2037
155.000000	99.7	-33.2677
157.500000	99.6	-33.2941
160.000000	99.5	-33.3525
162.500000	99.4	-33.4498
165.000000	99.3	-33.5524
167.500000	99.2	-33.6306
170.000000	99.1	-33.6642
172.500000	99.0	-33.6532
175.000000	98.9	-33.6155
177.500000	98.8	-33.5709
180.000000	98.8	-33.5336
182.500000	98.7	-33.5093
185.000000	98.6	-33.4932
187.500000	98.5	-33.4749
190.000000	98.4	-33.4514
192.500000	98.3	-33.4226
195.000000	98.3	-33.3751
197.500000	98.2	-33.2875
200.000000	98.1	-33.1594
203.000000	98.0	-32.9966
206.000000	97.9	-32.8721
209.000000	97.9	-32.7925
212.000000	97.8	-32.7229
214.000000	97.7	-32.6611
218.000000	97.6	-32.4694
220.000000	97.5	-32.3429
224.000000	97.4	-32.0750
227.000000	97.3	-31.8889
230.000000	97.3	-31.7161
233.000000	97.2	-31.5490
236.000000	97.1	-31.3865
240.000000	97.0	-31.1783
243.000000	96.9	-31.0217
247.000000	96.8	-30.7867
250.000000	96.7	-30.5726
254.000000	96.6	-30.2285
258.000000	96.6	-29.8609
262.000000	96.5	-29.5417
265.000000	96.4	-29.3375
269.000000	96.3	-29.0669
272.000000	96.3	-28.8398
276.000000	96.2	-28.5010
280.000000	96.1	-28.1390
285.000000	96.0	-27.6974
290.000000	96.0	-27.3367
295.000000	95.9	-27.0687
300.000000	95.8	-26.8015
304.000000	95.7	-26.5482
307.000000	95.7	-26.3401
311.000000	95.6	-26.0536
315.000000	95.5	-25.7629
320.000000	95.4	-25.3776
325.000000	95.3	-24.9509
330.000000	95.2	-24.4998
335.000000	95.2	-24.0532
340.000000	95.1	-23.6242
345.000000	95.0	-23.2034
350.000000	94.9	-22.7740
355.000000	94.9	-22.3327
360.000000	94.8	-21.8839
365.000000	94.7	-21.4302
370.000000	94.6	-20.9718
375.000000	94.6	-20.5077
382.000000	94.5	-19.8484
387.000000	94.4	-19.3733
395.000000	94.3	-18.6091
400.000000	94.3	-18.1321
406.000000	94.2	-17.5679
412.000000	94.1	-17.0120
418.000000	94.1	-16.4459
425.000000	94.0	-15.7490
431.000000	93.9	-15.1278
437.000000	93.9	-14.5096
444.000000	93.8	-13.8116
450.000000	93.8	-13.2512
455.000000	93.8	-12.8292
462.000000	93.7	-12.2931
468.000000	93.7	-11.8297
475.000000	93.6	-11.2435
482.000000	93.5	-10.6270
487.000000	93.5	-10.1813
494.000000	93.4	-9.5348
500.000000	93.4	-8.9473
508.000000	93.3	-8.1484
515.000000	93.3	-7.4656
522.000000	93.2	-6.7899
530.000000	93.2	-5.9972
538.000000	93.1	-5.1799
545.000000	93.1	-4.4597
552.000000	93.0	-3.7389
560.000000	93.0	-2.9247
570.000000	92.9	-1.9297
580.000000	92.9	-0.9323
590.000000	92.9	0.0879
600.000000	92.8	1.1416
608.000000	92.8	1.9948
615.000000	92.8	2.7367
622.000000	92.7	3.4818
630.000000	92.7	4.3531
640.000000	92.7	5.4627
650.000000	92.7	6.5712
660.000000	92.7	7.6589
670.000000	92.7	8.6727
680.000000	92.7	9.6097
690.000000	92.7	10.5293
700.000000	92.7	11.4772
710.000000	92.7	12.4620
720.000000	92.8	13.4619
730.000000	92.8	14.4625
740.000000	92.8	15.4637
750.000000	92.8	16.4670
762.000000	92.8	17.6729
775.000000	92.9	18.9736
788.000000	92.9	20.2562
800.000000	93.0	21.4296
812.000000	93.0	22.5951
825.000000	93.1	23.8213
838.000000	93.1	25.0059
850.000000	93.2	26.1069
862.000000	93.3	27.2248
875.000000	93.4	28.4167
885.000000	93.4	29.3017
900.000000	93.6	30.5672
912.000000	93.7	31.5426
925.000000	93.8	32.5698
938.000000	93.9	33.5512
950.000000	94.0	34.4061
962.000000	94.1	35.2188
975.000000	94.2	36.0658
988.000000	94.3	36.8852
1000.000000	94.5	37.6246
1015.000000	94.6	38.5433
1030.000000	94.8	39.4376
1044.000000	94.9	40.1915
1060.000000	95.1	40.9045
1075.000000	95.3	41.4635
1090.000000	95.4	41.9745
1106.000000	95.6	42.4922
1120.000000	95.7	42.9307
1138.000000	95.9	43.4905
1150.000000	96.0	43.8696
1172.000000	96.2	44.5937
1180.000000	96.3	44.8687
1206.000000	96.5	45.7397
1220.000000	96.7	46.1360
1241.000000	96.9	46.6272
1250.000000	97.0	46.8134
1265.000000	97.1	47.1008
1280.000000	97.3	47.3597
1315.000000	97.6	47.8599
1320.000000	97.7	47.9187
1340.000000	97.9	48.1278
1360.000000	98.0	48.3245
1380.000000	98.2	48.5570
1400.000000	98.4	48.8573
1430.000000	98.7	49.3399
1450.000000	98.9	49.5856
1475.000000	99.2	49.8150
1500.000000	99.4	50.0099
1525.000000	99.7	50.2063
1550.000000	99.9	50.4254
1575.000000	100.1	50.6457
1600.000000	100.4	50.7686
1625.000000	100.6	50.7354
1650.000000	100.8	50.5856
1675.000000	101.0	50.3647
1700.000000	101.3	50.0818
1725.000000	101.5	49.7257
1750.000000	101.7	49.3118
1775.000000	101.9	48.8758
1800.000000	102.1	48.4073
1825.000000	102.4	47.8324
1850.000000	102.6	47.1067
1875.000000	102.8	46.2425
1900.000000	103.1	45.2728
1925.000000	103.3	44.2290
1950.000000	103.5	43.1112
1975.000000	103.8	41.8609
2000.000000	104.0	40.4035
2030.000000	104.3	38.3520
2060.000000	104.5	36.0187
2090.000000	104.7	33.4830
2120.000000	104.8	30.8405
2140.000000	104.9	29.0845
2180.000000	104.9	25.7606
2200.000000	104.8	24.2343
2240.000000	104.7	21.5326
2270.000000	104.6	19.9168
2300.000000	104.4	18.7382
2330.000000	104.3	17.9726
