* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2022 11:35:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ EDS R
* Measurement: KZ EDS R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.5	21.5338
20.299999	106.5	20.8752
20.600000	106.5	20.2333
20.900000	106.5	19.6095
21.200001	106.5	19.0026
21.400000	106.5	18.6054
21.799999	106.5	17.8250
22.000000	106.5	17.4399
22.400000	106.5	16.6774
22.700001	106.5	16.1130
23.000000	106.5	15.5568
23.299999	106.5	15.0109
23.600000	106.5	14.4763
24.000000	106.4	13.7814
24.299999	106.4	13.2726
24.700001	106.4	12.6083
25.000000	106.4	12.1190
25.400000	106.4	11.4777
25.799999	106.4	10.8490
26.200001	106.4	10.2348
26.500000	106.4	9.7847
26.900000	106.4	9.1985
27.200001	106.4	8.7676
27.600000	106.4	8.2009
28.000000	106.4	7.6380
28.500000	106.3	6.9355
29.000000	106.3	6.2401
29.500000	106.3	5.5645
30.000000	106.3	4.9185
30.400000	106.3	4.4219
30.700001	106.3	4.0578
31.100000	106.2	3.5781
31.500000	106.2	3.1013
32.000000	106.2	2.5090
32.500000	106.2	1.9244
33.000000	106.2	1.3517
33.500000	106.2	0.7906
34.000000	106.1	0.2383
34.500000	106.1	-0.3075
35.000000	106.1	-0.8468
35.500000	106.1	-1.3773
36.000000	106.0	-1.8974
36.500000	106.0	-2.4067
37.000000	106.0	-2.9055
37.500000	106.0	-3.3936
38.200001	105.9	-4.0569
38.700001	105.9	-4.5171
39.500000	105.9	-5.2354
40.000000	105.8	-5.6746
40.599998	105.8	-6.1906
41.200001	105.8	-6.6925
41.799999	105.7	-7.1821
42.500000	105.7	-7.7428
43.099998	105.7	-8.2164
43.700001	105.6	-8.6825
44.400002	105.6	-9.2139
45.000000	105.6	-9.6586
45.500000	105.5	-10.0226
46.200001	105.5	-10.5234
46.799999	105.5	-10.9438
47.500000	105.4	-11.4219
48.200001	105.4	-11.8859
48.700001	105.3	-12.2098
49.400002	105.3	-12.6547
50.000000	105.3	-13.0293
50.799999	105.2	-13.5189
51.500000	105.2	-13.9347
52.200001	105.1	-14.3361
53.000000	105.1	-14.7770
53.799999	105.0	-15.2001
54.500000	105.0	-15.5576
55.200001	105.0	-15.9074
56.000000	104.9	-16.3081
57.000000	104.9	-16.8291
58.000000	104.9	-17.3774
59.000000	104.8	-17.9366
60.000000	104.8	-18.4772
60.799999	104.7	-18.8746
61.500000	104.7	-19.1973
62.200001	104.6	-19.5081
63.000000	104.6	-19.8607
64.000000	104.5	-20.3041
65.000000	104.4	-20.7459
66.000000	104.4	-21.1753
67.000000	104.3	-21.5835
68.000000	104.2	-21.9668
69.000000	104.2	-22.3301
70.000000	104.1	-22.6849
71.000000	104.0	-23.0295
72.000000	104.0	-23.3472
73.000000	103.9	-23.6317
74.000000	103.8	-23.8822
75.000000	103.8	-24.0919
76.199997	103.7	-24.2900
77.500000	103.6	-24.4645
78.800003	103.6	-24.6874
80.000000	103.6	-25.0067
81.199997	103.5	-25.4221
82.500000	103.5	-25.9506
