* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 24, 2021 8:25:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ES4
* Measurement: Jun 24 20:25:43
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	78.833	36.461
20.586	78.859	35.751
20.885	78.886	35.139
21.189	78.888	34.538
21.497	78.894	33.923
21.810	78.914	33.283
22.127	78.932	32.614
22.449	78.939	31.921
22.776	78.947	31.215
23.107	78.961	30.506
23.443	78.970	29.796
23.784	78.983	29.077
24.130	79.004	28.341
24.481	79.029	27.584
24.837	79.049	26.814
25.198	79.052	26.045
25.565	79.061	25.294
25.937	79.079	24.568
26.314	79.093	23.865
26.697	79.116	23.178
27.085	79.129	22.502
27.479	79.126	21.840
27.879	79.134	21.195
28.284	79.132	20.563
28.696	79.134	19.937
29.113	79.146	19.311
29.537	79.144	18.688
29.966	79.138	18.076
30.402	79.128	17.470
30.844	79.125	16.857
31.293	79.136	16.219
31.748	79.138	15.561
32.210	79.133	14.898
32.678	79.106	14.239
33.154	79.097	13.573
33.636	79.100	12.896
34.125	79.093	12.222
34.621	79.087	11.573
35.125	79.084	10.945
35.636	79.084	10.321
36.154	79.090	9.698
36.680	79.099	9.096
37.214	79.103	8.516
37.755	79.091	7.937
38.304	79.065	7.363
38.861	79.041	6.818
39.427	78.998	6.285
40.000	78.955	5.731
40.582	78.940	5.184
41.172	78.928	4.688
41.771	78.923	4.163
42.379	78.923	3.502
42.995	78.916	2.798
43.620	78.903	2.215
44.255	78.897	1.696
44.898	78.886	1.077
45.552	78.854	0.460
46.214	78.828	-0.020
46.886	78.820	-0.507
47.568	78.799	-1.148
48.260	78.752	-1.771
48.962	78.690	-2.233
49.674	78.644	-2.694
50.397	78.624	-3.320
51.130	78.590	-3.975
51.874	78.551	-4.418
52.628	78.540	-4.767
53.394	78.524	-5.342
54.170	78.478	-5.977
54.958	78.442	-6.349
55.758	78.440	-6.678
56.569	78.443	-7.242
57.391	78.414	-7.894
58.226	78.351	-8.404
59.073	78.306	-8.719
59.932	78.308	-9.153
60.804	78.285	-9.921
61.688	78.202	-10.616
62.586	78.132	-10.974
63.496	78.112	-11.289
64.420	78.104	-11.777
65.357	78.071	-12.382
66.307	78.010	-12.977
67.272	77.946	-13.440
68.250	77.899	-13.762
69.243	77.862	-14.150
70.250	77.819	-14.563
71.272	77.778	-15.091
72.309	77.709	-15.625
73.360	77.676	-16.099
74.427	77.625	-16.798
75.510	77.554	-16.945
76.608	77.534	-17.274
77.723	77.471	-17.629
78.853	77.453	-17.913
80.000	77.409	-18.452
81.164	77.376	-18.948
82.344	77.323	-19.650
83.542	77.253	-20.233
84.757	77.194	-20.775
85.990	77.114	-21.233
87.241	77.031	-21.597
88.510	76.941	-21.953
89.797	76.851	-22.297
91.103	76.761	-22.670
92.428	76.706	-23.084
93.773	76.610	-23.409
95.137	76.566	-23.703
96.520	76.482	-23.900
97.924	76.440	-24.272
99.349	76.370	-24.728
100.794	76.267	-25.145
102.260	76.261	-25.271
103.747	76.217	-25.601
105.256	76.178	-25.643
106.787	76.080	-25.897
108.340	75.980	-26.203
109.916	75.888	-26.568
111.515	75.847	-27.163
113.137	75.780	-27.161
114.783	75.658	-27.667
116.452	75.585	-28.147
118.146	75.486	-27.943
119.865	74.568	-32.223
121.608	75.221	-27.526
123.377	75.162	-28.754
125.171	75.175	-28.975
126.992	75.171	-29.084
128.839	75.040	-28.969
130.713	74.915	-29.541
132.615	74.827	-29.621
134.543	74.724	-30.071
136.500	74.694	-29.765
138.486	74.577	-30.290
140.500	74.495	-30.638
142.544	74.375	-30.472
144.617	74.255	-29.881
146.721	74.114	-30.784
148.855	73.756	-32.034
151.020	74.045	-29.967
153.217	74.162	-28.972
155.445	73.761	-26.950
157.706	73.510	-27.574
160.000	72.369	-33.829
162.327	73.920	-30.974
164.688	74.060	-29.362
167.084	74.021	-28.869
169.514	73.805	-29.860
171.980	73.700	-30.497
174.481	73.605	-30.862
177.019	73.470	-30.794
179.594	73.305	-31.074
182.206	73.235	-31.353
184.856	73.227	-31.215
187.545	73.131	-31.301
190.273	73.060	-31.720
193.041	73.011	-31.758
195.849	72.920	-31.785
198.697	72.816	-31.986
201.587	72.680	-32.024
