* Measurement data measured by REW V5.20.8
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 9, 2022 10:26:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ESX R
* Measurement: KZ ESX R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.675	34.9605
20.299999	93.697	34.3029
20.600000	93.714	33.6616
20.900000	93.728	33.0307
21.200001	93.739	32.4053
21.400000	93.747	31.9905
21.799999	93.763	31.1694
22.000000	93.772	30.7657
22.400000	93.789	29.9786
22.700001	93.804	29.4077
23.000000	93.819	28.8509
23.299999	93.836	28.3012
23.600000	93.854	27.7522
24.000000	93.878	27.0157
24.299999	93.895	26.4611
24.700001	93.912	25.7267
25.000000	93.923	25.1857
25.400000	93.935	24.4786
25.799999	93.947	23.7798
26.200001	93.961	23.0793
26.500000	93.969	22.5530
26.900000	93.974	21.8612
27.200001	93.973	21.3627
27.600000	93.969	20.7402
28.000000	93.966	20.1698
28.500000	93.969	19.5084
29.000000	93.982	18.8635
29.500000	93.999	18.2101
30.000000	94.015	17.5497
30.400000	94.026	17.0255
30.700001	94.034	16.6379
31.100000	94.043	16.1301
31.500000	94.051	15.6329
32.000000	94.056	15.0270
32.500000	94.055	14.4371
33.000000	94.053	13.8564
33.500000	94.052	13.2772
34.000000	94.050	12.6963
34.500000	94.048	12.1177
35.000000	94.046	11.5453
35.500000	94.046	10.9790
36.000000	94.047	10.4167
36.500000	94.049	9.8588
37.000000	94.049	9.3081
37.500000	94.044	8.7677
38.200001	94.028	8.0323
38.700001	94.010	7.5264
39.500000	93.976	6.7570
40.000000	93.957	6.2980
40.599998	93.939	5.7621
41.200001	93.926	5.2390
41.799999	93.915	4.7300
42.500000	93.904	4.1506
43.099998	93.897	3.6571
43.700001	93.889	3.1638
44.400002	93.876	2.5950
45.000000	93.861	2.1163
45.500000	93.848	1.7197
46.200001	93.828	1.1649
46.799999	93.808	0.6946
47.500000	93.783	0.1600
48.200001	93.753	-0.3581
48.700001	93.730	-0.7179
49.400002	93.698	-1.2073
50.000000	93.673	-1.6169
50.799999	93.644	-2.1491
51.500000	93.621	-2.5895
52.200001	93.600	-3.0051
53.000000	93.575	-3.4730
53.799999	93.550	-3.9465
54.500000	93.529	-4.3581
55.200001	93.512	-4.7666
56.000000	93.494	-5.2408
57.000000	93.469	-5.8494
58.000000	93.435	-6.4517
59.000000	93.392	-7.0243
60.000000	93.345	-7.5714
60.799999	93.305	-7.9937
61.500000	93.270	-8.3534
62.200001	93.237	-8.7116
63.000000	93.203	-9.1270
64.000000	93.162	-9.6493
65.000000	93.119	-10.1557
66.000000	93.073	-10.6383
67.000000	93.023	-11.0889
68.000000	92.967	-11.4760
69.000000	92.910	-11.7531
70.000000	92.870	-11.9363
71.000000	92.860	-12.1807
72.000000	92.867	-12.5945
73.000000	92.879	-13.1370
74.000000	92.887	-13.7617
75.000000	92.875	-14.3646
76.199997	92.837	-14.9276
77.500000	92.773	-15.3662
78.800003	92.694	-15.5968
80.000000	92.637	-15.7871
81.199997	92.583	-16.1157
82.500000	92.518	-16.5665
83.800003	92.450	-17.0431
85.000000	92.387	-17.4915
86.199997	92.322	-17.9459
87.500000	92.247	-18.4232
88.500000	92.192	-18.7651
90.000000	92.118	-19.2094
91.199997	92.066	-19.4787
92.500000	92.009	-19.6777
93.800003	91.940	-19.7805
95.000000	91.871	-19.8226
96.199997	91.808	-19.9517
97.500000	91.745	-20.3539
98.800003	91.670	-20.9612
100.000000	91.594	-21.4685
101.500000	91.513	-21.8677
103.000000	91.445	-22.0834
104.400002	91.372	-22.2404
106.000000	91.268	-22.4651
107.500000	91.162	-22.7137
109.000000	91.064	-22.8706
110.599998	90.962	-22.7846
112.000000	90.860	-22.4962
113.800003	90.708	-22.1947
115.000000	90.607	-22.3927
117.199997	90.464	-24.0641
118.000000	90.423	-24.9087
120.599998	90.359	-26.0888
122.000000	90.449	-25.3325
124.099998	90.665	-23.9330
125.000000	90.729	-23.5309
126.500000	90.773	-23.1929
128.000000	90.759	-23.2223
131.500000	90.656	-23.9161
132.000000	90.640	-24.0010
134.000000	90.571	-24.2734
136.000000	90.490	-24.6042
138.000000	90.399	-25.0539
140.000000	90.312	-25.4702
143.000000	90.194	-25.8674
145.000000	90.113	-26.0956
147.500000	90.011	-26.3995
150.000000	89.917	-26.5558
152.500000	89.847	-26.5837
155.000000	89.802	-26.5990
157.500000	89.779	-26.4312
160.000000	89.735	-25.9706
162.500000	89.602	-25.5775
165.000000	89.367	-25.8511
167.500000	89.098	-26.8280
170.000000	88.875	-27.7944
172.500000	88.741	-27.9730
175.000000	88.718	-27.4929
177.500000	88.751	-27.1234
180.000000	88.763	-27.0443
182.500000	88.745	-27.0363
185.000000	88.710	-27.0311
187.500000	88.665	-27.0370
190.000000	88.618	-27.0430
192.500000	88.572	-27.0256
195.000000	88.523	-26.9857
197.500000	88.467	-26.9414
200.000000	88.407	-26.9012
203.000000	88.337	-26.8501
206.000000	88.272	-26.7916
209.000000	88.207	-26.7454
212.000000	88.135	-26.7159
214.000000	88.083	-26.6947
218.000000	87.974	-26.6228
220.000000	87.920	-26.5737
224.000000	87.821	-26.4688
227.000000	87.757	-26.3981
230.000000	87.698	-26.3355
233.000000	87.638	-26.2703
236.000000	87.577	-26.1899
240.000000	87.490	-26.0417
243.000000	87.417	-25.9008
247.000000	87.314	-25.7085
250.000000	87.244	-25.5764
254.000000	87.166	-25.3889
258.000000	87.097	-25.1689
262.000000	87.030	-24.9713
265.000000	86.976	-24.8497
269.000000	86.900	-24.6825
272.000000	86.842	-24.5293
276.000000	86.767	-24.2877
280.000000	86.699	-24.0206
285.000000	86.626	-23.6874
290.000000	86.564	-23.4272
295.000000	86.497	-23.2590
300.000000	86.422	-23.0965
304.000000	86.361	-22.9309
307.000000	86.316	-22.7903
311.000000	86.256	-22.5945
315.000000	86.194	-22.3934
320.000000	86.112	-22.1161
325.000000	86.035	-21.7941
330.000000	85.963	-21.4476
335.000000	85.894	-21.1062
340.000000	85.824	-20.7821
345.000000	85.756	-20.4668
350.000000	85.691	-20.1417
355.000000	85.630	-19.8024
360.000000	85.571	-19.4609
365.000000	85.510	-19.1234
370.000000	85.449	-18.7831
375.000000	85.390	-18.4330
382.000000	85.312	-17.9269
387.000000	85.260	-17.5591
395.000000	85.180	-16.9675
400.000000	85.131	-16.5980
406.000000	85.073	-16.1592
412.000000	85.015	-15.7270
418.000000	84.957	-15.2845
425.000000	84.895	-14.7334
431.000000	84.849	-14.2429
437.000000	84.809	-13.7620
444.000000	84.767	-13.2274
450.000000	84.735	-12.8043
455.000000	84.710	-12.4924
462.000000	84.668	-12.1068
468.000000	84.624	-11.7719
475.000000	84.571	-11.3356
482.000000	84.521	-10.8682
487.000000	84.485	-10.5297
494.000000	84.432	-10.0355
500.000000	84.389	-9.5804
508.000000	84.340	-8.9616
515.000000	84.301	-8.4403
522.000000	84.261	-7.9289
530.000000	84.214	-7.3259
538.000000	84.170	-6.7002
545.000000	84.137	-6.1502
552.000000	84.106	-5.6024
560.000000	84.074	-4.9884
570.000000	84.036	-4.2438
580.000000	83.995	-3.4921
590.000000	83.953	-2.7151
600.000000	83.914	-1.9099
608.000000	83.890	-1.2605
615.000000	83.872	-0.6989
622.000000	83.854	-0.1329
630.000000	83.834	0.5387
640.000000	83.815	1.4086
650.000000	83.806	2.2837
660.000000	83.810	3.1381
670.000000	83.825	3.9149
680.000000	83.839	4.6078
690.000000	83.842	5.2747
700.000000	83.839	5.9645
710.000000	83.837	6.6882
720.000000	83.838	7.4250
730.000000	83.843	8.1630
740.000000	83.850	8.9047
750.000000	83.858	9.6539
762.000000	83.870	10.5635
775.000000	83.889	11.5563
788.000000	83.915	12.5513
800.000000	83.948	13.4810
812.000000	83.991	14.4189
825.000000	84.051	15.3841
838.000000	84.117	16.2369
850.000000	84.172	16.9524
862.000000	84.218	17.6558
875.000000	84.265	18.4351
885.000000	84.304	19.0480
900.000000	84.365	19.9700
912.000000	84.418	20.7096
925.000000	84.479	21.5087
938.000000	84.547	22.2858
950.000000	84.613	22.9722
962.000000	84.680	23.6351
975.000000	84.754	24.3397
988.000000	84.830	25.0377
1000.000000	84.902	25.6855
1015.000000	84.995	26.5155
1030.000000	85.100	27.3461
1044.000000	85.212	28.0600
1060.000000	85.345	28.7475
1075.000000	85.466	29.2987
1090.000000	85.583	29.8134
1106.000000	85.709	30.3410
1120.000000	85.818	30.7876
1138.000000	85.956	31.3516
1150.000000	86.046	31.7261
1172.000000	86.211	32.4177
1180.000000	86.273	32.6714
1206.000000	86.497	33.4359
1220.000000	86.625	33.7547
1241.000000	86.811	34.1207
1250.000000	86.886	34.2570
1265.000000	87.007	34.4751
1280.000000	87.124	34.6864
1315.000000	87.392	35.1537
1320.000000	87.431	35.2142
1340.000000	87.584	35.4374
1360.000000	87.734	35.6503
1380.000000	87.882	35.8879
1400.000000	88.037	36.1715
1430.000000	88.302	36.5774
1450.000000	88.494	36.7398
1475.000000	88.739	36.8354
1500.000000	88.994	36.8699
1525.000000	89.262	36.8843
1550.000000	89.540	36.9044
1575.000000	89.820	36.9151
1600.000000	90.068	36.8239
1625.000000	90.242	36.5762
1650.000000	90.331	36.2154
1675.000000	90.363	35.7912
1700.000000	90.390	35.3172
1725.000000	90.449	34.7857
1750.000000	90.554	34.2145
1775.000000	90.704	33.6423
1800.000000	90.890	33.0623
1825.000000	91.097	32.4037
1850.000000	91.305	31.6241
1875.000000	91.504	30.7375
1900.000000	91.689	29.7794
1925.000000	91.860	28.7881
1950.000000	92.019	27.7805
1975.000000	92.170	26.7278
2000.000000	92.308	25.5935
2030.000000	92.444	24.1479
2060.000000	92.544	22.6970
2090.000000	92.614	21.3240
2120.000000	92.663	20.0770
2140.000000	92.692	19.3245
2180.000000	92.768	17.9266
2200.000000	92.819	17.1893
2240.000000	92.923	15.4506
2270.000000	92.973	13.9338
2300.000000	92.985	12.3584
2330.000000	92.962	10.8436
2360.000000	92.915	9.4355
2400.000000	92.830	7.7021
2430.000000	92.750	6.5063
2470.000000	92.628	5.0585
2500.000000	92.527	4.0719
2540.000000	92.378	2.8945
2580.000000	92.217	1.8881
2620.000000	92.051	1.0190
2650.000000	91.920	0.4575
2690.000000	91.736	-0.1189
2720.000000	91.598	-0.3925
2760.000000	91.426	-0.5822
2800.000000	91.274	-0.6691
2850.000000	91.107	-0.7395
2900.000000	90.947	-0.7913
2950.000000	90.784	-0.7393
3000.000000	90.627	-0.5457
3040.000000	90.511	-0.3213
3070.000000	90.431	-0.1130
3110.000000	90.338	0.2301
3150.000000	90.266	0.6276
3200.000000	90.206	1.1266
3250.000000	90.170	1.5678
3300.000000	90.141	1.9520
3350.000000	90.115	2.3359
3400.000000	90.091	2.7276
3450.000000	90.064	3.1041
3500.000000	90.030	3.4910
3550.000000	89.993	3.9067
3600.000000	89.961	4.3323
3650.000000	89.937	4.7588
3700.000000	89.922	5.2106
3750.000000	89.927	5.7137
3820.000000	89.982	6.4343
3870.000000	90.053	6.9080
3950.000000	90.213	7.5703
4000.000000	90.334	7.8638
4060.000000	90.483	8.0154
4120.000000	90.614	7.9485
4180.000000	90.717	7.7028
4250.000000	90.794	7.2379
4310.000000	90.827	6.7559
4370.000000	90.846	6.2101
4440.000000	90.858	5.4175
4500.000000	90.854	4.5698
4550.000000	90.835	3.7648
4620.000000	90.777	2.5431
4680.000000	90.694	1.4957
4750.000000	90.570	0.3787
4820.000000	90.430	-0.6113
4870.000000	90.325	-1.2584
4940.000000	90.168	-2.0831
5000.000000	90.023	-2.7039
5080.000000	89.805	-3.3417
5150.000000	89.595	-3.6433
5220.000000	89.374	-3.6957
5300.000000	89.113	-3.4985
5380.000000	88.842	-3.0721
5450.000000	88.590	-2.5192
5520.000000	88.323	-1.7635
5600.000000	88.015	-0.6324
5700.000000	87.651	1.1161
5800.000000	87.333	3.1234
5900.000000	87.060	5.3429
6000.000000	86.837	7.8174
6080.000000	86.700	9.9684
6150.000000	86.616	11.9401
6220.000000	86.563	13.9652
6300.000000	86.538	16.3384
6400.000000	86.561	19.4107
6500.000000	86.652	22.5804
6600.000000	86.817	25.7747
6700.000000	87.057	28.9363
6800.000000	87.374	32.0572
6900.000000	87.782	35.1070
7000.000000	88.291	37.9990
7100.000000	88.908	40.6395
7200.000000	89.654	42.9450
7300.000000	90.556	44.7456
7400.000000	91.619	45.6852
7500.000000	92.799	45.2525
7620.000000	94.244	42.1700
7750.000000	95.631	34.8373
7880.000000	96.556	23.1685
8000.000000	96.811	9.9414
8120.000000	96.447	-3.0375
8250.000000	95.474	-14.1506
8380.000000	94.131	-21.0555
8500.000000	92.789	-24.0062
8620.000000	91.529	-24.5178
8750.000000	90.387	-23.2812
8850.000000	89.707	-21.5334
9000.000000	89.037	-18.1993
9120.000000	88.805	-15.3473
9250.000000	88.850	-12.5025
9380.000000	89.197	-10.3727
9500.000000	89.758	-9.5962
9620.000000	90.477	-10.6108
9750.000000	91.296	-14.4764
9880.000000	91.970	-21.7648
10000.000000	92.292	-31.3658
10150.000000	92.105	-45.4721
10300.000000	91.192	-58.5975
10440.000000	89.780	-67.4321
10600.000000	87.765	-72.8461
10750.000000	85.735	-74.2893
10900.000000	83.743	-73.3099
11060.000000	81.782	-70.5434
11200.000000	80.255	-67.2516
11380.000000	78.556	-62.3575
11500.000000	77.560	-58.8207
11720.000000	75.949	-51.8912
11800.000000	75.418	-49.2308
12060.000000	73.870	-40.0507
12200.000000	73.147	-34.7845
12410.000000	72.215	-26.5276
12500.000000	71.871	-22.8935
12650.000000	71.371	-16.7566
12800.000000	70.959	-10.5688
13150.000000	70.313	3.7963
13200.000000	70.252	5.8282
13400.000000	70.068	13.9060
13600.000000	69.962	21.9596
13800.000000	69.956	30.0387
14000.000000	70.134	38.0863
14300.000000	70.944	49.7064
14500.000000	71.900	56.8612
14750.000000	73.553	64.7062
15000.000000	75.611	70.5217
15250.000000	77.831	72.7534
15500.000000	79.831	69.1921
15750.000000	81.176	58.3882
16000.000000	81.540	42.4253
16250.000000	80.900	27.1388
16500.000000	79.618	17.2953
16750.000000	78.297	13.1390
17000.000000	77.495	11.8191
17250.000000	77.395	9.6907
17500.000000	77.668	3.6710
17750.000000	77.726	-7.1671
18000.000000	77.113	-20.1554
18250.000000	75.701	-30.6128
18500.000000	73.638	-35.7095
18750.000000	71.184	-35.6359
19000.000000	68.576	-31.7535
19250.000000	65.972	-25.1055
19500.000000	63.454	-16.1140
19750.000000	61.055	-4.7269
20000.000000	58.816	9.1659
