* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 14, 2023 1:11:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ Ling Long MP L
* Measurement: KZ EDX Ultra Feb 14
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.784	164.4609
20.299999	93.758	164.0674
20.600000	93.727	163.6623
20.900000	93.691	163.2380
21.200001	93.652	162.7958
21.400000	93.625	162.4949
21.799999	93.570	161.8843
22.000000	93.544	161.5765
22.400000	93.494	160.9555
22.700001	93.459	160.4830
23.000000	93.426	160.0037
23.299999	93.394	159.5207
23.600000	93.363	159.0391
24.000000	93.324	158.4080
24.299999	93.297	157.9475
24.700001	93.263	157.3505
25.000000	93.239	156.9118
25.400000	93.209	156.3334
25.799999	93.179	155.7616
26.200001	93.149	155.2047
26.500000	93.123	154.8059
26.900000	93.085	154.3093
27.200001	93.053	153.9668
27.600000	93.007	153.5477
28.000000	92.960	153.1617
28.500000	92.901	152.7073
29.000000	92.843	152.2675
29.500000	92.784	151.8324
30.000000	92.723	151.3936
30.400000	92.673	151.0341
30.700001	92.637	150.7575
31.100000	92.588	150.3788
31.500000	92.539	149.9902
32.000000	92.475	149.4955
32.500000	92.407	148.9998
33.000000	92.339	148.5162
33.500000	92.274	148.0571
34.000000	92.216	147.6282
34.500000	92.164	147.2225
35.000000	92.118	146.8271
35.500000	92.076	146.4339
36.000000	92.036	146.0482
36.500000	91.993	145.6826
37.000000	91.946	145.3460
37.500000	91.894	145.0366
38.200001	91.811	144.6343
38.700001	91.745	144.3615
39.500000	91.634	143.9415
40.000000	91.566	143.6819
40.599998	91.490	143.3697
41.200001	91.420	143.0633
41.799999	91.357	142.7647
42.500000	91.292	142.4032
43.099998	91.241	142.0594
43.700001	91.187	141.6979
44.400002	91.114	141.3053
45.000000	91.048	141.0206
45.500000	90.994	140.8100
46.200001	90.922	140.5265
46.799999	90.860	140.2811
47.500000	90.784	139.9943
48.200001	90.704	139.7112
48.700001	90.644	139.5162
49.400002	90.559	139.2646
50.000000	90.490	139.0700
50.799999	90.409	138.8229
