* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jul 3, 2021 7:25:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ S1
* Measurement: Jul 3 19:25:29
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	75.432	-167.442
20.586	75.442	-167.658
20.885	75.455	-168.068
21.189	75.449	-168.490
21.497	75.426	-168.874
21.810	75.397	-169.203
22.127	75.371	-169.479
22.449	75.355	-169.729
22.776	75.351	-170.003
23.107	75.357	-170.359
23.443	75.365	-170.827
23.784	75.364	-171.383
24.130	75.347	-171.942
24.481	75.316	-172.391
24.837	75.284	-172.649
25.198	75.273	-172.731
25.565	75.304	-172.767
25.937	75.378	-172.947
26.314	75.468	-173.414
26.697	75.536	-174.162
27.085	75.556	-175.026
27.479	75.528	-175.779
27.879	75.477	-176.270
28.284	75.438	-176.521
28.696	75.429	-176.701
29.113	75.440	-176.983
29.537	75.445	-177.409
29.966	75.427	-177.876
30.402	75.395	-178.261
30.844	75.375	-178.561
31.293	75.375	-178.893
31.748	75.377	-179.373
32.210	75.354	-179.963
32.678	75.301	179.516
33.154	75.246	179.205
33.636	75.225	179.046
34.125	75.242	178.818
34.621	75.271	178.377
35.125	75.279	177.805
35.636	75.268	177.312
36.154	75.263	176.973
36.680	75.279	176.656
37.214	75.298	176.224
37.755	75.293	175.710
38.304	75.260	175.254
38.861	75.221	174.898
39.427	75.186	174.556
40.000	75.156	174.168
40.582	75.133	173.763
41.172	75.118	173.357
41.771	75.108	172.909
42.379	75.093	172.418
42.995	75.076	171.961
43.620	75.063	171.574
44.255	75.055	171.198
44.898	75.042	170.794
45.552	75.021	170.401
46.214	74.999	170.048
46.886	74.979	169.705
47.568	74.955	169.344
48.260	74.922	168.975
48.962	74.881	168.600
49.674	74.840	168.211
50.397	74.804	167.817
51.130	74.777	167.439
51.874	74.756	167.068
52.628	74.733	166.687
53.394	74.704	166.294
54.170	74.675	165.905
54.958	74.651	165.525
55.758	74.631	165.153
56.569	74.610	164.784
57.391	74.585	164.408
58.226	74.550	164.030
59.073	74.511	163.677
59.932	74.470	163.334
60.804	74.424	162.977
61.688	74.373	162.628
62.586	74.328	162.282
63.496	74.291	161.919
64.420	74.258	161.543
65.357	74.227	161.141
66.307	74.197	160.716
67.272	74.167	160.290
68.250	74.129	159.914
69.243	74.084	159.661
70.250	74.048	159.489
71.272	74.018	159.176
72.309	73.955	158.727
73.360	73.875	158.449
74.427	73.827	158.257
75.510	73.788	157.937
76.608	73.739	157.594
77.723	73.695	157.235
78.853	73.648	156.846
80.000	73.594	156.492
81.164	73.541	156.188
82.344	73.490	155.896
83.542	73.441	155.595
84.757	73.395	155.275
85.990	73.338	154.911
87.241	73.266	154.621
88.510	73.201	154.402
89.797	73.139	154.092
91.103	73.063	153.777
92.428	72.998	153.531
93.773	72.945	153.241
95.137	72.900	152.964
96.520	72.864	152.693
97.924	72.818	152.446
99.349	72.756	152.290
100.794	72.688	152.161
102.260	72.623	151.940
103.747	72.561	151.583
105.256	72.498	151.202
106.787	72.442	150.914
108.340	72.388	150.706
109.916	72.306	150.503
111.515	72.199	150.372
113.137	72.113	150.147
114.783	72.062	149.775
116.452	72.069	149.527
118.146	72.151	149.371
119.865	72.188	148.828
121.608	72.030	148.606
123.377	71.827	149.054
125.171	71.668	149.319
126.992	71.555	149.282
128.839	71.497	149.071
130.713	71.448	148.715
132.615	71.376	148.505
134.543	71.309	148.526
136.500	71.275	148.567
138.486	71.243	148.281
140.500	71.179	147.931
142.544	71.130	147.608
144.617	71.078	147.262
146.721	71.016	147.060
148.855	70.902	146.896
151.020	70.745	147.060
153.217	70.632	147.325
155.445	70.558	147.339
157.706	70.490	147.216
160.000	70.428	147.049
162.327	70.370	146.837
164.688	70.288	146.693
167.084	70.167	146.755
169.514	70.045	146.879
171.980	69.928	146.959
174.481	69.796	147.239
177.019	69.661	147.555
179.594	69.549	147.525
182.206	69.429	147.262
184.856	69.267	147.040
187.545	69.111	146.760
190.273	69.068	146.892
193.041	69.123	147.301
195.849	69.134	147.673
198.697	69.112	149.019
201.587	68.986	152.911
204.520	68.819	157.551
207.494	68.749	156.936
210.512	68.759	153.132
213.574	68.897	151.537
216.681	68.932	151.244
219.833	68.889	150.694
