* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jul 3, 2021 7:17:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ S1D
* Measurement: Jul 3 19:17:39
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	74.128	-167.219
20.586	74.143	-167.428
20.885	74.169	-167.824
21.189	74.181	-168.237
21.497	74.180	-168.643
21.810	74.172	-169.048
22.127	74.161	-169.452
22.449	74.147	-169.849
22.776	74.132	-170.230
23.107	74.118	-170.592
23.443	74.110	-170.939
23.784	74.109	-171.282
24.130	74.119	-171.642
24.481	74.134	-172.038
24.837	74.150	-172.479
25.198	74.162	-172.957
25.565	74.170	-173.455
25.937	74.177	-173.944
26.314	74.181	-174.403
26.697	74.183	-174.818
27.085	74.182	-175.192
27.479	74.179	-175.538
27.879	74.176	-175.876
28.284	74.175	-176.221
28.696	74.174	-176.577
29.113	74.172	-176.939
29.537	74.165	-177.302
29.966	74.153	-177.665
30.402	74.140	-178.031
30.844	74.128	-178.402
31.293	74.121	-178.781
31.748	74.113	-179.173
32.210	74.100	-179.594
32.678	74.081	179.952
33.154	74.059	179.489
33.636	74.039	179.056
34.125	74.024	178.669
34.621	74.017	178.299
35.125	74.016	177.905
35.636	74.016	177.489
36.154	74.016	177.097
36.680	74.017	176.762
37.214	74.022	176.456
37.755	74.024	176.126
38.304	74.015	175.761
38.861	73.995	175.394
39.427	73.968	175.042
40.000	73.945	174.679
40.582	73.931	174.276
41.172	73.915	173.843
41.771	73.890	173.427
42.379	73.865	173.058
42.995	73.848	172.714
43.620	73.837	172.351
44.255	73.819	171.968
44.898	73.794	171.593
45.552	73.771	171.208
46.214	73.750	170.784
46.886	73.726	170.338
47.568	73.700	169.874
48.260	73.663	169.396
48.962	73.618	169.024
49.674	73.604	168.750
50.397	73.632	168.231
51.130	73.627	167.352
51.874	73.539	166.688
52.628	73.438	166.690
53.394	73.408	166.939
54.170	73.422	166.887
54.958	73.423	166.577
55.758	73.406	166.227
56.569	73.382	165.849
57.391	73.349	165.424
58.226	73.309	164.984
59.073	73.270	164.525
59.932	73.230	164.035
60.804	73.179	163.588
61.688	73.128	163.240
62.586	73.087	162.955
63.496	73.056	162.677
64.420	73.021	162.385
65.357	72.975	162.103
66.307	72.926	161.834
67.272	72.878	161.552
68.250	72.835	161.300
69.243	72.799	161.024
70.250	72.758	160.713
71.272	72.720	160.412
72.309	72.688	160.025
73.360	72.649	159.583
74.427	72.604	159.181
75.510	72.550	158.877
76.608	72.498	158.645
77.723	72.453	158.353
78.853	72.400	157.995
80.000	72.337	157.658
81.164	72.277	157.355
82.344	72.222	157.055
83.542	72.174	156.752
84.757	72.131	156.452
85.990	72.087	156.118
87.241	72.028	155.753
88.510	71.953	155.417
89.797	71.874	155.157
91.103	71.812	154.938
92.428	71.764	154.715
93.773	71.724	154.489
95.137	71.681	154.265
96.520	71.627	154.025
97.924	71.555	153.795
99.349	71.475	153.596
100.794	71.400	153.436
102.260	71.346	153.279
103.747	71.296	153.081
105.256	71.233	152.874
106.787	71.158	152.625
108.340	71.079	152.319
109.916	71.005	152.049
111.515	70.947	151.911
113.137	70.889	151.878
114.783	70.798	151.798
116.452	70.644	151.491
118.146	70.414	151.154
119.865	70.223	151.416
121.608	70.232	151.441
123.377	70.274	150.656
125.171	70.293	149.966
126.992	70.334	149.261
128.839	70.294	148.542
130.713	70.190	148.796
132.615	70.133	149.591
134.543	70.027	150.410
136.500	69.852	151.390
138.486	69.698	151.624
140.500	69.501	150.329
142.544	69.257	148.924
144.617	69.199	148.397
146.721	69.307	148.302
148.855	69.469	148.649
151.020	69.548	148.691
153.217	69.491	148.555
155.445	69.338	148.348
157.706	69.192	148.340
160.000	69.111	148.429
162.327	69.073	148.884
164.688	69.067	149.272
167.084	68.963	149.506
169.514	68.780	150.351
171.980	68.609	151.238
174.481	68.508	150.700
177.019	68.408	149.189
179.594	68.321	149.590
182.206	68.424	151.803
184.856	68.778	152.319
187.545	69.203	150.368
190.273	69.248	148.437
193.041	68.843	148.755
195.849	68.431	149.450
198.697	68.179	149.625
201.587	67.904	148.482
204.520	67.507	145.979
207.494	67.422	145.946
210.512	67.720	148.227
213.574	67.812	150.031
216.681	67.697	150.444
219.833	67.594	150.497
223.030	67.510	150.707
226.274	67.424	150.739
229.565	67.342	150.807
232.905	67.266	150.992
236.292	67.200	151.122
239.729	67.127	151.242
243.216	67.038	151.361
246.754	66.947	151.502
250.343	66.864	151.696
253.984	66.788	151.925
257.678	66.713	152.134
261.426	66.638	152.343
265.229	66.564	152.589
269.087	66.489	152.851
273.001	66.405	153.135
276.972	66.315	153.399
281.000	66.239	153.635
285.088	66.170	153.889
289.234	66.093	154.152
293.441	66.009	154.431
297.710	65.929	154.737
302.040	65.858	155.062
306.433	65.796	155.384
310.890	65.734	155.721
315.412	65.658	156.099
320.000	65.581	156.515
324.655	65.508	156.971
329.377	65.439	157.482
334.168	65.378	158.001
339.028	65.322	158.434
343.959	65.273	158.781
348.962	65.242	159.096
354.038	65.214	159.395
359.188	65.162	159.696
364.412	65.093	160.031
369.713	65.014	160.378
375.090	64.940	160.753
380.546	64.884	161.169
386.081	64.834	161.609
391.697	64.774	162.050
397.395	64.712	162.497
403.175	64.650	162.959
409.039	64.586	163.431
414.989	64.521	163.927
421.025	64.458	164.430
427.149	64.403	164.940
433.362	64.354	165.442
439.665	64.301	165.956
446.060	64.246	166.495
452.548	64.192	167.067
459.131	64.140	167.659
465.809	64.089	168.241
472.584	64.043	168.806
479.458	63.998	169.362
486.432	63.952	169.969
493.507	63.904	170.593
500.686	63.863	171.199
507.968	63.826	171.817
515.357	63.785	172.478
522.853	63.742	173.135
530.458	63.699	173.794
538.174	63.659	174.484
546.002	63.627	175.190
553.943	63.597	175.913
562.001	63.565	176.623
570.175	63.537	177.304
578.469	63.512	178.021
586.883	63.482	178.781
595.419	63.448	179.544
604.080	63.417	-179.689
612.866	63.393	-178.879
621.780	63.373	-178.058
630.824	63.356	-177.259
640.000	63.345	-176.438
649.309	63.333	-175.574
658.753	63.322	-174.705
668.335	63.314	-173.863
678.056	63.310	-172.987
687.919	63.310	-172.071
697.925	63.312	-171.153
708.076	63.316	-170.220
718.376	63.323	-169.263
728.825	63.335	-168.280
739.426	63.351	-167.290
750.181	63.368	-166.312
761.093	63.387	-165.324
772.163	63.410	-164.309
783.394	63.441	-163.282
794.789	63.480	-162.236
806.349	63.526	-161.193
818.078	63.574	-160.154
829.977	63.624	-159.112
842.050	63.683	-158.052
854.297	63.745	-156.978
866.724	63.811	-155.946
879.330	63.884	-154.937
892.120	63.965	-153.903
905.097	64.053	-152.863
918.262	64.147	-151.861
931.618	64.248	-150.879
945.169	64.355	-149.897
958.917	64.463	-148.932
972.864	64.580	-148.013
987.015	64.710	-147.134
1001.371	64.842	-146.279
1015.937	64.973	-145.449
1030.714	65.105	-144.654
1045.706	65.240	-143.892
1060.916	65.378	-143.165
1076.347	65.521	-142.473
1092.003	65.670	-141.823
1107.887	65.825	-141.227
1124.001	65.984	-140.661
1140.350	66.139	-140.115
1156.937	66.289	-139.591
1173.765	66.437	-139.105
1190.838	66.589	-138.663
1208.159	66.745	-138.257
1225.732	66.908	-137.895
1243.561	67.079	-137.597
1261.649	67.248	-137.467
1280.000	67.382	-137.642
1298.618	67.419	-137.879
1317.507	67.381	-137.336
1336.670	67.432	-135.977
1356.113	67.604	-134.736
1375.838	67.808	-133.909
1395.850	68.002	-133.298
1416.153	68.190	-132.755
1436.751	68.377	-132.236
1457.649	68.566	-131.723
1478.851	68.767	-131.204
1500.362	68.985	-130.668
1522.185	69.225	-130.114
1544.326	69.487	-129.572
1566.789	69.761	-129.048
1589.578	70.024	-128.516
1612.699	70.234	-127.977
1636.156	70.358	-127.443
1659.955	70.406	-126.921
1684.099	70.428	-126.412
1708.595	70.482	-125.910
1733.447	70.604	-125.421
1758.661	70.808	-124.958
1784.241	71.075	-124.520
1810.193	71.375	-124.113
1836.523	71.689	-123.750
1863.236	72.016	-123.439
1890.338	72.361	-123.175
1917.833	72.719	-122.966
1945.729	73.086	-122.830
1974.030	73.462	-122.763
2002.743	73.846	-122.773
2031.873	74.243	-122.891
2061.428	74.651	-123.136
2091.412	75.067	-123.512
2121.832	75.491	-124.038
2152.695	75.926	-124.742
2184.007	76.373	-125.650
2215.774	76.834	-126.789
2248.003	77.303	-128.196
2280.701	77.775	-129.911
2313.874	78.241	-131.954
2347.530	78.693	-134.360
2381.676	79.122	-137.155
2416.318	79.520	-140.339
2451.464	79.873	-143.898
2487.122	80.165	-147.801
2523.298	80.383	-151.973
2560.000	80.516	-156.319
2597.236	80.558	-160.724
2635.014	80.508	-165.045
2673.341	80.371	-169.140
2712.226	80.158	-172.870
2751.676	79.882	-176.126
2791.700	79.565	-178.862
2832.306	79.232	178.911
2873.503	78.904	177.144
2915.299	78.597	175.738
2957.703	78.311	174.559
3000.724	78.035	173.500
3044.370	77.760	172.543
3088.652	77.488	171.742
3133.577	77.219	171.162
3179.156	76.963	170.831
3225.398	76.727	170.735
3272.312	76.513	170.849
3319.909	76.323	171.150
3368.198	76.156	171.614
3417.190	76.009	172.221
3466.894	75.880	172.944
3517.321	75.767	173.759
3568.482	75.677	174.659
3620.387	75.615	175.633
3673.046	75.588	176.663
3726.472	75.601	177.734
3780.675	75.663	178.832
3835.666	75.778	179.943
3891.457	75.948	-178.959
3948.060	76.169	-177.900
4005.486	76.437	-176.900
4063.747	76.743	-175.986
4122.855	77.083	-175.202
4182.824	77.462	-174.605
4243.664	77.881	-174.259
4305.390	78.354	-174.266
4368.013	78.895	-174.768
4431.547	79.514	-175.953
4496.005	80.209	-178.078
4561.401	80.955	178.535
4627.749	81.698	173.506
4695.061	82.345	166.527
4763.352	82.775	157.607
4832.637	82.871	147.319
4902.929	82.569	136.794
