* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jul 3, 2021 7:53:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ SA08
* Measurement: Jul 3 19:53:02
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	77.300	15.485
20.586	77.304	15.577
20.885	77.328	15.711
21.189	77.388	15.694
21.497	77.464	15.361
21.810	77.520	14.703
22.127	77.528	13.877
22.449	77.483	13.143
22.776	77.409	12.726
23.107	77.355	12.665
23.443	77.358	12.748
23.784	77.422	12.632
24.130	77.506	12.087
24.481	77.554	11.157
24.837	77.535	10.140
25.198	77.458	9.393
25.565	77.372	9.109
25.937	77.330	9.199
26.314	77.354	9.378
26.697	77.424	9.391
27.085	77.501	9.180
27.479	77.565	8.855
27.879	77.624	8.525
28.284	77.691	8.165
28.696	77.764	7.672
29.113	77.817	7.033
29.537	77.830	6.411
29.966	77.818	6.009
30.402	77.820	5.844
30.844	77.861	5.698
31.293	77.919	5.345
31.748	77.949	4.822
32.210	77.936	4.433
32.678	77.927	4.374
33.154	77.981	4.442
33.636	78.096	4.176
34.125	78.194	3.393
34.621	78.216	2.442
35.125	78.186	1.871
35.636	78.191	1.770
36.154	78.278	1.663
36.680	78.387	1.058
37.214	78.425	0.083
37.755	78.370	-0.640
38.304	78.291	-0.740
38.861	78.274	-0.490
39.427	78.323	-0.422
40.000	78.384	-0.775
40.582	78.419	-1.386
41.172	78.425	-1.988
41.771	78.420	-2.480
42.379	78.427	-2.907
42.995	78.453	-3.381
43.620	78.484	-3.962
44.255	78.499	-4.591
44.898	78.500	-5.144
45.552	78.504	-5.564
46.214	78.530	-5.917
46.886	78.570	-6.319
47.568	78.603	-6.792
48.260	78.622	-7.222
48.962	78.648	-7.609
49.674	78.684	-8.148
50.397	78.701	-8.837
51.130	78.700	-9.409
51.874	78.714	-9.816
52.628	78.744	-10.262
53.394	78.771	-10.791
54.170	78.800	-11.356
54.958	78.829	-11.950
55.758	78.858	-12.506
56.569	78.895	-13.082
57.391	78.917	-13.780
58.226	78.911	-14.391
59.073	78.925	-14.795
59.932	78.990	-15.323
60.804	79.057	-16.161
61.688	79.098	-17.034
62.586	79.143	-17.726
63.496	79.209	-18.285
64.420	79.270	-18.789
65.357	79.304	-19.028
66.307	79.381	-18.976
67.272	79.507	-19.511
68.250	79.526	-20.784
69.243	79.422	-21.912
70.250	79.303	-22.616
71.272	79.277	-23.134
72.309	79.367	-24.287
73.360	79.437	-26.136
74.427	79.450	-27.802
75.510	79.443	-28.864
76.608	79.465	-29.413
77.723	79.512	-29.983
78.853	79.526	-30.740
80.000	79.503	-31.604
81.164	79.462	-32.532
82.344	79.435	-33.476
83.542	79.450	-34.537
84.757	79.476	-35.805
85.990	79.469	-37.008
87.241	79.452	-37.946
88.510	79.447	-38.902
89.797	79.419	-40.034
91.103	79.377	-41.175
92.428	79.344	-42.347
93.773	79.308	-43.518
95.137	79.269	-44.585
96.520	79.235	-45.572
97.924	79.203	-46.618
99.349	79.157	-47.802
100.794	79.093	-49.021
102.260	79.027	-50.120
103.747	78.971	-51.112
105.256	78.913	-52.109
106.787	78.827	-53.220
108.340	78.708	-54.348
109.916	78.585	-55.387
111.515	78.482	-56.320
113.137	78.407	-57.193
114.783	78.341	-58.229
116.452	78.248	-59.569
118.146	78.096	-61.042
119.865	77.911	-62.001
121.608	77.807	-62.369
