* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 21, 2021 5:29:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ vx10 tanya
* Measurement: edx L Oct 21
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	112.1	-154.7395
20.299999	112.1	-155.4446
20.600000	112.1	-156.1394
20.900000	112.1	-156.8258
21.200001	112.1	-157.5052
21.400000	112.1	-157.9545
21.799999	112.1	-158.8428
22.000000	112.1	-159.2805
22.400000	112.1	-160.1397
22.700001	112.1	-160.7682
23.000000	112.1	-161.3829
23.299999	112.1	-161.9857
23.600000	112.1	-162.5788
24.000000	112.1	-163.3575
24.299999	112.1	-163.9335
24.700001	112.1	-164.6903
25.000000	112.1	-165.2488
25.400000	112.1	-165.9813
25.799999	112.1	-166.7021
26.200001	112.1	-167.4146
26.500000	112.1	-167.9447
26.900000	112.1	-168.6458
27.200001	112.1	-169.1663
27.600000	112.1	-169.8515
28.000000	112.1	-170.5258
28.500000	112.1	-171.3539
29.000000	112.1	-172.1678
29.500000	112.1	-172.9680
30.000000	112.1	-173.7542
30.400000	112.1	-174.3738
30.700001	112.0	-174.8339
31.100000	112.0	-175.4430
31.500000	112.0	-176.0479
32.000000	112.0	-176.7962
32.500000	112.0	-177.5307
33.000000	112.0	-178.2466
33.500000	112.0	-178.9443
34.000000	112.0	-179.6289
34.500000	112.0	179.6945
35.000000	112.0	179.0243
35.500000	111.9	178.3610
36.000000	111.9	177.7056
36.500000	111.9	177.0577
37.000000	111.9	176.4163
37.500000	111.9	175.7816
38.200001	111.9	174.9058
38.700001	111.9	174.2902
39.500000	111.8	173.3218
40.000000	111.8	172.7263
40.599998	111.8	172.0214
41.200001	111.8	171.3271
41.799999	111.8	170.6430
42.500000	111.7	169.8573
43.099998	111.7	169.1954
43.700001	111.7	168.5443
44.400002	111.7	167.7964
45.000000	111.6	167.1633
45.500000	111.6	166.6404
46.200001	111.6	165.9146
46.799999	111.6	165.2982
47.500000	111.5	164.5865
48.200001	111.5	163.8846
48.700001	111.5	163.3904
49.400002	111.4	162.7092
50.000000	111.4	162.1346
50.799999	111.4	161.3818
51.500000	111.3	160.7378
52.200001	111.3	160.1117
53.000000	111.2	159.4257
53.799999	111.1	158.7798
54.500000	111.1	158.2507
55.200001	111.0	157.7541
56.000000	111.0	157.2229
57.000000	110.9	156.5971
58.000000	110.9	155.9756
59.000000	110.8	155.3256
60.000000	110.7	154.6397
60.799999	110.7	154.0697
61.500000	110.6	153.5648
62.200001	110.6	153.0649
63.000000	110.5	152.5093
64.000000	110.4	151.8428
65.000000	110.4	151.2052
66.000000	110.3	150.5900
67.000000	110.2	149.9920
68.000000	110.1	149.4083
69.000000	110.0	148.8367
70.000000	109.9	148.2749
71.000000	109.8	147.7219
72.000000	109.7	147.1816
73.000000	109.7	146.6595
74.000000	109.6	146.1537
75.000000	109.5	145.6594
76.199997	109.4	145.0837
77.500000	109.2	144.4865
78.800003	109.1	143.9148
80.000000	109.0	143.4157
81.199997	108.9	142.9609
82.500000	108.8	142.5125
83.800003	108.6	142.0880
85.000000	108.5	141.7131
86.199997	108.4	141.3589
87.500000	108.3	141.0031
88.500000	108.2	140.7484
90.000000	108.1	140.3928
91.199997	107.9	140.1304
92.500000	107.8	139.8683
93.800003	107.7	139.6331
95.000000	107.6	139.4492
