* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2022 12:03:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ VXS L
* Measurement: KZ VXS L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.353	-161.8793
20.299999	106.342	-162.4813
20.600000	106.328	-163.0697
20.900000	106.310	-163.6456
21.200001	106.292	-164.2097
21.400000	106.281	-164.5799
21.799999	106.263	-165.3071
22.000000	106.255	-165.6642
22.400000	106.244	-166.3653
22.700001	106.236	-166.8785
23.000000	106.229	-167.3798
23.299999	106.222	-167.8689
23.600000	106.215	-168.3464
24.000000	106.206	-168.9669
24.299999	106.198	-169.4215
24.700001	106.184	-170.0143
25.000000	106.172	-170.4484
25.400000	106.152	-171.0125
25.799999	106.132	-171.5590
26.200001	106.112	-172.0895
26.500000	106.096	-172.4785
26.900000	106.074	-172.9874
27.200001	106.056	-173.3623
27.600000	106.030	-173.8526
28.000000	106.003	-174.3312
28.500000	105.971	-174.9135
29.000000	105.943	-175.4815
29.500000	105.916	-176.0380
30.000000	105.888	-176.5806
30.400000	105.867	-177.0008
30.700001	105.851	-177.3065
31.100000	105.832	-177.7022
31.500000	105.813	-178.0869
32.000000	105.787	-178.5571
32.500000	105.759	-179.0179
33.000000	105.729	-179.4677
33.500000	105.700	-179.9045
34.000000	105.674	179.6715
34.500000	105.650	179.2595
35.000000	105.628	178.8586
35.500000	105.608	178.4675
36.000000	105.592	178.0839
36.500000	105.578	177.7061
37.000000	105.561	177.3362
37.500000	105.541	176.9780
38.200001	105.504	176.4993
38.700001	105.473	176.1696
39.500000	105.419	175.6526
40.000000	105.386	175.3362
40.599998	105.351	174.9670
41.200001	105.321	174.6116
41.799999	105.293	174.2701
42.500000	105.265	173.8867
43.099998	105.245	173.5676
43.700001	105.226	173.2542
44.400002	105.202	172.8955
45.000000	105.180	172.5954
45.500000	105.160	172.3513
46.200001	105.133	172.0194
46.799999	105.108	171.7446
47.500000	105.078	171.4336
48.200001	105.046	171.1287
48.700001	105.021	170.9137
49.400002	104.987	170.6189
50.000000	104.961	170.3737
50.799999	104.935	170.0551
51.500000	104.916	169.7820
52.200001	104.899	169.5156
53.000000	104.878	169.2199
53.799999	104.857	168.9291
54.500000	104.841	168.6764
55.200001	104.827	168.4271
56.000000	104.811	168.1495
57.000000	104.791	167.8127
58.000000	104.770	167.4801
59.000000	104.748	167.1459
60.000000	104.726	166.8146
60.799999	104.708	166.5561
61.500000	104.695	166.3334
62.200001	104.686	166.1104
63.000000	104.679	165.8520
64.000000	104.674	165.5226
65.000000	104.670	165.1876
66.000000	104.664	164.8482
67.000000	104.659	164.5065
68.000000	104.653	164.1630
69.000000	104.646	163.8149
70.000000	104.636	163.4610
71.000000	104.624	163.1022
72.000000	104.616	162.7311
73.000000	104.613	162.3377
74.000000	104.616	161.9227
75.000000	104.621	161.4950
76.199997	104.623	160.9749
77.500000	104.619	160.4157
78.800003	104.612	159.8660
80.000000	104.606	159.3535
81.199997	104.600	158.8265
82.500000	104.595	158.2378
83.800003	104.594	157.6286
85.000000	104.594	157.0511
86.199997	104.594	156.4633
87.500000	104.590	155.8071
88.500000	104.584	155.2748
90.000000	104.567	154.4175
91.199997	104.546	153.6963
92.500000	104.518	152.8971
93.800003	104.488	152.0870
95.000000	104.459	151.3350
96.199997	104.428	150.5779
97.500000	104.388	149.7541
98.800003	104.338	148.9380
100.000000	104.282	148.1959
101.500000	104.205	147.2762
103.000000	104.126	146.3582
104.400002	104.051	145.5128
106.000000	103.961	144.5957
107.500000	103.867	143.8149
109.000000	103.764	143.1011
110.599998	103.647	142.3591
112.000000	103.544	141.6896
113.800003	103.423	140.8248
115.000000	103.356	140.2962
117.199997	103.263	139.4960
118.000000	103.235	139.2247
120.599998	103.094	138.0913
122.000000	102.951	137.4043
124.099998	102.694	136.5350
125.000000	102.588	136.2098
126.500000	102.425	135.7038
128.000000	102.274	135.2460
131.500000	101.931	134.3937
132.000000	101.883	134.2932
134.000000	101.708	133.9206
136.000000	101.563	133.5385
138.000000	101.432	133.1135
140.000000	101.289	132.6762
143.000000	101.044	132.0514
145.000000	100.869	131.6934
147.500000	100.649	131.3421
150.000000	100.426	131.0761
152.500000	100.206	130.8566
155.000000	99.989	130.6740
157.500000	99.773	130.5502
160.000000	99.552	130.4990
162.500000	99.330	130.5167
165.000000	99.105	130.6005
167.500000	98.869	130.7614
170.000000	98.620	131.0091
172.500000	98.363	131.3373
175.000000	98.107	131.7252
177.500000	97.858	132.1607
180.000000	97.622	132.6583
182.500000	97.406	133.2458
185.000000	97.209	133.9467
187.500000	97.028	134.7728
190.000000	96.860	135.7196
192.500000	96.703	136.7680
195.000000	96.560	137.8960
197.500000	96.433	139.0830
200.000000	96.325	140.3028
203.000000	96.223	141.7608
206.000000	96.152	143.1528
209.000000	96.106	144.4380
212.000000	96.078	145.6138
214.000000	96.067	146.3452
218.000000	96.056	147.6773
220.000000	96.055	148.2637
224.000000	96.060	149.2697
227.000000	96.068	149.9021
230.000000	96.076	150.4549
233.000000	96.081	150.9431
236.000000	96.083	151.3757
240.000000	96.076	151.8801
243.000000	96.064	152.2196
247.000000	96.042	152.6407
250.000000	96.023	152.9410
254.000000	95.997	153.3294
258.000000	95.967	153.7073
262.000000	95.932	154.0756
265.000000	95.904	154.3465
269.000000	95.865	154.7015
272.000000	95.835	154.9637
276.000000	95.793	155.3083
280.000000	95.750	155.6492
285.000000	95.699	156.0815
290.000000	95.649	156.5297
295.000000	95.598	156.9821
300.000000	95.549	157.4331
304.000000	95.513	157.7953
307.000000	95.486	158.0682
311.000000	95.449	158.4344
315.000000	95.411	158.8029
320.000000	95.362	159.2659
325.000000	95.316	159.7315
330.000000	95.272	160.2026
335.000000	95.225	160.6771
340.000000	95.178	161.1516
345.000000	95.133	161.6252
350.000000	95.092	162.0973
355.000000	95.057	162.5679
360.000000	95.024	163.0370
365.000000	94.990	163.5056
370.000000	94.954	163.9743
375.000000	94.920	164.4400
382.000000	94.877	165.0825
387.000000	94.849	165.5395
395.000000	94.804	166.2780
400.000000	94.776	166.7408
406.000000	94.742	167.2923
412.000000	94.709	167.8402
418.000000	94.679	168.3863
425.000000	94.650	169.0222
431.000000	94.628	169.5661
437.000000	94.607	170.1083
444.000000	94.583	170.7380
450.000000	94.564	171.2759
455.000000	94.549	171.7233
462.000000	94.531	172.3480
468.000000	94.518	172.8818
475.000000	94.507	173.5038
482.000000	94.498	174.1240
487.000000	94.492	174.5648
494.000000	94.483	175.1797
500.000000	94.478	175.7061
508.000000	94.474	176.4077
515.000000	94.474	177.0222
522.000000	94.476	177.6369
530.000000	94.481	178.3391
538.000000	94.490	179.0402
545.000000	94.501	179.6512
552.000000	94.515	-179.7412
560.000000	94.535	-179.0526
570.000000	94.566	-178.2031
580.000000	94.604	-177.3688
590.000000	94.647	-176.5561
600.000000	94.699	-175.7756
608.000000	94.749	-175.1839
615.000000	94.798	-174.6964
622.000000	94.852	-174.2424
630.000000	94.915	-173.7704
640.000000	94.996	-173.2601
650.000000	95.077	-172.8473
660.000000	95.158	-172.5358
670.000000	95.236	-172.3218
680.000000	95.304	-172.1917
690.000000	95.358	-172.1226
700.000000	95.394	-172.0855
710.000000	95.414	-172.0481
720.000000	95.421	-171.9814
730.000000	95.419	-171.8647
740.000000	95.411	-171.6880
750.000000	95.399	-171.4523
762.000000	95.383	-171.1103
775.000000	95.370	-170.7115
