* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 2, 2023 1:10:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZAR R
* Measurement: KZ ZAR R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.680	17.0084
20.299999	110.685	16.3185
20.600000	110.689	15.6415
20.900000	110.691	14.9784
21.200001	110.691	14.3309
21.400000	110.690	13.9087
21.799999	110.686	13.0880
22.000000	110.683	12.6900
22.400000	110.675	11.9194
22.700001	110.668	11.3661
23.000000	110.658	10.8386
23.299999	110.648	10.3431
23.600000	110.639	9.8848
24.000000	110.630	9.3331
24.299999	110.629	8.9554
24.700001	110.638	8.4739
25.000000	110.653	8.1021
25.400000	110.683	7.5563
25.799999	110.716	6.9274
26.200001	110.745	6.2152
26.500000	110.761	5.6418
26.900000	110.773	4.8531
27.200001	110.775	4.2633
27.600000	110.770	3.4984
28.000000	110.758	2.7681
28.500000	110.739	1.9037
29.000000	110.718	1.0853
29.500000	110.694	0.3066
30.000000	110.671	-0.4379
30.400000	110.652	-1.0137
30.700001	110.638	-1.4363
31.100000	110.619	-1.9911
31.500000	110.601	-2.5375
32.000000	110.577	-3.2098
32.500000	110.552	-3.8705
33.000000	110.527	-4.5187
33.500000	110.500	-5.1542
34.000000	110.473	-5.7773
34.500000	110.444	-6.3882
35.000000	110.415	-6.9873
35.500000	110.384	-7.5745
36.000000	110.353	-8.1489
36.500000	110.321	-8.7106
37.000000	110.288	-9.2592
37.500000	110.255	-9.7946
38.200001	110.207	-10.5219
38.700001	110.173	-11.0255
39.500000	110.118	-11.8063
40.000000	110.083	-12.2808
40.599998	110.042	-12.8385
41.200001	110.001	-13.3844
41.799999	109.959	-13.9187
42.500000	109.909	-14.5269
43.099998	109.867	-15.0355
43.700001	109.824	-15.5336
44.400002	109.774	-16.1027
45.000000	109.731	-16.5808
45.500000	109.694	-16.9719
46.200001	109.643	-17.5070
46.799999	109.598	-17.9535
47.500000	109.546	-18.4603
48.200001	109.493	-18.9528
48.700001	109.456	-19.2958
49.400002	109.403	-19.7632
50.000000	109.358	-20.1512
50.799999	109.298	-20.6527
51.500000	109.246	-21.0793
52.200001	109.195	-21.4957
53.000000	109.137	-21.9581
53.799999	109.080	-22.4063
54.500000	109.031	-22.7885
55.200001	108.983	-23.1632
56.000000	108.929	-23.5857
57.000000	108.864	-24.1138
58.000000	108.798	-24.6469
59.000000	108.730	-25.1761
60.000000	108.660	-25.6956
60.799999	108.603	-26.1039
61.500000	108.553	-26.4539
62.200001	108.501	-26.7944
63.000000	108.442	-27.1699
