* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 26, 2022 6:58:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZNA R
* Measurement: KZ ZNA R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.421	11.2858
20.299999	103.423	10.6046
20.600000	103.423	9.9285
20.900000	103.419	9.2651
21.200001	103.411	8.6248
21.400000	103.405	8.2145
21.799999	103.392	7.4308
22.000000	103.386	7.0536
22.400000	103.376	6.3140
22.700001	103.370	5.7604
23.000000	103.363	5.2017
23.299999	103.356	4.6406
23.600000	103.346	4.0830
24.000000	103.331	3.3543
24.299999	103.319	2.8224
24.700001	103.302	2.1295
25.000000	103.290	1.6177
25.400000	103.272	0.9427
25.799999	103.253	0.2816
26.200001	103.232	-0.3559
26.500000	103.216	-0.8157
26.900000	103.196	-1.4078
27.200001	103.182	-1.8424
27.600000	103.163	-2.4161
28.000000	103.145	-2.9836
28.500000	103.120	-3.6743
29.000000	103.096	-4.3392
29.500000	103.075	-4.9960
30.000000	103.054	-5.6703
30.400000	103.034	-6.2234
30.700001	103.016	-6.6373
31.100000	102.988	-7.1720
31.500000	102.958	-7.6763
32.000000	102.920	-8.2652
32.500000	102.884	-8.8254
33.000000	102.851	-9.3740
33.500000	102.819	-9.9160
34.000000	102.787	-10.4539
34.500000	102.756	-10.9919
35.000000	102.723	-11.5293
35.500000	102.687	-12.0542
36.000000	102.650	-12.5554
36.500000	102.613	-13.0352
37.000000	102.579	-13.5081
37.500000	102.545	-13.9860
38.200001	102.495	-14.6624
38.700001	102.458	-15.1425
39.500000	102.396	-15.9009
40.000000	102.355	-16.3673
40.599998	102.305	-16.9116
41.200001	102.255	-17.4344
41.799999	102.206	-17.9426
42.500000	102.149	-18.5252
43.099998	102.100	-19.0089
43.700001	102.050	-19.4675
44.400002	101.995	-19.9767
45.000000	101.948	-20.4083
45.500000	101.909	-20.7706
46.200001	101.850	-21.2698
46.799999	101.796	-21.6738
47.500000	101.734	-22.1174
48.200001	101.672	-22.5509
48.700001	101.627	-22.8589
49.400002	101.562	-23.2737
50.000000	101.507	-23.6015
50.799999	101.440	-24.0101
51.500000	101.388	-24.3679
52.200001	101.340	-24.7370
53.000000	101.288	-25.1664
53.799999	101.237	-25.5976
54.500000	101.192	-25.9711
55.200001	101.146	-26.3382
56.000000	101.093	-26.7568
57.000000	101.020	-27.2794
58.000000	100.940	-27.7705
59.000000	100.857	-28.2191
60.000000	100.775	-28.6349
60.799999	100.710	-28.9401
61.500000	100.657	-29.1877
62.200001	100.608	-29.4338
63.000000	100.554	-29.7385
64.000000	100.479	-30.1442
