* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 24, 2021 8:32:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZS10 Pro
* Measurement: Jun 24 20:32:18
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	77.348	41.392
20.586	77.377	40.760
20.885	77.409	40.216
21.189	77.419	39.669
21.497	77.430	39.100
21.810	77.454	38.503
22.127	77.476	37.883
22.449	77.487	37.248
22.776	77.502	36.603
23.107	77.523	35.945
23.443	77.539	35.270
23.784	77.558	34.579
24.130	77.581	33.880
24.481	77.608	33.181
24.837	77.631	32.488
25.198	77.640	31.797
25.565	77.658	31.109
25.937	77.682	30.429
26.314	77.699	29.779
26.697	77.721	29.178
27.085	77.738	28.625
27.479	77.745	28.099
27.879	77.768	27.565
28.284	77.782	27.002
28.696	77.796	26.421
29.113	77.816	25.849
29.537	77.822	25.304
29.966	77.827	24.774
30.402	77.829	24.237
30.844	77.836	23.678
31.293	77.855	23.105
31.748	77.865	22.530
32.210	77.871	21.950
32.678	77.855	21.359
33.154	77.854	20.763
33.636	77.865	20.182
34.125	77.870	19.623
34.621	77.883	19.062
35.125	77.898	18.468
35.636	77.908	17.855
36.154	77.917	17.278
36.680	77.929	16.781
37.214	77.945	16.340
37.755	77.957	15.874
38.304	77.959	15.327
38.861	77.952	14.732
39.427	77.913	14.166
40.000	77.870	13.674
40.582	77.868	13.219
41.172	77.873	12.732
41.771	77.869	12.194
42.379	77.863	11.638
42.995	77.866	11.107
43.620	77.873	10.614
44.255	77.875	10.144
44.898	77.871	9.669
45.552	77.861	9.191
46.214	77.856	8.736
46.886	77.853	8.292
47.568	77.842	7.807
48.260	77.821	7.298
48.962	77.782	6.841
49.674	77.743	6.400
50.397	77.730	5.907
51.130	77.722	5.422
51.874	77.721	4.990
52.628	77.718	4.545
53.394	77.692	4.115
54.170	77.678	3.717
54.958	77.680	3.302
55.758	77.677	2.935
56.569	77.689	2.549
57.391	77.692	2.004
58.226	77.665	1.500
59.073	77.651	1.022
59.932	77.632	0.399
60.804	77.578	-0.075
61.688	77.543	-0.375
62.586	77.537	-0.813
63.496	77.524	-1.287
64.420	77.507	-1.668
65.357	77.485	-2.055
66.307	77.454	-2.434
67.272	77.437	-2.809
68.250	77.421	-3.224
69.243	77.398	-3.667
70.250	77.356	-4.158
71.272	77.309	-4.486
72.309	77.284	-4.999
73.360	77.219	-5.485
74.427	77.213	-5.642
75.510	77.216	-6.087
76.608	77.195	-6.447
77.723	77.176	-6.948
78.853	77.170	-7.311
80.000	77.137	-8.116
81.164	77.055	-8.266
82.344	77.075	-8.669
83.542	77.021	-9.224
84.757	77.008	-9.781
85.990	76.929	-10.203
87.241	76.903	-10.548
88.510	76.830	-10.987
89.797	76.765	-11.217
91.103	76.707	-11.692
92.428	76.608	-12.066
93.773	76.564	-12.169
95.137	76.537	-12.619
96.520	76.522	-12.755
97.924	76.481	-12.962
99.349	76.460	-13.112
100.794	76.286	-13.264
102.260	76.299	-13.088
103.747	76.271	-14.082
105.256	76.239	-14.373
106.787	76.230	-14.617
108.340	76.217	-14.689
109.916	76.055	-14.649
111.515	75.994	-15.435
113.137	75.969	-16.158
114.783	75.989	-16.133
116.452	75.884	-15.868
118.146	75.664	-16.657
119.865	76.904	-5.730
121.608	75.626	-18.209
123.377	75.783	-15.882
125.171	75.509	-15.353
126.992	75.591	-16.884
128.839	75.521	-16.654
130.713	75.525	-16.734
132.615	75.463	-16.408
134.543	75.354	-17.611
136.500	75.470	-17.526
138.486	75.484	-17.983
140.500	75.428	-18.055
142.544	75.329	-18.475
144.617	75.299	-18.856
146.721	75.254	-19.216
148.855	75.113	-19.776
151.020	75.069	-19.824
153.217	75.004	-20.404
155.445	74.947	-20.543
157.706	74.899	-19.805
160.000	74.859	-20.382
162.327	74.825	-20.624
164.688	74.788	-20.881
167.084	74.720	-21.147
169.514	74.600	-21.315
171.980	74.463	-21.419
174.481	74.343	-21.482
177.019	74.234	-21.556
179.594	74.124	-21.703
182.206	74.061	-21.778
184.856	74.040	-21.853
187.545	74.017	-21.937
190.273	73.973	-22.105
193.041	73.926	-22.169
195.849	73.883	-22.234
198.697	73.812	-22.286
201.587	73.710	-22.258
204.520	73.651	-22.175
207.494	73.611	-22.171
210.512	73.540	-22.376
213.574	73.451	-22.513
216.681	73.364	-22.596
219.833	73.253	-22.451
223.030	73.179	-22.336
226.274	73.125	-22.330
229.565	73.056	-22.237
232.905	72.982	-22.250
236.292	72.920	-22.200
239.729	72.848	-22.186
243.216	72.771	-22.226
246.754	72.682	-22.154
250.343	72.582	-22.148
253.984	72.485	-21.945
257.678	72.409	-21.496
261.426	72.389	-21.344
265.229	72.313	-21.432
269.087	72.212	-21.355
273.001	72.123	-21.152
276.972	72.039	-20.869
281.000	71.948	-20.625
285.088	71.865	-20.258
289.234	71.843	-19.660
293.441	71.787	-19.652
297.710	71.723	-19.540
302.040	71.673	-19.092
306.433	71.649	-18.753
310.890	71.645	-18.670
315.412	71.593	-18.635
320.000	71.502	-18.731
324.655	71.448	-18.558
329.377	71.366	-18.318
334.168	71.292	-18.071
339.028	71.229	-17.798
343.959	71.133	-17.661
348.962	71.051	-17.485
354.038	71.005	-17.148
359.188	70.946	-16.847
364.412	70.870	-16.468
369.713	70.784	-16.219
375.090	70.710	-15.901
380.546	70.641	-15.534
386.081	70.580	-15.135
391.697	70.518	-14.742
397.395	70.453	-14.384
403.175	70.381	-13.916
409.039	70.333	-13.481
414.989	70.260	-13.152
421.025	70.182	-12.682
427.149	70.112	-12.239
433.362	70.083	-11.560
439.665	70.033	-11.215
446.060	69.968	-10.704
452.548	69.932	-10.059
459.131	69.948	-9.885
465.809	69.839	-9.668
472.584	69.780	-9.195
479.458	69.716	-8.599
486.432	69.692	-8.032
493.507	69.591	-7.913
500.686	69.522	-7.025
507.968	69.488	-6.339
515.357	69.450	-5.858
522.853	69.400	-5.336
530.458	69.302	-4.800
538.174	69.288	-3.915
546.002	69.236	-3.486
553.943	69.195	-2.620
562.001	69.168	-1.907
570.175	69.138	-1.348
578.469	69.078	-0.730
586.883	69.074	0.082
595.419	68.977	0.665
604.080	68.957	1.551
612.866	68.944	2.372
621.780	68.940	2.950
630.824	68.833	3.687
640.000	68.885	4.832
649.309	68.836	5.573
658.753	68.805	6.537
668.335	68.901	7.623
678.056	68.900	8.065
687.919	68.892	8.906
697.925	68.879	9.442
708.076	68.872	10.372
718.376	68.885	11.231
728.825	68.897	11.974
739.426	68.911	12.783
750.181	68.927	13.482
761.093	68.933	14.166
772.163	68.922	14.757
783.394	68.857	15.493
794.789	68.764	16.654
806.349	68.744	18.490
818.078	68.842	19.914
829.977	68.942	21.524
842.050	69.073	21.928
854.297	69.120	22.843
866.724	69.234	23.370
879.330	69.243	24.582
892.120	69.352	25.436
905.097	69.402	25.974
918.262	69.510	26.966
931.618	69.567	27.847
945.169	69.679	28.518
958.917	69.729	29.241
972.864	69.761	29.727
987.015	69.820	30.649
1001.371	69.886	31.216
1015.937	69.929	32.656
1030.714	69.966	33.729
1045.706	70.149	35.303
1060.916	70.282	36.127
1076.347	70.422	36.788
1092.003	70.574	37.741
1107.887	70.715	38.406
1124.001	70.890	39.063
1140.350	71.047	39.730
1156.937	71.176	40.495
1173.765	71.343	40.926
1190.838	71.476	41.720
1208.159	71.699	42.856
1225.732	71.882	42.703
1243.561	72.086	42.901
1261.649	72.219	43.571
1280.000	72.375	43.581
1298.618	72.525	44.146
1317.507	72.697	44.748
1336.670	72.868	45.160
1356.113	73.024	45.339
1375.838	73.240	45.559
1395.850	73.357	46.026
1416.153	73.503	47.169
1436.751	73.775	47.402
1457.649	74.008	47.490
1478.851	74.260	47.852
1500.362	74.527	48.026
1522.185	74.809	48.153
1544.326	75.128	48.301
1566.789	75.420	48.391
1589.578	75.817	48.872
1612.699	76.134	49.013
1636.156	76.297	48.411
1659.955	76.344	47.976
1684.099	76.363	47.681
1708.595	76.444	47.374
1733.447	76.594	46.676
1758.661	76.794	45.808
1784.241	77.061	44.949
1810.193	77.418	44.858
1836.523	77.755	43.784
1863.236	78.099	42.609
1890.338	78.429	41.142
1917.833	78.745	39.586
1945.729	78.995	37.638
1974.030	79.321	36.203
2002.743	79.583	33.847
2031.873	79.829	31.287
2061.428	79.981	28.767
2091.412	80.163	26.090
2121.832	80.218	23.268
2152.695	80.213	19.869
2184.007	80.100	17.416
2215.774	80.037	14.841
2248.003	79.927	12.236
2280.701	79.740	9.715
2313.874	79.522	7.412
2347.530	79.248	6.075
2381.676	78.987	4.410
2416.318	78.731	3.281
2451.464	78.449	2.098
2487.122	78.128	1.432
2523.298	77.870	1.012
2560.000	77.507	1.128
2597.236	77.306	1.894
2635.014	77.176	2.493
2673.341	77.112	2.843
2712.226	76.965	2.651
2751.676	76.900	2.593
2791.700	76.758	2.574
2832.306	76.592	2.235
2873.503	76.429	2.716
2915.299	76.259	2.127
2957.703	76.083	3.030
3000.724	75.915	3.893
3044.370	75.796	4.715
3088.652	75.666	5.142
3133.577	75.585	6.152
3179.156	75.546	7.233
3225.398	75.490	8.296
3272.312	75.505	9.580
3319.909	75.475	10.431
3368.198	75.526	11.743
3417.190	75.612	13.004
3466.894	75.704	13.692
3517.321	75.776	14.887
3568.482	75.894	16.102
3620.387	76.029	17.093
3673.046	76.304	17.654
3726.472	76.461	18.105
3780.675	76.676	18.607
3835.666	76.960	18.714
3891.457	77.227	19.007
3948.060	77.560	19.559
4005.486	78.000	19.805
4063.747	78.542	18.551
4122.855	78.969	17.245
4182.824	79.417	15.385
4243.664	79.811	11.896
4305.390	80.076	8.290
4368.013	80.246	3.384
4431.547	80.305	-1.287
4496.005	80.116	-7.289
4561.401	79.700	-12.587
4627.749	79.170	-17.872
4695.061	78.357	-22.185
4763.352	77.415	-24.843
4832.637	76.483	-25.573
4902.929	75.502	-24.983
4974.244	74.687	-21.842
5046.596	74.241	-17.435
5120.000	74.402	-13.070
5194.472	74.787	-11.912
5270.027	74.894	-14.588
5346.682	74.560	-16.917
5424.451	74.034	-18.542
5503.352	73.368	-18.861
5583.399	72.607	-17.475
5664.612	72.040	-14.615
5747.006	71.588	-12.632
5830.598	71.134	-10.373
5915.406	70.676	-8.112
6001.447	70.347	-4.933
6088.740	69.986	-1.762
6177.303	69.777	1.594
6267.154	69.618	5.081
6358.312	69.400	8.622
6450.796	69.296	12.175
6544.625	69.272	16.497
6639.818	69.319	20.390
6736.397	69.353	24.223
6834.380	69.494	28.092
6933.789	69.707	32.457
7034.643	70.049	36.464
7136.964	70.394	40.615
7240.773	70.819	44.349
7346.093	71.378	48.337
7452.944	72.107	51.581
7561.350	72.960	54.864
7671.332	73.849	57.092
7782.915	75.059	58.729
7896.120	76.327	58.418
8010.971	77.847	55.385
8127.493	79.334	49.497
8245.711	80.773	37.732
8365.647	81.309	21.469
8487.328	80.563	5.522
8610.779	79.153	-4.507
8736.026	77.649	-9.723
8863.095	76.281	-12.067
8992.011	75.127	-11.342
9122.803	74.238	-9.394
9255.497	73.553	-7.429
9390.121	73.003	-4.059
9526.704	72.710	-0.267
9665.273	72.541	2.709
9805.857	72.600	6.047
9948.487	72.826	9.746
10093.191	73.292	11.993
10240.000	73.972	13.647
10388.944	75.033	13.980
10540.055	76.211	10.853
10693.363	77.560	2.927
10848.902	78.424	-12.282
11006.703	77.858	-31.618
11166.799	76.067	-45.509
11329.224	73.779	-53.119
11494.012	71.501	-54.672
11661.195	69.672	-53.266
11830.812	68.138	-49.934
12002.895	66.934	-44.857
12177.480	66.041	-39.762
12354.606	65.447	-34.451
12534.309	65.097	-30.143
12716.624	64.804	-25.612
12901.592	64.770	-22.258
13089.250	64.725	-19.443
13279.637	65.031	-17.602
13472.794	65.365	-18.065
13668.760	65.709	-21.262
13867.577	65.645	-28.124
14069.285	65.005	-37.377
14273.928	63.734	-46.539
14481.547	61.922	-51.716
