* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 24, 2021 8:03:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZSN Pro
* Measurement: Jun 24 20:03:59
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	74.282	41.289
20.586	74.313	40.667
20.885	74.348	40.134
21.189	74.361	39.594
21.497	74.375	39.025
21.810	74.401	38.429
22.127	74.424	37.813
22.449	74.437	37.188
22.776	74.453	36.557
23.107	74.478	35.910
23.443	74.498	35.235
23.784	74.519	34.530
24.130	74.543	33.810
24.481	74.568	33.098
24.837	74.589	32.408
25.198	74.598	31.737
25.565	74.620	31.068
25.937	74.650	30.386
26.314	74.675	29.699
26.697	74.702	29.031
27.085	74.717	28.403
27.479	74.718	27.817
27.879	74.734	27.252
28.284	74.742	26.683
28.696	74.753	26.106
29.113	74.771	25.538
29.537	74.776	24.996
29.966	74.782	24.470
30.402	74.787	23.926
30.844	74.798	23.344
31.293	74.818	22.732
31.748	74.826	22.122
32.210	74.830	21.529
32.678	74.815	20.937
33.154	74.819	20.321
33.636	74.833	19.682
34.125	74.835	19.057
34.621	74.839	18.476
35.125	74.849	17.924
35.636	74.864	17.361
36.154	74.888	16.773
36.680	74.909	16.190
37.214	74.921	15.646
37.755	74.920	15.135
38.304	74.910	14.625
38.861	74.902	14.108
39.427	74.871	13.594
40.000	74.840	13.072
40.582	74.839	12.527
41.172	74.833	11.980
41.771	74.816	11.470
42.379	74.810	10.977
42.995	74.822	10.442
43.620	74.832	9.878
44.255	74.827	9.361
44.898	74.817	8.890
45.552	74.808	8.406
46.214	74.803	7.919
46.886	74.794	7.470
47.568	74.783	6.998
48.260	74.764	6.470
48.962	74.720	5.987
49.674	74.677	5.578
50.397	74.671	5.113
51.130	74.673	4.565
