* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 4, 2021 2:50:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZSN Pro X
* Measurement: Sep 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.5	37.8008
20.299999	101.5	37.1001
20.600000	101.5	36.4124
20.900000	101.5	35.7379
21.200001	101.6	35.0777
21.400000	101.6	34.6460
21.799999	101.6	33.8028
22.000000	101.6	33.3902
22.400000	101.6	32.5792
22.700001	101.7	31.9798
23.000000	101.7	31.3858
23.299999	101.7	30.7985
23.600000	101.7	30.2206
24.000000	101.7	29.4700
24.299999	101.7	28.9246
24.700001	101.8	28.2203
25.000000	101.8	27.7061
25.400000	101.8	27.0339
25.799999	101.8	26.3746
26.200001	101.8	25.7297
26.500000	101.8	25.2577
26.900000	101.8	24.6441
27.200001	101.8	24.1932
27.600000	101.8	23.5986
28.000000	101.8	23.0048
28.500000	101.8	22.2621
29.000000	101.9	21.5299
29.500000	101.9	20.8248
30.000000	101.9	20.1549
30.400000	101.9	19.6411
30.700001	101.9	19.2646
31.100000	101.9	18.7694
31.500000	101.9	18.2794
32.000000	101.9	17.6740
32.500000	101.9	17.0779
33.000000	101.9	16.4916
33.500000	101.9	15.9119
34.000000	101.9	15.3367
34.500000	101.9	14.7672
35.000000	101.9	14.2079
35.500000	101.9	13.6624
36.000000	101.9	13.1310
36.500000	101.9	12.6112
37.000000	101.9	12.1008
37.500000	101.9	11.5995
38.200001	101.9	10.9136
38.700001	101.9	10.4348
39.500000	101.9	9.6862
40.000000	101.8	9.2303
40.599998	101.8	8.6968
41.200001	101.8	8.1768
41.799999	101.8	7.6671
42.500000	101.8	7.0822
43.099998	101.8	6.5900
43.700001	101.8	6.1088
44.400002	101.8	5.5629
45.000000	101.8	5.1061
45.500000	101.7	4.7305
46.200001	101.7	4.2105
46.799999	101.7	3.7709
47.500000	101.7	3.2681
48.200001	101.7	2.7773
48.700001	101.7	2.4335
49.400002	101.7	1.9611
50.000000	101.6	1.5656
50.799999	101.6	1.0533
51.500000	101.6	0.6185
52.200001	101.6	0.1965
53.000000	101.6	-0.2658
53.799999	101.5	-0.7061
54.500000	101.5	-1.0796
55.200001	101.5	-1.4518
56.000000	101.5	-1.8862
57.000000	101.5	-2.4491
58.000000	101.4	-3.0205
59.000000	101.4	-3.5825
60.000000	101.4	-4.1250
60.799999	101.4	-4.5443
61.500000	101.3	-4.9022
62.200001	101.3	-5.2482
63.000000	101.3	-5.6205
64.000000	101.2	-6.0424
65.000000	101.2	-6.4155
66.000000	101.2	-6.7456
67.000000	101.1	-7.0415
68.000000	101.1	-7.3112
69.000000	101.1	-7.5660
70.000000	101.1	-7.8254
71.000000	101.1	-8.1090
72.000000	101.1	-8.4376
73.000000	101.1	-8.8230
74.000000	101.1	-9.2437
75.000000	101.0	-9.6655
76.199997	101.0	-10.1636
77.500000	101.0	-10.7085
78.800003	101.0	-11.2651
80.000000	100.9	-11.7892
81.199997	100.9	-12.3236
82.500000	100.9	-12.9101
83.800003	100.8	-13.4884
