* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 24, 2021 6:22:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZST
* Measurement: Jun 24 18:22:27
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	77.139	32.077
20.586	77.156	31.417
20.885	77.174	30.850
21.189	77.168	30.284
21.497	77.164	29.702
21.810	77.172	29.099
22.127	77.178	28.479
22.449	77.173	27.851
22.776	77.171	27.221
23.107	77.177	26.591
23.443	77.180	25.953
23.784	77.188	25.298
24.130	77.203	24.620
24.481	77.222	23.922
24.837	77.236	23.214
25.198	77.234	22.509
25.565	77.240	21.818
25.937	77.255	21.147
26.314	77.267	20.486
26.697	77.286	19.827
27.085	77.292	19.167
27.479	77.279	18.525
27.879	77.272	17.928
28.284	77.254	17.392
28.696	77.247	16.903
29.113	77.259	16.416
29.537	77.264	15.887
29.966	77.263	15.307
30.402	77.251	14.708
30.844	77.239	14.129
31.293	77.239	13.583
31.748	77.236	13.054
32.210	77.235	12.512
32.678	77.215	11.938
33.154	77.212	11.323
33.636	77.218	10.673
34.125	77.209	10.024
34.621	77.197	9.423
35.125	77.190	8.882
35.636	77.192	8.344
36.154	77.205	7.753
36.680	77.210	7.140
37.214	77.199	6.598
37.755	77.177	6.160
38.304	77.160	5.740
38.861	77.152	5.240
39.427	77.115	4.672
40.000	77.069	4.107
40.582	77.054	3.564
41.172	77.038	3.019
41.771	77.010	2.479
42.379	76.987	1.969
42.995	76.982	1.467
43.620	76.982	0.946
44.255	76.971	0.424
44.898	76.949	-0.071
45.552	76.927	-0.555
46.214	76.912	-1.046
46.886	76.891	-1.529
47.568	76.862	-1.998
48.260	76.834	-2.477
48.962	76.790	-2.970
49.674	76.736	-3.453
50.397	76.709	-3.928
51.130	76.696	-4.416
51.874	76.682	-4.907
52.628	76.660	-5.369
53.394	76.620	-5.817
54.170	76.586	-6.267
54.958	76.565	-6.685
55.758	76.547	-7.077
56.569	76.536	-7.538
57.391	76.514	-8.074
58.226	76.474	-8.598
59.073	76.433	-9.089
59.932	76.403	-9.547
60.804	76.373	-10.020
61.688	76.332	-10.548
62.586	76.291	-11.030
63.496	76.263	-11.464
64.420	76.231	-11.883
65.357	76.192	-12.282
66.307	76.150	-12.732
67.272	76.110	-13.174
68.250	76.077	-13.573
69.243	76.042	-14.011
70.250	75.995	-14.463
71.272	75.937	-14.884
72.309	75.876	-15.277
73.360	75.830	-15.653
74.427	75.811	-16.048
75.510	75.787	-16.507
76.608	75.739	-17.004
77.723	75.681	-17.404
78.853	75.651	-17.686
80.000	75.611	-18.165
81.164	75.575	-18.417
82.344	75.570	-19.129
83.542	75.467	-19.831
84.757	75.408	-20.175
85.990	75.347	-20.604
87.241	75.274	-21.068
88.510	75.189	-21.378
89.797	75.091	-21.618
91.103	75.056	-21.921
92.428	74.932	-22.391
93.773	74.924	-22.226
95.137	74.892	-23.054
96.520	74.764	-23.261
97.924	74.735	-23.150
99.349	74.696	-23.908
100.794	74.536	-24.561
102.260	74.466	-24.419
103.747	74.448	-24.753
105.256	74.425	-25.009
106.787	74.291	-25.108
108.340	74.225	-25.189
109.916	74.212	-25.651
111.515	74.196	-26.662
113.137	74.115	-27.110
114.783	73.946	-26.726
116.452	73.837	-27.180
118.146	73.835	-27.088
119.865	72.344	-27.535
121.608	73.738	-26.354
123.377	73.343	-28.547
125.171	73.370	-28.752
126.992	73.327	-28.124
128.839	73.261	-27.459
130.713	73.233	-27.789
132.615	73.082	-28.478
134.543	73.139	-28.106
136.500	73.025	-28.790
138.486	72.851	-28.618
140.500	72.794	-28.291
142.544	72.799	-29.042
144.617	72.832	-28.794
146.721	72.809	-28.280
148.855	72.945	-27.442
151.020	72.539	-28.257
153.217	72.223	-28.061
155.445	72.348	-30.138
157.706	72.441	-30.582
160.000	73.083	-29.225
162.327	72.407	-28.779
164.688	72.009	-28.439
167.084	71.969	-29.538
169.514	72.032	-30.659
171.980	71.882	-29.916
174.481	71.711	-30.020
177.019	71.615	-30.407
179.594	71.528	-30.532
182.206	71.481	-30.216
184.856	71.423	-30.005
187.545	71.394	-30.578
190.273	71.318	-30.773
193.041	71.266	-30.736
195.849	71.223	-30.741
198.697	71.129	-30.727
201.587	71.023	-30.795
204.520	70.961	-30.423
207.494	70.913	-30.618
210.512	70.806	-30.710
213.574	70.715	-30.859
216.681	70.619	-30.923
219.833	70.491	-30.760
223.030	70.418	-30.582
226.274	70.344	-30.419
229.565	70.262	-30.379
232.905	70.188	-30.503
236.292	70.121	-30.318
239.729	70.043	-30.314
243.216	69.963	-30.422
246.754	69.862	-30.475
250.343	69.735	-30.302
253.984	69.628	-30.236
257.678	69.532	-29.773
261.426	69.472	-29.583
265.229	69.388	-29.699
269.087	69.286	-29.624
273.001	69.156	-29.326
276.972	69.062	-28.951
281.000	68.944	-28.570
285.088	68.861	-28.060
289.234	68.853	-27.430
293.441	68.825	-27.437
297.710	68.747	-27.458
302.040	68.684	-27.383
306.433	68.608	-27.330
310.890	68.543	-27.143
315.412	68.465	-27.067
320.000	68.329	-26.949
324.655	68.244	-26.635
329.377	68.147	-26.287
334.168	68.056	-26.004
339.028	67.971	-25.674
343.959	67.864	-25.510
348.962	67.758	-25.143
354.038	67.688	-24.813
359.188	67.610	-24.420
364.412	67.523	-24.055
369.713	67.418	-23.638
375.090	67.322	-23.284
380.546	67.241	-22.806
386.081	67.152	-22.364
391.697	67.076	-21.947
397.395	66.984	-21.435
403.175	66.898	-20.923
409.039	66.826	-20.436
414.989	66.733	-20.006
421.025	66.625	-19.533
427.149	66.550	-18.934
433.362	66.488	-18.148
439.665	66.430	-17.743
446.060	66.338	-17.118
452.548	66.282	-16.367
459.131	66.277	-16.117
465.809	66.148	-15.808
472.584	66.050	-15.139
479.458	65.983	-14.405
486.432	65.944	-13.757
493.507	65.812	-13.579
500.686	65.731	-12.543
507.968	65.676	-11.739
515.357	65.616	-11.167
522.853	65.557	-10.496
530.458	65.432	-9.846
538.174	65.398	-8.834
546.002	65.327	-8.239
553.943	65.265	-7.288
562.001	65.219	-6.419
570.175	65.166	-5.709
578.469	65.086	-4.912
586.883	65.065	-3.971
595.419	64.947	-3.242
604.080	64.911	-2.141
612.866	64.880	-1.172
621.780	64.852	-0.379
630.824	64.726	0.505
640.000	64.772	1.828
649.309	64.695	2.737
658.753	64.646	3.946
668.335	64.725	5.166
678.056	64.710	5.814
687.919	64.695	6.837
697.925	64.658	7.490
708.076	64.613	8.634
718.376	64.615	9.592
728.825	64.601	10.488
739.426	64.527	11.306
750.181	64.446	12.897
761.093	64.453	14.452
772.163	64.471	15.817
783.394	64.503	17.141
794.789	64.527	18.294
806.349	64.531	19.726
818.078	64.601	21.031
829.977	64.659	22.751
842.050	64.756	23.335
854.297	64.779	24.531
866.724	64.872	25.402
879.330	64.864	26.903
892.120	64.954	28.161
905.097	64.998	29.108
918.262	65.093	30.499
931.618	65.142	31.848
945.169	65.270	33.074
958.917	65.346	34.358
972.864	65.423	35.347
987.015	65.547	36.667
1001.371	65.687	37.474
1015.937	65.783	39.024
1030.714	65.872	40.072
1045.706	66.073	41.625
1060.916	66.221	42.463
1076.347	66.371	43.164
1092.003	66.525	44.206
1107.887	66.668	45.025
1124.001	66.846	45.866
1140.350	67.005	46.724
1156.937	67.136	47.674
1173.765	67.306	48.332
1190.838	67.445	49.321
1208.159	67.678	50.677
1225.732	67.862	50.785
1243.561	68.077	51.214
1261.649	68.218	52.137
1280.000	68.382	52.397
1298.618	68.543	53.201
1317.507	68.724	54.068
1336.670	68.909	54.764
1356.113	69.076	55.210
1375.838	69.305	55.712
1395.850	69.433	56.449
1416.153	69.592	57.864
1436.751	69.875	58.355
1457.649	70.115	58.710
1478.851	70.369	59.350
1500.362	70.634	59.864
1522.185	70.918	60.374
1544.326	71.242	60.940
1566.789	71.543	61.496
1589.578	71.952	62.443
1612.699	72.284	63.045
1636.156	72.463	62.939
1659.955	72.529	63.009
1684.099	72.565	63.250
1708.595	72.666	63.516
1733.447	72.840	63.426
1758.661	73.064	63.212
1784.241	73.363	63.053
1810.193	73.755	63.706
1836.523	74.136	63.436
1863.236	74.533	63.121
1890.338	74.922	62.568
1917.833	75.314	61.971
1945.729	75.656	61.028
1974.030	76.089	60.645
2002.743	76.482	59.367
2031.873	76.882	57.901
2061.428	77.217	56.454
2091.412	77.611	54.777
2121.832	77.909	52.861
2152.695	78.173	50.219
2184.007	78.356	48.324
2215.774	78.605	46.065
2248.003	78.818	43.507
2280.701	78.956	40.763
2313.874	79.056	37.977
2347.530	79.085	35.890
2381.676	79.109	33.259
2416.318	79.113	30.970
2451.464	79.066	28.443
2487.122	78.947	26.286
2523.298	78.851	24.205
2560.000	78.602	22.565
2597.236	78.443	21.562
2635.014	78.280	20.681
2673.341	78.144	20.132
2712.226	77.956	19.670
2751.676	77.927	19.547
2791.700	77.877	19.330
2832.306	77.816	18.547
2873.503	77.758	18.431
2915.299	77.684	17.159
2957.703	77.592	17.338
3000.724	77.500	17.459
3044.370	77.445	17.572
3088.652	77.377	17.390
3133.577	77.372	17.866
3179.156	77.434	18.396
3225.398	77.493	18.749
3272.312	77.621	19.158
3319.909	77.692	19.016
3368.198	77.828	19.288
3417.190	77.993	19.512
3466.894	78.161	19.158
3517.321	78.310	19.212
3568.482	78.499	19.262
3620.387	78.703	19.017
3673.046	79.053	18.321
3726.472	79.304	17.345
3780.675	79.625	16.060
3835.666	79.992	13.843
3891.457	80.267	11.333
3948.060	80.501	8.771
4005.486	80.707	5.887
4063.747	80.881	1.795
4122.855	80.814	-1.746
4182.824	80.660	-4.925
4243.664	80.390	-8.488
4305.390	79.997	-10.670
4368.013	79.607	-12.638
4431.547	79.304	-13.045
4496.005	79.034	-14.024
4561.401	78.880	-14.375
4627.749	78.942	-15.809
4695.061	78.965	-18.368
4763.352	78.946	-22.057
4832.637	78.810	-26.677
4902.929	78.333	-32.172
4974.244	77.616	-36.500
5046.596	76.727	-39.964
5120.000	75.798	-41.454
5194.472	74.817	-40.961
5270.027	73.949	-39.998
5346.682	73.158	-37.945
5424.451	72.472	-35.992
5503.352	71.777	-33.616
5583.399	71.086	-30.231
5664.612	70.514	-27.137
5747.006	69.968	-23.577
5830.598	69.506	-20.090
5915.406	69.055	-16.807
6001.447	68.732	-12.826
6088.740	68.373	-8.902
6177.303	68.163	-4.896
6267.154	68.004	-0.838
6358.312	67.778	3.251
6450.796	67.654	7.226
6544.625	67.600	11.971
6639.818	67.619	16.283
6736.397	67.605	20.549
6834.380	67.687	24.786
6933.789	67.837	29.524
7034.643	68.098	33.924
7136.964	68.335	38.544
7240.773	68.632	42.800
7346.093	69.029	47.412
7452.944	69.574	51.468
7561.350	70.205	55.815
7671.332	70.819	59.495
7782.915	71.714	63.222
7896.120	72.624	66.013
8010.971	73.776	67.774
8127.493	75.038	69.251
8245.711	76.762	68.032
8365.647	78.725	63.032
8487.328	80.632	51.179
8610.779	81.751	32.239
8736.026	81.119	11.599
8863.095	79.310	-2.438
8992.011	77.362	-8.256
9122.803	75.727	-9.697
9255.497	74.408	-9.578
9390.121	73.308	-7.272
9526.704	72.510	-4.116
9665.273	71.865	-1.468
9805.857	71.446	1.813
9948.487	71.174	5.764
10093.191	71.102	8.540
10240.000	71.172	11.298
10388.944	71.523	13.665
10540.055	71.877	14.374
10693.363	72.403	13.736
10848.902	72.932	10.773
11006.703	73.339	5.457
11166.799	73.667	-0.869
11329.224	73.535	-9.242
11494.012	72.905	-16.459
11661.195	72.216	-22.551
11830.812	71.479	-27.240
12002.895	70.881	-30.507
12177.480	70.517	-34.365
12354.606	70.422	-39.612
12534.309	70.428	-48.930
12716.624	69.950	-62.222
12901.592	68.655	-78.915
13089.250	66.054	-92.955
13279.637	63.138	-100.853
13472.794	60.147	-104.522
13668.760	57.303	-104.959
13867.577	54.513	-103.709
14069.285	51.920	-100.786
14273.928	49.693	-97.395
14481.547	47.633	-93.540
14692.186	45.704	-91.282
14905.889	43.082	-89.341
15122.700	34.525	-82.463
15342.664	45.856	-1.838
15565.829	46.893	-28.229
15792.239	46.463	-34.528
16021.942	45.524	-39.445
16254.986	44.608	-39.986
16491.422	43.997	-37.920
16731.295	44.245	-34.090
16974.656	44.685	-28.886
17221.559	45.626	-24.480
17472.053	47.220	-20.211
17726.189	49.333	-19.998
17984.021	52.093	-25.854
18245.605	54.863	-44.865
18510.994	55.032	-76.858
18780.242	52.993	-96.296
19053.408	51.276	-107.838
19330.547	50.590	-121.203
19611.715	50.663	-149.682
19896.975	48.100	156.272
