* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 4, 2021 4:08:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZSTX
* Measurement: Sep 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.2	38.2858
20.299999	103.2	37.5872
20.600000	103.2	36.9007
20.900000	103.2	36.2266
21.200001	103.3	35.5656
21.400000	103.3	35.1325
21.799999	103.3	34.2844
22.000000	103.3	33.8690
22.400000	103.3	33.0538
22.700001	103.4	32.4545
23.000000	103.4	31.8640
23.299999	103.4	31.2819
23.600000	103.4	30.7084
24.000000	103.4	29.9583
24.299999	103.4	29.4078
24.700001	103.5	28.6915
25.000000	103.5	28.1677
25.400000	103.5	27.4868
25.799999	103.5	26.8239
26.200001	103.5	26.1759
26.500000	103.5	25.6975
26.900000	103.5	25.0677
27.200001	103.5	24.6008
27.600000	103.5	23.9866
28.000000	103.5	23.3850
28.500000	103.5	22.6559
29.000000	103.5	21.9536
29.500000	103.5	21.2746
30.000000	103.6	20.6135
30.400000	103.6	20.0959
30.700001	103.6	19.7144
31.100000	103.6	19.2145
31.500000	103.6	18.7236
32.000000	103.6	18.1200
32.500000	103.6	17.5249
33.000000	103.6	16.9371
33.500000	103.6	16.3571
34.000000	103.6	15.7856
34.500000	103.6	15.2237
35.000000	103.6	14.6725
35.500000	103.6	14.1337
36.000000	103.6	13.6080
36.500000	103.6	13.0950
37.000000	103.6	12.5926
37.500000	103.6	12.0981
38.200001	103.5	11.4148
38.700001	103.5	10.9327
39.500000	103.5	10.1782
40.000000	103.5	9.7197
40.599998	103.5	9.1813
41.200001	103.5	8.6532
41.799999	103.5	8.1356
42.500000	103.5	7.5472
43.099998	103.5	7.0560
43.700001	103.5	6.5760
44.400002	103.4	6.0302
45.000000	103.4	5.5732
45.500000	103.4	5.1988
46.200001	103.4	4.6837
46.799999	103.4	4.2516
47.500000	103.4	3.7600
48.200001	103.3	3.2807
48.700001	103.3	2.9442
49.400002	103.3	2.4796
50.000000	103.3	2.0870
50.799999	103.3	1.5721
51.500000	103.2	1.1304
52.200001	103.2	0.7013
53.000000	103.2	0.2325
53.799999	103.2	-0.2144
54.500000	103.1	-0.5945
55.200001	103.1	-0.9690
56.000000	103.1	-1.3920
