* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2023 1:15:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZVX Y1
* Measurement: KZ EDX Ultra Mar 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.245	23.1160
20.299999	107.243	22.3300
20.600000	107.235	21.5652
20.900000	107.223	20.8219
21.200001	107.210	20.0977
21.400000	107.202	19.6237
21.799999	107.190	18.6934
22.000000	107.185	18.2357
22.400000	107.179	17.3335
22.700001	107.175	16.6686
23.000000	107.172	16.0142
23.299999	107.170	15.3697
23.600000	107.167	14.7347
24.000000	107.163	13.9015
24.299999	107.158	13.2864
24.700001	107.148	12.4803
25.000000	107.138	11.8879
25.400000	107.121	11.1172
25.799999	107.104	10.3699
26.200001	107.086	9.6454
26.500000	107.073	9.1152
26.900000	107.053	8.4235
27.200001	107.036	7.9145
27.600000	107.012	7.2478
28.000000	106.986	6.5949
28.500000	106.955	5.7993
29.000000	106.925	5.0274
29.500000	106.896	4.2774
30.000000	106.866	3.5446
30.400000	106.843	2.9679
30.700001	106.825	2.5406
31.100000	106.803	1.9792
31.500000	106.779	1.4287
32.000000	106.747	0.7557
32.500000	106.713	0.0950
33.000000	106.679	-0.5618
33.500000	106.646	-1.2181
34.000000	106.613	-1.8693
34.500000	106.581	-2.5052
35.000000	106.549	-3.1190
35.500000	106.521	-3.7111
36.000000	106.495	-4.2867
36.500000	106.470	-4.8497
37.000000	106.443	-5.3993
37.500000	106.411	-5.9310
38.200001	106.356	-6.6428
38.700001	106.311	-7.1330
39.500000	106.232	-7.9019
40.000000	106.183	-8.3751
40.599998	106.127	-8.9333
41.200001	106.076	-9.4807
41.799999	106.028	-10.0200
42.500000	105.975	-10.6412
43.099998	105.932	-11.1630
43.700001	105.889	-11.6647
44.400002	105.837	-12.2107
45.000000	105.792	-12.6399
45.500000	105.755	-12.9766
46.200001	105.705	-13.4310
46.799999	105.661	-13.8101
47.500000	105.606	-14.2329
48.200001	105.548	-14.6387
48.700001	105.505	-14.9330
49.400002	105.443	-15.3652
50.000000	105.388	-15.7373
50.799999	105.319	-16.1909
51.500000	105.269	-16.5555
52.200001	105.228	-16.9411
53.000000	105.181	-17.4349
53.799999	105.128	-17.9492
54.500000	105.079	-18.3834
55.200001	105.029	-18.7915
56.000000	104.970	-19.2212
57.000000	104.894	-19.7172
58.000000	104.815	-20.2036
59.000000	104.731	-20.6843
60.000000	104.647	-21.1362
60.799999	104.584	-21.4716
61.500000	104.533	-21.7446
62.200001	104.484	-21.9889
63.000000	104.431	-22.2162
64.000000	104.366	-22.4104
65.000000	104.297	-22.5080
66.000000	104.219	-22.5229
67.000000	104.136	-22.4584
68.000000	104.066	-22.3517
69.000000	104.024	-22.4460
70.000000	103.977	-22.9169
71.000000	103.898	-23.5579
72.000000	103.813	-24.1320
73.000000	103.750	-24.6440
74.000000	103.710	-25.1496
75.000000	103.677	-25.6232
76.199997	103.633	-26.0803
77.500000	103.576	-26.4381
78.800003	103.510	-26.7234
80.000000	103.440	-26.9907
81.199997	103.364	-27.3002
82.500000	103.274	-27.6723
83.800003	103.181	-28.0227
85.000000	103.095	-28.2706
86.199997	103.019	-28.4544
87.500000	102.946	-28.6681
88.500000	102.890	-28.8630
90.000000	102.807	-29.1353
91.199997	102.753	-29.3219
92.500000	102.706	-29.5439
93.800003	102.655	-29.7932
95.000000	102.595	-30.0150
96.199997	102.523	-30.2189
97.500000	102.436	-30.4321
98.800003	102.350	-30.6383
100.000000	102.278	-30.8003
101.500000	102.203	-30.9265
103.000000	102.133	-30.9692
104.400002	102.054	-30.9888
106.000000	101.941	-31.0749
107.500000	101.829	-31.2693
109.000000	101.735	-31.5173
110.599998	101.663	-31.6519
112.000000	101.603	-31.5920
113.800003	101.468	-31.5172
115.000000	101.313	-31.7211
117.199997	100.895	-32.8617
118.000000	100.726	-33.2732
120.599998	100.482	-32.8231
122.000000	100.679	-32.0730
124.099998	101.085	-31.6901
125.000000	101.195	-31.6925
126.500000	101.248	-31.6857
