* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 15, 2022 1:17:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KiiBOOM Allure R
* Measurement: KiiBOOM Allure R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.373	-135.4726
20.299999	96.426	-136.2243
20.600000	96.477	-136.9628
20.900000	96.527	-137.6891
21.200001	96.575	-138.4044
21.400000	96.606	-138.8755
21.799999	96.665	-139.8037
22.000000	96.694	-140.2608
22.400000	96.749	-141.1608
22.700001	96.788	-141.8233
23.000000	96.826	-142.4754
23.299999	96.862	-143.1173
23.600000	96.897	-143.7493
24.000000	96.941	-144.5766
24.299999	96.972	-145.1855
24.700001	97.012	-145.9821
25.000000	97.040	-146.5684
25.400000	97.076	-147.3364
25.799999	97.110	-148.0901
26.200001	97.142	-148.8297
26.500000	97.163	-149.3743
26.900000	97.190	-150.0846
27.200001	97.209	-150.6037
27.600000	97.233	-151.2761
28.000000	97.257	-151.9270
28.500000	97.287	-152.7166
29.000000	97.317	-153.4904
29.500000	97.348	-154.2586
30.000000	97.378	-155.0261
30.400000	97.401	-155.6396
30.700001	97.417	-156.0986
31.100000	97.436	-156.7077
31.500000	97.454	-157.3117
32.000000	97.473	-158.0564
32.500000	97.490	-158.7861
33.000000	97.504	-159.4982
33.500000	97.515	-160.1937
34.000000	97.526	-160.8756
34.500000	97.534	-161.5466
35.000000	97.541	-162.2065
35.500000	97.546	-162.8531
36.000000	97.549	-163.4847
36.500000	97.551	-164.1020
37.000000	97.552	-164.7075
37.500000	97.553	-165.3031
38.200001	97.553	-166.1208
38.700001	97.551	-166.6923
39.500000	97.546	-167.5811
40.000000	97.543	-168.1192
40.599998	97.537	-168.7473
41.200001	97.531	-169.3581
41.799999	97.524	-169.9541
42.500000	97.515	-170.6342
43.099998	97.507	-171.2084
43.700001	97.497	-171.7773
44.400002	97.482	-172.4324
45.000000	97.468	-172.9827
45.500000	97.455	-173.4315
46.200001	97.436	-174.0450
46.799999	97.420	-174.5577
47.500000	97.401	-175.1422
48.200001	97.382	-175.7149
48.700001	97.369	-176.1163
49.400002	97.350	-176.6644
50.000000	97.334	-177.1198
50.799999	97.312	-177.7115
51.500000	97.292	-178.2212
52.200001	97.269	-178.7235
53.000000	97.241	-179.2824
53.799999	97.209	-179.8181
54.500000	97.182	179.7332
55.200001	97.155	179.2982
56.000000	97.128	178.8046
57.000000	97.097	178.1755
58.000000	97.065	177.5336
59.000000	97.029	176.9009
60.000000	96.988	176.2997
60.799999	96.954	175.8384
61.500000	96.923	175.4401
62.200001	96.891	175.0439
63.000000	96.852	174.5978
64.000000	96.803	174.0518
65.000000	96.756	173.5092
66.000000	96.708	172.9677
67.000000	96.658	172.4449
68.000000	96.599	171.9787
69.000000	96.536	171.6081
70.000000	96.471	171.3214
71.000000	96.407	171.0840
72.000000	96.346	170.8668
73.000000	96.291	170.6088
74.000000	96.240	170.2593
75.000000	96.184	169.8164
76.199997	96.100	169.2352
77.500000	95.989	168.7278
78.800003	95.874	168.4224
80.000000	95.769	168.2954
81.199997	95.666	168.3354
82.500000	95.572	168.5715
83.800003	95.514	168.9691
85.000000	95.507	169.3647
86.199997	95.535	169.6448
87.500000	95.572	169.7787
88.500000	95.592	169.8194
90.000000	95.612	169.8432
91.199997	95.633	169.7486
92.500000	95.661	169.3958
93.800003	95.681	168.7853
95.000000	95.686	168.1199
96.199997	95.679	167.5195
97.500000	95.667	167.0206
98.800003	95.650	166.6297
100.000000	95.626	166.3031
101.500000	95.582	165.8539
103.000000	95.524	165.3353
104.400002	95.470	164.8576
106.000000	95.415	164.4185
107.500000	95.361	164.1602
109.000000	95.295	164.0228
110.599998	95.214	163.8823
112.000000	95.154	163.6576
113.800003	95.141	163.2148
115.000000	95.193	162.8835
117.199997	95.388	162.3264
118.000000	95.463	162.1066
120.599998	95.500	161.2099
122.000000	95.351	160.9234
124.099998	95.063	160.7970
125.000000	94.957	160.7021
126.500000	94.818	160.4305
128.000000	94.720	160.1171
131.500000	94.571	159.5948
132.000000	94.551	159.5355
134.000000	94.472	159.2954
136.000000	94.400	159.0504
138.000000	94.331	158.8486
140.000000	94.256	158.7330
143.000000	94.132	158.5937
145.000000	94.048	158.4329
147.500000	93.942	158.2410
150.000000	93.832	158.1486
152.500000	93.723	158.1613
155.000000	93.626	158.2695
157.500000	93.530	158.3898
160.000000	93.416	158.4556
162.500000	93.310	158.4602
165.000000	93.255	158.3737
167.500000	93.232	158.1855
170.000000	93.195	158.0233
172.500000	93.135	157.9500
175.000000	93.067	157.9278
177.500000	92.999	157.9385
180.000000	92.934	157.9739
182.500000	92.869	158.0115
185.000000	92.803	158.0364
187.500000	92.737	158.0538
190.000000	92.672	158.0761
192.500000	92.605	158.1104
195.000000	92.538	158.1601
197.500000	92.471	158.2291
200.000000	92.405	158.3210
203.000000	92.330	158.4550
206.000000	92.260	158.5882
209.000000	92.195	158.6944
212.000000	92.127	158.7811
214.000000	92.080	158.8441
218.000000	91.983	159.0217
220.000000	91.937	159.1375
224.000000	91.853	159.3825
227.000000	91.795	159.5477
230.000000	91.739	159.6905
233.000000	91.684	159.8229
236.000000	91.629	159.9638
240.000000	91.556	160.1768
243.000000	91.500	160.3445
247.000000	91.421	160.5806
250.000000	91.362	160.7863
254.000000	91.287	161.1131
258.000000	91.225	161.4596
262.000000	91.171	161.7554
265.000000	91.130	161.9415
269.000000	91.070	162.1863
272.000000	91.025	162.3902
276.000000	90.966	162.6922
280.000000	90.915	163.0136
285.000000	90.861	163.4057
290.000000	90.817	163.7208
295.000000	90.767	163.9454
300.000000	90.705	164.1660
304.000000	90.652	164.3778
307.000000	90.613	164.5533
311.000000	90.561	164.7960
315.000000	90.511	165.0416
320.000000	90.446	165.3679
325.000000	90.383	165.7352
330.000000	90.326	166.1265
335.000000	90.276	166.5104
340.000000	90.228	166.8736
345.000000	90.180	167.2256
350.000000	90.131	167.5840
355.000000	90.083	167.9532
360.000000	90.037	168.3273
365.000000	89.992	168.7033
370.000000	89.950	169.0828
375.000000	89.908	169.4671
382.000000	89.853	170.0099
387.000000	89.816	170.3990
395.000000	89.759	171.0257
400.000000	89.726	171.4183
406.000000	89.689	171.8828
412.000000	89.652	172.3371
