* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2022 11:23:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kiiboom Evoke R
* Measurement: Kiiboom Evoke R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.363	-166.2160
20.299999	100.369	-166.9664
20.600000	100.374	-167.7047
20.900000	100.377	-168.4296
21.200001	100.379	-169.1399
21.400000	100.380	-169.6050
21.799999	100.380	-170.5160
22.000000	100.380	-170.9626
22.400000	100.378	-171.8400
22.700001	100.376	-172.4855
23.000000	100.372	-173.1209
23.299999	100.368	-173.7455
23.600000	100.362	-174.3586
24.000000	100.353	-175.1570
24.299999	100.346	-175.7413
24.700001	100.335	-176.5027
25.000000	100.326	-177.0627
25.400000	100.315	-177.7983
25.799999	100.303	-178.5246
26.200001	100.290	-179.2431
26.500000	100.279	-179.7766
26.900000	100.264	179.5212
27.200001	100.252	179.0026
27.600000	100.234	178.3231
28.000000	100.216	177.6579
28.500000	100.192	176.8456
29.000000	100.169	176.0518
29.500000	100.145	175.2735
30.000000	100.120	174.5089
30.400000	100.100	173.9079
30.700001	100.083	173.4644
31.100000	100.061	172.8846
31.500000	100.038	172.3185
32.000000	100.009	171.6293
32.500000	99.980	170.9567
33.000000	99.951	170.2955
33.500000	99.922	169.6425
34.000000	99.891	168.9970
34.500000	99.859	168.3604
35.000000	99.826	167.7347
35.500000	99.792	167.1212
36.000000	99.758	166.5194
36.500000	99.723	165.9276
37.000000	99.688	165.3439
37.500000	99.652	164.7686
38.200001	99.600	163.9833
38.700001	99.562	163.4414
39.500000	99.502	162.6072
40.000000	99.465	162.1022
40.599998	99.422	161.5088
41.200001	99.378	160.9273
41.799999	99.335	160.3559
42.500000	99.284	159.6996
43.099998	99.240	159.1458
43.700001	99.195	158.6017
44.400002	99.141	157.9820
45.000000	99.094	157.4648
45.500000	99.055	157.0428
46.200001	99.001	156.4622
46.799999	98.955	155.9713
47.500000	98.901	155.4061
48.200001	98.846	154.8524
48.700001	98.807	154.4662
49.400002	98.752	153.9391
50.000000	98.706	153.4985
50.799999	98.644	152.9235
51.500000	98.591	152.4330
52.200001	98.537	151.9602
53.000000	98.476	151.4433
