* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 4, 2022 9:48:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kinera Nanna R
* Measurement: Kinera Nanna R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.538	11.5530
20.299999	96.542	10.9314
20.600000	96.543	10.3240
20.900000	96.544	9.7360
21.200001	96.545	9.1680
21.400000	96.547	8.7976
21.799999	96.552	8.0696
22.000000	96.555	7.7089
22.400000	96.561	6.9904
22.700001	96.564	6.4563
23.000000	96.567	5.9301
23.299999	96.568	5.4142
23.600000	96.569	4.9087
24.000000	96.569	4.2476
24.299999	96.568	3.7578
24.700001	96.566	3.1106
25.000000	96.563	2.6306
25.400000	96.558	2.0017
25.799999	96.552	1.3893
26.200001	96.546	0.7926
26.500000	96.542	0.3524
26.900000	96.537	-0.2294
27.200001	96.533	-0.6638
27.600000	96.527	-1.2404
28.000000	96.520	-1.8107
28.500000	96.510	-2.5095
29.000000	96.501	-3.1918
29.500000	96.492	-3.8635
30.000000	96.485	-4.5322
30.400000	96.479	-5.0665
30.700001	96.474	-5.4656
31.100000	96.467	-5.9924
31.500000	96.460	-6.5104
32.000000	96.450	-7.1428
32.500000	96.441	-7.7612
33.000000	96.433	-8.3723
33.500000	96.425	-8.9817
34.000000	96.416	-9.5906
34.500000	96.406	-10.1947
35.000000	96.394	-10.7876
35.500000	96.381	-11.3652
36.000000	96.367	-11.9287
36.500000	96.353	-12.4825
37.000000	96.339	-13.0306
37.500000	96.325	-13.5746
38.200001	96.304	-14.3273
38.700001	96.288	-14.8571
39.500000	96.263	-15.6904
40.000000	96.248	-16.2034
40.599998	96.231	-16.8136
41.200001	96.213	-17.4186
41.799999	96.195	-18.0130
42.500000	96.175	-18.6847
43.099998	96.159	-19.2439
43.700001	96.143	-19.7963
44.400002	96.123	-20.4335
45.000000	96.105	-20.9650
45.500000	96.088	-21.3950
46.200001	96.065	-21.9861
46.799999	96.043	-22.4934
47.500000	96.015	-23.0881
48.200001	95.984	-23.6727
48.700001	95.961	-24.0779
49.400002	95.932	-24.6364
50.000000	95.912	-25.1308
50.799999	95.887	-25.8424
51.500000	95.861	-26.5017
52.200001	95.831	-27.1500
53.000000	95.794	-27.8252
53.799999	95.765	-28.4204
54.500000	95.752	-28.9150
55.200001	95.746	-29.4299
56.000000	95.741	-30.0544
57.000000	95.728	-30.8485
58.000000	95.708	-31.6328
59.000000	95.681	-32.4071
60.000000	95.644	-33.1448
60.799999	95.612	-33.6909
61.500000	95.586	-34.1458
62.200001	95.563	-34.6010
63.000000	95.537	-35.1434
64.000000	95.504	-35.8585
65.000000	95.466	-36.5959
66.000000	95.426	-37.3441
67.000000	95.385	-38.0814
68.000000	95.348	-38.7852
69.000000	95.322	-39.4791
70.000000	95.300	-40.1842
71.000000	95.275	-40.8873
72.000000	95.242	-41.5547
73.000000	95.199	-42.1362
74.000000	95.156	-42.6344
75.000000	95.118	-43.1136
76.199997	95.077	-43.7340
77.500000	95.030	-44.4777
78.800003	94.983	-45.2682
80.000000	94.940	-46.0264
81.199997	94.900	-46.8302
82.500000	94.856	-47.7659
83.800003	94.803	-48.7136
85.000000	94.749	-49.5048
86.199997	94.697	-50.1808
87.500000	94.646	-50.8235
88.500000	94.607	-51.2993
90.000000	94.536	-52.0303
91.199997	94.471	-52.6040
92.500000	94.406	-53.2092
93.800003	94.351	-53.8169
95.000000	94.299	-54.3317
96.199997	94.235	-54.7212
97.500000	94.155	-54.9684
98.800003	94.072	-55.0993
100.000000	94.006	-55.2030
101.500000	93.956	-55.3566
103.000000	93.953	-55.4888
104.400002	93.977	-55.5240
106.000000	93.995	-55.4553
107.500000	93.994	-55.4191
109.000000	94.011	-55.7827
110.599998	94.078	-56.8395
112.000000	94.182	-57.9827
113.800003	94.327	-58.7178
115.000000	94.389	-58.2057
117.199997	94.415	-54.9697
118.000000	94.436	-53.5178
120.599998	94.553	-52.9811
122.000000	94.453	-56.4037
124.099998	94.072	-62.4532
125.000000	93.918	-64.2594
126.500000	93.758	-65.8248
128.000000	93.705	-66.1263
131.500000	93.654	-66.4161
132.000000	93.643	-66.6501
134.000000	93.605	-67.9746
136.000000	93.598	-69.3149
138.000000	93.624	-70.2454
140.000000	93.650	-71.0111
143.000000	93.637	-72.4203
145.000000	93.608	-73.4656
147.500000	93.567	-74.7103
150.000000	93.517	-75.8701
152.500000	93.454	-77.0051
155.000000	93.381	-78.0576
157.500000	93.312	-78.9604
160.000000	93.249	-79.7636
162.500000	93.187	-80.5598
165.000000	93.124	-81.3873
167.500000	93.062	-82.1993
170.000000	93.007	-82.9659
172.500000	92.951	-83.7008
175.000000	92.888	-84.3978
177.500000	92.825	-85.0648
180.000000	92.769	-85.7397
182.500000	92.720	-86.4377
185.000000	92.672	-87.1417
187.500000	92.624	-87.8316
190.000000	92.577	-88.4992
192.500000	92.533	-89.1337
195.000000	92.493	-89.7323
197.500000	92.457	-90.3335
200.000000	92.416	-90.9576
203.000000	92.353	-91.6923
206.000000	92.278	-92.3748
209.000000	92.199	-93.0073
212.000000	92.128	-93.5682
214.000000	92.088	-93.8901
218.000000	92.013	-94.3846
220.000000	91.975	-94.5552
224.000000	91.915	-94.7509
227.000000	91.893	-94.7866
230.000000	91.899	-94.8116
233.000000	91.936	-94.9708
236.000000	91.999	-95.3694
240.000000	92.093	-96.2880
243.000000	92.143	-97.1915
247.000000	92.164	-98.4984
250.000000	92.149	-99.4323
254.000000	92.107	-100.5194
258.000000	92.062	-101.4510
262.000000	92.020	-102.3207
265.000000	91.988	-102.9546
269.000000	91.942	-103.7474
272.000000	91.908	-104.2864
276.000000	91.867	-104.9387
280.000000	91.833	-105.5416
285.000000	91.802	-106.2768
290.000000	91.781	-107.0658
295.000000	91.756	-107.9169
300.000000	91.719	-108.7426
304.000000	91.685	-109.3506
307.000000	91.661	-109.7815
311.000000	91.629	-110.3364
315.000000	91.597	-110.8752
320.000000	91.555	-111.5122
325.000000	91.515	-112.0929
330.000000	91.480	-112.6354
335.000000	91.451	-113.1691
340.000000	91.423	-113.7065
345.000000	91.394	-114.2404
350.000000	91.364	-114.7578
355.000000	91.334	-115.2545
360.000000	91.306	-115.7325
365.000000	91.279	-116.1942
370.000000	91.253	-116.6398
375.000000	91.228	-117.0694
382.000000	91.195	-117.6458
387.000000	91.173	-118.0413
395.000000	91.140	-118.6488
400.000000	91.121	-119.0149
406.000000	91.100	-119.4473
412.000000	91.079	-119.8741
418.000000	91.056	-120.2795
425.000000	91.030	-120.7028
431.000000	91.013	-121.0316
437.000000	91.002	-121.3553
444.000000	90.995	-121.7450
450.000000	90.991	-122.1063
455.000000	90.988	-122.4432
462.000000	90.975	-122.9543
468.000000	90.954	-123.3737
475.000000	90.923	-123.8009
482.000000	90.892	-124.1814
487.000000	90.869	-124.4396
494.000000	90.832	-124.7668
500.000000	90.801	-125.0009
508.000000	90.762	-125.2750
515.000000	90.729	-125.5040
522.000000	90.692	-125.7064
530.000000	90.646	-125.8666
538.000000	90.603	-125.9429
545.000000	90.569	-125.9539
552.000000	90.541	-125.9169
560.000000	90.518	-125.8312
570.000000	90.502	-125.6908
580.000000	90.498	-125.5272
590.000000	90.505	-125.3633
600.000000	90.522	-125.2124
608.000000	90.543	-125.1169
615.000000	90.562	-125.0592
622.000000	90.580	-125.0110
630.000000	90.599	-124.9417
640.000000	90.629	-124.8327
650.000000	90.665	-124.7197
660.000000	90.709	-124.6237
670.000000	90.758	-124.5968
680.000000	90.801	-124.6394
690.000000	90.832	-124.6901
700.000000	90.857	-124.7015
710.000000	90.880	-124.6639
720.000000	90.906	-124.5977
730.000000	90.933	-124.5135
740.000000	90.960	-124.4091
750.000000	90.989	-124.2826
762.000000	91.026	-124.1030
775.000000	91.071	-123.8806
788.000000	91.120	-123.6345
800.000000	91.171	-123.3748
812.000000	91.232	-123.0884
825.000000	91.313	-122.8130
838.000000	91.399	-122.6376
850.000000	91.472	-122.5372
862.000000	91.538	-122.4386
875.000000	91.606	-122.3024
885.000000	91.660	-122.1769
900.000000	91.743	-121.9770
912.000000	91.813	-121.8091
925.000000	91.893	-121.6252
938.000000	91.978	-121.4603
950.000000	92.059	-121.3367
962.000000	92.141	-121.2344
975.000000	92.228	-121.1331
988.000000	92.314	-121.0327
1000.000000	92.394	-120.9320
1015.000000	92.496	-120.7770
1030.000000	92.606	-120.6067
1044.000000	92.718	-120.4906
1060.000000	92.845	-120.4551
1075.000000	92.953	-120.4702
1090.000000	93.050	-120.4583
1106.000000	93.147	-120.3695
1120.000000	93.232	-120.2034
1138.000000	93.350	-119.8427
1150.000000	93.443	-119.5131
1172.000000	93.665	-118.8023
1180.000000	93.766	-118.5486
1206.000000	94.171	-118.0471
1220.000000	94.414	-118.1401
1241.000000	94.761	-118.7958
1250.000000	94.894	-119.2222
1265.000000	95.091	-120.0491
1280.000000	95.256	-120.9476
1315.000000	95.549	-123.0014
1320.000000	95.584	-123.2768
1340.000000	95.710	-124.3241
1360.000000	95.825	-125.2704
1380.000000	95.936	-126.0953
1400.000000	96.051	-126.7935
1430.000000	96.246	-127.7375
1450.000000	96.381	-128.4110
1475.000000	96.542	-129.3036
1500.000000	96.685	-130.2056
1525.000000	96.805	-131.0872
1550.000000	96.903	-131.9333
1575.000000	96.993	-132.7695
1600.000000	97.081	-133.6943
1625.000000	97.157	-134.7569
1650.000000	97.207	-135.8932
1675.000000	97.231	-137.0089
1700.000000	97.231	-138.0232
1725.000000	97.216	-138.8730
1750.000000	97.194	-139.5121
1775.000000	97.187	-139.9522
1800.000000	97.211	-140.3082
1825.000000	97.266	-140.7543
1850.000000	97.333	-141.3851
1875.000000	97.397	-142.1868
1900.000000	97.452	-143.0933
1925.000000	97.501	-144.0301
1950.000000	97.551	-144.9515
1975.000000	97.608	-145.8731
2000.000000	97.665	-146.8365
2030.000000	97.721	-148.0554
2060.000000	97.757	-149.3010
2090.000000	97.770	-150.5229
2120.000000	97.760	-151.6693
2140.000000	97.743	-152.3572
2180.000000	97.704	-153.5080
2200.000000	97.691	-154.0140
2240.000000	97.684	-155.0676
2270.000000	97.680	-155.9706
2300.000000	97.663	-156.9535
2330.000000	97.629	-157.9489
2360.000000	97.579	-158.9127
2400.000000	97.493	-160.1215
2430.000000	97.414	-160.9352
2470.000000	97.303	-161.8690
2500.000000	97.222	-162.4891
2540.000000	97.118	-163.2710
2580.000000	97.016	-164.0514
2620.000000	96.905	-164.8604
2650.000000	96.806	-165.4460
2690.000000	96.651	-166.0856
2720.000000	96.528	-166.4045
2760.000000	96.371	-166.6423
2800.000000	96.230	-166.7672
2850.000000	96.064	-166.8624
2900.000000	95.892	-166.8621
2950.000000	95.711	-166.6041
3000.000000	95.545	-166.0006
3040.000000	95.443	-165.3169
3070.000000	95.388	-164.7239
3110.000000	95.352	-163.8862
3150.000000	95.357	-163.1042
3200.000000	95.405	-162.3818
3250.000000	95.459	-162.0029
3300.000000	95.485	-161.8396
3350.000000	95.478	-161.6575
3400.000000	95.456	-161.3140
3450.000000	95.440	-160.7833
3500.000000	95.442	-160.0666
3550.000000	95.477	-159.2151
3600.000000	95.549	-158.3331
3650.000000	95.651	-157.5055
3700.000000	95.772	-156.7536
3750.000000	95.909	-156.0557
3820.000000	96.122	-155.1719
3870.000000	96.284	-154.5869
3950.000000	96.578	-153.6323
4000.000000	96.801	-153.0654
4060.000000	97.114	-152.5389
4120.000000	97.471	-152.2687
4180.000000	97.862	-152.3171
4250.000000	98.348	-152.8445
4310.000000	98.781	-153.7080
4370.000000	99.230	-154.9995
