* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 11, 2023 12:19:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kiwi Ears Orchestra Lite L
* Measurement: Kiwi Ears Orchestra Lite L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.176	39.3700
20.299999	105.216	38.6606
20.600000	105.254	37.9630
20.900000	105.292	37.2777
21.200001	105.328	36.6053
21.400000	105.352	36.1641
21.799999	105.400	35.2987
22.000000	105.423	34.8745
22.400000	105.469	34.0430
22.700001	105.502	33.4346
23.000000	105.534	32.8396
23.299999	105.566	32.2587
23.600000	105.596	31.6919
24.000000	105.635	30.9579
24.299999	105.663	30.4232
24.700001	105.699	29.7300
25.000000	105.724	29.2242
25.400000	105.756	28.5675
25.799999	105.785	27.9280
26.200001	105.813	27.2999
26.500000	105.833	26.8328
26.900000	105.856	26.2139
27.200001	105.870	25.7554
27.600000	105.887	25.1588
28.000000	105.901	24.5862
28.500000	105.919	23.8980
29.000000	105.940	23.2094
29.500000	105.958	22.4953
30.000000	105.969	21.7767
30.400000	105.972	21.2381
30.700001	105.974	20.8714
31.100000	105.979	20.4302
31.500000	105.993	20.0165
32.000000	106.022	19.4777
32.500000	106.055	18.8736
33.000000	106.082	18.2240
33.500000	106.100	17.5814
34.000000	106.114	16.9808
34.500000	106.129	16.4165
35.000000	106.144	15.8672
35.500000	106.159	15.3218
36.000000	106.171	14.7838
36.500000	106.182	14.2571
37.000000	106.192	13.7399
37.500000	106.199	13.2289
38.200001	106.206	12.5269
38.700001	106.209	12.0387
39.500000	106.213	11.2753
40.000000	106.214	10.8042
40.599998	106.214	10.2457
41.200001	106.213	9.6995
41.799999	106.212	9.1652
42.500000	106.209	8.5517
43.099998	106.206	8.0371
43.700001	106.201	7.5438
44.400002	106.195	6.9999
45.000000	106.192	6.5508
45.500000	106.190	6.1795
46.200001	106.186	5.6607
46.799999	106.182	5.2211
47.500000	106.174	4.7189
48.200001	106.164	4.2295
48.700001	106.156	3.8883
49.400002	106.144	3.4226
50.000000	106.134	3.0327
50.799999	106.120	2.5211
51.500000	106.109	2.0790
52.200001	106.097	1.6440
53.000000	106.084	1.1590
53.799999	106.071	0.6876
54.500000	106.061	0.2865
55.200001	106.051	-0.1051
