* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 23, 2022 11:55:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kiwiears Cadenza L
* Measurement: Kiwiears Cadenza L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.679	11.4846
20.299999	96.672	10.7634
20.600000	96.657	10.1031
20.900000	96.638	9.5189
21.200001	96.620	9.0058
21.400000	96.610	8.6898
21.799999	96.596	8.0908
22.000000	96.592	7.7943
22.400000	96.587	7.1888
22.700001	96.584	6.7205
23.000000	96.582	6.2378
23.299999	96.581	5.7334
23.600000	96.578	5.1981
24.000000	96.570	4.4291
24.299999	96.557	3.8223
24.700001	96.525	3.0156
25.000000	96.492	2.4531
25.400000	96.444	1.7988
25.799999	96.402	1.2492
26.200001	96.373	0.7456
26.500000	96.361	0.3523
26.900000	96.349	-0.2271
27.200001	96.337	-0.6998
27.600000	96.314	-1.3468
28.000000	96.282	-1.9606
28.500000	96.235	-2.6353
29.000000	96.193	-3.2203
29.500000	96.156	-3.7596
30.000000	96.125	-4.2811
30.400000	96.103	-4.6921
30.700001	96.088	-5.0016
31.100000	96.070	-5.4277
31.500000	96.053	-5.8789
32.000000	96.026	-6.4742
32.500000	95.992	-7.0724
33.000000	95.951	-7.6357
33.500000	95.909	-8.1553
34.000000	95.870	-8.6495
34.500000	95.833	-9.1425
35.000000	95.798	-9.6531
35.500000	95.761	-10.1976
36.000000	95.717	-10.7739
36.500000	95.662	-11.3462
37.000000	95.598	-11.8618
37.500000	95.536	-12.3096
38.200001	95.462	-12.9216
38.700001	95.413	-13.4053
39.500000	95.330	-14.1537
40.000000	95.288	-14.5564
40.599998	95.262	-15.0776
41.200001	95.241	-15.7574
41.799999	95.196	-16.4833
42.500000	95.111	-17.0476
43.099998	95.045	-17.1445
43.700001	95.015	-16.9698
44.400002	95.038	-16.6191
45.000000	95.103	-16.3746
45.500000	95.175	-16.3347
46.200001	95.273	-16.6317
46.799999	95.321	-17.1980
47.500000	95.307	-18.0604
48.200001	95.213	-18.8552
48.700001	95.114	-19.2392
49.400002	94.976	-19.5553
50.000000	94.877	-19.8517
50.799999	94.738	-20.4824
51.500000	94.579	-21.0135
52.200001	94.414	-21.2650
53.000000	94.273	-21.3203
53.799999	94.191	-21.4222
54.500000	94.144	-21.6344
55.200001	94.105	-21.9501
56.000000	94.055	-22.4012
57.000000	93.975	-23.0079
58.000000	93.876	-23.6268
