* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 23, 2022 11:55:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kiwiears Cadenza R
* Measurement: Kiwiears Cadenza R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.875	19.8452
20.299999	95.884	18.9761
20.600000	95.874	18.0983
20.900000	95.844	17.2815
21.200001	95.801	16.5897
21.400000	95.771	16.2125
21.799999	95.722	15.6321
22.000000	95.707	15.4002
22.400000	95.705	14.9647
22.700001	95.722	14.5924
23.000000	95.749	14.1367
23.299999	95.776	13.5984
23.600000	95.799	13.0015
24.000000	95.820	12.1693
24.299999	95.829	11.5587
24.700001	95.840	10.7855
25.000000	95.850	10.2247
25.400000	95.868	9.4650
25.799999	95.883	8.6526
26.200001	95.886	7.7953
26.500000	95.874	7.1642
26.900000	95.840	6.4124
27.200001	95.807	5.9610
27.600000	95.764	5.5270
28.000000	95.737	5.2319
28.500000	95.733	4.8946
29.000000	95.749	4.4250
29.500000	95.757	3.8011
30.000000	95.743	3.1379
30.400000	95.720	2.6620
30.700001	95.703	2.3511
31.100000	95.685	1.9734
31.500000	95.676	1.5907
32.000000	95.674	1.0349
32.500000	95.669	0.3690
33.000000	95.650	-0.3580
33.500000	95.617	-1.0737
34.000000	95.576	-1.7375
34.500000	95.533	-2.3605
35.000000	95.487	-2.9629
35.500000	95.436	-3.5299
36.000000	95.382	-4.0220
36.500000	95.335	-4.4330
37.000000	95.303	-4.8273
37.500000	95.285	-5.2947
38.200001	95.255	-6.1216
38.700001	95.214	-6.7360
39.500000	95.133	-7.4642
40.000000	95.099	-7.7388
40.599998	95.090	-8.0221
41.200001	95.102	-8.3976
41.799999	95.112	-8.8658
42.500000	95.105	-9.4070
43.099998	95.082	-9.8066
43.700001	95.043	-10.1425
44.400002	94.969	-10.3907
45.000000	94.891	-10.4170
45.500000	94.832	-10.3507
46.200001	94.764	-10.3061
46.799999	94.703	-10.4236
47.500000	94.614	-10.6675
48.200001	94.523	-10.9034
48.700001	94.476	-11.1079
49.400002	94.442	-11.6182
50.000000	94.422	-12.3277
50.799999	94.379	-13.4895
51.500000	94.327	-14.4771
52.200001	94.272	-15.3253
53.000000	94.212	-16.0521
53.799999	94.164	-16.4721
54.500000	94.142	-16.6653
55.200001	94.129	-16.8062
56.000000	94.111	-16.9460
57.000000	94.080	-17.1276
58.000000	94.036	-17.4576
59.000000	93.964	-17.9410
60.000000	93.874	-18.3929
60.799999	93.815	-18.6782
61.500000	93.786	-18.9397
62.200001	93.771	-19.2745
63.000000	93.753	-19.7231
64.000000	93.721	-20.2491
65.000000	93.678	-20.6839
66.000000	93.617	-21.0267
67.000000	93.538	-21.2238
68.000000	93.458	-21.3245
69.000000	93.382	-21.4460
70.000000	93.307	-21.6211
71.000000	93.233	-21.8204
72.000000	93.169	-22.0456
73.000000	93.111	-22.3126
74.000000	93.056	-22.5804
75.000000	93.006	-22.8178
76.199997	92.952	-23.1028
77.500000	92.887	-23.4065
78.800003	92.816	-23.6548
80.000000	92.750	-23.8976
81.199997	92.673	-24.1964
82.500000	92.577	-24.5183
83.800003	92.481	-24.8052
85.000000	92.400	-25.0748
86.199997	92.323	-25.3621
87.500000	92.237	-25.6254
88.500000	92.173	-25.7690
90.000000	92.083	-25.9659
91.199997	92.009	-26.1169
92.500000	91.929	-26.2290
93.800003	91.860	-26.2979
95.000000	91.807	-26.3503
