* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2022 11:40:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: D13 Silver L
* Measurement: D13 Silver L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	111.491	-155.8996
20.299999	111.496	-156.5496
20.600000	111.501	-157.1892
20.900000	111.504	-157.8165
21.200001	111.506	-158.4298
21.400000	111.508	-158.8306
21.799999	111.510	-159.6133
22.000000	111.511	-159.9956
22.400000	111.513	-160.7434
22.700001	111.515	-161.2902
23.000000	111.517	-161.8261
23.299999	111.519	-162.3524
23.600000	111.521	-162.8703
24.000000	111.523	-163.5496
24.299999	111.525	-164.0509
24.700001	111.526	-164.7075
25.000000	111.526	-165.1903
25.400000	111.525	-165.8215
25.799999	111.524	-166.4408
26.200001	111.521	-167.0505
26.500000	111.517	-167.5010
26.900000	111.509	-168.0882
27.200001	111.502	-168.5138
27.600000	111.490	-169.0553
28.000000	111.477	-169.5636
28.500000	111.463	-170.1574
29.000000	111.453	-170.7220
29.500000	111.448	-171.2786
30.000000	111.445	-171.8454
30.400000	111.444	-172.3115
30.700001	111.443	-172.6679
31.100000	111.439	-173.1475
31.500000	111.434	-173.6263
32.000000	111.426	-174.2157
32.500000	111.416	-174.7918
33.000000	111.406	-175.3569
33.500000	111.395	-175.9133
34.000000	111.383	-176.4594
34.500000	111.369	-176.9915
35.000000	111.355	-177.5081
35.500000	111.340	-178.0114
36.000000	111.325	-178.5048
36.500000	111.309	-178.9896
37.000000	111.292	-179.4649
37.500000	111.274	-179.9288
38.200001	111.247	179.4426
38.700001	111.227	179.0081
39.500000	111.194	178.3350
40.000000	111.173	177.9265
40.599998	111.147	177.4476
41.200001	111.121	176.9800
41.799999	111.095	176.5234
42.500000	111.065	176.0046
43.099998	111.038	175.5719
43.700001	111.012	175.1494
44.400002	110.980	174.6670
45.000000	110.952	174.2619
45.500000	110.928	173.9316
46.200001	110.893	173.4825
46.799999	110.862	173.1103
47.500000	110.825	172.6877
48.200001	110.787	172.2742
48.700001	110.759	171.9839
49.400002	110.719	171.5856
50.000000	110.683	171.2531
50.799999	110.636	170.8248
51.500000	110.594	170.4644
52.200001	110.552	170.1168
53.000000	110.504	169.7382
53.799999	110.457	169.3854
54.500000	110.417	169.0992
55.200001	110.378	168.8320
56.000000	110.337	168.5459
57.000000	110.289	168.2076
58.000000	110.245	167.8794
59.000000	110.205	167.5475
60.000000	110.169	167.1916
60.799999	110.140	166.8840
61.500000	110.113	166.6031
62.200001	110.084	166.3178
63.000000	110.049	165.9944
64.000000	110.003	165.6063
65.000000	109.954	165.2479
66.000000	109.906	164.9210
67.000000	109.860	164.6161
68.000000	109.816	164.3228
69.000000	109.775	164.0338
70.000000	109.734	163.7431
71.000000	109.695	163.4462
72.000000	109.656	163.1420
73.000000	109.616	162.8353
74.000000	109.575	162.5317
75.000000	109.534	162.2291
76.199997	109.484	161.8599
77.500000	109.428	161.4590
78.800003	109.371	161.0640
80.000000	109.317	160.6965
81.199997	109.263	160.3180
82.500000	109.200	159.8988
83.800003	109.130	159.4872
85.000000	109.061	159.1344
86.199997	108.988	158.8226
87.500000	108.907	158.5350
88.500000	108.845	158.3448
90.000000	108.755	158.0952
91.199997	108.686	157.9125
92.500000	108.614	157.7224
93.800003	108.544	157.5383
95.000000	108.481	157.3763
96.199997	108.418	157.2262
97.500000	108.350	157.0807
98.800003	108.279	156.9549
100.000000	108.212	156.8568
101.500000	108.126	156.7598
103.000000	108.043	156.6908
104.400002	107.971	156.6556
106.000000	107.894	156.6611
107.500000	107.828	156.7100
109.000000	107.768	156.7789
110.599998	107.711	156.8330
112.000000	107.670	156.8366
113.800003	107.630	156.7995
115.000000	107.609	156.7919
117.199997	107.578	156.8992
118.000000	107.568	156.9581
120.599998	107.513	156.9323
122.000000	107.450	156.7700
124.099998	107.337	156.5078
125.000000	107.293	156.4003
126.500000	107.230	156.2318
128.000000	107.174	156.0928
131.500000	107.044	155.8909
132.000000	107.025	155.8644
134.000000	106.953	155.7426
136.000000	106.890	155.6358
138.000000	106.834	155.5953
140.000000	106.776	155.6008
143.000000	106.665	155.6075
145.000000	106.586	155.6265
147.500000	106.505	155.6550
150.000000	106.428	155.6829
152.500000	106.336	155.7526
155.000000	106.237	155.8452
157.500000	106.149	155.9382
160.000000	106.079	156.0250
162.500000	106.016	156.0986
165.000000	105.947	156.1550
167.500000	105.871	156.2034
170.000000	105.790	156.2807
172.500000	105.710	156.4110
175.000000	105.636	156.5791
177.500000	105.569	156.7519
180.000000	105.508	156.9094
182.500000	105.449	157.0512
185.000000	105.390	157.1865
187.500000	105.331	157.3229
190.000000	105.274	157.4645
192.500000	105.217	157.6104
195.000000	105.159	157.7532
197.500000	105.099	157.8914
200.000000	105.037	158.0370
203.000000	104.969	158.2262
206.000000	104.910	158.4072
209.000000	104.853	158.5723
212.000000	104.791	158.7379
214.000000	104.746	158.8573
218.000000	104.652	159.1389
220.000000	104.606	159.3018
224.000000	104.526	159.6410
227.000000	104.473	159.8870
230.000000	104.422	160.1250
233.000000	104.371	160.3582
236.000000	104.321	160.5857
240.000000	104.252	160.8781
243.000000	104.197	161.0952
247.000000	104.121	161.4059
250.000000	104.063	161.6733
254.000000	103.991	162.0835
258.000000	103.932	162.5125
262.000000	103.884	162.8907
265.000000	103.847	163.1376
269.000000	103.793	163.4623
272.000000	103.751	163.7267
276.000000	103.698	164.1105
280.000000	103.651	164.5129
285.000000	103.604	165.0021
290.000000	103.567	165.4093
295.000000	103.523	165.7215
300.000000	103.468	166.0265
304.000000	103.420	166.3052
307.000000	103.385	166.5305
311.000000	103.339	166.8378
315.000000	103.294	167.1462
320.000000	103.236	167.5488
325.000000	103.180	167.9889
330.000000	103.130	168.4503
335.000000	103.086	168.9041
340.000000	103.044	169.3360
345.000000	103.003	169.7544
350.000000	102.960	170.1759
355.000000	102.919	170.6057
360.000000	102.880	171.0405
365.000000	102.843	171.4772
370.000000	102.806	171.9148
375.000000	102.772	172.3538
382.000000	102.726	172.9704
387.000000	102.696	173.4110
395.000000	102.650	174.1167
400.000000	102.624	174.5566
406.000000	102.595	175.0756
412.000000	102.566	175.5827
418.000000	102.537	176.0941
425.000000	102.504	176.7197
431.000000	102.482	177.2732
437.000000	102.466	177.8171
444.000000	102.455	178.4222
450.000000	102.449	178.9008
455.000000	102.445	179.2551
462.000000	102.432	179.6966
468.000000	102.412	-179.9224
475.000000	102.385	-179.4352
482.000000	102.360	-178.9216
487.000000	102.343	-178.5528
494.000000	102.317	-178.0188
500.000000	102.297	-177.5314
508.000000	102.277	-176.8717
515.000000	102.263	-176.3159
522.000000	102.249	-175.7707
530.000000	102.231	-175.1306
538.000000	102.218	-174.4709
545.000000	102.210	-173.8936
552.000000	102.205	-173.3206
560.000000	102.202	-172.6806
570.000000	102.200	-171.9100
580.000000	102.196	-171.1449
590.000000	102.192	-170.3673
600.000000	102.191	-169.5673
608.000000	102.194	-168.9230
615.000000	102.197	-168.3659
622.000000	102.201	-167.8048
630.000000	102.206	-167.1391
640.000000	102.219	-166.2778
650.000000	102.243	-165.4139
660.000000	102.279	-164.5750
670.000000	102.324	-163.8182
680.000000	102.365	-163.1475
690.000000	102.398	-162.5035
700.000000	102.426	-161.8401
710.000000	102.455	-161.1480
720.000000	102.487	-160.4471
730.000000	102.522	-159.7484
740.000000	102.558	-159.0492
750.000000	102.597	-158.3465
762.000000	102.648	-157.4988
775.000000	102.709	-156.5802
788.000000	102.776	-155.6674
800.000000	102.844	-154.8209
812.000000	102.924	-153.9757
825.000000	103.027	-153.1266
838.000000	103.136	-152.4146
850.000000	103.232	-151.8626
862.000000	103.322	-151.3706
875.000000	103.410	-150.8939
885.000000	103.470	-150.5682
900.000000	103.533	-150.0962
912.000000	103.557	-149.5926
925.000000	103.580	-148.7922
938.000000	103.628	-147.7937
950.000000	103.705	-146.8608
962.000000	103.801	-146.0188
975.000000	103.915	-145.2230
988.000000	104.031	-144.5148
1000.000000	104.138	-143.8988
1015.000000	104.276	-143.1305
1030.000000	104.426	-142.3696
1044.000000	104.582	-141.7329
1060.000000	104.764	-141.1669
