* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2022 11:41:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: D13 Silver R
* Measurement: D13 Silver R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	111.498	-157.8414
20.299999	111.501	-158.4579
20.600000	111.504	-159.0641
20.900000	111.507	-159.6607
21.200001	111.509	-160.2466
21.400000	111.510	-160.6306
21.799999	111.511	-161.3828
22.000000	111.512	-161.7510
22.400000	111.512	-162.4731
22.700001	111.512	-163.0025
23.000000	111.512	-163.5218
23.299999	111.512	-164.0306
23.600000	111.511	-164.5291
24.000000	111.509	-165.1787
24.299999	111.508	-165.6558
24.700001	111.506	-166.2796
25.000000	111.503	-166.7379
25.400000	111.499	-167.3345
25.799999	111.495	-167.9135
26.200001	111.491	-168.4768
26.500000	111.488	-168.8925
26.900000	111.484	-169.4421
27.200001	111.481	-169.8515
27.600000	111.474	-170.3903
28.000000	111.465	-170.9123
28.500000	111.453	-171.5300
29.000000	111.442	-172.1115
29.500000	111.434	-172.6754
30.000000	111.429	-173.2422
30.400000	111.425	-173.7017
30.700001	111.421	-174.0474
31.100000	111.415	-174.5045
31.500000	111.407	-174.9539
32.000000	111.397	-175.5037
32.500000	111.387	-176.0436
33.000000	111.376	-176.5761
33.500000	111.363	-177.1006
34.000000	111.350	-177.6160
34.500000	111.336	-178.1214
35.000000	111.321	-178.6169
35.500000	111.304	-179.1017
36.000000	111.287	-179.5749
36.500000	111.269	179.9639
37.000000	111.250	179.5140
37.500000	111.231	179.0740
38.200001	111.203	178.4732
38.700001	111.182	178.0550
39.500000	111.147	177.4060
40.000000	111.124	177.0133
40.599998	111.097	176.5552
41.200001	111.069	176.1109
41.799999	111.042	175.6776
42.500000	111.009	175.1816
43.099998	110.981	174.7638
43.700001	110.952	174.3551
44.400002	110.916	173.8920
45.000000	110.886	173.5068
45.500000	110.859	173.1935
46.200001	110.822	172.7657
46.799999	110.790	172.4080
47.500000	110.750	172.0006
48.200001	110.710	171.6056
48.700001	110.681	171.3318
49.400002	110.639	170.9597
50.000000	110.603	170.6507
50.799999	110.553	170.2542
51.500000	110.509	169.9249
52.200001	110.464	169.6150
53.000000	110.413	169.2880
53.799999	110.363	168.9947
54.500000	110.321	168.7686
55.200001	110.281	168.5706
56.000000	110.242	168.3716
57.000000	110.202	168.1357
58.000000	110.173	167.8784
59.000000	110.149	167.5760
60.000000	110.127	167.2175
60.799999	110.106	166.8979
61.500000	110.085	166.6058
62.200001	110.061	166.3099
63.000000	110.031	165.9734
64.000000	109.990	165.5634
65.000000	109.946	165.1694
66.000000	109.901	164.7925
67.000000	109.855	164.4324
68.000000	109.809	164.0868
69.000000	109.763	163.7527
70.000000	109.717	163.4282
71.000000	109.670	163.1136
72.000000	109.624	162.8091
73.000000	109.578	162.5131
74.000000	109.533	162.2231
75.000000	109.487	161.9393
76.199997	109.433	161.6085
77.500000	109.375	161.2588
78.800003	109.319	160.9081
80.000000	109.268	160.5735
81.199997	109.215	160.2231
82.500000	109.154	159.8308
83.800003	109.086	159.4447
85.000000	109.019	159.1149
86.199997	108.948	158.8251
87.500000	108.870	158.5593
88.500000	108.811	158.3834
90.000000	108.727	158.1507
91.199997	108.662	157.9802
92.500000	108.593	157.8038
93.800003	108.526	157.6353
95.000000	108.464	157.4888
96.199997	108.403	157.3517
97.500000	108.338	157.2126
98.800003	108.274	157.0830
100.000000	108.215	156.9741
101.500000	108.143	156.8562
103.000000	108.076	156.7566
104.400002	108.016	156.6697
106.000000	107.950	156.5622
107.500000	107.889	156.4436
109.000000	107.828	156.3028
110.599998	107.762	156.1306
112.000000	107.703	155.9733
113.800003	107.621	155.7939
115.000000	107.560	155.7099
117.199997	107.438	155.6685
118.000000	107.394	155.6866
120.599998	107.266	155.7411
122.000000	107.208	155.7082
124.099998	107.123	155.6216
125.000000	107.088	155.5931
126.500000	107.029	155.5675
128.000000	106.970	155.5635
131.500000	106.823	155.5766
132.000000	106.801	155.5787
134.000000	106.714	155.5970
136.000000	106.622	155.6486
138.000000	106.528	155.7504
140.000000	106.432	155.9064
143.000000	106.297	156.2660
145.000000	106.221	156.6313
147.500000	106.155	157.2181
150.000000	106.125	157.8145
152.500000	106.124	158.2533
155.000000	106.133	158.4467
157.500000	106.134	158.4103
160.000000	106.114	158.2233
162.500000	106.071	157.9876
165.000000	106.010	157.7788
167.500000	105.935	157.6387
170.000000	105.855	157.5844
172.500000	105.775	157.6067
175.000000	105.700	157.6762
177.500000	105.631	157.7654
180.000000	105.565	157.8629
182.500000	105.500	157.9658
185.000000	105.438	158.0724
187.500000	105.375	158.1811
190.000000	105.313	158.2943
192.500000	105.251	158.4164
195.000000	105.188	158.5502
197.500000	105.126	158.6982
200.000000	105.066	158.8636
203.000000	104.997	159.0816
206.000000	104.934	159.2992
209.000000	104.873	159.4932
212.000000	104.811	159.6691
214.000000	104.767	159.7913
218.000000	104.677	160.0867
220.000000	104.634	160.2613
224.000000	104.556	160.6247
227.000000	104.503	160.8826
230.000000	104.452	161.1253
233.000000	104.402	161.3597
236.000000	104.352	161.5887
240.000000	104.286	161.8844
243.000000	104.235	162.1043
247.000000	104.163	162.4190
250.000000	104.108	162.6893
254.000000	104.040	163.1036
258.000000	103.984	163.5377
262.000000	103.937	163.9214
265.000000	103.902	164.1717
269.000000	103.850	164.5002
272.000000	103.809	164.7671
276.000000	103.758	165.1536
280.000000	103.713	165.5580
285.000000	103.669	166.0496
290.000000	103.633	166.4595
295.000000	103.592	166.7753
300.000000	103.539	167.0848
304.000000	103.493	167.3665
307.000000	103.459	167.5933
311.000000	103.415	167.9025
315.000000	103.371	168.2131
320.000000	103.316	168.6193
325.000000	103.262	169.0632
330.000000	103.214	169.5276
335.000000	103.172	169.9840
340.000000	103.132	170.4187
345.000000	103.092	170.8400
350.000000	103.052	171.2646
355.000000	103.013	171.6975
360.000000	102.976	172.1346
365.000000	102.941	172.5723
370.000000	102.907	173.0106
375.000000	102.874	173.4506
382.000000	102.831	174.0688
387.000000	102.802	174.5104
395.000000	102.759	175.2169
400.000000	102.735	175.6567
406.000000	102.708	176.1754
412.000000	102.681	176.6823
418.000000	102.654	177.1937
425.000000	102.624	177.8194
431.000000	102.604	178.3726
437.000000	102.590	178.9158
444.000000	102.580	179.5201
450.000000	102.577	179.9977
