* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 26, 2021 1:26:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: MEMT R1
* Measurement: Jun 26 13:26:40
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	79.797	11.474
20.586	79.780	10.924
20.885	79.751	10.543
21.189	79.701	10.299
21.497	79.670	10.142
21.810	79.678	9.968
22.127	79.706	9.672
22.449	79.731	9.186
22.776	79.749	8.522
23.107	79.750	7.769
23.443	79.719	7.060
23.784	79.680	6.495
24.130	79.654	6.086
24.481	79.655	5.753
24.837	79.673	5.377
25.198	79.687	4.885
25.565	79.703	4.284
25.937	79.710	3.654
26.314	79.699	3.081
26.697	79.688	2.610
27.085	79.672	2.218
27.479	79.648	1.850
27.879	79.639	1.461
28.284	79.616	1.045
28.696	79.593	0.615
29.113	79.577	0.189
29.537	79.548	-0.230
29.966	79.518	-0.647
30.402	79.489	-1.078
30.844	79.471	-1.552
31.293	79.469	-2.099
31.748	79.457	-2.714
32.210	79.432	-3.337
32.678	79.381	-3.902
33.154	79.353	-4.403
33.636	79.347	-4.882
34.125	79.335	-5.351
34.621	79.326	-5.773
35.125	79.323	-6.160
35.636	79.322	-6.590
36.154	79.313	-7.053
36.680	79.289	-7.405
37.214	79.268	-7.632
37.755	79.249	-7.982
38.304	79.195	-8.527
38.861	79.111	-8.909
39.427	79.051	-9.039
40.000	79.057	-9.568
40.582	79.053	-10.675
41.172	78.973	-11.401
41.771	78.981	-11.547
42.379	79.113	-12.480
42.995	79.114	-14.148
43.620	79.004	-14.527
44.255	79.155	-14.179
44.898	79.337	-16.441
45.552	78.913	-19.118
46.214	78.268	-16.374
46.886	78.614	-11.548
47.568	79.192	-13.652
48.260	78.790	-17.191
48.962	78.226	-14.399
49.674	78.665	-12.170
50.397	78.911	-16.453
51.130	78.257	-19.360
51.874	77.844	-16.356
52.628	78.258	-14.879
53.394	78.545	-17.520
54.170	78.408	-20.451
54.958	78.065	-21.368
55.758	77.875	-19.818
56.569	78.075	-18.546
57.391	78.291	-19.489
58.226	78.265	-21.136
59.073	78.072	-22.392
59.932	77.805	-22.680
60.804	77.638	-21.978
61.688	77.638	-21.514
62.586	77.701	-21.722
63.496	77.788	-22.373
64.420	77.832	-23.566
65.357	77.756	-24.761
66.307	77.615	-25.491
67.272	77.464	-25.809
68.250	77.321	-25.745
69.243	77.210	-25.369
70.250	77.160	-25.092
71.272	77.110	-25.048
72.309	77.075	-25.159
73.360	77.036	-25.388
74.427	77.029	-25.826
75.510	76.943	-26.047
76.608	76.957	-26.186
77.723	76.875	-26.738
78.853	76.853	-26.983
80.000	76.720	-27.240
81.164	76.728	-27.628
82.344	76.516	-28.200
83.542	76.491	-28.780
84.757	76.308	-29.122
85.990	76.399	-30.447
87.241	76.187	-30.617
88.510	76.328	-31.914
89.797	75.996	-31.208
91.103	76.277	-30.906
92.428	76.111	-32.467
93.773	75.883	-32.944
95.137	75.631	-31.701
96.520	75.872	-32.324
97.924	75.576	-32.307
99.349	75.839	-32.719
100.794	75.456	-32.988
102.260	75.612	-32.691
103.747	75.316	-33.778
105.256	75.389	-32.844
106.787	75.236	-34.795
108.340	75.105	-33.295
109.916	75.202	-34.402
111.515	74.926	-34.496
113.137	75.004	-34.079
114.783	74.807	-35.226
116.452	74.636	-34.709
118.146	74.717	-35.130
119.865	73.950	-36.056
121.608	74.424	-33.687
123.377	74.393	-35.100
125.171	74.233	-35.767
126.992	74.129	-34.653
128.839	74.146	-34.930
130.713	73.952	-36.333
132.615	73.934	-36.566
134.543	74.003	-34.417
136.500	73.756	-33.801
138.486	73.045	-32.078
140.500	73.282	-35.255
142.544	73.504	-35.324
144.617	73.427	-36.529
146.721	73.369	-36.808
148.855	73.023	-36.146
151.020	72.945	-36.627
153.217	72.627	-38.173
155.445	72.887	-35.200
157.706	72.666	-34.979
160.000	74.069	-41.274
162.327	71.376	-36.222
164.688	72.289	-37.911
167.084	72.760	-35.623
169.514	72.455	-33.223
171.980	72.192	-32.740
174.481	71.981	-33.347
177.019	72.151	-31.315
179.594	71.806	-30.334
182.206	71.966	-30.226
184.856	72.329	-32.661
187.545	72.245	-31.553
190.273	72.188	-31.114
193.041	72.103	-32.352
195.849	71.895	-33.092
198.697	71.957	-33.310
201.587	71.873	-33.452
204.520	71.705	-33.534
207.494	71.647	-33.345
210.512	71.549	-33.083
213.574	71.439	-33.384
216.681	71.337	-33.424
219.833	71.209	-33.038
223.030	71.105	-32.881
226.274	70.993	-32.759
229.565	71.020	-32.194
232.905	70.878	-33.038
236.292	70.646	-32.428
239.729	70.585	-32.058
243.216	70.499	-32.249
246.754	70.394	-32.348
250.343	70.315	-32.085
253.984	70.232	-31.632
257.678	70.125	-30.963
261.426	70.058	-30.724
265.229	70.006	-30.566
269.087	70.053	-30.274
273.001	69.998	-30.062
276.972	69.755	-28.763
281.000	69.652	-28.859
285.088	69.482	-28.821
289.234	69.499	-28.497
293.441	69.463	-28.293
297.710	69.328	-28.038
302.040	69.207	-28.013
306.433	69.195	-27.542
310.890	69.063	-26.911
315.412	69.011	-26.932
320.000	68.878	-26.035
324.655	68.842	-26.332
329.377	68.730	-25.398
334.168	68.624	-25.463
339.028	68.536	-24.450
343.959	68.470	-24.277
348.962	68.354	-23.811
354.038	68.309	-23.267
359.188	68.233	-22.494
364.412	68.171	-21.546
369.713	68.243	-21.431
375.090	68.038	-21.089
380.546	67.959	-20.134
386.081	67.895	-19.185
391.697	67.845	-18.389
397.395	67.815	-18.150
403.175	67.825	-17.561
409.039	67.871	-18.025
414.989	67.840	-17.456
421.025	67.694	-16.547
427.149	67.626	-16.143
433.362	67.539	-15.296
439.665	67.518	-14.586
446.060	67.378	-14.238
452.548	67.256	-13.333
459.131	67.231	-13.288
465.809	67.281	-13.633
472.584	67.187	-12.403
479.458	67.160	-12.067
486.432	67.105	-10.974
493.507	66.980	-11.207
500.686	66.943	-9.983
507.968	66.998	-9.431
515.357	66.841	-8.569
522.853	66.807	-7.999
530.458	66.674	-7.433
538.174	66.655	-6.346
546.002	66.619	-5.651
553.943	66.912	-5.656
562.001	66.502	-3.966
570.175	66.485	-3.481
578.469	66.466	-2.831
586.883	66.522	-1.790
595.419	66.427	-0.672
604.080	66.319	0.286
612.866	66.346	1.004
621.780	66.330	1.872
630.824	66.198	2.791
640.000	66.227	3.697
649.309	66.273	4.306
658.753	66.205	5.821
668.335	66.273	6.884
678.056	66.311	7.929
687.919	66.290	8.714
697.925	66.247	9.216
708.076	66.215	10.414
718.376	66.264	11.345
728.825	66.345	12.755
739.426	66.318	12.938
750.181	66.316	14.313
761.093	66.294	15.662
772.163	66.294	16.197
783.394	66.283	17.879
794.789	66.391	18.205
806.349	66.339	19.974
818.078	66.496	21.001
829.977	66.506	22.340
842.050	66.633	23.201
854.297	66.699	24.137
866.724	66.794	24.699
879.330	66.798	25.829
892.120	66.855	26.879
905.097	66.900	27.555
918.262	66.987	29.109
931.618	67.090	29.932
945.169	67.293	31.550
958.917	67.250	31.759
972.864	67.499	33.357
987.015	67.468	34.019
1001.371	67.717	35.001
1015.937	67.821	36.163
1030.714	67.933	36.905
1045.706	68.120	37.696
1060.916	68.203	38.264
1076.347	68.299	39.542
1092.003	68.594	40.733
