* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 8, 2022 12:14:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Moondrop Aria R
* Measurement: Moondrop Aria R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.753	29.8445
20.299999	96.769	29.1422
20.600000	96.781	28.4428
20.900000	96.789	27.7598
21.200001	96.798	27.0900
21.400000	96.805	26.6420
21.799999	96.820	25.7288
22.000000	96.828	25.2606
22.400000	96.841	24.3083
22.700001	96.847	23.5972
23.000000	96.853	22.9051
23.299999	96.858	22.2373
23.600000	96.866	21.5906
24.000000	96.881	20.7495
24.299999	96.894	20.1262
24.700001	96.912	19.3038
25.000000	96.924	18.7003
25.400000	96.939	17.9253
25.799999	96.953	17.1901
26.200001	96.968	16.4886
26.500000	96.978	15.9775
26.900000	96.990	15.3096
27.200001	96.996	14.8198
27.600000	97.001	14.1871
28.000000	97.002	13.5835
28.500000	97.000	12.8652
29.000000	96.998	12.1626
29.500000	96.993	11.4544
30.000000	96.985	10.7422
30.400000	96.975	10.1808
30.700001	96.968	9.7675
31.100000	96.960	9.2209
31.500000	96.954	8.6680
32.000000	96.947	7.9547
32.500000	96.938	7.2264
33.000000	96.925	6.5162
33.500000	96.911	5.8473
34.000000	96.900	5.2135
34.500000	96.892	4.5902
35.000000	96.884	3.9655
35.500000	96.872	3.3517
36.000000	96.855	2.7703
36.500000	96.837	2.2278
37.000000	96.819	1.7104
37.500000	96.803	1.1964
38.200001	96.776	0.4594
38.700001	96.752	-0.0717
39.500000	96.705	-0.8746
40.000000	96.676	-1.3324
40.599998	96.651	-1.8715
41.200001	96.632	-2.4653
41.799999	96.607	-3.1224
42.500000	96.561	-3.8563
43.099998	96.518	-4.3583
43.700001	96.489	-4.7856
44.400002	96.473	-5.3516
45.000000	96.454	-5.9479
45.500000	96.422	-6.4502
46.200001	96.359	-7.0184
46.799999	96.310	-7.3508
47.500000	96.276	-7.6927
48.200001	96.257	-8.1365
48.700001	96.239	-8.5239
49.400002	96.201	-9.0794
50.000000	96.161	-9.5009
50.799999	96.113	-9.9895
51.500000	96.077	-10.4095
52.200001	96.043	-10.8459
53.000000	96.002	-11.3406
53.799999	95.959	-11.8119
54.500000	95.921	-12.2109
55.200001	95.883	-12.6049
56.000000	95.837	-13.0493
57.000000	95.779	-13.5911
58.000000	95.720	-14.1221
59.000000	95.662	-14.6481
60.000000	95.604	-15.1724
60.799999	95.558	-15.5948
61.500000	95.516	-15.9625
62.200001	95.473	-16.3184
63.000000	95.420	-16.7001
64.000000	95.354	-17.1375
65.000000	95.286	-17.5416
66.000000	95.219	-17.9279
67.000000	95.153	-18.3145
68.000000	95.086	-18.7220
69.000000	95.015	-19.1466
70.000000	94.937	-19.5259
71.000000	94.864	-19.8076
72.000000	94.806	-20.0383
73.000000	94.762	-20.2985
74.000000	94.718	-20.6074
75.000000	94.666	-20.9206
76.199997	94.595	-21.2363
77.500000	94.516	-21.5039
78.800003	94.438	-21.7316
80.000000	94.370	-21.9476
81.199997	94.302	-22.2236
82.500000	94.216	-22.5710
83.800003	94.119	-22.8861
85.000000	94.032	-23.1074
86.199997	93.958	-23.2632
87.500000	93.894	-23.3702
88.500000	93.854	-23.4009
90.000000	93.807	-23.3413
