* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 4, 2022 11:49:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Moondrop Stellaris L
* Measurement: Moondrop Stellaris L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.924	15.8239
20.299999	85.936	15.1921
20.600000	85.943	14.5582
20.900000	85.945	13.9279
21.200001	85.942	13.3079
21.400000	85.936	12.9015
21.799999	85.920	12.1056
22.000000	85.908	11.7166
22.400000	85.881	10.9596
22.700001	85.856	10.4148
23.000000	85.831	9.8916
23.299999	85.806	9.3842
23.600000	85.783	8.8826
24.000000	85.756	8.2073
24.299999	85.736	7.6908
24.700001	85.711	6.9955
25.000000	85.693	6.4764
25.400000	85.674	5.7854
25.799999	85.659	5.0704
26.200001	85.645	4.3057
26.500000	85.629	3.7089
26.900000	85.595	2.9315
27.200001	85.563	2.4103
27.600000	85.518	1.8375
28.000000	85.484	1.3783
28.500000	85.466	0.8196
29.000000	85.454	0.1371
29.500000	85.421	-0.6200
30.000000	85.363	-1.2667
30.400000	85.315	-1.6494
30.700001	85.288	-1.8927
31.100000	85.263	-2.2490
31.500000	85.243	-2.7036
32.000000	85.205	-3.3917
32.500000	85.144	-4.0741
33.000000	85.076	-4.6306
33.500000	85.022	-5.0786
34.000000	84.989	-5.5143
34.500000	84.970	-5.9929
35.000000	84.953	-6.4725
35.500000	84.934	-6.8386
36.000000	84.928	-6.9886
36.500000	84.956	-6.9277
37.000000	85.030	-6.8116
37.500000	85.134	-6.8372
38.200001	85.257	-7.2030
38.700001	85.295	-7.4974
39.500000	85.291	-7.5867
40.000000	85.279	-7.4683
40.599998	85.258	-7.3813
41.200001	85.210	-7.5022
41.799999	85.117	-7.8819
42.500000	84.928	-8.6385
43.099998	84.681	-9.3616
43.700001	84.375	-9.8598
44.400002	84.015	-10.0336
45.000000	83.767	-9.9778
45.500000	83.628	-9.9020
46.200001	83.562	-9.8860
46.799999	83.630	-10.2007
47.500000	83.785	-11.2843
48.200001	83.909	-12.9527
48.700001	83.947	-14.1071
49.400002	83.965	-15.2520
50.000000	83.995	-15.9106
50.799999	84.034	-16.9005
51.500000	83.984	-17.9502
52.200001	83.833	-18.7274
53.000000	83.627	-19.0681
53.799999	83.466	-19.3796
54.500000	83.335	-19.9663
55.200001	83.171	-20.5567
56.000000	82.990	-20.7162
57.000000	82.919	-20.3184
58.000000	83.003	-20.3815
59.000000	83.031	-21.0699
60.000000	82.924	-21.3800
60.799999	82.827	-21.0931
61.500000	82.792	-20.8389
62.200001	82.791	-21.0146
63.000000	82.768	-21.8296
64.000000	82.648	-22.9462
65.000000	82.540	-23.0873
66.000000	82.607	-22.3618
67.000000	82.831	-21.5469
68.000000	83.058	-21.0259
69.000000	83.134	-20.6163
70.000000	83.007	-19.6647
71.000000	82.785	-18.0683
72.000000	82.562	-16.8156
73.000000	82.305	-16.5637
74.000000	82.006	-17.0236
75.000000	81.756	-17.8718
76.199997	81.606	-19.2616
77.500000	81.611	-20.5624
78.800003	81.755	-21.0566
80.000000	81.941	-21.0742
81.199997	82.090	-21.2028
82.500000	82.135	-21.9504
83.800003	82.036	-23.4238
85.000000	81.839	-25.1738
86.199997	81.584	-26.8345
87.500000	81.312	-28.1056
88.500000	81.124	-28.6312
90.000000	80.849	-28.3605
91.199997	80.670	-27.0143
92.500000	80.597	-24.8905
93.800003	80.649	-22.9452
95.000000	80.745	-21.7643
96.199997	80.829	-21.2043
97.500000	80.877	-21.1010
98.800003	80.877	-21.2491
100.000000	80.848	-21.4014
101.500000	80.808	-21.5098
103.000000	80.775	-21.6774
104.400002	80.723	-21.9724
106.000000	80.635	-22.3240
107.500000	80.570	-22.6233
109.000000	80.540	-22.9700
110.599998	80.501	-23.1206
112.000000	80.432	-22.7419
113.800003	80.274	-21.8489
115.000000	80.092	-21.3835
117.199997	79.636	-20.4591
118.000000	79.521	-19.8284
120.599998	79.706	-18.6917
122.000000	79.898	-20.2639
124.099998	79.978	-23.0497
125.000000	79.971	-23.7244
126.500000	79.919	-24.2075
128.000000	79.802	-24.1030
131.500000	79.564	-22.3099
132.000000	79.565	-22.0579
134.000000	79.626	-21.3771
136.000000	79.693	-21.0761
138.000000	79.717	-20.9825
140.000000	79.700	-21.0041
143.000000	79.624	-21.0413
145.000000	79.528	-21.1238
147.500000	79.372	-21.2657
150.000000	79.240	-21.3553
152.500000	79.165	-21.2264
155.000000	79.142	-21.0384
157.500000	79.144	-21.0365
160.000000	79.136	-21.0153
162.500000	79.091	-20.6301
165.000000	78.992	-20.0277
167.500000	78.849	-19.5917
170.000000	78.709	-19.4390
172.500000	78.620	-19.4301
175.000000	78.577	-19.3604
177.500000	78.547	-19.1130
180.000000	78.517	-18.7930
182.500000	78.480	-18.5359
185.000000	78.437	-18.3173
187.500000	78.397	-18.1154
190.000000	78.363	-18.0277
192.500000	78.321	-18.0601
195.000000	78.256	-17.9979
197.500000	78.183	-17.6616
200.000000	78.126	-17.1551
203.000000	78.090	-16.6268
206.000000	78.068	-16.3181
209.000000	78.041	-16.1648
212.000000	77.999	-16.0170
214.000000	77.961	-15.8444
218.000000	77.873	-15.2974
220.000000	77.828	-14.9851
224.000000	77.740	-14.4283
227.000000	77.671	-14.1388
230.000000	77.603	-14.0220
233.000000	77.544	-14.1002
236.000000	77.508	-14.3047
240.000000	77.506	-14.4959
243.000000	77.534	-14.3460
247.000000	77.564	-13.6326
250.000000	77.550	-12.8784
254.000000	77.484	-11.9677
258.000000	77.414	-11.3738
262.000000	77.372	-11.0029
265.000000	77.349	-10.7700
269.000000	77.316	-10.4473
272.000000	77.291	-10.1836
276.000000	77.260	-9.8051
280.000000	77.239	-9.3889
285.000000	77.221	-8.8518
290.000000	77.206	-8.4296
295.000000	77.184	-8.1152
300.000000	77.150	-7.8027
304.000000	77.120	-7.5233
307.000000	77.099	-7.2989
311.000000	77.071	-6.9986
315.000000	77.042	-6.7010
320.000000	77.004	-6.3053
325.000000	76.969	-5.8665
330.000000	76.940	-5.4107
335.000000	76.915	-4.9717
340.000000	76.892	-4.5594
345.000000	76.868	-4.1599
350.000000	76.844	-3.7566
