* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 26, 2022 12:00:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: NF Aufio NM2
* Measurement: DQ6S R Jan 26
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.712	45.2282
20.299999	102.750	44.5025
20.600000	102.786	43.7911
20.900000	102.821	43.0940
21.200001	102.855	42.4106
21.400000	102.878	41.9623
21.799999	102.923	41.0825
22.000000	102.945	40.6505
22.400000	102.988	39.8015
22.700001	103.018	39.1777
23.000000	103.048	38.5649
23.299999	103.076	37.9629
23.600000	103.103	37.3714
24.000000	103.136	36.5986
24.299999	103.159	36.0305
24.700001	103.188	35.2875
25.000000	103.208	34.7409
25.400000	103.234	34.0257
25.799999	103.258	33.3258
26.200001	103.280	32.6414
26.500000	103.295	32.1382
26.900000	103.315	31.4810
27.200001	103.329	30.9980
27.600000	103.348	30.3662
28.000000	103.365	29.7469
28.500000	103.385	28.9878
29.000000	103.404	28.2443
29.500000	103.422	27.5173
30.000000	103.439	26.8076
30.400000	103.452	26.2521
30.700001	103.461	25.8420
31.100000	103.474	25.3030
31.500000	103.486	24.7718
32.000000	103.501	24.1181
32.500000	103.514	23.4757
33.000000	103.526	22.8447
33.500000	103.537	22.2248
34.000000	103.547	21.6155
34.500000	103.555	21.0170
35.000000	103.562	20.4296
35.500000	103.568	19.8544
36.000000	103.573	19.2923
36.500000	103.576	18.7434
37.000000	103.579	18.2073
37.500000	103.581	17.6829
38.200001	103.583	16.9667
38.700001	103.584	16.4673
39.500000	103.585	15.6880
40.000000	103.585	15.2118
40.599998	103.584	14.6501
41.200001	103.582	14.0983
41.799999	103.580	13.5565
42.500000	103.576	12.9390
43.099998	103.571	12.4232
43.700001	103.565	11.9195
44.400002	103.558	11.3453
45.000000	103.551	10.8638
45.500000	103.545	10.4694
46.200001	103.536	9.9271
46.799999	103.528	9.4707
47.500000	103.517	8.9492
48.200001	103.507	8.4410
48.700001	103.499	8.0860
49.400002	103.488	7.5978
50.000000	103.479	7.1860
50.799999	103.466	6.6467
51.500000	103.454	6.1865
52.200001	103.441	5.7398
53.000000	103.428	5.2482
53.799999	103.415	4.7755
54.500000	103.406	4.3733
55.200001	103.397	3.9773
56.000000	103.388	3.5267
57.000000	103.376	2.9594
58.000000	103.362	2.3887
59.000000	103.345	1.8226
60.000000	103.328	1.2535
60.799999	103.312	0.7903
61.500000	103.296	0.3868
62.200001	103.278	-0.0073
63.000000	103.257	-0.4441
64.000000	103.230	-0.9682
65.000000	103.202	-1.4600
66.000000	103.175	-1.9208
67.000000	103.149	-2.3647
68.000000	103.123	-2.8051
69.000000	103.097	-3.2449
