* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 28, 2021 7:50:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: NiceHCK DB3
* Measurement: Jun 28 19:50:51
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	71.339	44.650
20.586	71.389	44.031
20.885	71.438	43.503
21.189	71.464	42.996
21.497	71.498	42.466
21.810	71.551	41.866
22.127	71.600	41.173
22.449	71.632	40.399
22.776	71.652	39.593
23.107	71.668	38.817
23.443	71.675	38.104
23.784	71.692	37.434
24.130	71.724	36.746
24.481	71.764	35.991
24.837	71.795	35.171
25.198	71.802	34.344
25.565	71.808	33.577
25.937	71.825	32.896
26.314	71.848	32.264
26.697	71.888	31.615
27.085	71.919	30.916
27.479	71.926	30.204
27.879	71.936	29.551
28.284	71.935	29.000
28.696	71.951	28.519
29.113	71.992	28.024
29.537	72.028	27.445
29.966	72.055	26.786
30.402	72.064	26.105
30.844	72.067	25.467
31.293	72.081	24.898
31.748	72.094	24.373
32.210	72.112	23.838
32.678	72.113	23.245
33.154	72.128	22.586
33.636	72.148	21.891
34.125	72.153	21.200
34.621	72.157	20.528
35.125	72.160	19.870
35.636	72.161	19.235
36.154	72.170	18.646
36.680	72.187	18.100
37.214	72.206	17.560
37.755	72.210	17.004
38.304	72.203	16.461
38.861	72.202	15.929
39.427	72.184	15.351
40.000	72.155	14.728
40.582	72.147	14.168
41.172	72.146	13.712
41.771	72.156	13.202
42.379	72.163	12.535
42.995	72.157	11.910
43.620	72.160	11.485
44.255	72.190	11.054
44.898	72.215	10.367
45.552	72.198	9.593
46.214	72.162	9.030
46.886	72.137	8.680
47.568	72.129	8.355
48.260	72.133	7.937
48.962	72.118	7.408
49.674	72.083	6.871
50.397	72.076	6.368
51.130	72.088	5.743
51.874	72.075	5.028
52.628	72.034	4.527
53.394	72.004	4.192
54.170	72.006	3.731
54.958	72.016	3.174
55.758	72.014	2.624
56.569	72.001	2.097
57.391	71.986	1.680
58.226	71.978	1.261
59.073	71.971	0.722
59.932	71.963	0.087
60.804	71.919	-0.618
61.688	71.845	-1.088
62.586	71.822	-1.363
63.496	71.836	-1.846
64.420	71.828	-2.378
65.357	71.820	-2.830
66.307	71.820	-3.445
67.272	71.786	-4.236
68.250	71.704	-4.694
69.243	71.665	-4.747
70.250	71.675	-5.211
71.272	71.593	-5.917
72.309	71.509	-5.947
73.360	71.542	-6.223
74.427	71.547	-7.043
75.510	71.531	-7.548
76.608	71.536	-8.765
77.723	71.279	-9.543
78.853	71.300	-8.349
80.000	71.363	-9.814
81.164	71.172	-9.536
82.344	71.271	-9.550
83.542	71.202	-10.122
84.757	71.211	-10.244
85.990	71.158	-10.780
87.241	71.095	-10.612
88.510	71.084	-10.921
89.797	71.005	-11.310
91.103	70.909	-12.183
92.428	70.817	-12.758
93.773	70.830	-13.864
95.137	70.773	-13.856
96.520	71.121	-14.294
97.924	71.012	-15.427
99.349	70.819	-15.516
100.794	70.647	-14.478
102.260	70.568	-15.752
103.747	70.438	-17.017
105.256	70.586	-16.940
106.787	70.506	-17.254
108.340	70.553	-16.845
109.916	70.012	-16.169
111.515	70.032	-18.250
113.137	70.148	-19.861
114.783	70.273	-19.014
116.452	70.507	-17.711
118.146	70.284	-16.557
119.865	72.761	7.622
121.608	70.660	-20.433
123.377	70.267	-16.934
125.171	69.598	-18.487
126.992	69.898	-20.716
128.839	70.260	-19.456
130.713	69.717	-20.569
132.615	69.508	-20.635
134.543	69.619	-20.871
136.500	69.371	-23.290
138.486	69.373	-21.484
140.500	69.451	-22.262
142.544	69.199	-22.695
144.617	69.166	-22.877
146.721	69.260	-23.045
148.855	69.306	-22.426
151.020	69.137	-21.913
153.217	68.685	-24.723
155.445	68.717	-23.498
