* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 27, 2021 3:35:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: PI Audio DR2
* Measurement: Jun 27 15:35:52
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	80.990	-6.120
20.586	80.959	-6.534
20.885	80.930	-6.870
21.189	80.881	-7.211
21.497	80.835	-7.583
21.810	80.803	-7.993
22.127	80.768	-8.436
22.449	80.723	-8.901
22.776	80.683	-9.383
23.107	80.653	-9.891
23.443	80.620	-10.442
23.784	80.589	-11.047
24.130	80.559	-11.688
24.481	80.527	-12.332
24.837	80.486	-12.942
25.198	80.434	-13.501
25.565	80.394	-14.025
25.937	80.369	-14.541
26.314	80.342	-15.066
26.697	80.319	-15.588
27.085	80.283	-16.077
27.479	80.230	-16.515
27.879	80.194	-16.916
28.284	80.152	-17.319
28.696	80.115	-17.751
29.113	80.084	-18.210
29.537	80.035	-18.666
29.966	79.980	-19.099
30.402	79.922	-19.523
30.844	79.873	-19.964
31.293	79.836	-20.443
31.748	79.790	-20.947
32.210	79.737	-21.456
32.678	79.663	-21.960
33.154	79.607	-22.467
33.636	79.566	-22.988
34.125	79.515	-23.512
34.621	79.467	-24.017
35.125	79.420	-24.487
35.636	79.378	-24.942
36.154	79.348	-25.416
36.680	79.315	-25.914
37.214	79.268	-26.392
37.755	79.200	-26.797
38.304	79.128	-27.145
38.861	79.067	-27.511
39.427	78.985	-27.934
40.000	78.897	-28.381
40.582	78.841	-28.822
41.172	78.786	-29.286
41.771	78.720	-29.789
42.379	78.649	-30.288
42.995	78.587	-30.728
43.620	78.534	-31.113
44.255	78.476	-31.477
44.898	78.413	-31.852
45.552	78.343	-32.260
46.214	78.267	-32.650
46.886	78.183	-32.925
47.568	78.111	-33.130
48.260	78.055	-33.470
48.962	77.971	-33.974
49.674	77.855	-34.438
50.397	77.762	-34.751
51.130	77.701	-35.011
51.874	77.654	-35.325
52.628	77.594	-35.692
53.394	77.502	-36.026
54.170	77.416	-36.280
54.958	77.347	-36.512
