* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 28, 2022 12:23:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Raptgo X HBB Hook X L
* Measurement: KZ EDX Ultra Nov 28
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.381	-163.5394
20.299999	96.382	-164.1020
20.600000	96.386	-164.6474
20.900000	96.392	-165.1895
21.200001	96.400	-165.7374
21.400000	96.404	-166.1059
21.799999	96.410	-166.8430
22.000000	96.412	-167.2070
22.400000	96.412	-167.9168
22.700001	96.411	-168.4311
23.000000	96.411	-168.9328
23.299999	96.410	-169.4269
23.600000	96.408	-169.9167
24.000000	96.405	-170.5641
24.299999	96.401	-171.0426
24.700001	96.393	-171.6653
25.000000	96.387	-172.1184
25.400000	96.378	-172.7051
25.799999	96.369	-173.2778
26.200001	96.361	-173.8428
26.500000	96.354	-174.2634
26.900000	96.344	-174.8192
27.200001	96.336	-175.2309
27.600000	96.325	-175.7710
28.000000	96.312	-176.3004
28.500000	96.296	-176.9479
29.000000	96.279	-177.5792
29.500000	96.262	-178.1919
30.000000	96.244	-178.7837
30.400000	96.230	-179.2431
30.700001	96.220	-179.5816
31.100000	96.207	179.9721
31.500000	96.194	179.5291
32.000000	96.179	178.9790
32.500000	96.162	178.4348
33.000000	96.144	177.8990
33.500000	96.126	177.3717
34.000000	96.106	176.8528
34.500000	96.085	176.3433
35.000000	96.063	175.8447
35.500000	96.039	175.3574
36.000000	96.015	174.8798
36.500000	95.990	174.4107
37.000000	95.964	173.9504
37.500000	95.937	173.5000
38.200001	95.898	172.8861
38.700001	95.870	172.4592
39.500000	95.824	171.7961
40.000000	95.796	171.3935
40.599998	95.761	170.9198
41.200001	95.727	170.4555
41.799999	95.693	170.0021
42.500000	95.653	169.4880
43.099998	95.619	169.0579
43.700001	95.585	168.6352
44.400002	95.545	168.1528
45.000000	95.509	167.7523
45.500000	95.480	167.4302
46.200001	95.439	166.9961
46.799999	95.405	166.6331
47.500000	95.366	166.2073
48.200001	95.326	165.7755
48.700001	95.296	165.4698
49.400002	95.252	165.0565
50.000000	95.213	164.7181
50.799999	95.161	164.2853
51.500000	95.115	163.9200
52.200001	95.071	163.5607
53.000000	95.019	163.1527
53.799999	94.966	162.7598
54.500000	94.920	162.4386
55.200001	94.877	162.1294
56.000000	94.832	161.7701
57.000000	94.778	161.3033
58.000000	94.724	160.8288
59.000000	94.669	160.3534
60.000000	94.612	159.8824
60.799999	94.563	159.5163
61.500000	94.518	159.2086
62.200001	94.470	158.9163
63.000000	94.414	158.6027
64.000000	94.344	158.2329
65.000000	94.277	157.8702
66.000000	94.211	157.5073
