* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jul 2, 2021 7:47:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Galaxy Buds
* Measurement: Jul 2 19:47:05
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	75.574	-118.310
20.586	75.608	-118.682
20.885	75.674	-119.341
21.189	75.731	-119.905
21.497	75.786	-120.356
21.810	75.851	-120.768
22.127	75.929	-121.212
22.449	76.015	-121.731
22.776	76.103	-122.337
23.107	76.188	-123.019
23.443	76.266	-123.746
23.784	76.340	-124.484
24.130	76.413	-125.209
24.481	76.486	-125.917
24.837	76.560	-126.616
25.198	76.635	-127.320
25.565	76.713	-128.044
25.937	76.794	-128.792
26.314	76.873	-129.553
26.697	76.945	-130.299
27.085	77.008	-130.995
27.479	77.067	-131.629
27.879	77.131	-132.218
28.284	77.203	-132.807
28.696	77.281	-133.436
29.113	77.357	-134.108
29.537	77.425	-134.787
29.966	77.485	-135.440
30.402	77.546	-136.074
30.844	77.615	-136.728
31.293	77.685	-137.435
31.748	77.745	-138.175
32.210	77.790	-138.895
32.678	77.829	-139.563
33.154	77.876	-140.203
33.636	77.934	-140.866
34.125	77.994	-141.568
34.621	78.050	-142.288
35.125	78.104	-142.995
35.636	78.161	-143.687
36.154	78.221	-144.373
36.680	78.281	-145.047
37.214	78.336	-145.701
37.755	78.384	-146.344
38.304	78.426	-147.001
38.861	78.460	-147.683
39.427	78.484	-148.384
40.000	78.507	-149.094
40.582	78.537	-149.805
41.172	78.571	-150.507
41.771	78.607	-151.209
42.379	78.646	-151.936
42.995	78.685	-152.682
43.620	78.721	-153.396
44.255	78.755	-154.051
44.898	78.793	-154.705
45.552	78.830	-155.411
46.214	78.857	-156.138
46.886	78.877	-156.825
47.568	78.894	-157.477
48.260	78.908	-158.142
48.962	78.913	-158.826
49.674	78.916	-159.513
50.397	78.929	-160.208
51.130	78.950	-160.918
51.874	78.973	-161.634
52.628	78.989	-162.338
53.394	78.999	-163.026
54.170	79.009	-163.695
54.958	79.025	-164.341
55.758	79.046	-164.975
56.569	79.065	-165.620
57.391	79.076	-166.289
58.226	79.074	-166.956
59.073	79.067	-167.583
59.932	79.063	-168.193
60.804	79.060	-168.852
61.688	79.050	-169.544
62.586	79.043	-170.225
63.496	79.043	-170.913
64.420	79.040	-171.612
65.357	79.031	-172.281
66.307	79.023	-172.921
67.272	79.020	-173.556
68.250	79.017	-174.185
69.243	79.010	-174.821
70.250	78.990	-175.462
71.272	78.959	-176.064
72.309	78.932	-176.628
73.360	78.916	-177.226
74.427	78.902	-177.843
75.510	78.887	-178.436
76.608	78.868	-179.035
77.723	78.845	-179.648
78.853	78.818	179.740
80.000	78.789	179.151
81.164	78.761	178.580
82.344	78.733	178.015
83.542	78.707	177.459
84.757	78.683	176.917
85.990	78.657	176.379
87.241	78.626	175.833
88.510	78.588	175.272
89.797	78.543	174.704
91.103	78.496	174.156
92.428	78.454	173.654
93.773	78.423	173.172
95.137	78.396	172.670
96.520	78.365	172.168
97.924	78.327	171.676
99.349	78.277	171.178
100.794	78.219	170.686
102.260	78.165	170.220
103.747	78.124	169.764
105.256	78.088	169.299
106.787	78.049	168.841
108.340	78.001	168.386
109.916	77.943	167.945
111.515	77.884	167.531
113.137	77.834	167.127
114.783	77.788	166.716
116.452	77.738	166.338
118.146	77.686	166.030
119.865	77.641	165.689
121.608	77.590	165.218
123.377	77.526	164.750
125.171	77.467	164.336
126.992	77.413	163.957
128.839	77.354	163.610
130.713	77.284	163.281
132.615	77.215	162.953
134.543	77.157	162.611
136.500	77.103	162.267
138.486	77.043	161.939
140.500	76.981	161.636
142.544	76.922	161.343
144.617	76.867	161.042
146.721	76.809	160.754
148.855	76.742	160.493
151.020	76.678	160.230
153.217	76.620	159.959
155.445	76.568	159.703
157.706	76.518	159.463
160.000	76.465	159.223
162.327	76.408	158.989
164.688	76.350	158.774
167.084	76.280	158.571
169.514	76.191	158.368
171.980	76.084	158.163
174.481	75.969	157.969
177.019	75.857	157.789
179.594	75.765	157.613
182.206	75.701	157.446
184.856	75.658	157.309
187.545	75.621	157.156
190.273	75.582	156.978
193.041	75.541	156.824
195.849	75.491	156.712
198.697	75.428	156.605
201.587	75.357	156.496
204.520	75.291	156.414
207.494	75.227	156.345
210.512	75.153	156.253
213.574	75.074	156.164
216.681	75.002	156.101
219.833	74.928	156.036
223.030	74.852	155.961
226.274	74.781	155.894
229.565	74.717	155.852
232.905	74.653	155.821
236.292	74.588	155.791
239.729	74.519	155.768
243.216	74.446	155.765
246.754	74.374	155.769
250.343	74.305	155.768
253.984	74.240	155.782
257.678	74.177	155.813
261.426	74.108	155.853
265.229	74.038	155.898
269.087	73.970	155.934
273.001	73.896	155.985
276.972	73.821	156.055
281.000	73.752	156.116
285.088	73.690	156.172
289.234	73.628	156.243
293.441	73.564	156.329
297.710	73.500	156.432
302.040	73.441	156.543
306.433	73.386	156.657
310.890	73.328	156.767
315.412	73.264	156.887
320.000	73.198	157.026
324.655	73.137	157.170
329.377	73.079	157.309
334.168	73.018	157.453
339.028	72.952	157.612
343.959	72.884	157.786
348.962	72.821	157.956
354.038	72.769	158.127
359.188	72.718	158.306
364.412	72.659	158.491
369.713	72.594	158.692
375.090	72.532	158.899
380.546	72.475	159.104
386.081	72.420	159.325
391.697	72.367	159.558
397.395	72.312	159.793
403.175	72.252	160.025
409.039	72.192	160.268
414.989	72.133	160.528
421.025	72.076	160.799
427.149	72.025	161.068
433.362	71.975	161.343
439.665	71.924	161.626
446.060	71.869	161.915
452.548	71.814	162.217
459.131	71.761	162.527
465.809	71.710	162.850
472.584	71.665	163.183
479.458	71.622	163.517
486.432	71.575	163.846
493.507	71.525	164.191
500.686	71.477	164.549
507.968	71.431	164.911
515.357	71.388	165.284
522.853	71.343	165.668
530.458	71.297	166.057
538.174	71.253	166.452
546.002	71.212	166.852
553.943	71.171	167.262
562.001	71.131	167.694
570.175	71.094	168.137
578.469	71.059	168.585
586.883	71.019	169.040
595.419	70.976	169.512
604.080	70.938	169.998
612.866	70.907	170.490
621.780	70.879	170.993
630.824	70.850	171.512
640.000	70.821	172.042
649.309	70.789	172.581
658.753	70.759	173.130
668.335	70.738	173.692
678.056	70.721	174.270
687.919	70.703	174.862
697.925	70.685	175.465
708.076	70.667	176.079
718.376	70.652	176.705
728.825	70.643	177.347
739.426	70.636	177.998
750.181	70.631	178.661
761.093	70.626	179.330
772.163	70.624	-179.994
783.394	70.627	-179.300
794.789	70.638	-178.592
806.349	70.653	-177.879
818.078	70.671	-177.161
829.977	70.693	-176.441
842.050	70.721	-175.718
854.297	70.753	-174.992
866.724	70.784	-174.267
879.330	70.821	-173.543
892.120	70.865	-172.837
905.097	70.915	-172.143
918.262	70.969	-171.456
931.618	71.029	-170.786
945.169	71.095	-170.139
958.917	71.164	-169.507
972.864	71.239	-168.898
987.015	71.322	-168.327
1001.371	71.410	-167.793
1015.937	71.497	-167.292
1030.714	71.585	-166.819
1045.706	71.676	-166.387
1060.916	71.772	-166.000
1076.347	71.871	-165.653
1092.003	71.974	-165.352
1107.887	72.085	-165.098
1124.001	72.202	-164.893
1140.350	72.316	-164.750
1156.937	72.424	-164.679
1173.765	72.529	-164.691
1190.838	72.630	-164.794
1208.159	72.723	-164.983
1225.732	72.807	-165.223
1243.561	72.880	-165.477
1261.649	72.944	-165.743
1280.000	72.999	-166.058
1298.618	73.045	-166.477
1317.507	73.070	-167.039
1336.670	73.059	-167.745
1356.113	72.987	-168.500
1375.838	72.832	-169.048
1395.850	72.603	-169.003
1416.153	72.360	-168.065
1436.751	72.188	-166.288
1457.649	72.143	-164.097
1478.851	72.230	-161.981
1500.362	72.409	-160.217
1522.185	72.641	-158.855
1544.326	72.896	-157.816
1566.789	73.154	-157.005
1589.578	73.386	-156.346
1612.699	73.551	-155.786
1636.156	73.618	-155.292
1659.955	73.597	-154.836
1684.099	73.537	-154.410
1708.595	73.496	-154.009
1733.447	73.513	-153.619
1758.661	73.599	-153.238
1784.241	73.742	-152.865
1810.193	73.911	-152.504
1836.523	74.085	-152.154
1863.236	74.263	-151.816
1890.338	74.448	-151.490
1917.833	74.637	-151.172
1945.729	74.828	-150.869
1974.030	75.017	-150.589
2002.743	75.206	-150.331
2031.873	75.397	-150.100
2061.428	75.588	-149.898
2091.412	75.779	-149.724
2121.832	75.968	-149.581
2152.695	76.159	-149.474
2184.007	76.355	-149.407
2215.774	76.558	-149.387
2248.003	76.769	-149.416
2280.701	76.984	-149.501
2313.874	77.202	-149.650
2347.530	77.421	-149.868
2381.676	77.642	-150.162
2416.318	77.868	-150.537
2451.464	78.098	-150.997
2487.122	78.328	-151.551
2523.298	78.558	-152.204
2560.000	78.786	-152.965
2597.236	79.010	-153.839
2635.014	79.229	-154.826
2673.341	79.444	-155.932
2712.226	79.650	-157.161
2751.676	79.842	-158.508
2791.700	80.018	-159.973
2832.306	80.177	-161.551
2873.503	80.321	-163.234
2915.299	80.442	-165.007
2957.703	80.534	-166.851
3000.724	80.594	-168.747
3044.370	80.626	-170.679
3088.652	80.637	-172.621
3133.577	80.626	-174.545
3179.156	80.594	-176.426
3225.398	80.542	-178.242
3272.312	80.468	-179.970
3319.909	80.372	178.407
3368.198	80.255	176.907
3417.190	80.114	175.544
3466.894	79.949	174.326
3517.321	79.759	173.261
3568.482	79.552	172.350
3620.387	79.337	171.592
3673.046	79.122	170.985
3726.472	78.912	170.528
3780.675	78.715	170.212
3835.666	78.536	170.033
3891.457	78.375	169.982
3948.060	78.229	170.053
4005.486	78.088	170.241
4063.747	77.943	170.535
4122.855	77.788	170.931
4182.824	77.619	171.428
4243.664	77.434	172.021
4305.390	77.238	172.700
4368.013	77.041	173.459
4431.547	76.851	174.299
4496.005	76.675	175.219
4561.401	76.515	176.220
4627.749	76.373	177.295
4695.061	76.252	178.436
4763.352	76.155	179.644
4832.637	76.084	-179.089
4902.929	76.045	-177.765
4974.244	76.038	-176.393
5046.596	76.060	-174.989
5120.000	76.104	-173.557
5194.472	76.165	-172.103
5270.027	76.238	-170.641
5346.682	76.319	-169.177
5424.451	76.403	-167.718
5503.352	76.485	-166.268
5583.399	76.571	-164.835
5664.612	76.673	-163.428
5747.006	76.804	-162.066
5830.598	76.970	-160.766
5915.406	77.176	-159.547
6001.447	77.422	-158.437
6088.740	77.705	-157.477
6177.303	78.027	-156.709
6267.154	78.394	-156.181
6358.312	78.804	-155.957
6450.796	79.251	-156.118
6544.625	79.727	-156.763
6639.818	80.224	-158.002
6736.397	80.723	-159.949
6834.380	81.192	-162.705
6933.789	81.595	-166.312
7034.643	81.886	-170.709
7136.964	82.025	-175.718
7240.773	81.983	178.952
7346.093	81.757	173.698
7452.944	81.366	168.932
7561.350	80.843	164.946
7671.332	80.227	161.865
7782.915	79.553	159.678
7896.120	78.847	158.299
8010.971	78.140	157.611
8127.493	77.464	157.487
8245.711	76.839	157.808
8365.647	76.269	158.469
8487.328	75.754	159.376
8610.779	75.299	160.447
8736.026	74.902	161.610
8863.095	74.562	162.805
8992.011	74.272	163.985
9122.803	74.013	165.107
9255.497	73.766	166.148
9390.121	73.526	167.103
9526.704	73.291	167.971
9665.273	73.053	168.764
9805.857	72.801	169.503
9948.487	72.533	170.218
10093.191	72.252	170.947
10240.000	71.952	171.732
10388.944	71.633	172.612
10540.055	71.311	173.613
10693.363	70.980	174.761
10848.902	70.621	176.073
11006.703	70.257	177.556
11166.799	69.915	179.217
11329.224	69.597	-178.943
11494.012	69.294	-176.923
11661.195	69.012	-174.731
11830.812	68.758	-172.386
12002.895	68.533	-169.896
12177.480	68.348	-167.246
12354.606	68.220	-164.457
12534.309	68.150	-161.586
12716.624	68.134	-158.656
12901.592	68.176	-155.698
13089.250	68.289	-152.771
13279.637	68.481	-149.953
13472.794	68.745	-147.339
13668.760	69.049	-145.068
13867.577	69.418	-143.318
14069.285	69.955	-142.326
14273.928	70.746	-142.485
14481.547	71.775	-144.478
14692.186	72.904	-149.254
14905.889	73.874	-157.622
15122.700	74.379	-169.380
15342.664	74.191	177.312
15565.829	73.248	165.226
15792.239	71.657	156.330
16021.942	69.659	150.964
16254.986	67.597	148.431
16491.422	65.811	147.847
16731.295	64.444	148.523
16974.656	63.376	149.973
17221.559	62.460	151.846
17472.053	61.689	153.908
17726.189	61.059	155.965
17984.021	60.526	157.845
18245.605	60.086	159.505
18510.994	59.708	160.845
