* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 13, 2021 9:04:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Samsung Galaxy Pro
* Measurement: edx L Oct 13
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.5	-141.2470
20.299999	100.5	-141.8864
20.600000	100.6	-142.5125
20.900000	100.6	-143.1200
21.200001	100.6	-143.7063
21.400000	100.7	-144.0864
21.799999	100.7	-144.8267
22.000000	100.7	-145.1906
22.400000	100.8	-145.9136
22.700001	100.8	-146.4552
23.000000	100.8	-146.9968
23.299999	100.9	-147.5365
23.600000	100.9	-148.0718
24.000000	100.9	-148.7746
24.299999	101.0	-149.2910
24.700001	101.0	-149.9635
25.000000	101.0	-150.4554
25.400000	101.0	-151.0949
25.799999	101.0	-151.7173
26.200001	101.1	-152.3253
26.500000	101.1	-152.7735
26.900000	101.1	-153.3621
27.200001	101.1	-153.7971
27.600000	101.1	-154.3681
28.000000	101.1	-154.9280
28.500000	101.2	-155.6126
29.000000	101.2	-156.2831
29.500000	101.2	-156.9425
30.000000	101.2	-157.5900
30.400000	101.2	-158.0967
30.700001	101.2	-158.4690
31.100000	101.2	-158.9547
31.500000	101.2	-159.4302
32.000000	101.3	-160.0143
32.500000	101.3	-160.5900
33.000000	101.3	-161.1562
33.500000	101.3	-161.7096
34.000000	101.3	-162.2491
34.500000	101.3	-162.7764
35.000000	101.3	-163.2946
35.500000	101.3	-163.8054
36.000000	101.3	-164.3088
36.500000	101.3	-164.8040
37.000000	101.3	-165.2910
37.500000	101.3	-165.7702
38.200001	101.3	-166.4293
38.700001	101.3	-166.8917
39.500000	101.3	-167.6150
40.000000	101.3	-168.0546
40.599998	101.3	-168.5685
41.200001	101.3	-169.0700
41.799999	101.3	-169.5631
42.500000	101.3	-170.1290
43.099998	101.3	-170.6022
43.700001	101.3	-171.0597
44.400002	101.3	-171.5734
45.000000	101.3	-172.0001
45.500000	101.3	-172.3484
46.200001	101.2	-172.8255
46.799999	101.2	-173.2233
47.500000	101.2	-173.6738
48.200001	101.2	-174.1107
48.700001	101.2	-174.4144
49.400002	101.2	-174.8262
50.000000	101.2	-175.1663
50.799999	101.2	-175.6114
51.500000	101.2	-176.0094
52.200001	101.2	-176.4251
53.000000	101.1	-176.9169
53.799999	101.1	-177.4077
54.500000	101.1	-177.8197
55.200001	101.1	-178.2085
56.000000	101.1	-178.6300
57.000000	101.1	-179.1362
58.000000	101.0	-179.6132
59.000000	101.0	179.9384
60.000000	101.0	179.4870
60.799999	101.0	179.1180
61.500000	101.0	178.8016
62.200001	100.9	178.4965
63.000000	100.9	178.1566
64.000000	100.9	177.7384
65.000000	100.9	177.3294
66.000000	100.8	176.9386
67.000000	100.8	176.5765
68.000000	100.8	176.2123
69.000000	100.8	175.8209
70.000000	100.8	175.4430
71.000000	100.8	175.1006
72.000000	100.7	174.7474
73.000000	100.7	174.3547
74.000000	100.7	173.9661
75.000000	100.6	173.6082
76.199997	100.6	173.1790
77.500000	100.5	172.6944
78.800003	100.5	172.2213
80.000000	100.4	171.8232
81.199997	100.4	171.4806
82.500000	100.3	171.1938
83.800003	100.3	170.9732
85.000000	100.3	170.7722
86.199997	100.2	170.5319
87.500000	100.2	170.2422
88.500000	100.2	170.0192
90.000000	100.1	169.6765
91.199997	100.1	169.3829
92.500000	100.1	169.0580
93.800003	100.1	168.7457
95.000000	100.0	168.4740
96.199997	100.0	168.2111
97.500000	100.0	167.9318
98.800003	99.9	167.6666
100.000000	99.9	167.4381
101.500000	99.9	167.1611
103.000000	99.8	166.8713
104.400002	99.8	166.5909
106.000000	99.7	166.2776
107.500000	99.7	166.0010
109.000000	99.7	165.7431
110.599998	99.6	165.4888
112.000000	99.6	165.2805
113.800003	99.5	165.0171
115.000000	99.5	164.8336
117.199997	99.4	164.4769
118.000000	99.4	164.3505
120.599998	99.3	164.0248
122.000000	99.3	163.8965
124.099998	99.2	163.7122
125.000000	99.2	163.6320
126.500000	99.2	163.4969
128.000000	99.1	163.3592
131.500000	99.0	163.0323
132.000000	99.0	162.9871
134.000000	99.0	162.8148
136.000000	98.9	162.6523
138.000000	98.9	162.4913
140.000000	98.8	162.3331
143.000000	98.8	162.1166
145.000000	98.7	161.9932
147.500000	98.6	161.8566
150.000000	98.6	161.7253
152.500000	98.5	161.5966
155.000000	98.5	161.4784
157.500000	98.4	161.3742
160.000000	98.3	161.2831
162.500000	98.3	161.2018
165.000000	98.2	161.1252
167.500000	98.2	161.0504
170.000000	98.1	160.9750
172.500000	98.1	160.8984
175.000000	98.0	160.8224
177.500000	98.0	160.7490
180.000000	97.9	160.6809
182.500000	97.9	160.6202
185.000000	97.8	160.5674
187.500000	97.8	160.5219
190.000000	97.7	160.4830
192.500000	97.7	160.4496
195.000000	97.6	160.4206
197.500000	97.6	160.3942
200.000000	97.6	160.3704
203.000000	97.5	160.3502
206.000000	97.5	160.3430
209.000000	97.4	160.3435
212.000000	97.4	160.3457
214.000000	97.4	160.3470
218.000000	97.3	160.3500
220.000000	97.3	160.3536
224.000000	97.2	160.3691
227.000000	97.1	160.3877
230.000000	97.1	160.4113
233.000000	97.1	160.4375
236.000000	97.0	160.4642
240.000000	97.0	160.5029
243.000000	96.9	160.5376
247.000000	96.9	160.5868
250.000000	96.8	160.6225
254.000000	96.8	160.6708
258.000000	96.7	160.7217
262.000000	96.7	160.7760
265.000000	96.6	160.8185
269.000000	96.6	160.8762
272.000000	96.6	160.9204
276.000000	96.5	160.9803
280.000000	96.5	161.0405
285.000000	96.4	161.1181
290.000000	96.4	161.2006
295.000000	96.3	161.2892
300.000000	96.3	161.3812
304.000000	96.2	161.4529
307.000000	96.2	161.5060
311.000000	96.2	161.5781
315.000000	96.1	161.6528
320.000000	96.1	161.7498
325.000000	96.0	161.8496
330.000000	96.0	161.9506
335.000000	95.9	162.0527
340.000000	95.9	162.1567
345.000000	95.9	162.2635
350.000000	95.8	162.3725
355.000000	95.8	162.4829
360.000000	95.7	162.5946
365.000000	95.7	162.7073
370.000000	95.6	162.8212
375.000000	95.6	162.9364
382.000000	95.5	163.0990
387.000000	95.5	163.2163
395.000000	95.4	163.4069
400.000000	95.4	163.5279
406.000000	95.4	163.6753
412.000000	95.3	163.8249
418.000000	95.3	163.9758
425.000000	95.2	164.1541
431.000000	95.2	164.3094
437.000000	95.1	164.4665
444.000000	95.1	164.6519
450.000000	95.0	164.8130
455.000000	95.0	164.9485
462.000000	94.9	165.1404
468.000000	94.9	165.3065
475.000000	94.9	165.5028
482.000000	94.8	165.7021
487.000000	94.8	165.8469
494.000000	94.7	166.0532
500.000000	94.7	166.2330
508.000000	94.6	166.4773
515.000000	94.6	166.6953
522.000000	94.5	166.9172
530.000000	94.5	167.1758
538.000000	94.4	167.4407
545.000000	94.4	167.6776
552.000000	94.3	167.9191
560.000000	94.3	168.2009
570.000000	94.2	168.5644
580.000000	94.1	168.9424
590.000000	94.1	169.3370
600.000000	94.0	169.7520
608.000000	94.0	170.1029
615.000000	93.9	170.4275
622.000000	93.9	170.7720
630.000000	93.8	171.1952
640.000000	93.8	171.7758
650.000000	93.7	172.4147
660.000000	93.7	173.0929
670.000000	93.6	173.7678
680.000000	93.6	174.3912
690.000000	93.6	174.9350
700.000000	93.6	175.4029
710.000000	93.6	175.8211
720.000000	93.6	176.2205
730.000000	93.5	176.6257
740.000000	93.5	177.0513
750.000000	93.5	177.5032
762.000000	93.4	178.0804
775.000000	93.4	178.7425
788.000000	93.3	179.4332
800.000000	93.3	-179.9132
812.000000	93.3	-179.2520
825.000000	93.2	-178.5299
838.000000	93.2	-177.7995
850.000000	93.2	-177.1168
862.000000	93.2	-176.4200
875.000000	93.1	-175.6379
885.000000	93.1	-175.0270
900.000000	93.1	-174.1373
912.000000	93.1	-173.4556
925.000000	93.1	-172.7116
938.000000	93.1	-171.9203
950.000000	93.1	-171.1487
962.000000	93.1	-170.3730
975.000000	93.1	-169.5662
988.000000	93.2	-168.8029
1000.000000	93.2	-168.1180
1015.000000	93.2	-167.2542
1030.000000	93.2	-166.3812
1044.000000	93.3	-165.5899
1060.000000	93.3	-164.7407
1075.000000	93.4	-163.9954
1090.000000	93.4	-163.2847
1106.000000	93.5	-162.5512
1120.000000	93.6	-161.9237
1138.000000	93.6	-161.1312
1150.000000	93.7	-160.6106
1172.000000	93.7	-159.6696
1180.000000	93.8	-159.3313
1206.000000	93.9	-158.2442
1220.000000	93.9	-157.6654
1241.000000	94.0	-156.8035
1250.000000	94.0	-156.4362
1265.000000	94.1	-155.8265
1280.000000	94.2	-155.2200
1315.000000	94.3	-153.8190
1320.000000	94.4	-153.6208
1340.000000	94.5	-152.8337
1360.000000	94.6	-152.0563
1380.000000	94.7	-151.2899
1400.000000	94.9	-150.5354
1430.000000	95.1	-149.4291
1450.000000	95.2	-148.7115
1475.000000	95.4	-147.8419
1500.000000	95.6	-147.0115
1525.000000	95.8	-146.2288
1550.000000	96.0	-145.5001
1575.000000	96.1	-144.8285
1600.000000	96.3	-144.2152
1625.000000	96.5	-143.6607
1650.000000	96.6	-143.1645
1675.000000	96.8	-142.7258
1700.000000	97.0	-142.3431
1725.000000	97.2	-142.0147
1750.000000	97.4	-141.7368
1775.000000	97.5	-141.5016
1800.000000	97.7	-141.3029
1825.000000	97.9	-141.1463
1850.000000	98.1	-141.0589
1875.000000	98.3	-141.0852
1900.000000	98.6	-141.2658
1925.000000	98.8	-141.6151
1950.000000	99.1	-142.1173
1975.000000	99.3	-142.7428
2000.000000	99.5	-143.4652
2030.000000	99.8	-144.4395
2060.000000	100.0	-145.5264
2090.000000	100.3	-146.7286
2120.000000	100.5	-148.0411
2140.000000	100.6	-148.9694
2180.000000	100.8	-150.9267
2200.000000	100.9	-151.9445
2240.000000	101.1	-154.0319
2270.000000	101.1	-155.6190
2300.000000	101.2	-157.1970
2330.000000	101.2	-158.7378
2360.000000	101.2	-160.2142
2400.000000	101.1	-162.0416
2430.000000	101.1	-163.2830
2470.000000	101.0	-164.7430
2500.000000	100.9	-165.6801
2540.000000	100.7	-166.7024
2580.000000	100.6	-167.4486
2620.000000	100.4	-167.9262
2650.000000	100.3	-168.1410
2690.000000	100.2	-168.3129
2720.000000	100.2	-168.4078
2760.000000	100.1	-168.5290
