* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 19, 2023 7:41:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Shine Classical W L
* Measurement: Shine Classical W L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.124	40.7457
20.299999	88.164	40.0633
20.600000	88.201	39.4116
20.900000	88.236	38.7889
21.200001	88.270	38.1912
21.400000	88.292	37.8017
21.799999	88.338	37.0305
22.000000	88.361	36.6417
22.400000	88.404	35.8454
22.700001	88.433	35.2323
23.000000	88.456	34.6155
23.299999	88.475	34.0110
23.600000	88.489	33.4313
24.000000	88.507	32.7067
24.299999	88.523	32.1929
24.700001	88.548	31.5248
25.000000	88.570	31.0200
25.400000	88.600	30.3317
25.799999	88.627	29.6371
26.200001	88.651	28.9593
26.500000	88.668	28.4715
26.900000	88.691	27.8477
27.200001	88.709	27.3922
27.600000	88.734	26.7904
28.000000	88.756	26.1920
28.500000	88.780	25.4618
29.000000	88.800	24.7689
29.500000	88.820	24.1092
30.000000	88.839	23.4604
30.400000	88.854	22.9394
30.700001	88.863	22.5481
31.100000	88.874	22.0302
31.500000	88.882	21.5189
32.000000	88.889	20.8914
32.500000	88.891	20.2882
33.000000	88.889	19.7406
33.500000	88.888	19.2745
34.000000	88.899	18.8700
34.500000	88.925	18.4509
35.000000	88.959	17.9384
35.500000	88.986	17.3083
36.000000	88.994	16.6174
36.500000	88.979	15.9570
37.000000	88.950	15.3958
37.500000	88.917	14.9406
38.200001	88.875	14.4164
38.700001	88.848	14.0840
39.500000	88.810	13.6242
40.000000	88.793	13.3859
40.599998	88.785	13.1243
41.200001	88.792	12.8485
41.799999	88.809	12.5302
42.500000	88.836	12.0850
43.099998	88.859	11.6464
43.700001	88.874	11.1975
44.400002	88.885	10.7208
45.000000	88.893	10.3652
45.500000	88.900	10.0965
46.200001	88.910	9.7589
46.799999	88.923	9.4897
47.500000	88.943	9.1176
48.200001	88.953	8.6129
48.700001	88.944	8.2010
49.400002	88.908	7.6558
50.000000	88.867	7.2560
50.799999	88.818	6.7318
51.500000	88.775	6.1674
52.200001	88.716	5.5114
53.000000	88.625	4.8298
53.799999	88.535	4.3931
54.500000	88.488	4.1541
55.200001	88.475	3.8911
56.000000	88.472	3.5222
57.000000	88.467	3.2332
58.000000	88.498	3.2316
59.000000	88.567	3.1343
60.000000	88.617	2.7850
60.799999	88.626	2.4260
61.500000	88.616	2.0948
62.200001	88.597	1.7584
63.000000	88.571	1.3698
64.000000	88.548	0.8643
65.000000	88.541	0.3488
66.000000	88.550	-0.1151
67.000000	88.571	-0.4764
68.000000	88.596	-0.7462
69.000000	88.609	-0.9460
70.000000	88.601	-1.0877
71.000000	88.572	-1.2323
72.000000	88.524	-1.4250
73.000000	88.469	-1.6780
74.000000	88.418	-2.0052
75.000000	88.379	-2.3909
76.199997	88.351	-2.8784
77.500000	88.336	-3.3464
78.800003	88.332	-3.7010
80.000000	88.325	-3.9875
81.199997	88.304	-4.3009
82.500000	88.259	-4.7313
83.800003	88.194	-5.3031
85.000000	88.120	-5.8904
86.199997	88.056	-6.3351
87.500000	88.039	-6.5789
88.500000	88.062	-6.6420
90.000000	88.113	-6.4215
91.199997	88.146	-6.0029
92.500000	88.146	-5.5882
93.800003	88.086	-5.5062
95.000000	87.985	-5.8560
96.199997	87.875	-6.5695
97.500000	87.789	-7.5183
98.800003	87.757	-8.3095
100.000000	87.758	-8.6376
101.500000	87.766	-8.4782
103.000000	87.751	-8.1635
104.400002	87.725	-8.2004
106.000000	87.747	-8.8146
107.500000	87.829	-9.5878
109.000000	87.907	-9.9167
110.599998	87.896	-9.6270
112.000000	87.815	-9.4392
113.800003	87.902	-10.6848
115.000000	88.340	-13.0186
117.199997	89.877	-20.1504
118.000000	90.415	-23.1479
120.599998	90.899	-28.6057
122.000000	90.353	-25.9091
124.099998	89.257	-17.7113
125.000000	88.849	-14.4009
126.500000	88.297	-10.1075
128.000000	87.856	-6.9254
131.500000	87.196	0.6514
132.000000	87.176	1.5928
134.000000	87.316	2.5697
136.000000	87.729	-1.1995
138.000000	88.375	-6.2341
140.000000	88.940	-10.2772
143.000000	88.767	-13.3884
145.000000	88.089	-13.2187
147.500000	87.451	-12.5812
150.000000	87.452	-13.0680
152.500000	87.777	-14.3704
155.000000	87.999	-15.5465
157.500000	87.920	-15.6581
160.000000	87.658	-14.7650
162.500000	87.416	-14.0705
165.000000	87.280	-14.0795
167.500000	87.216	-14.4206
170.000000	87.163	-14.7554
172.500000	87.102	-15.0593
175.000000	87.043	-15.3301
177.500000	86.995	-15.5383
180.000000	86.960	-15.7095
182.500000	86.933	-15.8630
185.000000	86.908	-16.0038
187.500000	86.886	-16.1335
190.000000	86.869	-16.2148
192.500000	86.855	-16.2234
195.000000	86.837	-16.2573
197.500000	86.805	-16.4398
200.000000	86.761	-16.7370
203.000000	86.713	-17.1753
