* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 19, 2023 6:11:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Shine Hifi L
* Measurement: Shine Hifi L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.834	43.0240
20.299999	87.903	42.5549
20.600000	87.977	41.9672
20.900000	88.042	41.2657
21.200001	88.086	40.5153
21.400000	88.104	40.0412
21.799999	88.122	39.2204
22.000000	88.129	38.8876
22.400000	88.153	38.3402
22.700001	88.183	37.9509
23.000000	88.220	37.5032
23.299999	88.251	36.9817
23.600000	88.268	36.4232
24.000000	88.266	35.7272
24.299999	88.253	35.3260
24.700001	88.240	34.9877
25.000000	88.247	34.8300
25.400000	88.288	34.6156
25.799999	88.351	34.2552
26.200001	88.416	33.7096
26.500000	88.455	33.2271
26.900000	88.493	32.5773
27.200001	88.519	32.1291
27.600000	88.560	31.5786
28.000000	88.615	31.0027
28.500000	88.693	30.1195
29.000000	88.748	29.0662
29.500000	88.766	28.0437
30.000000	88.766	27.2650
30.400000	88.781	26.8158
30.700001	88.809	26.5094
31.100000	88.863	26.0202
31.500000	88.922	25.3691
32.000000	88.968	24.3744
32.500000	88.973	23.3883
33.000000	88.954	22.6014
33.500000	88.938	22.0065
34.000000	88.938	21.4648
34.500000	88.941	20.8871
35.000000	88.936	20.3081
35.500000	88.925	19.8025
36.000000	88.918	19.3792
36.500000	88.921	18.9889
37.000000	88.929	18.5940
37.500000	88.940	18.1990
38.200001	88.959	17.6567
38.700001	88.975	17.2562
39.500000	88.990	16.6085
40.000000	88.993	16.2603
40.599998	89.002	15.9127
41.200001	89.023	15.5547
41.799999	89.046	15.1072
42.500000	89.057	14.4984
43.099998	89.052	13.9850
43.700001	89.041	13.5074
44.400002	89.026	12.9679
45.000000	89.011	12.5048
45.500000	88.997	12.1224
46.200001	88.977	11.5936
46.799999	88.960	11.1414
47.500000	88.938	10.6245
48.200001	88.916	10.1389
48.700001	88.903	9.8083
49.400002	88.884	9.3544
50.000000	88.865	8.9919
50.799999	88.837	8.6245
51.500000	88.823	8.4294
52.200001	88.828	8.2681
53.000000	88.846	8.0126
53.799999	88.860	7.6801
54.500000	88.862	7.3824
55.200001	88.858	7.1069
56.000000	88.852	6.8109
57.000000	88.846	6.4149
58.000000	88.838	5.9380
59.000000	88.824	5.4221
60.000000	88.813	4.9259
60.799999	88.810	4.5394
61.500000	88.810	4.2081
62.200001	88.809	3.8970
63.000000	88.806	3.5967
64.000000	88.797	3.3474
65.000000	88.791	3.2368
66.000000	88.800	3.1648
67.000000	88.818	2.9020
68.000000	88.803	2.3819
69.000000	88.743	1.8925
70.000000	88.681	1.5753
71.000000	88.644	1.2827
72.000000	88.624	0.9421
73.000000	88.614	0.5895
74.000000	88.611	0.2465
75.000000	88.607	-0.0720
76.199997	88.598	-0.4037
77.500000	88.582	-0.7198
78.800003	88.563	-1.0545
80.000000	88.544	-1.4207
81.199997	88.525	-1.8492
82.500000	88.503	-2.3329
83.800003	88.480	-2.7348
85.000000	88.465	-3.0118
86.199997	88.453	-3.2606
87.500000	88.435	-3.5449
88.500000	88.415	-3.7935
90.000000	88.372	-4.2150
91.199997	88.332	-4.4988
92.500000	88.302	-4.6942
93.800003	88.289	-4.8265
95.000000	88.278	-4.9291
96.199997	88.257	-5.0414
97.500000	88.218	-5.2266
98.800003	88.166	-5.5215
100.000000	88.114	-5.8577
101.500000	88.068	-6.1874
103.000000	88.076	-6.3011
104.400002	88.125	-6.3187
106.000000	88.175	-6.4163
107.500000	88.171	-6.6469
109.000000	88.126	-6.9544
110.599998	88.082	-7.3239
112.000000	88.060	-7.5875
113.800003	88.022	-7.5451
115.000000	87.960	-7.1432
117.199997	87.752	-5.6669
118.000000	87.670	-5.0226
120.599998	87.576	-4.2598
122.000000	87.608	-5.3569
124.099998	87.644	-7.6724
125.000000	87.660	-8.4282
126.500000	87.691	-9.1714
128.000000	87.718	-9.4062
131.500000	87.694	-9.2554
132.000000	87.683	-9.2352
134.000000	87.640	-9.2382
136.000000	87.625	-9.4136
138.000000	87.640	-9.7731
140.000000	87.657	-10.2280
143.000000	87.627	-10.7364
145.000000	87.590	-10.8848
147.500000	87.580	-10.9583
150.000000	87.609	-11.0046
152.500000	87.590	-11.0319
155.000000	87.518	-10.8457
157.500000	87.495	-10.6743
160.000000	87.509	-10.6193
162.500000	87.526	-10.4410
165.000000	87.549	-10.3963
167.500000	87.574	-10.6794
170.000000	87.598	-11.0974
172.500000	87.604	-11.5051
175.000000	87.578	-11.8688
177.500000	87.539	-12.1918
180.000000	87.516	-12.5403
182.500000	87.510	-12.9637
185.000000	87.501	-13.4335
187.500000	87.472	-13.8429
190.000000	87.425	-14.0875
192.500000	87.374	-14.2459
195.000000	87.317	-14.4918
197.500000	87.257	-14.9043
200.000000	87.202	-15.3630
203.000000	87.158	-15.6022
206.000000	87.139	-15.4286
209.000000	87.120	-15.2267
212.000000	87.089	-15.2084
214.000000	87.065	-15.2601
218.000000	87.008	-15.3664
220.000000	86.980	-15.4161
224.000000	86.941	-15.5585
227.000000	86.922	-15.6901
230.000000	86.902	-15.8175
233.000000	86.881	-15.9408
236.000000	86.859	-16.0668
240.000000	86.831	-16.2474
243.000000	86.807	-16.3851
247.000000	86.768	-16.5430
250.000000	86.738	-16.6245
254.000000	86.702	-16.6769
258.000000	86.678	-16.7056
262.000000	86.661	-16.7778
265.000000	86.647	-16.8641
269.000000	86.621	-16.9837
272.000000	86.600	-17.0592
276.000000	86.575	-17.1350
280.000000	86.555	-17.1874
285.000000	86.540	-17.2609
290.000000	86.535	-17.4178
295.000000	86.523	-17.6664
300.000000	86.497	-17.9163
304.000000	86.472	-18.0791
307.000000	86.453	-18.1833
311.000000	86.429	-18.3115
315.000000	86.404	-18.4333
320.000000	86.370	-18.5587
325.000000	86.338	-18.6366
330.000000	86.311	-18.6875
335.000000	86.289	-18.7476
340.000000	86.269	-18.8419
345.000000	86.248	-18.9579
350.000000	86.225	-19.0645
355.000000	86.203	-19.1538
360.000000	86.181	-19.2341
365.000000	86.160	-19.3110
370.000000	86.140	-19.3831
375.000000	86.120	-19.4476
382.000000	86.094	-19.5272
387.000000	86.076	-19.5796
395.000000	86.050	-19.6572
400.000000	86.035	-19.7052
406.000000	86.019	-19.7689
412.000000	86.002	-19.8389
418.000000	85.982	-19.8960
425.000000	85.960	-19.9216
431.000000	85.946	-19.9171
437.000000	85.938	-19.9156
444.000000	85.935	-19.9401
450.000000	85.938	-20.0001
455.000000	85.940	-20.0919
462.000000	85.935	-20.2662
468.000000	85.922	-20.4037
475.000000	85.901	-20.5122
482.000000	85.881	-20.5859
487.000000	85.867	-20.6316
494.000000	85.846	-20.6711
500.000000	85.829	-20.6693
508.000000	85.814	-20.6498
515.000000	85.803	-20.6481
522.000000	85.792	-20.6495
530.000000	85.778	-20.6229
538.000000	85.768	-20.5673
545.000000	85.762	-20.5133
552.000000	85.759	-20.4580
560.000000	85.759	-20.3994
570.000000	85.759	-20.3358
580.000000	85.759	-20.2566
590.000000	85.759	-20.1474
600.000000	85.764	-20.0011
608.000000	85.773	-19.8721
615.000000	85.784	-19.7626
622.000000	85.794	-19.6485
630.000000	85.808	-19.4963
640.000000	85.833	-19.2830
650.000000	85.867	-19.0693
660.000000	85.912	-18.8748
670.000000	85.964	-18.7504
680.000000	86.011	-18.6960
690.000000	86.051	-18.6515
700.000000	86.086	-18.5706
710.000000	86.123	-18.4445
720.000000	86.165	-18.2947
730.000000	86.211	-18.1342
740.000000	86.260	-17.9614
750.000000	86.313	-17.7751
762.000000	86.382	-17.5342
775.000000	86.466	-17.2583
788.000000	86.558	-16.9757
800.000000	86.651	-16.6998
812.000000	86.758	-16.4138
825.000000	86.892	-16.1550
838.000000	87.035	-16.0121
850.000000	87.164	-15.9561
862.000000	87.290	-15.9163
875.000000	87.427	-15.8613
885.000000	87.536	-15.8116
900.000000	87.708	-15.7485
912.000000	87.852	-15.7098
925.000000	88.017	-15.6873
938.000000	88.191	-15.7079
950.000000	88.358	-15.7785
962.000000	88.529	-15.8948
975.000000	88.719	-16.0629
988.000000	88.916	-16.2751
1000.000000	89.103	-16.5139
1015.000000	89.350	-16.8780
1030.000000	89.617	-17.3772
1044.000000	89.879	-18.0775
1060.000000	90.165	-19.2651
1075.000000	90.389	-20.7105
1090.000000	90.550	-22.2867
1106.000000	90.655	-23.8237
1120.000000	90.715	-24.8613
1138.000000	90.798	-25.7518
1150.000000	90.876	-26.1698
1172.000000	91.074	-26.8558
1180.000000	91.159	-27.1272
1206.000000	91.472	-28.2388
1220.000000	91.647	-29.0314
1241.000000	91.893	-30.4286
1250.000000	91.991	-31.0728
1265.000000	92.146	-32.1757
1280.000000	92.290	-33.2992
1315.000000	92.598	-35.9602
1320.000000	92.639	-36.3466
1340.000000	92.795	-37.9086
1360.000000	92.934	-39.4722
1380.000000	93.059	-40.9948
1400.000000	93.177	-42.4460
1430.000000	93.359	-44.5762
1450.000000	93.476	-46.0511
1475.000000	93.604	-47.9309
1500.000000	93.712	-49.7816
1525.000000	93.802	-51.5513
1550.000000	93.883	-53.2057
1575.000000	93.964	-54.7546
1600.000000	94.051	-56.2853
1625.000000	94.131	-57.8413
1650.000000	94.196	-59.3668
1675.000000	94.249	-60.8007
1700.000000	94.297	-62.1216
1725.000000	94.343	-63.3329
1750.000000	94.391	-64.4230
1775.000000	94.450	-65.3782
1800.000000	94.532	-66.2490
1825.000000	94.637	-67.1542
1850.000000	94.752	-68.1648
1875.000000	94.865	-69.2664
1900.000000	94.969	-70.4021
1925.000000	95.065	-71.5101
1950.000000	95.161	-72.5608
1975.000000	95.265	-73.5847
2000.000000	95.375	-74.6319
2030.000000	95.508	-75.9313
2060.000000	95.637	-77.2471
2090.000000	95.765	-78.5621
2120.000000	95.889	-79.8691
2140.000000	95.970	-80.7196
2180.000000	96.140	-82.3395
2200.000000	96.233	-83.1363
2240.000000	96.433	-84.7993
2270.000000	96.586	-86.1201
2300.000000	96.738	-87.4728
2330.000000	96.893	-88.8325
2360.000000	97.056	-90.2256
2400.000000	97.283	-92.2262
2430.000000	97.450	-93.8541
2470.000000	97.659	-96.1656
2500.000000	97.804	-97.9790
2540.000000	97.978	-100.4418
2580.000000	98.142	-102.9248
2620.000000	98.300	-105.4975
2650.000000	98.407	-107.5164
2690.000000	98.525	-110.2902
2720.000000	98.597	-112.3896
2760.000000	98.674	-115.2071
2800.000000	98.730	-118.0798
2850.000000	98.760	-121.7573
2900.000000	98.730	-125.4608
2950.000000	98.637	-129.0244
3000.000000	98.494	-132.3356
3040.000000	98.352	-134.7853
3070.000000	98.232	-136.4825
3110.000000	98.059	-138.5226
3150.000000	97.886	-140.3157
3200.000000	97.684	-142.2949
3250.000000	97.500	-144.0840
3300.000000	97.329	-145.7382
3350.000000	97.170	-147.2510
3400.000000	97.024	-148.6464
3450.000000	96.888	-149.9562
3500.000000	96.760	-151.1515
3550.000000	96.648	-152.2208
3600.000000	96.557	-153.2177
3650.000000	96.488	-154.2057
3700.000000	96.433	-155.2083
3750.000000	96.391	-156.2191
3820.000000	96.357	-157.6998
3870.000000	96.345	-158.8350
3950.000000	96.347	-160.8057
4000.000000	96.363	-162.2164
4060.000000	96.382	-164.1987
4120.000000	96.379	-166.5131
4180.000000	96.336	-169.1158
4250.000000	96.211	-172.4136
4310.000000	96.026	-175.2859
4370.000000	95.769	-178.0303
4440.000000	95.386	179.0871
4500.000000	94.988	177.0322
4550.000000	94.615	175.7144
4620.000000	94.047	174.5795
4680.000000	93.538	174.3427
4750.000000	92.955	174.9582
4820.000000	92.429	176.4284
4870.000000	92.109	177.9016
4940.000000	91.758	-179.5775
5000.000000	91.560	-177.1156
5080.000000	91.463	-173.6107
5150.000000	91.550	-170.5714
5220.000000	91.798	-167.8944
5300.000000	92.239	-165.7250
5380.000000	92.761	-164.8596
5450.000000	93.209	-165.2601
5520.000000	93.594	-166.6091
5600.000000	93.921	-169.0151
5700.000000	94.136	-172.7726
5800.000000	94.135	-176.7256
5900.000000	93.941	179.7039
6000.000000	93.606	176.9357
6080.000000	93.279	175.4009
6150.000000	92.975	174.5339
6220.000000	92.668	174.0662
6300.000000	92.327	173.9775
6400.000000	91.932	174.4736
6500.000000	91.595	175.5239
6600.000000	91.332	176.9633
6700.000000	91.145	178.6656
6800.000000	91.035	-179.4277
6900.000000	91.012	-177.3861
7000.000000	91.084	-175.3262
7100.000000	91.253	-173.3636
7200.000000	91.524	-171.5856
7300.000000	91.904	-170.1152
7400.000000	92.400	-169.1628
7500.000000	92.998	-169.0009
7620.000000	93.810	-170.2783
7750.000000	94.704	-174.1331
7880.000000	95.432	178.8156
8000.000000	95.763	169.6184
8120.000000	95.630	159.0558
8250.000000	94.911	148.2879
8380.000000	93.658	140.4023
8500.000000	92.173	136.6192
8620.000000	90.545	135.9969
8750.000000	88.789	138.1086
8850.000000	87.507	141.2922
9000.000000	85.752	148.2849
9120.000000	84.535	155.6599
9250.000000	83.483	165.2635
9380.000000	82.830	176.1696
9500.000000	82.696	-173.2422
9620.000000	83.043	-162.9409
9750.000000	83.867	-152.9647
9880.000000	84.982	-144.9185
10000.000000	86.117	-139.5307
10150.000000	87.525	-135.5367
10300.000000	88.820	-134.2336
10440.000000	89.871	-135.0006
10600.000000	90.850	-137.5847
10750.000000	91.545	-141.0200
10900.000000	92.037	-144.8311
11060.000000	92.377	-148.7184
11200.000000	92.571	-151.6580
11380.000000	92.761	-154.6647
11500.000000	92.897	-156.2563
11720.000000	93.248	-158.8561
11800.000000	93.416	-159.8844
12060.000000	94.066	-164.5197
12200.000000	94.409	-168.2817
12410.000000	94.759	-175.8184
12500.000000	94.810	-179.6140
12650.000000	94.727	173.7089
12800.000000	94.431	167.1396
13150.000000	93.087	154.7578
13200.000000	92.849	153.4016
13400.000000	91.855	148.7682
13600.000000	90.832	144.9504
13800.000000	89.758	141.6511
14000.000000	88.563	139.2452
14300.000000	86.470	139.2740
14500.000000	84.980	142.6015
14750.000000	83.353	149.7855
15000.000000	82.342	158.1182
15250.000000	82.006	165.2728
15500.000000	82.067	170.0263
15750.000000	82.226	172.3626
16000.000000	82.320	173.0287
16250.000000	82.338	172.9111
16500.000000	82.372	172.4253
16750.000000	82.540	171.1232
17000.000000	82.869	167.6786
17250.000000	83.187	160.4933
17500.000000	83.172	149.1346
17750.000000	82.524	135.7495
18000.000000	81.122	124.3734
18250.000000	79.045	118.2608
18500.000000	76.489	118.4102
18750.000000	73.703	123.9459
19000.000000	71.021	132.4443
19250.000000	68.817	140.7290
19500.000000	67.160	147.2109
19750.000000	65.763	152.6099
20000.000000	64.382	158.1232
