* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 19, 2023 6:08:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Shine Standard L
* Measurement: Shine Standard L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.062	38.7253
20.299999	85.153	38.4349
20.600000	85.261	37.9229
20.900000	85.362	37.1671
21.200001	85.434	36.2508
21.400000	85.463	35.6338
21.799999	85.486	34.5074
22.000000	85.488	34.0408
22.400000	85.495	33.3082
22.700001	85.514	32.8645
23.000000	85.547	32.4293
23.299999	85.589	31.9528
23.600000	85.635	31.4169
24.000000	85.694	30.6092
24.299999	85.730	29.9495
24.700001	85.762	29.0318
25.000000	85.772	28.3558
25.400000	85.768	27.5457
25.799999	85.754	26.9236
26.200001	85.753	26.5038
26.500000	85.773	26.2599
26.900000	85.829	25.8991
27.200001	85.886	25.5128
27.600000	85.962	24.7904
28.000000	86.017	23.8827
28.500000	86.040	22.6798
29.000000	86.023	21.5994
29.500000	85.986	20.7113
30.000000	85.941	20.0202
30.400000	85.907	19.6136
30.700001	85.889	19.3887
31.100000	85.882	19.1500
31.500000	85.897	18.9021
32.000000	85.936	18.4588
32.500000	85.973	17.8341
33.000000	85.995	17.1219
33.500000	86.004	16.4242
34.000000	86.012	15.7521
34.500000	86.023	15.0458
35.000000	86.028	14.2723
35.500000	86.019	13.4703
36.000000	85.994	12.7219
36.500000	85.960	12.0991
37.000000	85.931	11.6331
37.500000	85.922	11.2902
38.200001	85.953	10.8273
38.700001	85.995	10.3754
39.500000	86.046	9.4409
40.000000	86.054	8.8717
40.599998	86.048	8.3325
41.200001	86.044	7.9391
41.799999	86.045	7.5944
42.500000	86.042	7.1503
43.099998	86.022	6.7266
43.700001	85.982	6.3163
44.400002	85.916	5.9104
45.000000	85.857	5.6105
45.500000	85.810	5.3625
46.200001	85.749	5.0188
46.799999	85.713	4.7476
47.500000	85.710	4.3781
48.200001	85.746	3.7623
48.700001	85.776	3.1316
49.400002	85.800	2.1113
50.000000	85.803	1.2761
50.799999	85.799	0.3381
51.500000	85.793	-0.3319
52.200001	85.782	-0.8643
53.000000	85.763	-1.2930
53.799999	85.744	-1.5890
54.500000	85.723	-1.7995
55.200001	85.699	-1.9830
56.000000	85.674	-2.1921
57.000000	85.655	-2.5811
58.000000	85.638	-3.2024
59.000000	85.614	-3.9767
60.000000	85.580	-4.7603
60.799999	85.550	-5.3071
61.500000	85.527	-5.6968
62.200001	85.507	-6.0061
63.000000	85.488	-6.2715
64.000000	85.466	-6.4879
65.000000	85.443	-6.6111
66.000000	85.424	-6.6589
67.000000	85.422	-6.7506
68.000000	85.424	-7.0647
69.000000	85.410	-7.5591
70.000000	85.381	-8.1330
71.000000	85.344	-8.7644
72.000000	85.297	-9.4086
73.000000	85.246	-10.0109
74.000000	85.197	-10.5406
75.000000	85.154	-10.9963
76.199997	85.115	-11.4553
77.500000	85.087	-11.8802
78.800003	85.065	-12.3043
80.000000	85.036	-12.7200
81.199997	84.993	-13.1346
82.500000	84.938	-13.5690
83.800003	84.886	-14.0229
85.000000	84.848	-14.5109
86.199997	84.812	-15.0481
87.500000	84.772	-15.6000
88.500000	84.740	-15.9771
90.000000	84.682	-16.4389
91.199997	84.630	-16.6909
92.500000	84.578	-16.8790
93.800003	84.534	-17.0542
95.000000	84.497	-17.2472
96.199997	84.460	-17.4846
97.500000	84.413	-17.7891
98.800003	84.362	-18.1277
100.000000	84.317	-18.4683
101.500000	84.271	-18.9081
103.000000	84.232	-19.2385
104.400002	84.197	-19.3369
106.000000	84.151	-19.2324
107.500000	84.106	-19.1561
109.000000	84.065	-19.3950
110.599998	84.030	-19.9952
112.000000	84.014	-20.4417
113.800003	84.016	-20.2552
115.000000	84.008	-19.4568
117.199997	83.939	-16.5899
118.000000	83.923	-15.3734
120.599998	83.955	-14.1942
122.000000	83.882	-16.0591
124.099998	83.641	-19.7240
125.000000	83.550	-21.0061
126.500000	83.454	-22.4974
128.000000	83.410	-23.2375
131.500000	83.389	-23.5480
132.000000	83.387	-23.5964
134.000000	83.361	-23.9711
136.000000	83.288	-24.4988
138.000000	83.190	-24.9404
140.000000	83.114	-25.1589
143.000000	83.094	-25.2653
145.000000	83.084	-25.4578
147.500000	83.024	-25.9501
150.000000	82.942	-26.5435
152.500000	82.880	-26.7539
155.000000	82.841	-26.5800
157.500000	82.756	-26.4707
160.000000	82.621	-26.3372
162.500000	82.522	-26.0295
165.000000	82.470	-25.8747
167.500000	82.398	-26.1837
170.000000	82.292	-26.7872
172.500000	82.205	-27.2000
175.000000	82.176	-27.1489
177.500000	82.183	-26.7439
180.000000	82.196	-26.2304
182.500000	82.187	-25.6784
185.000000	82.134	-25.0472
187.500000	82.047	-24.4126
190.000000	82.001	-24.0148
192.500000	82.063	-24.2694
195.000000	82.166	-25.3497
197.500000	82.204	-26.9092
200.000000	82.169	-28.5810
203.000000	82.110	-30.3813
206.000000	82.081	-31.4227
209.000000	82.048	-31.3311
212.000000	81.997	-30.6093
214.000000	81.958	-30.2209
218.000000	81.885	-29.9092
220.000000	81.859	-29.8638
224.000000	81.811	-29.8437
227.000000	81.763	-29.9200
230.000000	81.704	-30.0870
233.000000	81.645	-30.2924
236.000000	81.593	-30.4686
240.000000	81.535	-30.6407
243.000000	81.489	-30.7704
247.000000	81.415	-30.9642
250.000000	81.356	-31.0833
254.000000	81.286	-31.1682
258.000000	81.233	-31.2181
262.000000	81.190	-31.3135
265.000000	81.157	-31.4152
269.000000	81.108	-31.5466
272.000000	81.068	-31.6234
276.000000	81.015	-31.6958
280.000000	80.969	-31.7488
285.000000	80.926	-31.8257
290.000000	80.890	-31.9739
295.000000	80.846	-32.2049
300.000000	80.788	-32.4385
304.000000	80.738	-32.5921
307.000000	80.701	-32.6919
311.000000	80.653	-32.8152
315.000000	80.605	-32.9319
320.000000	80.544	-33.0558
325.000000	80.484	-33.1409
330.000000	80.431	-33.1990
335.000000	80.383	-33.2601
340.000000	80.335	-33.3490
345.000000	80.284	-33.4536
350.000000	80.233	-33.5415
355.000000	80.184	-33.6048
360.000000	80.137	-33.6560
365.000000	80.091	-33.7046
370.000000	80.047	-33.7509
375.000000	80.004	-33.7937
382.000000	79.947	-33.8459
387.000000	79.907	-33.8777
395.000000	79.847	-33.9190
400.000000	79.812	-33.9440
406.000000	79.771	-33.9840
412.000000	79.730	-34.0369
418.000000	79.687	-34.0836
425.000000	79.639	-34.0989
431.000000	79.601	-34.0862
437.000000	79.568	-34.0768
444.000000	79.535	-34.0856
450.000000	79.511	-34.1244
455.000000	79.492	-34.1958
462.000000	79.458	-34.3433
468.000000	79.420	-34.4612
475.000000	79.371	-34.5497
482.000000	79.324	-34.6028
487.000000	79.291	-34.6311
494.000000	79.243	-34.6416
500.000000	79.203	-34.6127
508.000000	79.157	-34.5546
515.000000	79.120	-34.5170
522.000000	79.083	-34.4828
530.000000	79.039	-34.4172
538.000000	78.999	-34.3232
545.000000	78.968	-34.2344
552.000000	78.940	-34.1418
560.000000	78.912	-34.0373
570.000000	78.876	-33.9166
580.000000	78.839	-33.7887
