* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 20, 2023 2:10:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Joyodio Pauis L
* Measurement: KZ EDX Ultra Jan 20
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.630	33.0538
20.299999	87.665	32.3485
20.600000	87.700	31.6530
20.900000	87.734	30.9655
21.200001	87.767	30.2845
21.400000	87.788	29.8321
21.799999	87.829	28.9275
22.000000	87.847	28.4743
22.400000	87.879	27.5675
22.700001	87.899	26.8938
23.000000	87.915	26.2336
23.299999	87.929	25.5911
23.600000	87.940	24.9651
24.000000	87.951	24.1507
24.299999	87.956	23.5530
24.700001	87.958	22.7839
25.000000	87.954	22.2469
25.400000	87.946	21.6105
25.799999	87.943	21.0726
26.200001	87.954	20.5939
26.500000	87.974	20.2261
26.900000	88.011	19.6649
27.200001	88.040	19.1667
27.600000	88.071	18.4056
28.000000	88.086	17.5869
28.500000	88.081	16.5906
29.000000	88.062	15.7090
29.500000	88.041	14.9461
30.000000	88.029	14.2527
30.400000	88.026	13.7140
30.700001	88.026	13.3097
31.100000	88.029	12.7653
31.500000	88.032	12.2146
32.000000	88.034	11.5245
32.500000	88.034	10.8479
33.000000	88.030	10.2037
33.500000	88.024	9.5995
34.000000	88.019	9.0254
34.500000	88.013	8.4608
35.000000	88.005	7.8932
35.500000	87.991	7.3268
36.000000	87.971	6.7769
36.500000	87.947	6.2531
37.000000	87.922	5.7488
37.500000	87.899	5.2472
38.200001	87.867	4.5248
38.700001	87.842	3.9985
39.500000	87.800	3.1934
40.000000	87.776	2.7466
40.599998	87.759	2.2736
41.200001	87.760	1.8196
41.799999	87.776	1.3047
42.500000	87.792	0.5805
43.099998	87.786	-0.0742
43.700001	87.763	-0.6517
44.400002	87.728	-1.1899
45.000000	87.699	-1.5923
45.500000	87.673	-1.9252
46.200001	87.629	-2.3880
46.799999	87.583	-2.7639
47.500000	87.522	-3.1555
48.200001	87.459	-3.4487
48.700001	87.424	-3.5873
49.400002	87.403	-3.7693
50.000000	87.408	-4.0453
50.799999	87.415	-4.6553
51.500000	87.399	-5.2769
52.200001	87.366	-5.8287
53.000000	87.326	-6.3445
53.799999	87.290	-6.7936
54.500000	87.259	-7.1580
55.200001	87.230	-7.5040
56.000000	87.200	-7.8896
57.000000	87.164	-8.3727
58.000000	87.131	-8.8615
59.000000	87.098	-9.3536
60.000000	87.062	-9.8251
60.799999	87.030	-10.1759
61.500000	87.000	-10.4723
62.200001	86.964	-10.7643
63.000000	86.913	-11.0826
64.000000	86.836	-11.4205
65.000000	86.752	-11.6317
66.000000	86.687	-11.6991
67.000000	86.665	-11.7932
68.000000	86.673	-12.1366
69.000000	86.676	-12.6884
70.000000	86.667	-13.2842
71.000000	86.649	-13.8427
72.000000	86.624	-14.3328
73.000000	86.592	-14.7523
74.000000	86.551	-15.1096
75.000000	86.503	-15.4202
76.199997	86.439	-15.7709
77.500000	86.370	-16.1780
78.800003	86.315	-16.6648
80.000000	86.284	-17.2160
81.199997	86.270	-17.8766
82.500000	86.251	-18.6771
83.800003	86.198	-19.3738
85.000000	86.121	-19.6841
86.199997	86.049	-19.7262
87.500000	85.980	-19.6931
88.500000	85.932	-19.6608
90.000000	85.874	-19.6516
91.199997	85.838	-19.7413
92.500000	85.796	-19.9091
93.800003	85.750	-20.1305
95.000000	85.700	-20.4092
96.199997	85.634	-20.7200
97.500000	85.550	-20.9214
98.800003	85.482	-20.8479
100.000000	85.458	-20.6746
101.500000	85.450	-20.6941
103.000000	85.403	-21.0902
104.400002	85.312	-21.6656
106.000000	85.199	-22.3621
107.500000	85.127	-22.8923
109.000000	85.092	-23.1984
110.599998	85.058	-23.4724
112.000000	85.009	-24.0222
113.800003	85.031	-25.4709
115.000000	85.261	-26.8544
117.199997	86.311	-29.8544
118.000000	86.768	-30.9910
120.599998	87.609	-32.3312
122.000000	87.619	-29.9435
124.099998	87.423	-25.6254
125.000000	87.234	-24.9766
126.500000	86.742	-25.7134
128.000000	86.255	-27.8682
131.500000	86.435	-34.4348
132.000000	86.507	-35.1233
134.000000	86.431	-35.5201
136.000000	85.843	-31.8929
138.000000	85.218	-27.7909
140.000000	84.760	-26.1746
143.000000	84.272	-26.5072
145.000000	84.355	-27.7777
147.500000	84.980	-33.4473
150.000000	85.456	-41.0024
152.500000	85.217	-41.9357
155.000000	84.715	-35.2068
157.500000	84.469	-28.5806
160.000000	84.377	-25.9137
162.500000	84.260	-26.0497
165.000000	84.092	-26.8620
167.500000	83.910	-27.4457
170.000000	83.775	-27.7610
172.500000	83.705	-27.9436
175.000000	83.662	-28.1121
177.500000	83.629	-28.2794
180.000000	83.629	-28.3344
