* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 13, 2022 8:52:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Shortbus Eru R
* Measurement: KZ EDX Ultra Nov 13
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.756	-135.2075
20.299999	92.772	-136.1526
20.600000	92.780	-136.9689
20.900000	92.788	-137.6493
21.200001	92.806	-138.2209
21.400000	92.826	-138.5726
21.799999	92.882	-139.2624
22.000000	92.916	-139.6253
22.400000	92.987	-140.4123
22.700001	93.036	-141.0419
23.000000	93.079	-141.6765
23.299999	93.118	-142.2909
23.600000	93.154	-142.8742
24.000000	93.202	-143.6054
24.299999	93.240	-144.1354
24.700001	93.294	-144.8428
25.000000	93.334	-145.3852
25.400000	93.383	-146.1248
25.799999	93.427	-146.8704
26.200001	93.464	-147.6064
26.500000	93.489	-148.1456
26.900000	93.518	-148.8441
27.200001	93.537	-149.3514
27.600000	93.562	-150.0054
28.000000	93.585	-150.6363
28.500000	93.616	-151.4047
29.000000	93.648	-152.1734
29.500000	93.679	-152.9587
30.000000	93.705	-153.7564
30.400000	93.722	-154.3900
30.700001	93.732	-154.8551
31.100000	93.743	-155.4561
31.500000	93.754	-156.0334
32.000000	93.767	-156.7232
32.500000	93.781	-157.3836
33.000000	93.798	-158.0261
33.500000	93.818	-158.6674
34.000000	93.839	-159.3233
34.500000	93.857	-159.9957
35.000000	93.870	-160.6691
35.500000	93.878	-161.3203
36.000000	93.884	-161.9365
36.500000	93.889	-162.5226
37.000000	93.896	-163.0930
37.500000	93.902	-163.6568
38.200001	93.907	-164.4268
38.700001	93.908	-164.9507
39.500000	93.910	-165.7409
40.000000	93.912	-166.2166
40.599998	93.914	-166.7786
41.200001	93.916	-167.3323
41.799999	93.917	-167.8805
42.500000	93.918	-168.5242
43.099998	93.917	-169.0842
43.700001	93.913	-169.6451
44.400002	93.905	-170.2884
45.000000	93.898	-170.8252
45.500000	93.891	-171.2620
46.200001	93.884	-171.8588
46.799999	93.878	-172.3614
47.500000	93.874	-172.9462
48.200001	93.867	-173.5316
48.700001	93.860	-173.9439
49.400002	93.846	-174.4953
50.000000	93.831	-174.9290
50.799999	93.812	-175.4490
51.500000	93.799	-175.8744
52.200001	93.788	-176.3044
53.000000	93.776	-176.8180
53.799999	93.762	-177.3466
54.500000	93.748	-177.8098
55.200001	93.735	-178.2746
56.000000	93.723	-178.8227
57.000000	93.705	-179.5338
58.000000	93.681	179.7781
59.000000	93.657	179.1417
60.000000	93.633	178.5488
60.799999	93.613	178.1044
61.500000	93.596	177.7297
62.200001	93.579	177.3581
63.000000	93.559	176.9310
64.000000	93.531	176.3965
65.000000	93.498	175.8738
66.000000	93.463	175.3803
67.000000	93.429	174.9233
68.000000	93.398	174.4885
69.000000	93.371	174.0529
70.000000	93.342	173.6057
71.000000	93.309	173.1639
72.000000	93.276	172.7365
73.000000	93.243	172.3015
74.000000	93.207	171.8624
75.000000	93.171	171.4456
76.199997	93.131	170.9800
77.500000	93.095	170.4933
78.800003	93.064	169.9919
80.000000	93.035	169.4897
81.199997	93.000	168.9453
82.500000	92.950	168.3398
83.800003	92.889	167.7794
85.000000	92.830	167.3322
86.199997	92.774	166.9268
87.500000	92.713	166.5262
88.500000	92.663	166.2610
90.000000	92.592	165.9274
91.199997	92.542	165.6613
92.500000	92.493	165.3175
93.800003	92.445	164.9415
95.000000	92.402	164.6199
96.199997	92.364	164.3381
97.500000	92.323	164.0735
98.800003	92.277	163.8468
100.000000	92.230	163.6506
101.500000	92.167	163.3633
103.000000	92.106	162.9863
104.400002	92.054	162.5766
106.000000	92.002	162.1253
107.500000	91.956	161.7752
109.000000	91.906	161.4775
110.599998	91.844	161.1420
112.000000	91.788	160.8032
113.800003	91.736	160.4100
115.000000	91.726	160.2916
117.199997	91.769	160.5120
118.000000	91.795	160.6564
120.599998	91.765	160.7626
122.000000	91.622	160.7197
124.099998	91.357	160.7975
125.000000	91.267	160.7851
126.500000	91.157	160.6031
128.000000	91.071	160.3257
131.500000	90.843	160.1325
132.000000	90.808	160.1606
134.000000	90.698	160.2013
136.000000	90.642	159.8565
138.000000	90.608	159.3477
140.000000	90.600	159.1261
143.000000	90.652	159.1443
145.000000	90.684	159.0880
147.500000	90.664	158.9230
150.000000	90.592	158.7851
152.500000	90.520	158.4020
155.000000	90.450	157.7563
157.500000	90.387	157.2593
160.000000	90.336	157.0074
162.500000	90.282	156.8302
165.000000	90.217	156.6169
167.500000	90.144	156.3857
170.000000	90.065	156.2043
172.500000	89.987	156.0880
175.000000	89.913	156.0027
177.500000	89.843	155.9203
180.000000	89.772	155.8350
182.500000	89.701	155.7567
185.000000	89.634	155.6922
187.500000	89.571	155.6256
190.000000	89.509	155.5573
192.500000	89.443	155.5140
195.000000	89.369	155.5147
197.500000	89.293	155.5531
200.000000	89.221	155.5943
203.000000	89.149	155.6006
206.000000	89.085	155.5768
209.000000	89.020	155.5497
212.000000	88.949	155.5157
214.000000	88.896	155.5005
218.000000	88.792	155.5671
220.000000	88.746	155.6608
224.000000	88.668	155.8843
227.000000	88.614	156.0206
230.000000	88.560	156.1203
233.000000	88.508	156.1974
236.000000	88.455	156.2604
240.000000	88.384	156.3260
243.000000	88.328	156.3700
247.000000	88.250	156.4462
250.000000	88.189	156.5358
254.000000	88.110	156.7104
258.000000	88.042	156.9100
262.000000	87.980	157.0693
265.000000	87.933	157.1595
269.000000	87.865	157.2802
272.000000	87.813	157.3911
276.000000	87.747	157.5693
280.000000	87.687	157.7675
285.000000	87.623	158.0153
290.000000	87.569	158.2046
295.000000	87.507	158.3139
300.000000	87.432	158.4216
304.000000	87.370	158.5432
307.000000	87.324	158.6518
311.000000	87.264	158.8080
315.000000	87.204	158.9712
320.000000	87.129	159.1992
325.000000	87.055	159.4705
330.000000	86.987	159.7667
335.000000	86.924	160.0569
340.000000	86.865	160.3298
345.000000	86.806	160.5967
350.000000	86.746	160.8712
355.000000	86.687	161.1556
360.000000	86.629	161.4493
365.000000	86.574	161.7519
370.000000	86.520	162.0616
375.000000	86.468	162.3771
382.000000	86.397	162.8272
387.000000	86.349	163.1530
395.000000	86.277	163.6828
400.000000	86.235	164.0179
406.000000	86.187	164.4151
412.000000	86.141	164.8037
418.000000	86.094	165.1997
425.000000	86.042	165.6911
431.000000	86.004	166.1265
437.000000	85.973	166.5502
444.000000	85.942	167.0145
450.000000	85.920	167.3730
455.000000	85.902	167.6283
462.000000	85.869	167.9349
468.000000	85.833	168.2044
475.000000	85.786	168.5656
482.000000	85.740	168.9572
487.000000	85.708	169.2412
494.000000	85.663	169.6600
500.000000	85.626	170.0529
508.000000	85.584	170.5926
515.000000	85.552	171.0473
522.000000	85.519	171.4935
530.000000	85.480	172.0230
538.000000	85.446	172.5761
545.000000	85.420	173.0644
552.000000	85.397	173.5509
560.000000	85.375	174.0934
570.000000	85.348	174.7441
580.000000	85.321	175.3937
590.000000	85.294	176.0615
600.000000	85.269	176.7563
608.000000	85.254	177.3175
615.000000	85.243	177.8025
622.000000	85.231	178.2929
630.000000	85.219	178.8804
640.000000	85.212	179.6479
650.000000	85.215	-179.5782
660.000000	85.231	-178.8268
670.000000	85.255	-178.1552
680.000000	85.276	-177.5675
690.000000	85.289	-177.0040
700.000000	85.298	-176.4181
710.000000	85.308	-175.8005
720.000000	85.322	-175.1710
730.000000	85.339	-174.5404
740.000000	85.357	-173.9054
750.000000	85.379	-173.2635
762.000000	85.408	-172.4843
775.000000	85.447	-171.6351
788.000000	85.492	-170.7869
800.000000	85.539	-169.9928
812.000000	85.598	-169.1909
825.000000	85.678	-168.3748
838.000000	85.764	-167.6744
850.000000	85.838	-167.1047
862.000000	85.907	-166.5514
875.000000	85.978	-165.9390
885.000000	86.036	-165.4584
