* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 27, 2022 5:13:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Shortbus Prometheus L
* Measurement: Shortbus Prometheus L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.680	-114.2491
20.299999	89.764	-115.0198
20.600000	89.843	-115.7675
20.900000	89.918	-116.4829
21.200001	89.991	-117.1622
21.400000	90.039	-117.5974
21.799999	90.137	-118.4373
22.000000	90.187	-118.8492
22.400000	90.287	-119.6715
22.700001	90.361	-120.2941
23.000000	90.434	-120.9236
23.299999	90.504	-121.5570
23.600000	90.570	-122.1895
24.000000	90.654	-123.0225
24.299999	90.712	-123.6327
24.700001	90.787	-124.4211
25.000000	90.842	-124.9930
25.400000	90.914	-125.7342
25.799999	90.985	-126.4614
26.200001	91.055	-127.1831
26.500000	91.105	-127.7210
26.900000	91.169	-128.4274
27.200001	91.216	-128.9429
27.600000	91.276	-129.6066
28.000000	91.337	-130.2493
28.500000	91.415	-131.0484
29.000000	91.491	-131.8685
29.500000	91.560	-132.7050
30.000000	91.619	-133.5224
30.400000	91.662	-134.1406
30.700001	91.694	-134.5814
31.100000	91.736	-135.1488
31.500000	91.780	-135.7073
32.000000	91.834	-136.4093
32.500000	91.885	-137.1135
33.000000	91.932	-137.8044
33.500000	91.976	-138.4747
34.000000	92.021	-139.1331
34.500000	92.065	-139.7924
35.000000	92.105	-140.4542
35.500000	92.142	-141.1065
36.000000	92.174	-141.7339
36.500000	92.203	-142.3257
37.000000	92.233	-142.8776
37.500000	92.263	-143.3929
38.200001	92.312	-144.0793
38.700001	92.351	-144.5716
39.500000	92.412	-145.3926
40.000000	92.446	-145.9151
40.599998	92.481	-146.5310
41.200001	92.514	-147.1285
41.799999	92.543	-147.7119
42.500000	92.576	-148.3750
43.099998	92.603	-148.9307
43.700001	92.631	-149.4886
44.400002	92.662	-150.1523
45.000000	92.686	-150.7172
45.500000	92.704	-151.1711
46.200001	92.732	-151.7830
46.799999	92.757	-152.3028
47.500000	92.786	-152.9117
48.200001	92.811	-153.5068
48.700001	92.827	-153.9133
49.400002	92.849	-154.4518
50.000000	92.867	-154.8892
50.799999	92.892	-155.4601
51.500000	92.913	-155.9737
52.200001	92.928	-156.4974
53.000000	92.936	-157.0675
53.799999	92.942	-157.5830
54.500000	92.951	-158.0085
55.200001	92.964	-158.4324
56.000000	92.983	-158.9273
57.000000	93.011	-159.5742
58.000000	93.041	-160.2534
59.000000	93.066	-160.9490
60.000000	93.084	-161.6386
60.799999	93.091	-162.1581
61.500000	93.095	-162.5811
62.200001	93.098	-162.9837
63.000000	93.101	-163.4314
64.000000	93.103	-163.9797
65.000000	93.105	-164.5175
66.000000	93.108	-165.0458
67.000000	93.112	-165.5571
68.000000	93.119	-166.0355
69.000000	93.133	-166.4833
70.000000	93.151	-166.9312
71.000000	93.165	-167.3920
72.000000	93.173	-167.8408
73.000000	93.175	-168.2588
74.000000	93.178	-168.6699
75.000000	93.183	-169.1162
76.199997	93.187	-169.7064
77.500000	93.191	-170.3703
78.800003	93.199	-171.0397
80.000000	93.206	-171.6528
81.199997	93.209	-172.2442
82.500000	93.202	-172.8470
83.800003	93.187	-173.4096
85.000000	93.168	-173.9132
86.199997	93.148	-174.4119
87.500000	93.127	-174.9313
88.500000	93.115	-175.3073
90.000000	93.102	-175.8297
91.199997	93.094	-176.2066
92.500000	93.084	-176.5838
93.800003	93.071	-176.9648
95.000000	93.053	-177.3387
96.199997	93.031	-177.7235
97.500000	93.005	-178.1307
98.800003	92.982	-178.5190
100.000000	92.965	-178.8659
101.500000	92.947	-179.2831
103.000000	92.930	-179.6683
104.400002	92.916	-179.9987
106.000000	92.905	179.6335
107.500000	92.896	179.2725
109.000000	92.886	178.8857
