* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 27, 2022 8:38:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Shuoer Tape Pro
* Measurement: DQ6S R Jan 27
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.349	63.6648
20.299999	96.427	62.8981
20.600000	96.503	62.1431
20.900000	96.578	61.3996
21.200001	96.651	60.6669
21.400000	96.700	60.1840
21.799999	96.795	59.2300
22.000000	96.842	58.7582
22.400000	96.934	57.8236
22.700001	97.001	57.1302
23.000000	97.065	56.4444
23.299999	97.126	55.7683
23.600000	97.185	55.1040
24.000000	97.259	54.2394
24.299999	97.313	53.6073
24.700001	97.382	52.7842
25.000000	97.434	52.1785
25.400000	97.500	51.3814
25.799999	97.566	50.5919
26.200001	97.629	49.8078
26.500000	97.674	49.2231
26.900000	97.733	48.4488
27.200001	97.774	47.8732
27.600000	97.827	47.1145
28.000000	97.877	46.3684
28.500000	97.935	45.4580
29.000000	97.990	44.5750
29.500000	98.043	43.7179
30.000000	98.096	42.8817
30.400000	98.138	42.2236
30.700001	98.169	41.7348
31.100000	98.210	41.0884
31.500000	98.250	40.4474
32.000000	98.299	39.6536
32.500000	98.345	38.8690
33.000000	98.390	38.0946
33.500000	98.432	37.3299
34.000000	98.471	36.5741
34.500000	98.508	35.8279
35.000000	98.543	35.0944
35.500000	98.574	34.3768
36.000000	98.604	33.6756
36.500000	98.632	32.9891
37.000000	98.658	32.3150
37.500000	98.683	31.6527
38.200001	98.716	30.7443
38.700001	98.738	30.1065
39.500000	98.770	29.1027
40.000000	98.788	28.4881
40.599998	98.808	27.7659
41.200001	98.826	27.0583
41.799999	98.843	26.3623
42.500000	98.861	25.5660
43.099998	98.874	24.8996
43.700001	98.886	24.2467
44.400002	98.900	23.4971
45.000000	98.911	22.8618
45.500000	98.919	22.3378
46.200001	98.929	21.6155
46.799999	98.937	21.0091
47.500000	98.945	20.3177
48.200001	98.951	19.6442
48.700001	98.956	19.1750
49.400002	98.962	18.5323
50.000000	98.967	17.9886
50.799999	98.970	17.2698
51.500000	98.969	16.6575
52.200001	98.967	16.0729
53.000000	98.964	15.4344
53.799999	98.962	14.8120
54.500000	98.961	14.2733
55.200001	98.961	13.7394
56.000000	98.961	13.1337
57.000000	98.962	12.3776
58.000000	98.962	11.6179
59.000000	98.958	10.8589
60.000000	98.949	10.1101
60.799999	98.937	9.5293
61.500000	98.925	9.0383
62.200001	98.911	8.5609
63.000000	98.895	8.0286
64.000000	98.874	7.3821
65.000000	98.853	6.7520
66.000000	98.833	6.1284
67.000000	98.810	5.5065
68.000000	98.784	4.9006
69.000000	98.756	4.3284
70.000000	98.729	3.7824
71.000000	98.702	3.2524
72.000000	98.677	2.7413
73.000000	98.655	2.2437
74.000000	98.635	1.7454
75.000000	98.616	1.2408
76.199997	98.590	0.6362
77.500000	98.560	0.0007
78.800003	98.528	-0.6176
80.000000	98.500	-1.1912
81.199997	98.470	-1.7775
82.500000	98.433	-2.4227
83.800003	98.389	-3.0573
85.000000	98.343	-3.6132
86.199997	98.293	-4.1328
87.500000	98.237	-4.6553
88.500000	98.194	-5.0289
90.000000	98.135	-5.5446
91.199997	98.093	-5.9365
92.500000	98.051	-6.3635
93.800003	98.007	-6.7928
95.000000	97.963	-7.1857
96.199997	97.919	-7.5736
97.500000	97.871	-7.9839
98.800003	97.825	-8.3765
100.000000	97.783	-8.7166
101.500000	97.730	-9.1047
103.000000	97.678	-9.4606
104.400002	97.632	-9.7944
106.000000	97.584	-10.2012
107.500000	97.541	-10.5841
109.000000	97.496	-10.9287
110.599998	97.442	-11.2634
112.000000	97.387	-11.5929
113.800003	97.313	-12.1817
115.000000	97.272	-12.7143
117.199997	97.232	-13.9540
118.000000	97.220	-14.4412
120.599998	97.119	-15.4541
122.000000	97.039	-15.3698
124.099998	96.933	-14.8743
125.000000	96.891	-14.6703
126.500000	96.829	-14.4097
128.000000	96.782	-14.2745
131.500000	96.703	-14.3645
132.000000	96.690	-14.4031
134.000000	96.633	-14.5933
136.000000	96.571	-14.8289
138.000000	96.517	-15.1018
140.000000	96.470	-15.3969
143.000000	96.392	-15.7967
145.000000	96.329	-16.0049
147.500000	96.250	-16.2285
150.000000	96.176	-16.4851
152.500000	96.101	-16.7808
155.000000	96.020	-17.0221
157.500000	95.940	-17.1647
160.000000	95.865	-17.2823
162.500000	95.793	-17.4517
165.000000	95.718	-17.6725
167.500000	95.639	-17.8850
170.000000	95.557	-18.0420
172.500000	95.477	-18.1427
175.000000	95.402	-18.2108
177.500000	95.330	-18.2687
180.000000	95.260	-18.3336
182.500000	95.193	-18.4162
185.000000	95.127	-18.5115
187.500000	95.061	-18.6045
190.000000	94.994	-18.6838
192.500000	94.927	-18.7470
195.000000	94.860	-18.7958
197.500000	94.792	-18.8269
200.000000	94.727	-18.8344
203.000000	94.652	-18.8122
206.000000	94.581	-18.7780
209.000000	94.512	-18.7603
212.000000	94.439	-18.7583
