* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 25, 2023 1:10:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Simgot EA500 Black  L
* Measurement: Simgot EA500 Black  L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.226	58.0066
20.299999	101.286	57.3138
20.600000	101.340	56.6290
20.900000	101.389	55.9533
21.200001	101.435	55.2891
21.400000	101.466	54.8542
21.799999	101.531	54.0044
22.000000	101.564	53.5895
22.400000	101.633	52.7770
22.700001	101.687	52.1792
23.000000	101.741	51.5879
23.299999	101.794	51.0013
23.600000	101.847	50.4192
24.000000	101.915	49.6520
24.299999	101.963	49.0853
24.700001	102.022	48.3438
25.000000	102.062	47.7994
25.400000	102.112	47.0898
25.799999	102.159	46.3992
26.200001	102.204	45.7275
26.500000	102.237	45.2355
26.900000	102.278	44.5937
27.200001	102.306	44.1213
27.600000	102.341	43.5013
28.000000	102.374	42.8906
28.500000	102.416	42.1401
29.000000	102.459	41.4053
29.500000	102.502	40.6866
30.000000	102.543	39.9817
30.400000	102.576	39.4257
30.700001	102.601	39.0132
31.100000	102.634	38.4704
31.500000	102.665	37.9374
32.000000	102.701	37.2856
32.500000	102.733	36.6449
33.000000	102.764	36.0084
33.500000	102.793	35.3752
34.000000	102.821	34.7553
34.500000	102.849	34.1613
35.000000	102.877	33.5964
35.500000	102.910	33.0503
36.000000	102.946	32.5087
36.500000	102.983	31.9653
37.000000	103.017	31.4245
37.500000	103.045	30.8932
38.200001	103.074	30.1692
38.700001	103.088	29.6624
39.500000	103.103	28.8641
40.000000	103.111	28.3743
40.599998	103.124	27.7983
41.200001	103.140	27.2366
41.799999	103.157	26.6894
42.500000	103.178	26.0691
43.099998	103.197	25.5555
43.700001	103.215	25.0616
44.400002	103.236	24.5047
45.000000	103.252	24.0322
45.500000	103.264	23.6371
46.200001	103.278	23.0881
46.799999	103.287	22.6331
47.500000	103.294	22.1244
48.200001	103.298	21.6302
48.700001	103.300	21.2804
49.400002	103.303	20.7931
50.000000	103.308	20.3785
50.799999	103.321	19.8322
51.500000	103.334	19.3627
52.200001	103.346	18.9049
53.000000	103.356	18.4006
53.799999	103.362	17.9188
54.500000	103.369	17.5131
55.200001	103.378	17.1160
56.000000	103.390	16.6641
57.000000	103.404	16.0888
58.000000	103.412	15.4993
59.000000	103.415	14.9131
60.000000	103.417	14.3376
60.799999	103.416	13.8804
61.500000	103.415	13.4847
62.200001	103.412	13.1016
63.000000	103.408	12.6921
64.000000	103.404	12.2354
65.000000	103.406	11.8121
66.000000	103.409	11.3687
67.000000	103.410	10.8885
68.000000	103.404	10.4053
69.000000	103.390	9.9531
70.000000	103.373	9.5249
71.000000	103.352	9.0995
72.000000	103.327	8.6779
73.000000	103.302	8.2820
74.000000	103.281	7.9286
75.000000	103.265	7.6213
76.199997	103.254	7.3185
77.500000	103.256	7.0476
78.800003	103.275	6.7728
80.000000	103.302	6.4602
81.199997	103.328	6.0585
82.500000	103.348	5.5264
83.800003	103.355	4.9200
85.000000	103.348	4.3317
86.199997	103.328	3.7711
87.500000	103.300	3.2290
88.500000	103.277	2.8539
90.000000	103.244	2.3378
91.199997	103.220	1.9548
92.500000	103.196	1.5589
93.800003	103.175	1.1708
95.000000	103.158	0.8172
96.199997	103.140	0.4736
97.500000	103.119	0.1197
98.800003	103.096	-0.2151
100.000000	103.073	-0.5121
101.500000	103.044	-0.8643
103.000000	103.020	-1.1949
104.400002	103.001	-1.4963
106.000000	102.981	-1.8496
107.500000	102.958	-2.2057
