* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 25, 2023 1:11:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Simgot EA500 Black  R
* Measurement: Simgot EA500 Black  R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.420	55.1434
20.299999	100.473	54.4629
20.600000	100.520	53.7909
20.900000	100.563	53.1263
21.200001	100.604	52.4700
21.400000	100.631	52.0383
21.799999	100.686	51.1923
22.000000	100.715	50.7791
22.400000	100.775	49.9738
22.700001	100.820	49.3867
23.000000	100.867	48.8112
23.299999	100.914	48.2435
23.600000	100.960	47.6813
24.000000	101.021	46.9379
24.299999	101.064	46.3856
24.700001	101.116	45.6593
25.000000	101.151	45.1255
25.400000	101.194	44.4318
25.799999	101.234	43.7599
26.200001	101.273	43.1086
26.500000	101.301	42.6309
26.900000	101.336	42.0048
27.200001	101.361	41.5407
27.600000	101.391	40.9277
28.000000	101.418	40.3217
28.500000	101.452	39.5791
29.000000	101.485	38.8607
29.500000	101.519	38.1687
30.000000	101.554	37.4964
30.400000	101.582	36.9662
30.700001	101.604	36.5705
31.100000	101.634	36.0451
31.500000	101.662	35.5240
32.000000	101.693	34.8827
32.500000	101.719	34.2556
33.000000	101.743	33.6424
33.500000	101.767	33.0413
34.000000	101.792	32.4515
34.500000	101.817	31.8743
35.000000	101.842	31.3115
35.500000	101.869	30.7638
36.000000	101.897	30.2305
36.500000	101.926	29.7095
37.000000	101.953	29.1986
37.500000	101.976	28.6967
38.200001	101.996	28.0083
38.700001	102.004	27.5270
39.500000	102.008	26.7771
40.000000	102.011	26.3228
40.599998	102.018	25.7934
41.200001	102.029	25.2786
41.799999	102.043	24.7725
42.500000	102.062	24.1862
43.099998	102.079	23.6874
43.700001	102.095	23.1970
44.400002	102.110	22.6393
45.000000	102.119	22.1724
45.500000	102.126	21.7908
46.200001	102.133	21.2712
46.799999	102.137	20.8417
47.500000	102.141	20.3538
48.200001	102.142	19.8710
48.700001	102.140	19.5289
49.400002	102.136	19.0607
50.000000	102.136	18.6738
50.799999	102.142	18.1768
51.500000	102.151	17.7559
52.200001	102.160	17.3473
53.000000	102.168	16.8953
53.799999	102.173	16.4559
54.500000	102.177	16.0779
55.200001	102.182	15.7039
56.000000	102.188	15.2825
