* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 26, 2023 12:19:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Simgot EA500 RED Y1
* Measurement: KZ EDX Ultra Feb 26
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.047	54.1096
20.299999	103.101	53.3925
20.600000	103.149	52.6876
20.900000	103.193	51.9942
21.200001	103.235	51.3121
21.400000	103.263	50.8639
21.799999	103.322	49.9824
22.000000	103.352	49.5488
22.400000	103.416	48.6935
22.700001	103.464	48.0616
23.000000	103.512	47.4371
23.299999	103.558	46.8212
23.600000	103.604	46.2155
24.000000	103.662	45.4264
24.299999	103.704	44.8489
24.700001	103.756	44.0959
25.000000	103.791	43.5415
25.400000	103.836	42.8127
25.799999	103.878	42.0951
26.200001	103.918	41.3915
26.500000	103.946	40.8757
26.900000	103.981	40.2054
27.200001	104.004	39.7150
27.600000	104.033	39.0736
28.000000	104.062	38.4409
28.500000	104.098	37.6571
29.000000	104.134	36.8841
29.500000	104.167	36.1308
30.000000	104.199	35.4034
30.400000	104.225	34.8387
30.700001	104.245	34.4226
31.100000	104.273	33.8742
31.500000	104.300	33.3302
32.000000	104.330	32.6538
32.500000	104.355	31.9807
33.000000	104.376	31.3142
33.500000	104.395	30.6632
34.000000	104.414	30.0369
34.500000	104.435	29.4357
35.000000	104.459	28.8481
35.500000	104.487	28.2588
36.000000	104.516	27.6627
36.500000	104.544	27.0674
37.000000	104.569	26.4841
37.500000	104.588	25.9170
38.200001	104.605	25.1448
38.700001	104.611	24.6067
39.500000	104.615	23.7748
40.000000	104.618	23.2713
40.599998	104.627	22.6752
41.200001	104.640	22.0840
41.799999	104.653	21.5042
42.500000	104.669	20.8513
43.099998	104.684	20.3098
43.700001	104.698	19.7747
44.400002	104.709	19.1495
45.000000	104.710	18.6203
45.500000	104.705	18.2002
46.200001	104.693	17.6683
46.799999	104.682	17.2698
47.500000	104.674	16.8427
48.200001	104.672	16.4126
48.700001	104.673	16.0866
49.400002	104.677	15.5977
50.000000	104.685	15.1512
50.799999	104.702	14.5244
51.500000	104.717	13.9556
52.200001	104.727	13.3854
53.000000	104.727	12.7742
53.799999	104.720	12.2471
54.500000	104.715	11.8524
55.200001	104.715	11.4940
56.000000	104.718	11.1006
57.000000	104.723	10.6015
58.000000	104.725	10.0682
59.000000	104.725	9.4862
60.000000	104.723	8.8555
60.799999	104.717	8.3340
61.500000	104.711	7.8814
62.200001	104.705	7.4411
63.000000	104.700	6.9585
64.000000	104.692	6.3896
65.000000	104.681	5.8578
66.000000	104.664	5.3556
67.000000	104.643	4.8677
68.000000	104.619	4.3790
69.000000	104.588	3.8929
70.000000	104.556	3.4188
71.000000	104.529	2.9449
72.000000	104.508	2.4533
73.000000	104.494	1.9574
74.000000	104.485	1.4965
75.000000	104.478	1.1034
76.199997	104.473	0.7149
77.500000	104.468	0.3175
78.800003	104.456	-0.1525
80.000000	104.429	-0.6760
81.199997	104.385	-1.2452
82.500000	104.330	-1.8375
83.800003	104.284	-2.3417
85.000000	104.263	-2.7706
86.199997	104.249	-3.2228
87.500000	104.224	-3.6756
88.500000	104.199	-3.9591
90.000000	104.158	-4.3214
91.199997	104.121	-4.5901
92.500000	104.081	-4.8477
93.800003	104.048	-5.0667
95.000000	104.027	-5.2692
96.199997	104.014	-5.5059
97.500000	104.002	-5.8181
98.800003	103.986	-6.1998
100.000000	103.966	-6.6103
101.500000	103.931	-7.1508
103.000000	103.891	-7.6265
104.400002	103.862	-7.9957
106.000000	103.837	-8.4108
107.500000	103.810	-8.8126
109.000000	103.776	-9.1987
110.599998	103.732	-9.5626
112.000000	103.689	-9.8550
113.800003	103.620	-10.2771
115.000000	103.562	-10.6302
117.199997	103.431	-11.4138
118.000000	103.379	-11.6848
120.599998	103.259	-12.1219
122.000000	103.254	-12.1442
