* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 25, 2023 12:52:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Simgot EA500 Red  R
* Measurement: Simgot EA500 Red R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.324	55.8790
20.299999	100.380	55.1818
20.600000	100.429	54.4964
20.900000	100.475	53.8224
21.200001	100.517	53.1602
21.400000	100.546	52.7256
21.799999	100.606	51.8736
22.000000	100.637	51.4559
22.400000	100.701	50.6355
22.700001	100.749	50.0304
23.000000	100.798	49.4318
23.299999	100.846	48.8393
23.600000	100.892	48.2542
24.000000	100.951	47.4892
24.299999	100.993	46.9299
24.700001	101.044	46.2046
25.000000	101.079	45.6743
25.400000	101.124	44.9806
25.799999	101.168	44.2975
26.200001	101.210	43.6239
26.500000	101.240	43.1266
26.900000	101.276	42.4766
27.200001	101.300	41.9994
27.600000	101.331	41.3754
28.000000	101.360	40.7625
28.500000	101.396	40.0105
29.000000	101.433	39.2787
29.500000	101.470	38.5709
30.000000	101.507	37.8817
30.400000	101.538	37.3361
30.700001	101.562	36.9279
31.100000	101.593	36.3869
31.500000	101.622	35.8546
32.000000	101.654	35.2082
32.500000	101.683	34.5806
33.000000	101.712	33.9594
33.500000	101.741	33.3356
34.000000	101.770	32.7121
34.500000	101.797	32.0998
35.000000	101.823	31.5058
35.500000	101.851	30.9290
36.000000	101.880	30.3642
36.500000	101.908	29.8092
37.000000	101.934	29.2658
37.500000	101.954	28.7366
38.200001	101.970	28.0211
38.700001	101.975	27.5276
39.500000	101.977	26.7679
40.000000	101.979	26.3105
40.599998	101.986	25.7739
41.200001	101.998	25.2441
41.799999	102.013	24.7185
42.500000	102.032	24.1146
43.099998	102.049	23.6076
43.700001	102.066	23.1100
44.400002	102.081	22.5457
45.000000	102.091	22.0862
45.500000	102.099	21.7230
46.200001	102.112	21.2322
46.799999	102.125	20.8076
47.500000	102.138	20.2896
48.200001	102.145	19.7498
48.700001	102.145	19.3608
49.400002	102.140	18.8315
50.000000	102.137	18.4050
50.799999	102.140	17.8755
51.500000	102.148	17.4318
52.200001	102.157	16.9952
