* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 28, 2022 12:09:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Simgot EM2R L
* Measurement: Simgot EM2R L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.478	4.7349
20.299999	99.451	4.0255
20.600000	99.419	3.3405
20.900000	99.384	2.6777
21.200001	99.349	2.0334
21.400000	99.327	1.6126
21.799999	99.287	0.7893
22.000000	99.269	0.3860
22.400000	99.237	-0.4045
22.700001	99.215	-0.9841
23.000000	99.194	-1.5525
23.299999	99.173	-2.1095
23.600000	99.152	-2.6546
24.000000	99.125	-3.3625
24.299999	99.104	-3.8802
24.700001	99.075	-4.5568
25.000000	99.052	-5.0581
25.400000	99.019	-5.7235
25.799999	98.986	-6.3885
26.200001	98.953	-7.0526
26.500000	98.926	-7.5483
26.900000	98.888	-8.2036
27.200001	98.855	-8.6882
27.600000	98.809	-9.3212
28.000000	98.761	-9.9330
28.500000	98.701	-10.6614
29.000000	98.647	-11.3539
29.500000	98.598	-12.0306
30.000000	98.551	-12.7137
30.400000	98.514	-13.2683
30.700001	98.485	-13.6837
31.100000	98.445	-14.2253
31.500000	98.403	-14.7432
32.000000	98.349	-15.3554
32.500000	98.294	-15.9456
33.000000	98.242	-16.5387
33.500000	98.190	-17.1428
34.000000	98.138	-17.7431
34.500000	98.084	-18.3171
35.000000	98.033	-18.8586
35.500000	97.987	-19.3820
36.000000	97.945	-19.9053
36.500000	97.905	-20.4317
37.000000	97.860	-20.9470
37.500000	97.811	-21.4354
38.200001	97.734	-22.0698
38.700001	97.676	-22.5001
39.500000	97.583	-23.1749
40.000000	97.527	-23.5947
40.599998	97.465	-24.0999
41.200001	97.405	-24.6044
41.799999	97.345	-25.0974
42.500000	97.274	-25.6394
43.099998	97.215	-26.0668
43.700001	97.156	-26.4597
44.400002	97.089	-26.8827
45.000000	97.033	-27.2291
45.500000	96.987	-27.5193
46.200001	96.923	-27.9404
46.799999	96.865	-28.3109
47.500000	96.793	-28.7323
48.200001	96.719	-29.1372
48.700001	96.668	-29.4358
49.400002	96.599	-29.9016
50.000000	96.538	-30.3400
50.799999	96.454	-30.9052
51.500000	96.382	-31.3209
52.200001	96.318	-31.6707
53.000000	96.255	-32.0390
53.799999	96.198	-32.4017
54.500000	96.154	-32.7213
55.200001	96.112	-33.0490
56.000000	96.061	-33.4269
57.000000	95.989	-33.8805
58.000000	95.912	-34.3368
59.000000	95.829	-34.8445
60.000000	95.738	-35.3887
60.799999	95.662	-35.8209
61.500000	95.596	-36.1842
62.200001	95.533	-36.5238
63.000000	95.464	-36.8673
64.000000	95.385	-37.2177
65.000000	95.307	-37.5049
66.000000	95.222	-37.7604
67.000000	95.124	-37.9779
68.000000	95.014	-38.1127
69.000000	94.910	-38.1894
70.000000	94.824	-38.3580
71.000000	94.746	-38.6769
72.000000	94.679	-39.0999
73.000000	94.622	-39.6226
74.000000	94.563	-40.1504
75.000000	94.504	-40.5348
76.199997	94.447	-40.8525
77.500000	94.384	-41.1969
78.800003	94.298	-41.5186
80.000000	94.204	-41.7677
81.199997	94.107	-41.9927
82.500000	94.005	-42.2097
83.800003	93.910	-42.3669
85.000000	93.833	-42.4281
86.199997	93.769	-42.4288
87.500000	93.712	-42.4552
88.500000	93.669	-42.5461
90.000000	93.600	-42.8293
91.199997	93.535	-43.1468
92.500000	93.463	-43.5018
93.800003	93.401	-43.8442
95.000000	93.354	-44.1724
96.199997	93.308	-44.5101
97.500000	93.251	-44.8432
98.800003	93.184	-45.1062
100.000000	93.116	-45.2964
101.500000	93.027	-45.4924
103.000000	92.942	-45.6684
104.400002	92.867	-45.8417
106.000000	92.785	-46.0406
107.500000	92.708	-46.2133
109.000000	92.631	-46.3928
110.599998	92.545	-46.6305
112.000000	92.471	-46.8947
113.800003	92.383	-47.2941
115.000000	92.333	-47.5676
117.199997	92.262	-48.0306
118.000000	92.236	-48.1882
120.599998	92.110	-48.5193
122.000000	92.020	-48.4274
124.099998	91.908	-47.9945
125.000000	91.871	-47.7621
126.500000	91.824	-47.3781
128.000000	91.785	-47.1027
131.500000	91.630	-47.3197
132.000000	91.598	-47.4083
134.000000	91.478	-47.7733
136.000000	91.392	-48.1058
138.000000	91.336	-48.3464
140.000000	91.293	-48.4840
143.000000	91.230	-48.6985
145.000000	91.175	-48.9644
147.500000	91.085	-49.3331
150.000000	90.981	-49.5665
152.500000	90.886	-49.6343
155.000000	90.806	-49.6790
157.500000	90.735	-49.7914
160.000000	90.674	-49.9584
162.500000	90.615	-50.0840
165.000000	90.543	-50.1121
167.500000	90.451	-50.1111
170.000000	90.342	-50.1487
172.500000	90.229	-50.2120
175.000000	90.120	-50.2665
177.500000	90.021	-50.3106
180.000000	89.938	-50.3564
182.500000	89.875	-50.3938
185.000000	89.830	-50.4161
187.500000	89.791	-50.4442
190.000000	89.752	-50.4977
