* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 28, 2022 12:09:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Simgot EM2R R
* Measurement: Simgot EM2R R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.526	12.6389
20.299999	99.504	11.9705
20.600000	99.478	11.3376
20.900000	99.450	10.7322
21.200001	99.425	10.1402
21.400000	99.410	9.7460
21.799999	99.384	8.9539
22.000000	99.373	8.5559
22.400000	99.352	7.7626
22.700001	99.336	7.1771
23.000000	99.320	6.6044
23.299999	99.303	6.0441
23.600000	99.287	5.4952
24.000000	99.265	4.7797
24.299999	99.247	4.2560
24.700001	99.221	3.5764
25.000000	99.200	3.0793
25.400000	99.172	2.4274
25.799999	99.144	1.7792
26.200001	99.115	1.1338
26.500000	99.091	0.6573
26.900000	99.057	0.0416
27.200001	99.029	-0.4028
27.600000	98.991	-0.9785
28.000000	98.954	-1.5493
28.500000	98.906	-2.2650
29.000000	98.855	-2.9529
29.500000	98.802	-3.5705
30.000000	98.753	-4.1228
30.400000	98.720	-4.5578
30.700001	98.698	-4.8983
31.100000	98.666	-5.3677
31.500000	98.629	-5.8254
32.000000	98.575	-6.3311
32.500000	98.522	-6.7650
33.000000	98.479	-7.1952
33.500000	98.439	-7.6624
34.000000	98.396	-8.1221
34.500000	98.354	-8.5100
35.000000	98.328	-8.8480
35.500000	98.319	-9.2402
36.000000	98.314	-9.7462
36.500000	98.297	-10.3073
37.000000	98.268	-10.8143
37.500000	98.238	-11.2451
38.200001	98.205	-11.8817
38.700001	98.172	-12.4364
39.500000	98.081	-13.3008
40.000000	98.019	-13.7104
40.599998	97.962	-14.1330
41.200001	97.919	-14.6183
41.799999	97.870	-15.1561
42.500000	97.802	-15.7008
43.099998	97.754	-16.0768
43.700001	97.717	-16.4744
44.400002	97.672	-17.0209
45.000000	97.619	-17.4931
45.500000	97.571	-17.8439
46.200001	97.505	-18.2841
46.799999	97.450	-18.6478
47.500000	97.383	-19.0552
48.200001	97.313	-19.4254
48.700001	97.263	-19.6729
49.400002	97.195	-20.0138
50.000000	97.141	-20.3057
50.799999	97.075	-20.6890
51.500000	97.020	-21.0098
52.200001	96.966	-21.3096
