* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 13, 2022 6:00:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Softears RSV L
* Measurement: Softears RSV L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.351	47.5839
20.299999	98.397	46.7545
20.600000	98.443	45.9323
20.900000	98.488	45.1150
21.200001	98.532	44.3024
21.400000	98.560	43.7648
21.799999	98.614	42.7029
22.000000	98.640	42.1798
22.400000	98.690	41.1508
22.700001	98.725	40.3935
23.000000	98.758	39.6484
23.299999	98.789	38.9172
23.600000	98.818	38.2029
24.000000	98.853	37.2820
24.299999	98.878	36.6164
24.700001	98.911	35.7584
25.000000	98.937	35.1292
25.400000	98.970	34.2987
25.799999	99.003	33.4711
26.200001	99.032	32.6498
26.500000	99.051	32.0442
26.900000	99.074	31.2560
27.200001	99.090	30.6790
27.600000	99.111	29.9225
28.000000	99.129	29.1724
28.500000	99.147	28.2446
29.000000	99.158	27.3511
29.500000	99.165	26.5197
30.000000	99.174	25.7548
30.400000	99.187	25.1729
30.700001	99.200	24.7408
31.100000	99.222	24.1566
31.500000	99.246	23.5544
32.000000	99.276	22.7714
32.500000	99.306	21.9549
33.000000	99.330	21.1101
33.500000	99.348	20.2510
34.000000	99.358	19.4023
34.500000	99.362	18.5869
35.000000	99.363	17.8117
35.500000	99.363	17.0677
36.000000	99.361	16.3424
36.500000	99.358	15.6328
37.000000	99.351	14.9458
37.500000	99.343	14.2882
38.200001	99.330	13.4139
38.700001	99.322	12.8107
39.500000	99.310	11.8593
40.000000	99.301	11.2690
40.599998	99.289	10.5667
41.200001	99.275	9.8713
41.799999	99.258	9.1830
42.500000	99.236	8.3951
43.099998	99.213	7.7432
43.700001	99.189	7.1167
44.400002	99.162	6.4128
45.000000	99.138	5.8314
45.500000	99.119	5.3646
46.200001	99.094	4.7338
46.799999	99.073	4.2068
47.500000	99.049	3.6191
48.200001	99.030	3.0709
48.700001	99.023	2.6771
49.400002	99.016	2.0603
50.000000	99.003	1.4648
50.799999	98.965	0.6753
51.500000	98.920	0.0672
52.200001	98.873	-0.4738
53.000000	98.821	-1.0366
53.799999	98.771	-1.5311
54.500000	98.735	-1.9286
55.200001	98.707	-2.3345
56.000000	98.677	-2.8247
57.000000	98.638	-3.4533
58.000000	98.595	-4.0592
59.000000	98.549	-4.6050
60.000000	98.506	-5.1010
60.799999	98.473	-5.4729
61.500000	98.446	-5.7797
62.200001	98.421	-6.0743
63.000000	98.396	-6.4102
64.000000	98.369	-6.8510
65.000000	98.345	-7.3288
66.000000	98.321	-7.8601
67.000000	98.293	-8.4669
68.000000	98.251	-9.1161
69.000000	98.199	-9.7604
70.000000	98.139	-10.3970
71.000000	98.071	-11.0058
72.000000	97.998	-11.5570
73.000000	97.925	-12.0468
74.000000	97.857	-12.4797
75.000000	97.795	-12.8682
76.199997	97.727	-13.2902
77.500000	97.660	-13.7034
78.800003	97.596	-14.0921
80.000000	97.539	-14.4573
81.199997	97.481	-14.8533
82.500000	97.413	-15.3292
83.800003	97.338	-15.8542
85.000000	97.259	-16.3373
86.199997	97.172	-16.7562
87.500000	97.079	-17.1243
88.500000	97.009	-17.3649
90.000000	96.905	-17.6731
91.199997	96.822	-17.8680
92.500000	96.736	-18.0252
93.800003	96.657	-18.1367
95.000000	96.590	-18.2079
96.199997	96.531	-18.2589
97.500000	96.477	-18.3119
98.800003	96.431	-18.3879
100.000000	96.396	-18.4902
101.500000	96.358	-18.6694
103.000000	96.321	-18.9102
104.400002	96.276	-19.1692
106.000000	96.206	-19.4780
107.500000	96.126	-19.7762
109.000000	96.041	-20.0851
110.599998	95.954	-20.3983
112.000000	95.883	-20.6061
113.800003	95.783	-20.7160
115.000000	95.698	-20.6783
117.199997	95.500	-20.4101
118.000000	95.426	-20.2806
120.599998	95.269	-20.1949
122.000000	95.239	-20.5671
124.099998	95.193	-21.2282
125.000000	95.166	-21.3462
126.500000	95.118	-21.2571
128.000000	95.070	-20.9689
131.500000	94.938	-20.4362
132.000000	94.918	-20.4032
134.000000	94.836	-20.3312
136.000000	94.753	-20.2566
138.000000	94.668	-20.1226
140.000000	94.584	-19.9664
143.000000	94.473	-19.7460
145.000000	94.410	-19.5690
147.500000	94.333	-19.2810
150.000000	94.251	-18.9177
152.500000	94.171	-18.4771
155.000000	94.105	-17.9878
157.500000	94.045	-17.5206
160.000000	93.982	-17.0901
162.500000	93.918	-16.6619
165.000000	93.869	-16.1825
167.500000	93.848	-15.6486
170.000000	93.857	-15.1544
172.500000	93.881	-14.8207
175.000000	93.903	-14.6961
177.500000	93.912	-14.7097
180.000000	93.904	-14.7429
182.500000	93.885	-14.7345
185.000000	93.857	-14.7236
187.500000	93.821	-14.7513
190.000000	93.780	-14.7974
192.500000	93.742	-14.8737
195.000000	93.714	-15.0178
197.500000	93.695	-15.1733
200.000000	93.670	-15.1490
203.000000	93.627	-14.7113
206.000000	93.585	-14.0797
209.000000	93.552	-13.5919
212.000000	93.524	-13.2817
214.000000	93.505	-13.1210
218.000000	93.466	-12.7983
220.000000	93.453	-12.6191
224.000000	93.441	-12.2651
227.000000	93.435	-12.0404
230.000000	93.427	-11.8507
233.000000	93.418	-11.6775
236.000000	93.409	-11.5158
240.000000	93.397	-11.3260
243.000000	93.385	-11.1961
247.000000	93.364	-11.0098
250.000000	93.346	-10.8403
254.000000	93.327	-10.5651
258.000000	93.321	-10.2748
262.000000	93.323	-10.0419
265.000000	93.324	-9.9121
269.000000	93.319	-9.7553
272.000000	93.313	-9.6238
276.000000	93.308	-9.4233
280.000000	93.311	-9.2086
285.000000	93.325	-8.9574
290.000000	93.348	-8.7943
295.000000	93.362	-8.7369
300.000000	93.361	-8.7000
304.000000	93.354	-8.6425
307.000000	93.348	-8.5846
311.000000	93.341	-8.5005
315.000000	93.333	-8.4160
320.000000	93.320	-8.2942
325.000000	93.308	-8.1359
330.000000	93.301	-7.9586
335.000000	93.300	-7.7952
340.000000	93.301	-7.6647
345.000000	93.301	-7.5643
350.000000	93.298	-7.4799
355.000000	93.293	-7.4029
360.000000	93.286	-7.3287
365.000000	93.277	-7.2512
370.000000	93.268	-7.1652
375.000000	93.257	-7.0700
382.000000	93.244	-6.9260
387.000000	93.234	-6.8185
395.000000	93.221	-6.6402
400.000000	93.213	-6.5272
406.000000	93.205	-6.3973
412.000000	93.197	-6.2748
418.000000	93.187	-6.1444
425.000000	93.177	-5.9650
431.000000	93.175	-5.8026
437.000000	93.178	-5.6625
444.000000	93.185	-5.5402
450.000000	93.192	-5.4774
455.000000	93.196	-5.4672
462.000000	93.192	-5.4995
468.000000	93.178	-5.5149
475.000000	93.155	-5.4784
482.000000	93.132	-5.4042
487.000000	93.115	-5.3435
494.000000	93.089	-5.2336
500.000000	93.067	-5.1042
508.000000	93.043	-4.9167
515.000000	93.025	-4.7699
522.000000	93.005	-4.6276
530.000000	92.980	-4.4376
538.000000	92.958	-4.2162
545.000000	92.942	-4.0129
552.000000	92.928	-3.8046
560.000000	92.917	-3.5740
570.000000	92.904	-3.3157
580.000000	92.889	-3.0745
590.000000	92.872	-2.8325
600.000000	92.851	-2.5673
608.000000	92.835	-2.3405
615.000000	92.821	-2.1376
622.000000	92.804	-1.9197
630.000000	92.786	-1.6329
640.000000	92.769	-1.2272
