* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 13, 2022 6:03:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Softears RSV R
* Measurement: Softears RSV R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.075	51.5991
20.299999	97.133	50.7475
20.600000	97.189	49.9091
20.900000	97.243	49.0859
21.200001	97.296	48.2791
21.400000	97.331	47.7501
21.799999	97.400	46.7109
22.000000	97.434	46.1988
22.400000	97.500	45.1858
22.700001	97.548	44.4341
23.000000	97.593	43.6901
23.299999	97.636	42.9569
23.600000	97.676	42.2373
24.000000	97.726	41.3021
24.299999	97.761	40.6186
24.700001	97.806	39.7270
25.000000	97.838	39.0692
25.400000	97.879	38.2032
25.799999	97.918	37.3497
26.200001	97.954	36.5109
26.500000	97.979	35.8926
26.900000	98.012	35.0824
27.200001	98.036	34.4836
27.600000	98.066	33.6944
28.000000	98.095	32.9142
28.500000	98.128	31.9536
29.000000	98.158	31.0145
29.500000	98.186	30.0993
30.000000	98.213	29.2060
30.400000	98.233	28.5051
30.700001	98.248	27.9873
31.100000	98.267	27.3084
31.500000	98.284	26.6442
32.000000	98.303	25.8358
32.500000	98.321	25.0522
33.000000	98.337	24.2928
33.500000	98.352	23.5573
34.000000	98.367	22.8427
34.500000	98.384	22.1400
35.000000	98.403	21.4358
35.500000	98.422	20.7155
36.000000	98.438	19.9735
36.500000	98.451	19.2162
37.000000	98.459	18.4584
37.500000	98.462	17.7148
38.200001	98.461	16.7142
38.700001	98.459	16.0316
39.500000	98.454	14.9905
40.000000	98.451	14.3672
40.599998	98.447	13.6410
41.200001	98.443	12.9318
41.799999	98.437	12.2358
42.500000	98.426	11.4421
43.099998	98.412	10.7823
43.700001	98.397	10.1388
44.400002	98.378	9.3932
45.000000	98.359	8.7499
45.500000	98.339	8.2184
46.200001	98.309	7.5012
46.799999	98.284	6.9175
47.500000	98.260	6.2558
48.200001	98.242	5.5862
48.700001	98.231	5.0909
49.400002	98.211	4.3796
50.000000	98.187	3.7900
50.799999	98.149	3.1062
51.500000	98.120	2.6134
52.200001	98.102	2.1613
53.000000	98.089	1.6246
53.799999	98.077	1.0481
54.500000	98.061	0.5269
55.200001	98.042	0.0093
56.000000	98.017	-0.5706
57.000000	97.984	-1.2963
58.000000	97.949	-2.0225
59.000000	97.913	-2.7310
60.000000	97.876	-3.4387
60.799999	97.842	-4.0031
61.500000	97.808	-4.4791
62.200001	97.773	-4.9310
63.000000	97.731	-5.4238
64.000000	97.678	-6.0221
65.000000	97.624	-6.6130
66.000000	97.570	-7.1989
67.000000	97.515	-7.7797
68.000000	97.460	-8.3465
69.000000	97.404	-8.8846
70.000000	97.349	-9.3870
71.000000	97.295	-9.8614
72.000000	97.240	-10.3148
73.000000	97.182	-10.7401
74.000000	97.122	-11.1295
75.000000	97.061	-11.4836
76.199997	96.990	-11.8783
77.500000	96.917	-12.2922
78.800003	96.849	-12.6973
80.000000	96.793	-13.0692
81.199997	96.744	-13.4617
82.500000	96.691	-13.9343
83.800003	96.628	-14.4326
85.000000	96.561	-14.8657
86.199997	96.488	-15.2695
87.500000	96.407	-15.6961
88.500000	96.342	-16.0051
90.000000	96.250	-16.4079
91.199997	96.185	-16.6823
92.500000	96.121	-16.9546
93.800003	96.056	-17.2087
95.000000	95.990	-17.4256
96.199997	95.918	-17.6346
97.500000	95.838	-17.8605
98.800003	95.761	-18.0837
100.000000	95.697	-18.2823
101.500000	95.625	-18.5105
103.000000	95.555	-18.7019
104.400002	95.483	-18.8411
106.000000	95.398	-18.9785
107.500000	95.322	-19.1145
109.000000	95.253	-19.2463
110.599998	95.183	-19.3710
112.000000	95.109	-19.5049
113.800003	94.971	-19.7885
115.000000	94.850	-20.0894
117.199997	94.590	-20.8322
118.000000	94.494	-21.0628
120.599998	94.284	-21.0696
122.000000	94.273	-20.8073
124.099998	94.303	-20.7505
125.000000	94.301	-20.8704
126.500000	94.263	-21.1326
128.000000	94.197	-21.2428
131.500000	94.121	-20.4244
132.000000	94.120	-20.2649
134.000000	94.104	-19.7210
136.000000	94.043	-19.3887
138.000000	93.953	-19.2389
140.000000	93.871	-19.1742
143.000000	93.779	-19.0639
145.000000	93.722	-18.9703
147.500000	93.639	-18.8332
150.000000	93.548	-18.6263
152.500000	93.451	-18.3599
155.000000	93.354	-18.0406
157.500000	93.280	-17.6799
160.000000	93.233	-17.3434
162.500000	93.192	-17.0476
165.000000	93.145	-16.7850
167.500000	93.094	-16.5472
170.000000	93.042	-16.3093
172.500000	92.994	-16.0439
175.000000	92.952	-15.7461
177.500000	92.915	-15.4368
180.000000	92.882	-15.1369
182.500000	92.852	-14.8577
185.000000	92.825	-14.6139
187.500000	92.797	-14.4121
190.000000	92.765	-14.2254
192.500000	92.733	-14.0227
195.000000	92.704	-13.8107
197.500000	92.680	-13.6136
200.000000	92.663	-13.4332
203.000000	92.650	-13.1935
206.000000	92.634	-12.8861
209.000000	92.609	-12.5472
212.000000	92.581	-12.2458
214.000000	92.563	-12.0702
218.000000	92.533	-11.7262
220.000000	92.521	-11.5414
224.000000	92.500	-11.1394
227.000000	92.485	-10.8314
230.000000	92.470	-10.5483
233.000000	92.458	-10.2966
236.000000	92.448	-10.0693
240.000000	92.437	-9.7977
243.000000	92.427	-9.6094
247.000000	92.411	-9.3519
250.000000	92.398	-9.1337
254.000000	92.385	-8.7979
258.000000	92.385	-8.4536
262.000000	92.392	-8.1723
265.000000	92.397	-8.0068
269.000000	92.398	-7.8005
272.000000	92.397	-7.6292
276.000000	92.399	-7.3735
280.000000	92.407	-7.1097
285.000000	92.427	-6.8110
290.000000	92.455	-6.6093
295.000000	92.475	-6.5164
300.000000	92.480	-6.4446
304.000000	92.479	-6.3608
307.000000	92.478	-6.2847
311.000000	92.477	-6.1787
315.000000	92.475	-6.0753
320.000000	92.469	-5.9344
325.000000	92.463	-5.7612
330.000000	92.460	-5.5711
335.000000	92.461	-5.3922
340.000000	92.463	-5.2389
345.000000	92.464	-5.1029
350.000000	92.462	-4.9679
355.000000	92.460	-4.8311
360.000000	92.459	-4.6991
365.000000	92.457	-4.5726
370.000000	92.454	-4.4457
375.000000	92.450	-4.3141
382.000000	92.445	-4.1249
387.000000	92.442	-3.9895
395.000000	92.437	-3.7706
400.000000	92.435	-3.6330
406.000000	92.434	-3.4753
412.000000	92.432	-3.3284
418.000000	92.428	-3.1749
425.000000	92.425	-2.9631
431.000000	92.427	-2.7635
437.000000	92.434	-2.5761
444.000000	92.448	-2.3920
450.000000	92.464	-2.2798
455.000000	92.477	-2.2354
462.000000	92.485	-2.2341
468.000000	92.480	-2.2345
475.000000	92.468	-2.1934
482.000000	92.453	-2.1223
487.000000	92.441	-2.0644
494.000000	92.419	-1.9536
500.000000	92.399	-1.8148
508.000000	92.378	-1.5977
515.000000	92.361	-1.4069
522.000000	92.342	-1.2003
530.000000	92.319	-0.9030
538.000000	92.304	-0.5330
545.000000	92.302	-0.1825
552.000000	92.314	0.1501
560.000000	92.342	0.4408
570.000000	92.378	0.6176
580.000000	92.393	0.6786
590.000000	92.387	0.7544
600.000000	92.369	0.9125
608.000000	92.355	1.0913
615.000000	92.342	1.2703
622.000000	92.328	1.4742
630.000000	92.314	1.7506
640.000000	92.304	2.1428
650.000000	92.305	2.5469
660.000000	92.317	2.9314
670.000000	92.334	3.2430
680.000000	92.346	3.4845
690.000000	92.348	3.7197
700.000000	92.343	3.9948
710.000000	92.338	4.3163
720.000000	92.336	4.6615
730.000000	92.336	5.0184
740.000000	92.337	5.3894
750.000000	92.340	5.7756
762.000000	92.347	6.2565
775.000000	92.358	6.7917
788.000000	92.373	7.3400
800.000000	92.392	7.8751
812.000000	92.421	8.4375
825.000000	92.469	9.0068
838.000000	92.525	9.4592
850.000000	92.570	9.7958
862.000000	92.608	10.1153
875.000000	92.642	10.4794
885.000000	92.669	10.7745
900.000000	92.709	11.2231
912.000000	92.743	11.5887
925.000000	92.784	11.9897
938.000000	92.830	12.3760
950.000000	92.874	12.7061
962.000000	92.919	13.0161
975.000000	92.966	13.3434
988.000000	93.014	13.6699
1000.000000	93.058	13.9788
1015.000000	93.116	14.3918
1030.000000	93.184	14.8168
1044.000000	93.257	15.1658
