* Measurement data measured by REW V5.20.5
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 20, 2022 5:40:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: RSV TK2
* Measurement: Oxygen R Feb 20
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.389	-138.6933
20.299999	89.432	-139.4551
20.600000	89.472	-140.1987
20.900000	89.511	-140.9211
21.200001	89.551	-141.6217
21.400000	89.578	-142.0786
21.799999	89.634	-142.9761
22.000000	89.663	-143.4216
22.400000	89.721	-144.3171
22.700001	89.763	-144.9979
23.000000	89.802	-145.6863
23.299999	89.835	-146.3738
23.600000	89.863	-147.0481
24.000000	89.891	-147.9041
24.299999	89.908	-148.4996
24.700001	89.930	-149.2272
25.000000	89.949	-149.7336
25.400000	89.979	-150.3846
25.799999	90.015	-151.0459
26.200001	90.051	-151.7413
26.500000	90.075	-152.2809
26.900000	90.100	-153.0008
27.200001	90.115	-153.5198
27.600000	90.134	-154.1682
28.000000	90.157	-154.7802
28.500000	90.196	-155.5614
29.000000	90.235	-156.4330
29.500000	90.262	-157.3830
30.000000	90.267	-158.3075
30.400000	90.262	-158.9621
30.700001	90.258	-159.3961
31.100000	90.259	-159.9275
31.500000	90.267	-160.4485
32.000000	90.281	-161.1351
32.500000	90.289	-161.8586
33.000000	90.287	-162.5703
33.500000	90.279	-163.2310
34.000000	90.271	-163.8325
34.500000	90.268	-164.3946
35.000000	90.272	-164.9534
35.500000	90.283	-165.5552
36.000000	90.293	-166.2218
36.500000	90.293	-166.9204
37.000000	90.282	-167.5738
37.500000	90.270	-168.1302
38.200001	90.272	-168.7985
38.700001	90.288	-169.2930
39.500000	90.313	-170.1861
40.000000	90.320	-170.7462
40.599998	90.321	-171.3575
41.200001	90.323	-171.9085
41.799999	90.327	-172.4460
42.500000	90.329	-173.1057
43.099998	90.320	-173.6997
43.700001	90.301	-174.2841
44.400002	90.271	-174.9227
45.000000	90.249	-175.4602
45.500000	90.233	-175.9389
46.200001	90.207	-176.6724
46.799999	90.178	-177.3294
47.500000	90.138	-178.0765
48.200001	90.096	-178.7729
48.700001	90.066	-179.2321
49.400002	90.028	-179.8268
50.000000	90.000	179.6870
50.799999	89.965	179.0404
51.500000	89.930	178.4833
52.200001	89.894	177.9569
53.000000	89.859	177.3751
53.799999	89.837	176.7444
54.500000	89.825	176.1006
55.200001	89.815	175.3375
56.000000	89.786	174.3433
57.000000	89.700	173.2314
58.000000	89.599	172.6339
59.000000	89.534	172.3608
60.000000	89.485	172.1481
60.799999	89.442	172.0200
61.500000	89.404	171.9081
62.200001	89.365	171.7462
63.000000	89.317	171.4383
64.000000	89.239	170.8274
65.000000	89.131	170.1544
66.000000	89.024	169.6089
67.000000	88.944	169.1283
68.000000	88.880	168.7400
69.000000	88.837	168.4872
70.000000	88.810	168.2456
71.000000	88.773	167.9402
72.000000	88.719	167.5952
