* Measurement data measured by REW V5.20.5
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 19, 2022 12:23:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Softears Volume L
* Measurement: Softears Volume L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.996	-158.8862
20.299999	97.996	-159.4488
20.600000	97.995	-160.0045
20.900000	97.994	-160.5543
21.200001	97.992	-161.0977
21.400000	97.990	-161.4550
21.799999	97.986	-162.1524
22.000000	97.984	-162.4900
22.400000	97.978	-163.1389
22.700001	97.974	-163.6026
23.000000	97.971	-164.0500
23.299999	97.970	-164.4867
23.600000	97.969	-164.9178
24.000000	97.968	-165.4897
24.299999	97.966	-165.9170
24.700001	97.961	-166.4807
25.000000	97.956	-166.8938
25.400000	97.947	-167.4260
25.799999	97.937	-167.9350
26.200001	97.927	-168.4243
26.500000	97.919	-168.7825
26.900000	97.909	-169.2537
27.200001	97.901	-169.6048
27.600000	97.890	-170.0715
28.000000	97.878	-170.5362
28.500000	97.860	-171.1131
29.000000	97.841	-171.6853
29.500000	97.820	-172.2522
30.000000	97.799	-172.8109
30.400000	97.782	-173.2491
30.700001	97.771	-173.5720
31.100000	97.756	-173.9955
31.500000	97.743	-174.4135
32.000000	97.728	-174.9308
32.500000	97.714	-175.4414
33.000000	97.700	-175.9393
33.500000	97.687	-176.4178
34.000000	97.673	-176.8734
34.500000	97.660	-177.3074
35.000000	97.647	-177.7234
35.500000	97.633	-178.1259
36.000000	97.616	-178.5172
36.500000	97.597	-178.8965
37.000000	97.574	-179.2621
37.500000	97.549	-179.6158
38.200001	97.511	179.8980
38.700001	97.482	179.5499
39.500000	97.432	178.9933
40.000000	97.400	178.6515
40.599998	97.364	178.2490
41.200001	97.332	177.8499
41.799999	97.306	177.4479
42.500000	97.281	176.9666
43.099998	97.264	176.5398
43.700001	97.247	176.1066
44.400002	97.226	175.6138
45.000000	97.205	175.2188
45.500000	97.187	174.9133
46.200001	97.159	174.5211
46.799999	97.132	174.2187
47.500000	97.099	173.9064
48.200001	97.065	173.6243
48.700001	97.042	173.4252
49.400002	97.008	173.1321
50.000000	96.977	172.8708
50.799999	96.930	172.5344
51.500000	96.891	172.2629
52.200001	96.859	171.9918
53.000000	96.828	171.6439
53.799999	96.797	171.2556
54.500000	96.767	170.9208
55.200001	96.738	170.6155
56.000000	96.707	170.2926
57.000000	96.673	169.8962
58.000000	96.639	169.4945
59.000000	96.602	169.0652
60.000000	96.555	168.6244
60.799999	96.510	168.3054
61.500000	96.470	168.0574
62.200001	96.432	167.8249
63.000000	96.389	167.5656
64.000000	96.334	167.2571
65.000000	96.279	166.9912
66.000000	96.227	166.7718
67.000000	96.176	166.5810
68.000000	96.124	166.4231
69.000000	96.072	166.3300
70.000000	96.032	166.2957
71.000000	96.009	166.1904
72.000000	95.984	165.9118
73.000000	95.938	165.5822
74.000000	95.882	165.3326
75.000000	95.837	165.1216
76.199997	95.792	164.8329
77.500000	95.748	164.4876
78.800003	95.707	164.1354
80.000000	95.671	163.8052
81.199997	95.633	163.4765
82.500000	95.589	163.1411
83.800003	95.543	162.8146
85.000000	95.496	162.5092
86.199997	95.442	162.2189
