* Measurement data measured by REW V5.20.5
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 19, 2022 12:25:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Softears Volume R
* Measurement: Softears Volume R Feb 19
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.151	-158.6503
20.299999	98.152	-159.1825
20.600000	98.153	-159.7020
20.900000	98.155	-160.2129
21.200001	98.158	-160.7188
21.400000	98.161	-161.0541
21.799999	98.165	-161.7189
22.000000	98.168	-162.0471
22.400000	98.171	-162.6923
22.700001	98.172	-163.1646
23.000000	98.173	-163.6273
23.299999	98.173	-164.0821
23.600000	98.172	-164.5302
24.000000	98.169	-165.1167
24.299999	98.164	-165.5452
24.700001	98.156	-166.0959
25.000000	98.149	-166.4909
25.400000	98.140	-166.9955
25.799999	98.132	-167.4833
26.200001	98.125	-167.9641
26.500000	98.119	-168.3222
26.900000	98.110	-168.7932
27.200001	98.102	-169.1370
27.600000	98.091	-169.5779
28.000000	98.081	-169.9992
28.500000	98.070	-170.5095
29.000000	98.062	-171.0177
29.500000	98.054	-171.5307
30.000000	98.047	-172.0465
30.400000	98.040	-172.4590
30.700001	98.035	-172.7676
31.100000	98.028	-173.1776
31.500000	98.020	-173.5836
32.000000	98.007	-174.0803
32.500000	97.994	-174.5608
33.000000	97.980	-175.0254
33.500000	97.967	-175.4775
34.000000	97.953	-175.9196
34.500000	97.940	-176.3524
35.000000	97.926	-176.7772
35.500000	97.912	-177.1969
36.000000	97.898	-177.6134
36.500000	97.882	-178.0253
37.000000	97.865	-178.4293
37.500000	97.847	-178.8231
38.200001	97.821	-179.3582
38.700001	97.803	-179.7302
39.500000	97.773	179.6904
40.000000	97.755	179.3366
40.599998	97.734	178.9179
41.200001	97.712	178.5052
41.799999	97.690	178.1008
42.500000	97.665	177.6420
43.099998	97.642	177.2595
43.700001	97.619	176.8870
44.400002	97.591	176.4662
45.000000	97.566	176.1185
45.500000	97.546	175.8379
46.200001	97.516	175.4573
46.799999	97.490	175.1392
47.500000	97.459	174.7754
48.200001	97.427	174.4244
48.700001	97.405	174.1839
49.400002	97.375	173.8550
50.000000	97.351	173.5689
50.799999	97.320	173.1730
51.500000	97.292	172.8206
52.200001	97.262	172.4758
53.000000	97.229	172.1009
53.799999	97.198	171.7467
54.500000	97.173	171.4474
55.200001	97.151	171.1520
56.000000	97.126	170.8146
57.000000	97.092	170.3922
58.000000	97.055	169.9836
59.000000	97.014	169.5983
60.000000	96.971	169.2179
60.799999	96.935	168.9067
61.500000	96.902	168.6304
62.200001	96.867	168.3503
63.000000	96.827	168.0164
64.000000	96.771	167.5737
65.000000	96.707	167.1673
66.000000	96.647	166.8481
67.000000	96.600	166.5559
68.000000	96.560	166.2399
