* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 26, 2022 1:22:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Soundpeats Mini Pro HS R
* Measurement: Soundpeats Mini Pro HS R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.325	28.9938
20.299999	91.374	29.0970
20.600000	91.428	29.1944
20.900000	91.489	29.2805
21.200001	91.554	29.3508
21.400000	91.599	29.3874
21.799999	91.694	29.4349
22.000000	91.743	29.4461
22.400000	91.842	29.4461
22.700001	91.919	29.4299
23.000000	91.996	29.4025
23.299999	92.077	29.3614
23.600000	92.160	29.2999
24.000000	92.274	29.1703
24.299999	92.361	29.0259
24.700001	92.474	28.7670
25.000000	92.554	28.5338
25.400000	92.655	28.1972
25.799999	92.751	27.8615
26.200001	92.848	27.5348
26.500000	92.923	27.2817
26.900000	93.029	26.9053
27.200001	93.109	26.5770
27.600000	93.213	26.0739
28.000000	93.309	25.5183
28.500000	93.417	24.8063
29.000000	93.520	24.1196
29.500000	93.624	23.4520
30.000000	93.731	22.7625
30.400000	93.816	22.1729
30.700001	93.877	21.7065
31.100000	93.954	21.0615
31.500000	94.023	20.4063
32.000000	94.098	19.6019
32.500000	94.165	18.8384
33.000000	94.228	18.1208
33.500000	94.291	17.4330
34.000000	94.353	16.7503
34.500000	94.414	16.0554
35.000000	94.472	15.3444
35.500000	94.525	14.6196
36.000000	94.574	13.8837
36.500000	94.618	13.1401
37.000000	94.657	12.3946
37.500000	94.692	11.6530
38.200001	94.737	10.6237
38.700001	94.767	9.8909
39.500000	94.809	8.7219
40.000000	94.832	8.0025
40.599998	94.856	7.1604
41.200001	94.879	6.3412
41.799999	94.901	5.5366
42.500000	94.925	4.6046
43.099998	94.942	3.8082
43.700001	94.954	3.0187
44.400002	94.963	2.1162
45.000000	94.967	1.3631
45.500000	94.968	0.7473
46.200001	94.968	-0.1048
46.799999	94.965	-0.8296
47.500000	94.959	-1.6659
48.200001	94.951	-2.4885
48.700001	94.943	-3.0675
49.400002	94.932	-3.8647
50.000000	94.922	-4.5329
50.799999	94.911	-5.4048
51.500000	94.904	-6.1655
52.200001	94.898	-6.9453
53.000000	94.889	-7.8680
53.799999	94.873	-8.8002
54.500000	94.852	-9.5968
55.200001	94.829	-10.3664
56.000000	94.800	-11.2201
57.000000	94.759	-12.2612
58.000000	94.712	-13.2704
59.000000	94.655	-14.2354
60.000000	94.590	-15.1450
60.799999	94.535	-15.8326
61.500000	94.485	-16.4137
62.200001	94.435	-16.9831
63.000000	94.381	-17.6298
64.000000	94.320	-18.4643
65.000000	94.264	-19.3559
66.000000	94.208	-20.2854
67.000000	94.152	-21.2183
68.000000	94.095	-22.1207
69.000000	94.035	-22.9638
70.000000	93.973	-23.7498
71.000000	93.907	-24.4962
72.000000	93.834	-25.2164
73.000000	93.753	-25.9274
74.000000	93.664	-26.6339
75.000000	93.571	-27.3267
76.199997	93.460	-28.1450
77.500000	93.347	-29.0267
78.800003	93.242	-29.9065
80.000000	93.147	-30.6888
81.199997	93.053	-31.4198
82.500000	92.947	-32.1662
83.800003	92.835	-32.8767
85.000000	92.725	-33.5133
86.199997	92.612	-34.1471
87.500000	92.487	-34.8392
88.500000	92.391	-35.3712
90.000000	92.249	-36.1436
91.199997	92.137	-36.7214
92.500000	92.014	-37.3069
93.800003	91.885	-37.8564
95.000000	91.759	-38.3370
96.199997	91.630	-38.8075
97.500000	91.493	-39.3254
98.800003	91.360	-39.8489
100.000000	91.241	-40.3065
101.500000	91.092	-40.8071
103.000000	90.932	-41.2597
104.400002	90.763	-41.6730
106.000000	90.559	-42.1652
107.500000	90.381	-42.7024
109.000000	90.224	-43.2854
110.599998	90.069	-43.7958
112.000000	89.929	-44.1294
113.800003	89.716	-44.6810
115.000000	89.543	-45.3230
117.199997	89.180	-47.1361
118.000000	89.041	-47.8223
120.599998	88.640	-48.4592
122.000000	88.524	-47.5456
124.099998	88.429	-45.6795
125.000000	88.377	-44.9729
126.500000	88.252	-44.1637
128.000000	88.080	-43.9153
131.500000	87.600	-44.4127
132.000000	87.532	-44.4891
134.000000	87.259	-44.6442
136.000000	86.970	-44.4567
138.000000	86.675	-43.7117
140.000000	86.422	-42.2462
143.000000	86.165	-39.8317
145.000000	85.988	-38.9565
147.500000	85.747	-38.3913
150.000000	85.590	-37.7544
152.500000	85.503	-36.8106
155.000000	85.398	-35.7581
157.500000	85.260	-34.8180
160.000000	85.117	-33.9416
162.500000	84.966	-32.9663
165.000000	84.800	-31.8940
167.500000	84.636	-30.7744
170.000000	84.502	-29.5385
172.500000	84.396	-28.1549
175.000000	84.296	-26.7770
177.500000	84.195	-25.5385
180.000000	84.107	-24.4285
182.500000	84.032	-23.4295
185.000000	83.965	-22.5938
187.500000	83.913	-21.9415
190.000000	83.887	-21.2176
192.500000	83.897	-20.1409
195.000000	83.918	-18.8273
197.500000	83.919	-17.5246
200.000000	83.906	-16.3294
203.000000	83.905	-15.0054
206.000000	83.921	-13.7580
209.000000	83.940	-12.6151
212.000000	83.962	-11.5977
214.000000	83.979	-10.9756
218.000000	84.022	-9.8166
220.000000	84.046	-9.2671
224.000000	84.098	-8.2163
227.000000	84.139	-7.4745
230.000000	84.181	-6.7818
233.000000	84.225	-6.1355
236.000000	84.270	-5.5255
240.000000	84.334	-4.7612
243.000000	84.383	-4.2356
247.000000	84.449	-3.6203
250.000000	84.497	-3.2172
254.000000	84.556	-2.7171
258.000000	84.611	-2.2319
262.000000	84.664	-1.7774
265.000000	84.701	-1.4601
269.000000	84.748	-1.0642
272.000000	84.781	-0.7897
276.000000	84.824	-0.4518
280.000000	84.868	-0.1373
285.000000	84.919	0.2253
290.000000	84.964	0.5495
295.000000	85.006	0.8458
300.000000	85.042	1.1281
304.000000	85.068	1.3419
307.000000	85.086	1.4946
311.000000	85.108	1.6931
315.000000	85.129	1.8900
320.000000	85.153	2.1303
325.000000	85.175	2.3606
330.000000	85.194	2.5831
335.000000	85.211	2.8000
340.000000	85.225	3.0138
345.000000	85.237	3.2270
350.000000	85.248	3.4372
355.000000	85.257	3.6416
360.000000	85.264	3.8428
365.000000	85.271	4.0451
370.000000	85.276	4.2495
375.000000	85.280	4.4551
382.000000	85.284	4.7417
387.000000	85.286	4.9468
395.000000	85.288	5.2784
400.000000	85.288	5.4892
406.000000	85.286	5.7481
412.000000	85.284	6.0118
418.000000	85.281	6.2740
425.000000	85.277	6.5760
431.000000	85.274	6.8352
437.000000	85.270	7.0961
444.000000	85.266	7.4065
450.000000	85.261	7.6808
455.000000	85.257	7.9143
462.000000	85.251	8.2452
468.000000	85.246	8.5305
475.000000	85.240	8.8647
482.000000	85.233	9.2013
487.000000	85.228	9.4432
494.000000	85.223	9.7836
500.000000	85.218	10.0776
508.000000	85.212	10.4753
515.000000	85.206	10.8300
522.000000	85.200	11.1891
530.000000	85.194	11.6021
538.000000	85.188	12.0191
545.000000	85.183	12.3895
552.000000	85.179	12.7653
560.000000	85.174	13.1993
570.000000	85.170	13.7452
580.000000	85.167	14.2929
590.000000	85.165	14.8413
600.000000	85.166	15.3960
608.000000	85.167	15.8460
615.000000	85.169	16.2423
622.000000	85.172	16.6373
630.000000	85.177	17.0835
640.000000	85.186	17.6325
650.000000	85.194	18.1722
660.000000	85.203	18.6996
670.000000	85.210	19.2117
680.000000	85.214	19.7096
690.000000	85.214	20.2014
700.000000	85.209	20.7027
710.000000	85.199	21.2322
720.000000	85.186	21.8067
730.000000	85.171	22.4371
740.000000	85.158	23.1255
750.000000	85.150	23.8661
762.000000	85.150	24.8107
775.000000	85.161	25.8809
788.000000	85.186	26.9719
800.000000	85.220	27.9806
812.000000	85.262	28.9816
825.000000	85.317	30.0499
838.000000	85.380	31.0967
850.000000	85.446	32.0418
862.000000	85.518	32.9661
875.000000	85.603	33.9438
885.000000	85.672	34.6773
900.000000	85.783	35.7432
912.000000	85.876	36.5641
925.000000	85.982	37.4208
938.000000	86.093	38.2421
950.000000	86.198	38.9672
962.000000	86.308	39.6588
975.000000	86.430	40.3684
988.000000	86.555	41.0360
1000.000000	86.671	41.6156
