* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 27, 2023 1:34:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TKZK  Ouranos R
* Measurement: TKZK  Ouranos R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.252	-141.6318
20.299999	99.289	-142.3611
20.600000	99.323	-143.0714
20.900000	99.355	-143.7579
21.200001	99.385	-144.4201
21.400000	99.405	-144.8512
21.799999	99.446	-145.6964
22.000000	99.466	-146.1139
22.400000	99.504	-146.9422
22.700001	99.530	-147.5545
23.000000	99.555	-148.1545
23.299999	99.579	-148.7403
23.600000	99.602	-149.3141
24.000000	99.633	-150.0682
24.299999	99.655	-150.6318
24.700001	99.683	-151.3822
25.000000	99.700	-151.9385
25.400000	99.719	-152.6587
25.799999	99.736	-153.3426
26.200001	99.753	-153.9918
26.500000	99.767	-154.4654
26.900000	99.787	-155.0937
27.200001	99.802	-155.5697
27.600000	99.820	-156.2108
28.000000	99.833	-156.8478
28.500000	99.844	-157.6126
29.000000	99.852	-158.3232
29.500000	99.861	-158.9828
30.000000	99.874	-159.6147
30.400000	99.887	-160.1187
30.700001	99.898	-160.5029
31.100000	99.912	-161.0279
31.500000	99.924	-161.5662
32.000000	99.935	-162.2487
32.500000	99.940	-162.9262
33.000000	99.940	-163.5829
33.500000	99.936	-164.2087
34.000000	99.929	-164.7968
34.500000	99.922	-165.3443
35.000000	99.918	-165.8546
35.500000	99.919	-166.3409
36.000000	99.925	-166.8230
36.500000	99.937	-167.3227
37.000000	99.951	-167.8590
37.500000	99.964	-168.4412
38.200001	99.970	-169.3159
38.700001	99.961	-169.9420
39.500000	99.924	-170.8297
40.000000	99.896	-171.2790
40.599998	99.864	-171.7265
41.200001	99.838	-172.1134
41.799999	99.817	-172.4615
42.500000	99.804	-172.8369
43.099998	99.805	-173.1788
43.700001	99.813	-173.6000
44.400002	99.819	-174.1987
45.000000	99.815	-174.7364
45.500000	99.810	-175.1565
46.200001	99.811	-175.7204
46.799999	99.820	-176.2472
47.500000	99.824	-176.9331
48.200001	99.808	-177.5829
48.700001	99.790	-177.9518
49.400002	99.770	-178.3328
50.000000	99.763	-178.6207
50.799999	99.753	-179.0632
51.500000	99.725	-179.4695
52.200001	99.681	-179.8041
53.000000	99.626	179.8887
53.799999	99.571	179.5663
54.500000	99.517	179.2728
55.200001	99.466	179.0054
56.000000	99.425	178.6905
57.000000	99.405	178.1507
58.000000	99.400	177.4058
59.000000	99.389	176.5182
60.000000	99.355	175.7003
60.799999	99.324	175.2295
61.500000	99.307	174.9249
62.200001	99.302	174.6514
63.000000	99.305	174.3203
64.000000	99.313	173.8224
65.000000	99.308	173.2082
66.000000	99.272	172.6027
67.000000	99.219	172.1693
68.000000	99.171	171.8763
69.000000	99.129	171.6092
70.000000	99.085	171.3392
71.000000	99.037	171.0359
72.000000	98.979	170.6675
73.000000	98.906	170.3102
74.000000	98.835	170.0425
75.000000	98.785	169.8067
76.199997	98.748	169.4608
77.500000	98.721	169.0706
78.800003	98.709	168.6967
80.000000	98.702	168.2863
81.199997	98.679	167.8171
82.500000	98.634	167.3184
83.800003	98.578	166.8401
85.000000	98.518	166.4005
86.199997	98.449	165.9897
87.500000	98.368	165.6232
88.500000	98.308	165.4047
90.000000	98.231	165.1064
91.199997	98.176	164.8412
92.500000	98.114	164.5591
93.800003	98.048	164.3584
95.000000	97.985	164.2878
96.199997	97.921	164.3276
97.500000	97.857	164.4489
98.800003	97.797	164.5254
100.000000	97.736	164.4729
101.500000	97.643	164.3187
103.000000	97.545	164.2331
104.400002	97.473	164.2927
106.000000	97.433	164.4838
107.500000	97.439	164.6218
109.000000	97.468	164.5087
110.599998	97.497	164.0240
112.000000	97.514	163.4219
113.800003	97.554	162.6960
115.000000	97.612	162.3173
117.199997	97.760	161.7728
118.000000	97.806	161.5627
120.599998	97.758	160.8412
122.000000	97.594	160.8036
124.099998	97.330	161.0879
125.000000	97.238	161.1453
126.500000	97.120	161.0740
128.000000	97.040	160.8711
131.500000	96.956	160.3660
132.000000	96.948	160.3015
134.000000	96.912	160.0652
136.000000	96.864	159.8734
138.000000	96.805	159.7036
140.000000	96.734	159.5623
143.000000	96.624	159.3422
145.000000	96.559	159.0896
147.500000	96.490	158.7415
150.000000	96.427	158.5234
152.500000	96.340	158.5772
155.000000	96.237	158.8636
157.500000	96.138	159.1057
160.000000	96.050	159.1988
162.500000	95.972	159.1734
165.000000	95.892	159.0936
167.500000	95.809	159.0027
170.000000	95.732	158.9238
172.500000	95.663	158.8883
175.000000	95.601	158.8995
177.500000	95.540	158.9298
180.000000	95.478	158.9684
182.500000	95.415	159.0218
185.000000	95.350	159.1092
187.500000	95.284	159.2443
190.000000	95.215	159.4184
192.500000	95.146	159.5948
195.000000	95.084	159.6820
197.500000	95.027	159.6225
200.000000	94.970	159.5123
203.000000	94.902	159.4846
206.000000	94.839	159.5847
209.000000	94.778	159.7014
212.000000	94.713	159.7719
214.000000	94.664	159.8047
218.000000	94.560	159.9454
220.000000	94.512	160.1041
224.000000	94.426	160.5876
227.000000	94.369	160.9562
230.000000	94.314	161.2271
233.000000	94.263	161.4163
236.000000	94.223	161.5742
240.000000	94.190	161.7654
243.000000	94.173	161.8990
247.000000	94.142	162.0907
250.000000	94.108	162.2521
254.000000	94.053	162.4840
258.000000	93.998	162.7056
262.000000	93.943	162.8879
265.000000	93.897	163.0038
269.000000	93.832	163.1497
272.000000	93.786	163.2668
276.000000	93.729	163.4625
