* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 26, 2022 9:29:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRI KAI R
* Measurement: KZ EDX Ultra Jul 26
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	111.146	-157.7336
20.299999	111.143	-158.4228
20.600000	111.134	-159.0981
20.900000	111.123	-159.7597
21.200001	111.110	-160.4075
21.400000	111.102	-160.8319
21.799999	111.089	-161.6637
22.000000	111.084	-162.0717
22.400000	111.078	-162.8727
22.700001	111.074	-163.4613
23.000000	111.072	-164.0400
23.299999	111.069	-164.6095
23.600000	111.066	-165.1700
24.000000	111.062	-165.9036
24.299999	111.057	-166.4432
24.700001	111.047	-167.1481
25.000000	111.037	-167.6653
25.400000	111.021	-168.3398
25.799999	111.005	-168.9983
26.200001	110.988	-169.6428
26.500000	110.975	-170.1177
26.900000	110.955	-170.7394
27.200001	110.938	-171.1963
27.600000	110.913	-171.7919
28.000000	110.888	-172.3717
28.500000	110.858	-173.0763
29.000000	110.831	-173.7631
29.500000	110.805	-174.4353
30.000000	110.780	-175.0933
30.400000	110.759	-175.6086
30.700001	110.745	-175.9884
31.100000	110.727	-176.4869
31.500000	110.709	-176.9776
32.000000	110.683	-177.5818
32.500000	110.653	-178.1767
33.000000	110.622	-178.7618
33.500000	110.592	-179.3365
34.000000	110.563	-179.9002
34.500000	110.536	179.5473
35.000000	110.509	179.0069
35.500000	110.485	178.4795
36.000000	110.462	177.9657
36.500000	110.441	177.4653
37.000000	110.418	176.9774
37.500000	110.392	176.5009
38.200001	110.345	175.8522
38.700001	110.306	175.4023
39.500000	110.237	174.7050
40.000000	110.194	174.2815
40.599998	110.147	173.7844
41.200001	110.105	173.2994
41.799999	110.064	172.8264
42.500000	110.021	172.2883
43.099998	109.986	171.8376
43.700001	109.951	171.3970
44.400002	109.908	170.8959
45.000000	109.870	170.4774
45.500000	109.837	170.1363
46.200001	109.789	169.6711
46.799999	109.747	169.2839
47.500000	109.695	168.8448
48.200001	109.639	168.4188
48.700001	109.597	168.1234
49.400002	109.538	167.7234
50.000000	109.490	167.3924
50.799999	109.433	166.9649
51.500000	109.389	166.6014
52.200001	109.345	166.2472
53.000000	109.293	165.8537
53.799999	109.242	165.4696
54.500000	109.200	165.1385
55.200001	109.159	164.8136
56.000000	109.115	164.4533
57.000000	109.061	164.0137
58.000000	109.007	163.5625
59.000000	108.948	163.0834
60.000000	108.879	162.6077
60.799999	108.818	162.2698
61.500000	108.765	162.0111
62.200001	108.714	161.7747
63.000000	108.660	161.5183
64.000000	108.595	161.2102
65.000000	108.530	160.9095
66.000000	108.464	160.6172
67.000000	108.399	160.3384
68.000000	108.337	160.0699
69.000000	108.278	159.7930
70.000000	108.217	159.4973
71.000000	108.152	159.1992
72.000000	108.084	158.9246
73.000000	108.021	158.6889
74.000000	107.964	158.4831
75.000000	107.911	158.2941
76.199997	107.846	158.0887
77.500000	107.775	157.8763
78.800003	107.705	157.6497
80.000000	107.641	157.4147
81.199997	107.580	157.1524
82.500000	107.512	156.8509
83.800003	107.443	156.5601
85.000000	107.377	156.3218
86.199997	107.305	156.1118
87.500000	107.218	155.9144
88.500000	107.146	155.7969
