* Measurement data measured by REW V5.20.8
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 21, 2022 1:29:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDX Ultra Jul 21
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.103	-157.3047
20.299999	110.101	-158.0065
20.600000	110.094	-158.6928
20.900000	110.083	-159.3642
21.200001	110.071	-160.0215
21.400000	110.064	-160.4527
21.799999	110.053	-161.2991
22.000000	110.049	-161.7148
22.400000	110.044	-162.5315
22.700001	110.041	-163.1310
23.000000	110.039	-163.7198
23.299999	110.037	-164.2986
23.600000	110.036	-164.8681
24.000000	110.032	-165.6139
24.299999	110.028	-166.1626
24.700001	110.019	-166.8781
25.000000	110.010	-167.4018
25.400000	109.995	-168.0829
25.799999	109.980	-168.7472
26.200001	109.965	-169.3990
26.500000	109.953	-169.8812
26.900000	109.936	-170.5154
27.200001	109.920	-170.9830
27.600000	109.896	-171.5932
28.000000	109.871	-172.1864
28.500000	109.842	-172.9051
29.000000	109.816	-173.6036
29.500000	109.792	-174.2871
30.000000	109.767	-174.9569
30.400000	109.748	-175.4815
30.700001	109.734	-175.8679
31.100000	109.716	-176.3741
31.500000	109.698	-176.8720
32.000000	109.673	-177.4860
32.500000	109.644	-178.0922
33.000000	109.613	-178.6879
33.500000	109.582	-179.2688
34.000000	109.553	-179.8329
34.500000	109.526	179.6167
35.000000	109.502	179.0748
35.500000	109.480	178.5376
36.000000	109.461	178.0055
36.500000	109.441	177.4815
37.000000	109.420	176.9695
37.500000	109.393	176.4715
38.200001	109.347	175.7995
38.700001	109.308	175.3368
39.500000	109.240	174.6213
40.000000	109.199	174.1854
40.599998	109.154	173.6711
41.200001	109.112	173.1674
41.799999	109.073	172.6749
42.500000	109.030	172.1126
43.099998	108.994	171.6399
43.700001	108.958	171.1801
44.400002	108.913	170.6663
45.000000	108.873	170.2445
45.500000	108.840	169.9011
46.200001	108.793	169.4260
46.799999	108.753	169.0224
47.500000	108.702	168.5570
48.200001	108.647	168.0985
48.700001	108.605	167.7764
49.400002	108.546	167.3366
50.000000	108.498	166.9728
50.799999	108.440	166.5062
51.500000	108.393	166.1123
52.200001	108.348	165.7308
53.000000	108.293	165.3126
53.799999	108.236	164.9152
54.500000	108.190	164.5826
55.200001	108.146	164.2594
56.000000	108.098	163.8933
57.000000	108.039	163.4252
58.000000	107.975	162.9373
59.000000	107.904	162.4456
60.000000	107.828	161.9694
60.799999	107.765	161.6049
61.500000	107.709	161.3003
62.200001	107.654	161.0096
63.000000	107.592	160.6929
64.000000	107.515	160.3210
65.000000	107.434	159.9850
66.000000	107.349	159.6958
67.000000	107.263	159.4548
68.000000	107.176	159.2567
69.000000	107.084	159.1019
70.000000	106.987	158.9973
71.000000	106.885	158.9585
72.000000	106.784	159.0175
73.000000	106.699	159.1985
74.000000	106.643	159.4858
75.000000	106.624	159.8152
76.199997	106.649	160.1195
77.500000	106.710	160.1841
78.800003	106.774	159.9446
80.000000	106.814	159.4828
81.199997	106.822	158.8571
82.500000	106.789	158.1113
83.800003	106.725	157.3934
85.000000	106.649	156.8123
86.199997	106.567	156.3438
87.500000	106.484	155.9455
88.500000	106.427	155.6750
90.000000	106.346	155.2938
91.199997	106.282	155.0135
92.500000	106.214	154.7322
93.800003	106.144	154.4687
95.000000	106.078	154.2427
96.199997	106.011	154.0289
97.500000	105.936	153.8018
98.800003	105.857	153.5822
100.000000	105.782	153.3984
101.500000	105.690	153.2035
103.000000	105.607	153.0432
104.400002	105.537	152.9121
106.000000	105.460	152.7665
107.500000	105.385	152.6212
109.000000	105.307	152.4637
110.599998	105.220	152.2908
112.000000	105.143	152.1440
113.800003	105.041	151.9725
115.000000	104.967	151.8799
117.199997	104.818	151.7984
118.000000	104.763	151.8060
120.599998	104.611	151.9092
122.000000	104.551	151.9413
124.099998	104.472	151.9449
125.000000	104.437	151.9519
126.500000	104.375	151.9907
128.000000	104.307	152.0676
131.500000	104.147	152.3743
132.000000	104.127	152.4294
134.000000	104.061	152.6577
136.000000	104.012	152.8528
138.000000	103.969	152.9561
140.000000	103.920	152.9464
143.000000	103.832	152.8031
145.000000	103.762	152.6998
147.500000	103.663	152.6115
150.000000	103.556	152.5873
152.500000	103.448	152.6522
155.000000	103.342	152.8392
157.500000	103.235	153.1363
160.000000	103.128	153.4753
162.500000	103.024	153.8540
165.000000	102.931	154.3849
167.500000	102.853	155.1335
170.000000	102.795	156.0030
172.500000	102.763	156.7936
175.000000	102.761	157.3180
177.500000	102.780	157.4987
180.000000	102.804	157.3900
182.500000	102.822	157.1156
185.000000	102.827	156.7903
187.500000	102.814	156.4888
190.000000	102.784	156.2484
192.500000	102.741	156.0823
195.000000	102.687	155.9906
197.500000	102.623	155.9676
200.000000	102.554	156.0046
203.000000	102.472	156.1083
206.000000	102.397	156.2402
209.000000	102.324	156.3686
212.000000	102.247	156.4944
214.000000	102.194	156.5899
218.000000	102.086	156.8435
220.000000	102.036	157.0010
224.000000	101.946	157.3345
227.000000	101.889	157.5741
230.000000	101.835	157.8022
233.000000	101.783	158.0238
236.000000	101.732	158.2397
240.000000	101.661	158.5181
243.000000	101.606	158.7268
247.000000	101.530	159.0276
250.000000	101.473	159.2877
254.000000	101.405	159.6887
258.000000	101.351	160.1071
262.000000	101.303	160.4739
265.000000	101.266	160.7127
269.000000	101.211	161.0274
272.000000	101.169	161.2842
276.000000	101.114	161.6570
280.000000	101.067	162.0467
285.000000	101.021	162.5173
290.000000	100.988	162.9044
295.000000	100.950	163.1961
300.000000	100.902	163.4802
304.000000	100.862	163.7413
307.000000	100.833	163.9532
311.000000	100.794	164.2427
315.000000	100.753	164.5334
320.000000	100.699	164.9139
325.000000	100.648	165.3311
330.000000	100.603	165.7682
335.000000	100.561	166.1965
340.000000	100.520	166.6024
345.000000	100.480	166.9940
350.000000	100.443	167.3879
355.000000	100.411	167.7898
360.000000	100.379	168.1951
365.000000	100.346	168.6002
370.000000	100.311	169.0055
375.000000	100.278	169.4122
382.000000	100.238	169.9827
387.000000	100.212	170.3896
395.000000	100.174	171.0401
400.000000	100.151	171.4447
406.000000	100.123	171.9208
412.000000	100.096	172.3842
418.000000	100.068	172.8512
425.000000	100.040	173.4244
431.000000	100.024	173.9326
437.000000	100.013	174.4310
444.000000	100.005	174.9827
450.000000	100.002	175.4147
455.000000	100.000	175.7296
462.000000	99.990	176.1150
468.000000	99.974	176.4472
475.000000	99.953	176.8770
482.000000	99.934	177.3331
487.000000	99.920	177.6608
494.000000	99.897	178.1370
500.000000	99.879	178.5746
508.000000	99.863	179.1674
515.000000	99.853	179.6645
522.000000	99.841	-179.8490
530.000000	99.826	-179.2762
538.000000	99.815	-178.6844
545.000000	99.809	-178.1673
552.000000	99.806	-177.6547
560.000000	99.806	-177.0833
570.000000	99.807	-176.3979
580.000000	99.805	-175.7181
590.000000	99.800	-175.0263
600.000000	99.796	-174.3120
608.000000	99.799	-173.7362
615.000000	99.805	-173.2391
622.000000	99.810	-172.7380
630.000000	99.816	-172.1408
640.000000	99.829	-171.3648
650.000000	99.851	-170.5858
660.000000	99.885	-169.8313
670.000000	99.931	-169.1592
680.000000	99.973	-168.5729
690.000000	100.005	-168.0133
700.000000	100.029	-167.4344
710.000000	100.053	-166.8269
720.000000	100.081	-166.2106
730.000000	100.110	-165.5963
740.000000	100.140	-164.9810
750.000000	100.170	-164.3617
762.000000	100.206	-163.6113
775.000000	100.246	-162.7879
788.000000	100.286	-161.9401
800.000000	100.326	-161.0926
812.000000	100.377	-160.1483
825.000000	100.461	-159.0750
838.000000	100.576	-158.1073
850.000000	100.692	-157.4007
862.000000	100.799	-156.8479
875.000000	100.899	-156.3274
885.000000	100.968	-155.9301
900.000000	101.066	-155.3063
912.000000	101.144	-154.7720
925.000000	101.236	-154.1828
938.000000	101.335	-153.6318
950.000000	101.427	-153.1716
962.000000	101.516	-152.7391
975.000000	101.612	-152.2775
988.000000	101.709	-151.8131
1000.000000	101.798	-151.3757
1015.000000	101.913	-150.8022
1030.000000	102.038	-150.2191
1044.000000	102.168	-149.7276
1060.000000	102.325	-149.2900
1075.000000	102.469	-148.9801
1090.000000	102.610	-148.7256
1106.000000	102.761	-148.5017
1120.000000	102.890	-148.3402
1138.000000	103.049	-148.1602
1150.000000	103.150	-148.0470
1172.000000	103.331	-147.8351
1180.000000	103.398	-147.7551
1206.000000	103.632	-147.5538
1220.000000	103.763	-147.5381
1241.000000	103.950	-147.6256
1250.000000	104.024	-147.6818
1265.000000	104.141	-147.7791
1280.000000	104.252	-147.8731
1315.000000	104.501	-148.0766
1320.000000	104.536	-148.1083
1340.000000	104.677	-148.2496
1360.000000	104.814	-148.3981
1380.000000	104.948	-148.5218
1400.000000	105.087	-148.5997
1430.000000	105.323	-148.7328
1450.000000	105.492	-148.9278
1475.000000	105.706	-149.2775
1500.000000	105.926	-149.6862
1525.000000	106.155	-150.1106
1550.000000	106.390	-150.5216
1575.000000	106.621	-150.9329
1600.000000	106.817	-151.4353
1625.000000	106.935	-152.0803
1650.000000	106.961	-152.8207
1675.000000	106.925	-153.6032
1700.000000	106.877	-154.4101
1725.000000	106.853	-155.2439
1750.000000	106.870	-156.0814
1775.000000	106.926	-156.8790
1800.000000	107.015	-157.6395
1825.000000	107.121	-158.4286
1850.000000	107.224	-159.2827
1875.000000	107.316	-160.1820
1900.000000	107.393	-161.0848
1925.000000	107.454	-161.9478
1950.000000	107.504	-162.7495
1975.000000	107.547	-163.5144
2000.000000	107.580	-164.2755
2030.000000	107.601	-165.1635
2060.000000	107.599	-165.9520
2090.000000	107.583	-166.5883
2120.000000	107.566	-167.0680
2140.000000	107.559	-167.3132
2180.000000	107.575	-167.7346
2200.000000	107.598	-167.9966
2240.000000	107.646	-168.7592
2270.000000	107.655	-169.4745
2300.000000	107.630	-170.1543
2330.000000	107.581	-170.6600
2360.000000	107.525	-170.9391
2400.000000	107.470	-171.0118
2430.000000	107.457	-170.9211
2470.000000	107.487	-170.7788
2500.000000	107.537	-170.7836
2540.000000	107.614	-171.0053
2580.000000	107.687	-171.4167
2620.000000	107.749	-171.9684
2650.000000	107.786	-172.4538
2690.000000	107.818	-173.1503
2720.000000	107.831	-173.6747
2760.000000	107.835	-174.3646
2800.000000	107.825	-175.0497
2850.000000	107.792	-175.8597
2900.000000	107.737	-176.5441
2950.000000	107.669	-177.0168
3000.000000	107.611	-177.3128
3040.000000	107.578	-177.5187
3070.000000	107.560	-177.6794
3110.000000	107.543	-177.8969
3150.000000	107.533	-178.1206
3200.000000	107.523	-178.4148
3250.000000	107.508	-178.6732
3300.000000	107.487	-178.8009
3350.000000	107.475	-178.7388
3400.000000	107.486	-178.5598
3450.000000	107.517	-178.3821
3500.000000	107.562	-178.2430
3550.000000	107.623	-178.1656
3600.000000	107.707	-178.2200
3650.000000	107.807	-178.4778
3700.000000	107.915	-178.9585
3750.000000	108.024	-179.6286
3820.000000	108.174	179.1687
3870.000000	108.272	178.1821
3950.000000	108.417	176.5183
4000.000000	108.503	175.3898
4060.000000	108.588	173.8489
4120.000000	108.631	172.0831
4180.000000	108.616	170.1368
4250.000000	108.512	167.7400
4310.000000	108.350	165.7186
4370.000000	108.138	163.8099
4440.000000	107.847	161.7168
4500.000000	107.563	160.0335
4550.000000	107.303	158.7348
4620.000000	106.905	157.1218
4680.000000	106.534	155.9966
4750.000000	106.081	155.0536
4820.000000	105.623	154.4848
4870.000000	105.299	154.2742
4940.000000	104.847	154.2501
5000.000000	104.457	154.5222
5080.000000	103.932	155.4877
5150.000000	103.498	157.0763
5220.000000	103.159	159.2082
5300.000000	102.931	161.4906
5380.000000	102.763	162.9061
5450.000000	102.550	163.7407
5520.000000	102.264	164.7237
5600.000000	101.898	166.2745
5700.000000	101.457	168.7354
5800.000000	101.077	171.5099
5900.000000	100.760	174.4541
6000.000000	100.503	177.5740
6080.000000	100.345	-179.8244
6150.000000	100.242	-177.5097
6220.000000	100.171	-175.1905
6300.000000	100.125	-172.5409
6400.000000	100.115	-169.2094
6500.000000	100.165	-165.8684
6600.000000	100.278	-162.5824
6700.000000	100.450	-159.4025
6800.000000	100.682	-156.3337
6900.000000	100.980	-153.4046
7000.000000	101.348	-150.6998
7100.000000	101.782	-148.3110
7200.000000	102.280	-146.3082
7300.000000	102.849	-144.7918
7400.000000	103.484	-143.9271
7500.000000	104.161	-143.8983
7620.000000	104.984	-145.1870
7750.000000	105.806	-148.4820
7880.000000	106.445	-153.9198
8000.000000	106.773	-160.5520
8120.000000	106.799	-167.9731
8250.000000	106.482	-175.8036
8380.000000	105.848	177.6513
8500.000000	105.060	173.3548
8620.000000	104.176	170.8387
8750.000000	103.212	169.8725
8850.000000	102.515	170.1506
9000.000000	101.603	171.8334
9120.000000	101.017	173.9330
9250.000000	100.530	176.6685
9380.000000	100.196	179.6819
9500.000000	100.026	-177.4610
9620.000000	99.989	-174.6795
9750.000000	100.100	-171.8891
9880.000000	100.378	-169.5213
10000.000000	100.785	-167.9568
10150.000000	101.473	-167.2739
10300.000000	102.292	-168.6480
10440.000000	103.056	-172.4583
10600.000000	103.733	179.7556
10750.000000	103.988	169.5733
10900.000000	103.756	158.1055
11060.000000	102.966	146.6921
11200.000000	101.905	138.7146
11380.000000	100.224	131.6282
11500.000000	99.007	128.5547
11720.000000	96.721	125.3278
11800.000000	95.881	124.8405
12060.000000	93.096	126.3232
12200.000000	91.632	129.0506
12410.000000	89.757	133.7410
12500.000000	89.104	135.2220
12650.000000	88.090	136.8502
12800.000000	86.928	138.9341
13150.000000	83.307	155.3484
13200.000000	82.789	158.9873
13400.000000	81.167	175.0309
13600.000000	80.631	-169.4677
13800.000000	80.956	-157.8153
14000.000000	81.533	-150.6718
14300.000000	82.331	-145.5533
14500.000000	82.818	-144.3868
14750.000000	83.374	-145.2290
15000.000000	83.787	-149.1229
15250.000000	83.954	-157.0182
15500.000000	83.820	-170.9411
15750.000000	83.430	165.3915
16000.000000	83.051	127.9143
16250.000000	83.166	76.7371
16500.000000	83.830	19.5120
16750.000000	84.380	-33.0925
17000.000000	84.266	-74.6426
17250.000000	83.388	-104.2060
17500.000000	81.874	-123.5780
17750.000000	79.864	-134.6232
18000.000000	77.463	-138.3062
18250.000000	74.786	-135.2063
18500.000000	72.012	-126.4403
18750.000000	69.435	-114.1304
19000.000000	67.427	-101.0730
19250.000000	66.167	-89.7318
19500.000000	65.411	-81.2499
19750.000000	64.749	-75.2120
20000.000000	63.908	-70.2208
